Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"4,12 B","3,99 B","4,00 B","3,56 B","3,52 B",0,0,0,0,0,"3,55 B","3,64 B","3,70 B","3,72 B","3,76 B","4,06 B","3,98 B","3,96 B","3,86 B","4,08 B","4,36 B","5,72 B","4,31 B","4,53 B","4,51 B","4,41 B","4,73 B","4,63 B","4,47 B","4,47 B","4,64 B","4,70 B","4,36 B","4,51 B","4,41 B","3,96 B","4,31 B","4,39 B","4,36 B","4,14 B","4,11 B","4,18 B","4,07 B","3,94 B","3,75 B",0,"4,51 B","4,90 B","4,49 B","4,51 B","4,49 B","4,26 B","4,20 B","4,17 B","4,27 B","4,60 B","4,58 B","4,41 B","4,45 B","4,51 B","4,57 B","4,88 B","4,98 B"
Ativo circulante,"522,75 M","303,99 M","297,30 M","745,72 M","643,92 M",0,0,0,0,0,"466,95 M","496,10 M","483,34 M","431,03 M","365,05 M","619,71 M","477,51 M","413,89 M","303,55 M","479,99 M","695,34 M","1,98 B","1,25 B","1,47 B","1,43 B","1,29 B","1,33 B","1,20 B","1,26 B","1,22 B","1,19 B","1,39 B","1,03 B","1,16 B","1,16 B","662,83 M","973,66 M","1,02 B","972,27 M","704,03 M","632,03 M","659,62 M","485,42 M","319,15 M","266,04 M",0,"928,12 M","1,27 B","828,10 M","800,44 M","763,38 M","493,59 M","392,68 M","317,99 M","365,58 M","643,07 M","579,23 M","351,09 M","338,52 M","346,70 M","352,07 M","604,63 M","481,47 M"
Caixa e eq. de caixa,"258,27 M","128,00 M","135,62 M","588,74 M","444,67 M",0,0,0,0,0,"271,96 M","317,26 M","267,51 M","220,93 M","162,81 M","454,39 M","248,71 M","185,01 M","113,52 M","331,10 M","538,64 M","1,11 B","1,03 B","1,24 B","1,18 B","1,12 B","1,17 B","1,04 B","1,07 B","991,10 M","969,27 M","1,23 B","878,78 M","976,84 M","983,12 M","469,96 M","770,17 M","852,56 M","808,66 M","542,01 M","451,24 M","464,07 M","326,44 M","168,91 M","118,50 M",0,"773,41 M","1,12 B","672,27 M","611,67 M","604,15 M","352,14 M","250,30 M","169,55 M","232,76 M","508,53 M","424,04 M","210,37 M","225,30 M","242,57 M","235,20 M","495,77 M","377,22 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"247,88 M","159,49 M","142,43 M","145,01 M","185,43 M",0,0,0,0,0,"164,09 M","155,91 M","188,48 M","175,55 M","167,80 M","129,62 M","177,51 M","188,30 M","148,37 M","116,65 M","125,31 M","842,47 M","197,60 M","213,11 M","232,31 M","147,36 M","143,33 M","136,51 M","163,38 M","196,47 M","186,42 M","134,25 M","131,00 M","149,87 M","139,64 M","167,33 M","178,61 M","135,89 M","134,31 M","132,99 M","149,00 M","169,83 M","134,84 M","126,60 M","125,39 M",0,"123,34 M","123,42 M","130,79 M","168,73 M","137,95 M","120,47 M","122,01 M","116,37 M","114,73 M","118,53 M","141,28 M","111,71 M","102,25 M","94,34 M","106,60 M","96,43 M","93,25 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"3,60 B","3,68 B","3,70 B","2,81 B","2,87 B",0,0,0,0,0,"3,08 B","3,15 B","3,21 B","3,29 B","3,39 B","3,44 B","3,50 B","3,55 B","3,56 B","3,60 B","3,66 B","3,74 B","3,05 B","3,05 B","3,08 B","3,12 B","3,39 B","3,44 B","3,21 B","3,25 B","3,45 B","3,31 B","3,32 B","3,35 B","3,25 B","3,30 B","3,33 B","3,37 B","3,39 B","3,43 B","3,48 B","3,52 B","3,59 B","3,62 B","3,49 B",0,"3,58 B","3,62 B","3,67 B","3,71 B","3,73 B","3,77 B","3,81 B","3,86 B","3,90 B","3,95 B","4,01 B","4,06 B","4,11 B","4,16 B","4,21 B","4,27 B","4,50 B"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,00 Mil","2,00 Mil","2,00 Mil","2,00 Mil","2,00 Mil","2,00 Mil","2,00 Mil","2,00 Mil","2,00 Mil","2,00 Mil","2,00 Mil","2,00 Mil","2,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil",0,"26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil","26,00 Mil"
Imobilizado,"1,92 B","1,96 B","2,00 B","2,04 B","2,08 B",0,0,0,0,0,"2,19 B","2,23 B","2,27 B","2,32 B","2,39 B","2,43 B","2,48 B","2,52 B","2,53 B","2,57 B","2,62 B","2,67 B","2,67 B","2,71 B","2,76 B","2,81 B","2,84 B","2,88 B","2,93 B","2,98 B","3,01 B","3,05 B","3,10 B","3,14 B","3,16 B","3,20 B","3,25 B","3,29 B","3,31 B","3,35 B","3,40 B","3,44 B","3,51 B","3,54 B","3,41 B",0,"3,50 B","3,55 B","3,59 B","3,63 B","3,67 B","3,71 B","3,76 B","3,80 B","3,85 B","3,90 B","3,95 B","4,01 B","4,06 B","4,11 B","4,16 B","4,22 B","4,44 B"
Intangível,"1,43 B","1,47 B","1,48 B","553,06 M","568,04 M",0,0,0,0,0,"684,88 M","704,18 M","723,08 M","742,23 M","760,48 M","777,42 M","796,18 M","814,46 M","832,80 M","835,89 M","855,19 M","874,65 M","25,74 M","26,26 M","26,79 M","24,37 M","26,99 M","28,67 M","28,68 M","30,02 M","30,74 M","32,17 M","33,65 M","34,97 M","36,41 M","36,94 M","32,38 M","29,03 M","28,73 M","29,35 M","29,96 M","30,63 M","30,95 M","31,39 M","31,77 M",0,"32,60 M","33,00 M","33,69 M","34,40 M","32,97 M","33,65 M","34,23 M","34,67 M","35,60 M","36,38 M","37,03 M","37,73 M","38,40 M","38,90 M","39,77 M","40,68 M","44,41 M"
