Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-0,08","-27,43","-16,67","-35,31","106,45","-273,64","-1.220,27","-89,83","-103,34","2.110,64","-2.951,69","235,04","-1.688,04","-241,57","2.021,36","6.132,40"
P/VP,"0,03","0,57","1,91","1,66","4,76","12,99","18,76","76,70","62,36","50,76","41,11","63,90","84,58","86,18","149,77","268,28"
P/EBIT,"-0,10","-18,68","-87,92","-22,40","41,07","3.415,65","1.636,63","-103,96","-252,49","1.830,54","-6.430,04","507,33","-2.637,10","-378,58","1.361,70","2.138,29"
P/EBIT *,"-0,14","-5,61","-16,32","-146,95","210,94","287,21","343,91","-1.406,30","-381,69","844,61","690,80","1.215,23","4.837,89","-596,79","1.218,96","1.489,64"
PSR,"0,07","1,10","2,95","2,59","10,57","22,96","41,87","39,22","131,32","108,87","58,39","82,17","76,45","77,62","157,15","206,43"
P/Ativos,"0,01","0,21","0,64","0,54","1,83","5,41","6,57","14,92","23,08","23,24","17,43","24,92","24,61","24,01","59,15","80,64"
LPA,"-22,21","-1,66","-7,97","-3,39","3,31","-3,03","-0,56","-17,11","-47,46","3,04","-1,74","35,38","-5,18","-38,54","10,79","4,15"
VPA,"62,69","79,59","69,60","72,28","74,04","63,73","36,45","20,04","78,66","126,26","124,63","130,15","103,42","108,03","145,65","94,86"
EBIT por ação,"-16,91","-2,43","-1,51","-5,35","8,59","0,24","0,42","-14,79","-19,43","3,50","-0,80","16,39","-3,32","-24,59","16,02","11,90"
EBIT por ação *,"-12,19","-8,09","-8,14","-0,82","1,67","2,88","1,99","-1,09","-12,85","7,59","7,42","6,84","1,81","-15,60","17,90","17,08"
Ativo por ação,"192,85","216,28","209,10","223,80","192,62","152,96","104,09","103,05","212,52","275,75","293,93","333,78","355,38","387,77","368,77","315,58"
Receita líquida por ação,"25,28","41,29","45,01","46,34","33,38","36,06","16,33","39,19","37,35","58,87","87,74","101,21","114,42","119,94","138,81","123,28"
Margem bruta,"-32,12%","-5,37%","-4,21%","13,47%","25,50%","20,50%","29,41%","11,94%","-12,40%","26,43%","25,19%","24,88%","18,83%","8,92%","27,68%","29,07%"
Margem líquida,"-87,87%","-4,02%","-17,71%","-7,32%","9,90%","-8,45%","-3,52%","-43,84%","-126,87%","4,92%","-2,03%","34,97%","-2,77%","-30,78%","8,48%","4,73%"
Margem EBIT,"-66,90%","-5,88%","-3,36%","-11,54%","25,74%","0,67%","2,56%","-37,73%","-52,01%","5,95%","-0,91%","16,20%","-2,90%","-20,50%","11,54%","9,65%"
Margem EBIT *,"-48,23%","-19,59%","-18,08%","-1,76%","5,01%","7,99%","12,18%","-2,79%","-34,41%","12,89%","8,45%","6,76%","1,58%","-13,01%","12,89%","13,86%"
