Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"81,05 B","81,69 B","87,26 B","86,85 B","85,58 B","86,81 B","81,85 B","82,40 B","76,96 B","74,89 B","76,41 B","73,80 B","75,75 B","73,80 B","79,77 B","77,66 B","71,54 B","73,81 B","75,36 B","66,89 B","68,02 B","63,12 B","63,43 B","62,60 B","60,65 B","54,00 B","53,05 B","51,13 B","52,15 B","51,28 B","56,12 B","54,46 B","50,98 B","50,30 B","52,58 B","54,18 B","53,56 B","54,64 B","58,71 B","58,23 B","65,00 B","70,09 B","76,49 B","68,78 B","70,84 B","63,04 B","61,47 B","57,89 B","57,55 B","58,22 B","56,21 B","55,06 B","51,81 B","53,09 B","53,60 B","53,35 B","49,63 B","49,98 B","49,43 B","45,04 B","42,93 B","42,89 B","44,58 B"
Ativo circulante,"28,57 B","28,61 B","33,40 B","33,31 B","32,19 B","32,67 B","32,82 B","31,83 B","29,74 B","29,20 B","30,89 B","30,32 B","32,42 B","31,26 B","37,56 B","36,74 B","33,92 B","32,64 B","35,46 B","28,31 B","26,22 B","23,41 B","22,13 B","21,76 B","20,61 B","18,24 B","17,50 B","16,90 B","17,57 B","17,50 B","22,17 B","20,65 B","19,56 B","17,98 B","17,48 B","17,90 B","17,76 B","17,80 B","17,84 B","17,30 B","19,87 B","22,18 B","24,08 B","21,90 B","22,91 B","20,68 B","20,28 B","18,82 B","18,20 B","18,18 B","17,40 B","16,81 B","15,91 B","16,41 B","17,55 B","18,17 B","16,87 B","17,32 B","17,26 B","15,81 B","13,40 B","12,95 B","14,16 B"
Caixa e eq. de caixa,"5,28 B","5,93 B","9,39 B","8,50 B","6,48 B","7,77 B","8,07 B","4,89 B","3,74 B","3,01 B","2,91 B","2,56 B","2,58 B","2,48 B","6,19 B","5,78 B","4,90 B","4,16 B","3,98 B","3,03 B","4,24 B","4,62 B","4,17 B","4,06 B","3,82 B","2,64 B","2,29 B","1,75 B","1,94 B","2,89 B","2,80 B","2,64 B","2,38 B","2,56 B","3,26 B","4,31 B","4,48 B","5,06 B","3,95 B","3,81 B","4,73 B","5,65 B","5,19 B","3,79 B","3,60 B","3,05 B","2,87 B","2,63 B","1,87 B","2,10 B","1,97 B","1,24 B","1,06 B","1,44 B","1,67 B","1,66 B","1,36 B","1,48 B","1,28 B","1,18 B","1,08 B","1,06 B","2,09 B"
Aplicações financeiras,"313,95 M","445,63 M","484,01 M","472,92 M","390,33 M","509,03 M","757,58 M","1,75 B","2,20 B","2,34 B","3,09 B","1,63 B","3,24 B","2,96 B","2,40 B","1,98 B","2,70 B","2,63 B","4,45 B","2,61 B","2,76 B","3,04 B","3,03 B","2,48 B","2,16 B","3,65 B","1,14 B","390,61 M","590,40 M","459,47 M","679,99 M","303,72 M","870,69 M","821,52 M","1,80 B","1,12 B","977,47 M","1,02 B","1,31 B","1,07 B","794,99 M","1,27 B","1,55 B","1,90 B","2,25 B","2,80 B","1,80 B","1,33 B","1,65 B","2,12 B","1,55 B","1,73 B","772,30 M","1,06 B","1,33 B","1,50 B","2,08 B","3,10 B","3,09 B","2,91 B","1,34 B","1,12 B","2,68 B"
Contas a receber,"5,86 B","4,81 B","5,88 B","5,80 B","6,25 B","5,18 B","5,67 B","5,88 B","5,48 B","4,88 B","5,74 B","5,59 B","6,00 B","5,00 B","6,66 B","7,26 B","6,76 B","5,41 B","6,42 B","5,79 B","5,14 B","3,74 B","4,16 B","3,61 B","3,36 B","2,67 B","3,48 B","3,73 B","3,98 B","3,20 B","4,19 B","4,10 B","3,60 B","2,80 B","4,77 B","4,59 B","4,49 B","4,25 B","4,54 B","4,54 B","4,97 B","5,04 B","5,96 B","5,49 B","5,66 B","4,77 B","4,82 B","4,67 B","4,81 B","4,37 B","4,75 B","4,40 B","4,69 B","3,96 B","4,51 B","4,77 B","4,26 B","3,87 B","4,39 B","4,13 B","3,82 B","3,38 B","2,85 B"
Estoques,"15,19 B","14,73 B","15,27 B","16,04 B","16,56 B","16,50 B","15,91 B","16,55 B","16,04 B","15,23 B","15,82 B","16,98 B","17,18 B","17,82 B","18,81 B","18,46 B","16,32 B","16,86 B","15,65 B","13,80 B","11,96 B","9,17 B","8,89 B","9,52 B","9,51 B","7,66 B","9,01 B","9,53 B","9,38 B","9,17 B","9,12 B","8,48 B","6,98 B","6,70 B","6,81 B","7,00 B","6,84 B","6,33 B","6,91 B","6,76 B","8,12 B","8,78 B","10,04 B","9,53 B","10,19 B","8,87 B","9,31 B","9,01 B","8,69 B","8,50 B","8,20 B","8,55 B","8,54 B","9,02 B","9,13 B","9,37 B","8,37 B","8,06 B","7,85 B","7,08 B","6,61 B","6,80 B","5,75 B"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"52,47 B","53,08 B","53,86 B","53,55 B","53,38 B","54,15 B","49,03 B","50,57 B","47,22 B","45,69 B","45,52 B","43,48 B","43,33 B","42,54 B","42,21 B","40,92 B","37,62 B","41,17 B","39,91 B","38,58 B","41,80 B","39,71 B","41,29 B","40,84 B","40,04 B","35,77 B","35,54 B","34,23 B","34,58 B","33,78 B","33,95 B","33,81 B","31,42 B","32,32 B","35,10 B","36,28 B","35,80 B","36,84 B","40,87 B","40,94 B","45,14 B","47,92 B","52,41 B","46,88 B","47,94 B","42,36 B","41,19 B","39,07 B","39,35 B","40,04 B","38,81 B","38,25 B","35,90 B","36,68 B","36,05 B","35,18 B","32,76 B","32,66 B","32,16 B","29,22 B","29,53 B","29,95 B","30,42 B"
Investimentos,"3,86 B","3,94 B","4,05 B","3,96 B","3,86 B","4,22 B","4,20 B","4,26 B","4,07 B","3,86 B","5,00 B","4,72 B","4,61 B","3,90 B","4,20 B","3,93 B","3,33 B","3,34 B","2,98 B","2,55 B","2,57 B","2,27 B","2,31 B","2,16 B","2,05 B","1,81 B","1,75 B","1,70 B","1,38 B","1,37 B","1,47 B","1,45 B","1,33 B","1,28 B","1,21 B","1,34 B","975,17 M","798,84 M","1,03 B","1,11 B","1,25 B","1,39 B","1,49 B","1,56 B","1,67 B","1,39 B","1,33 B","1,51 B","1,55 B","1,59 B","1,50 B","1,49 B","1,34 B","1,43 B","1,46 B","1,71 B","1,54 B","1,44 B","1,46 B","1,29 B","1,31 B","1,28 B","1,22 B"
Imobilizado,"32,01 B","31,91 B","32,27 B","32,10 B","31,44 B","30,76 B","27,42 B","26,68 B","24,96 B","24,06 B","23,29 B","22,06 B","21,62 B","21,38 B","20,61 B","19,84 B","18,64 B","19,60 B","18,72 B","17,89 B","18,68 B","18,07 B","18,50 B","18,44 B","18,31 B","16,68 B","16,55 B","16,26 B","16,39 B","15,55 B","15,81 B","16,04 B","15,51 B","16,44 B","18,10 B","18,50 B","18,92 B","19,35 B","20,07 B","20,16 B","22,32 B","22,78 B","24,76 B","23,44 B","23,77 B","22,13 B","21,69 B","21,08 B","21,24 B","21,42 B","20,81 B","20,47 B","19,62 B","19,69 B","19,29 B","18,41 B","17,44 B","17,30 B","16,88 B","15,80 B","16,03 B","16,17 B","16,73 B"
