Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"16,72 B","16,97 B","17,98 B","17,53 B","17,38 B","16,82 B","17,38 B","16,62 B","16,21 B","14,72 B","17,06 B","18,27 B","18,87 B","17,96 B","21,15 B","22,97 B","20,33 B","21,55 B","21,32 B","19,13 B","16,34 B","13,62 B","12,22 B","8,74 B","9,23 B","9,53 B","9,93 B","10,15 B","10,03 B","10,90 B","12,84 B","12,04 B","10,39 B","9,82 B","9,48 B","9,17 B","8,46 B","8,62 B","8,70 B","10,25 B","10,08 B","10,45 B","11,93 B","10,76 B","10,45 B","10,84 B","10,71 B","10,44 B","10,55 B","10,32 B","10,49 B","9,88 B","9,17 B","8,99 B","9,82 B","9,98 B","9,20 B","9,07 B","8,97 B","9,01 B","8,36 B","7,80 B","8,19 B","8,30 B","7,11 B"
Custos,"-14,42 B","-15,13 B","-15,84 B","-15,50 B","-15,43 B","-14,80 B","-14,80 B","-14,43 B","-13,79 B","-13,08 B","-14,27 B","-14,99 B","-15,24 B","-15,04 B","-16,41 B","-17,06 B","-15,15 B","-16,37 B","-14,90 B","-13,72 B","-12,55 B","-10,96 B","-10,53 B","-8,03 B","-8,37 B","-8,86 B","-8,95 B","-8,88 B","-8,76 B","-9,60 B","-10,97 B","-10,39 B","-9,05 B","-8,78 B","-8,50 B","-8,23 B","-7,80 B","-8,10 B","-7,65 B","-9,17 B","-9,27 B","-9,66 B","-10,71 B","-9,58 B","-9,34 B","-9,56 B","-9,43 B","-9,18 B","-9,24 B","-8,97 B","-8,96 B","-8,54 B","-8,26 B","-7,97 B","-8,62 B","-8,55 B","-8,09 B","-7,86 B","-7,63 B","-7,61 B","-7,20 B","-6,85 B","-6,84 B","-6,48 B","-5,70 B"
Lucro bruto,"2,29 B","1,85 B","2,14 B","2,03 B","1,95 B","2,02 B","2,58 B","2,19 B","2,42 B","1,63 B","2,79 B","3,28 B","3,63 B","2,93 B","4,74 B","5,90 B","5,18 B","5,19 B","6,42 B","5,41 B","3,80 B","2,66 B","1,70 B","718,07 M","855,46 M","676,54 M","985,17 M","1,27 B","1,27 B","1,30 B","1,86 B","1,64 B","1,34 B","1,04 B","974,48 M","936,71 M","653,89 M","521,29 M","1,05 B","1,08 B","812,68 M","786,54 M","1,21 B","1,18 B","1,11 B","1,28 B","1,28 B","1,26 B","1,32 B","1,35 B","1,53 B","1,34 B","908,22 M","1,02 B","1,20 B","1,42 B","1,11 B","1,20 B","1,34 B","1,40 B","1,16 B","948,76 M","1,35 B","1,81 B","1,41 B"
Despesas operacionais,"-459,91 M","-2,64 B","-483,34 M","-545,21 M","-560,65 M","-1,03 B","-455,15 M","-566,83 M","332,59 M","-741,52 M","-408,53 M","-393,44 M","663,76 M","-443,49 M","-275,34 M","-113,30 M","-167,47 M","-673,44 M","969,62 M","148,51 M","-239,02 M","-94,75 M","-317,09 M","57,72 M","-382,05 M","-109,21 M","-283,71 M","-347,42 M","-279,01 M","-671,48 M","-590,57 M","-464,53 M","-375,58 M","-2,21 B","-394,08 M","-456,62 M","552,92 M","-3,38 B","-453,09 M","-654,42 M","-611,65 M","-3,77 B","-2,48 B","-623,46 M","-626,61 M","-338,30 M","-607,05 M","-634,10 M","-661,57 M","-541,38 M","-648,74 M","-622,85 M","-567,18 M","-593,00 M","-629,95 M","-640,12 M","-536,30 M","-632,11 M","-561,67 M","-525,60 M","-510,16 M","-274,06 M","-569,00 M","-566,30 M","-465,83 M"
Despesas com vendas,"-185,56 M","-187,02 M","-196,01 M","-205,41 M","-193,91 M","-199,28 M","-194,08 M","-186,19 M","-183,01 M","-183,76 M","-184,06 M","-174,14 M","-174,23 M","-203,08 M","-183,82 M","-178,24 M","-167,89 M","-204,23 M","-187,78 M","-168,42 M","-155,39 M","-165,09 M","-130,90 M","-97,03 M","-119,92 M","-117,79 M","-115,78 M","-120,13 M","-122,64 M","-138,49 M","-144,17 M","-141,33 M","-150,44 M","-122,33 M","-130,89 M","-133,30 M","-138,45 M","-181,68 M","-139,15 M","-175,61 M","-214,33 M","-225,01 M","-195,59 M","-184,88 M","-179,52 M","-165,68 M","-172,21 M","-179,55 M","-173,58 M","-165,24 M","-177,39 M","-165,00 M","-151,23 M","-156,32 M","-150,34 M","-149,16 M","-131,55 M","-157,91 M","-150,47 M","-157,15 M","-138,22 M","-156,51 M","-135,89 M","-137,92 M","-121,22 M"
Despesas administrativas,"-336,31 M","-321,60 M","-316,38 M","-351,50 M","-348,96 M","-387,13 M","-354,53 M","-344,47 M","-317,93 M","-384,62 M","-354,80 M","-388,21 M","-363,81 M","-419,14 M","-371,25 M","-337,78 M","-326,42 M","-428,38 M","-339,69 M","-307,96 M","-314,10 M","-318,26 M","-239,31 M","-209,41 M","-250,46 M","-234,81 M","-248,81 M","-231,83 M","-238,67 M","-262,00 M","-277,07 M","-273,38 M","-270,00 M","-276,09 M","-265,67 M","-287,14 M","-301,05 M","-352,58 M","-344,17 M","-401,96 M","-429,55 M","-430,30 M","-434,56 M","-452,18 M","-480,44 M","-515,38 M","-488,80 M","-498,94 M","-533,80 M","-504,02 M","-494,69 M","-471,00 M","-483,31 M","-450,48 M","-480,08 M","-486,51 M","-467,23 M","-484,16 M","-440,85 M","-431,65 M","-441,27 M","-472,37 M","-475,83 M","-475,66 M","-382,06 M"
EBIT,"1,83 B","-790,92 M","1,66 B","1,49 B","1,39 B","993,36 M","2,12 B","1,62 B","2,75 B","891,25 M","2,38 B","2,88 B","4,29 B","2,48 B","4,46 B","5,79 B","5,01 B","4,51 B","7,39 B","5,56 B","3,56 B","2,57 B","1,38 B","775,79 M","473,41 M","567,33 M","701,46 M","925,14 M","990,00 M","632,08 M","1,27 B","1,18 B","963,52 M","-1,17 B","580,40 M","480,09 M","1,21 B","-2,86 B","593,37 M","428,89 M","201,03 M","-2,98 B","-1,27 B","557,95 M","485,24 M","946,43 M","668,81 M","629,57 M","654,18 M","808,27 M","885,64 M","719,47 M","341,04 M","425,45 M","567,75 M","784,75 M","570,25 M","569,12 M","777,36 M","877,96 M","654,57 M","674,70 M","780,68 M","1,25 B","941,48 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-320,50 M","-349,21 M","-222,78 M","-334,74 M","-307,89 M","-627,67 M","-322,79 M","-597,28 M","-475,75 M","-155,54 M","-477,75 M","-422,74 M","-50,09 M","-497,77 M","-530,18 M","-361,08 M","-503,39 M","-615,20 M","77,58 M","57,88 M","-270,72 M","-834,17 M","-303,34 M","-329,93 M","-231,27 M","-271,82 M","-562,40 M","-300,27 M","-374,73 M","-392,05 M","-441,51 M","-713,66 M","-342,56 M","-438,03 M","-254,08 M","-504,96 M","53,72 M","-464,08 M","-497,08 M","-22,69 M","38,60 M","-392,11 M","-1,38 B","-206,88 M","-898,57 M","-673,79 M","-574,90 M","-210,84 M","-101,47 M","-355,36 M","-206,16 M","-548,06 M","-192,20 M","-222,38 M","-133,94 M","-335,09 M","-97,34 M","-81,98 M","-58,31 M","-216,69 M","-171,34 M","-183,69 M","391,00 Mil","-255,22 M","-246,80 M"
Antes dos impostos,"1,51 B","-1,14 B","1,44 B","1,15 B","1,08 B","365,69 M","1,80 B","1,02 B","2,28 B","735,71 M","1,91 B","2,46 B","4,24 B","1,99 B","3,93 B","5,43 B","4,51 B","3,90 B","7,47 B","5,62 B","3,29 B","1,73 B","1,08 B","445,86 M","242,14 M","295,51 M","139,07 M","624,87 M","615,27 M","240,03 M","829,94 M","466,51 M","620,96 M","-1,61 B","326,32 M","-24,87 M","1,26 B","-3,32 B","96,29 M","406,19 M","239,62 M","-3,38 B","-2,66 B","351,07 M","-413,32 M","272,64 M","93,91 M","418,72 M","552,71 M","452,91 M","679,49 M","171,41 M","148,84 M","203,07 M","433,82 M","449,66 M","472,91 M","487,14 M","719,04 M","661,26 M","483,23 M","491,02 M","781,08 M","992,46 M","694,68 M"
