Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"21,70","22,94","5,63","3,78","2,38","1,52","7,62","5,58","5,01","-16,10","-1,72","-0,59","30,35","20,01","24,25","17,46","15,96","42,39"
P/VP,"0,66","0,57","0,43","0,58","0,54","0,52","0,57","0,24","0,43","0,39","0,28","0,11","0,53","0,91","1,11","1,47","1,83","1,89"
P/EBIT,"2,99","2,93","1,16","0,93","0,50","0,37","1,28","0,75","0,99","3,00","-1,44","-0,41","2,14","3,72","4,77","4,63","3,97","19,72"
P/EBIT *,"2,01","1,87","1,24","1,06","0,54","0,41","1,52","0,86","0,89","1,68","1,94","0,81","2,55","4,02","4,88","4,94","4,56","7,69"
PSR,"0,18","0,16","0,13","0,14","0,11","0,10","0,15","0,06","0,09","0,09","0,06","0,03","0,14","0,25","0,29","0,37","0,46","0,60"
P/Ativos,"0,15","0,13","0,10","0,13","0,12","0,10","0,10","0,04","0,08","0,07","0,04","0,02","0,10","0,17","0,21","0,26","0,33","0,35"
LPA,"0,43","0,36","1,17","1,93","2,83","3,82","0,66","0,32","0,60","-0,15","-1,04","-1,76","0,15","0,38","0,34","0,57","0,68","0,28"
VPA,"14,28","14,44","15,12","12,65","12,42","11,13","8,83","7,56","7,05","6,41","6,48","9,08","8,75","8,39","7,52","6,82","5,91","6,34"
EBIT por ação,"3,15","2,81","5,64","7,86","13,35","15,84","3,91","2,40","3,04","0,82","-1,24","-2,52","2,17","2,05","1,75","2,17","2,72","0,61"
EBIT por ação *,"4,68","4,40","5,30","6,88","12,49","14,11","3,31","2,09","3,39","1,47","0,92","1,29","1,82","1,90","1,71","2,03","2,37","1,56"
Ativo por ação,"61,22","61,71","65,63","56,78","56,43","56,32","48,88","40,79","38,75","38,00","41,33","53,00","47,74","44,16","40,28","37,87","32,54","34,49"
Receita líquida por ação,"52,23","52,73","50,59","52,02","62,20","59,13","33,07","29,92","34,84","27,86","28,42","32,89","32,11","30,09","28,67","26,72","23,69","20,03"
Margem bruta,"12,02%","11,41%","13,73%","16,44%","22,75%","26,57%","13,54%","10,60%","13,32%","9,76%","9,20%","9,85%","12,08%","12,88%","12,50%","14,43%","17,58%","15,96%"
Margem líquida,"2,41%","2,02%","6,88%","11,01%","13,91%","19,85%","5,44%","3,02%","4,85%","-1,10%","-8,41%","-11,54%","2,60%","3,81%","3,51%","5,59%","7,29%","3,00%"
Margem EBIT,"6,04%","5,34%","11,15%","15,11%","21,46%","26,78%","11,84%","8,01%","8,71%","2,96%","-4,37%","-7,66%","6,75%","6,82%","6,11%","8,10%","11,48%","3,03%"
Margem EBIT *,"8,96%","8,35%","10,48%","13,22%","20,08%","23,86%","10,02%","6,98%","9,72%","5,26%","3,24%","3,91%","5,65%","6,31%","5,98%","7,58%","9,98%","7,77%"
Margem EBITDA,"13,93%","10,61%","15,82%","19,65%","24,98%","30,00%","17,41%","13,24%","12,81%","8,63%","2,37%","-1,67%","11,98%","11,91%","10,92%","13,11%","17,51%","9,60%"
Margem EBITDA *,"16,85%","13,62%","15,14%","17,76%","23,60%","27,08%","15,59%","12,21%","13,82%","10,93%","9,97%","9,89%","10,89%","11,40%","10,79%","12,59%","16,01%","14,35%"
