Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"16,72 B","16,97 B","17,98 B","17,53 B","17,38 B","16,82 B","17,38 B","16,62 B","16,21 B","14,72 B","17,06 B","18,27 B","18,87 B","17,96 B","21,15 B","22,97 B","20,33 B","21,55 B","21,32 B","19,13 B","16,34 B","13,62 B","12,22 B","8,74 B","9,23 B","9,53 B","9,93 B","10,15 B","10,03 B","10,90 B","12,84 B","12,04 B","10,39 B","9,82 B","9,48 B","9,17 B","8,46 B","8,62 B","8,70 B","10,25 B","10,08 B","10,45 B","11,93 B","10,76 B","10,45 B","10,84 B","10,71 B","10,44 B","10,55 B","10,32 B","10,49 B","9,88 B","9,17 B","8,99 B","9,82 B","9,98 B","9,20 B","9,07 B","8,97 B","9,01 B","8,36 B","7,80 B","8,19 B","8,30 B","7,11 B"
Custos,"-14,42 B","-15,13 B","-15,84 B","-15,50 B","-15,43 B","-14,80 B","-14,80 B","-14,43 B","-13,79 B","-13,08 B","-14,27 B","-14,99 B","-15,24 B","-15,04 B","-16,41 B","-17,06 B","-15,15 B","-16,37 B","-14,90 B","-13,72 B","-12,55 B","-10,96 B","-10,53 B","-8,03 B","-8,37 B","-8,86 B","-8,95 B","-8,88 B","-8,76 B","-9,60 B","-10,97 B","-10,39 B","-9,05 B","-8,78 B","-8,50 B","-8,23 B","-7,80 B","-8,10 B","-7,65 B","-9,17 B","-9,27 B","-9,66 B","-10,71 B","-9,58 B","-9,34 B","-9,56 B","-9,43 B","-9,18 B","-9,24 B","-8,97 B","-8,96 B","-8,54 B","-8,26 B","-7,97 B","-8,62 B","-8,55 B","-8,09 B","-7,86 B","-7,63 B","-7,61 B","-7,20 B","-6,85 B","-6,84 B","-6,48 B","-5,70 B"
Lucro bruto,"2,29 B","1,85 B","2,14 B","2,03 B","1,95 B","2,02 B","2,58 B","2,19 B","2,42 B","1,63 B","2,79 B","3,28 B","3,63 B","2,93 B","4,74 B","5,90 B","5,18 B","5,19 B","6,42 B","5,41 B","3,80 B","2,66 B","1,70 B","718,07 M","855,46 M","676,54 M","985,17 M","1,27 B","1,27 B","1,30 B","1,86 B","1,64 B","1,34 B","1,04 B","974,48 M","936,71 M","653,89 M","521,29 M","1,05 B","1,08 B","812,68 M","786,54 M","1,21 B","1,18 B","1,11 B","1,28 B","1,28 B","1,26 B","1,32 B","1,35 B","1,53 B","1,34 B","908,22 M","1,02 B","1,20 B","1,42 B","1,11 B","1,20 B","1,34 B","1,40 B","1,16 B","948,76 M","1,35 B","1,81 B","1,41 B"
Despesas operacionais,"-462,84 M","-2,64 B","-484,96 M","-548,55 M","-564,40 M","-1,03 B","-459,27 M","-570,13 M","329,13 M","-745,14 M","-411,80 M","-425,55 M","659,85 M","-468,78 M","-276,69 M","-145,26 M","-171,17 M","-687,14 M","958,86 M","145,07 M","-249,58 M","-108,02 M","-305,35 M","55,27 M","-386,15 M","-110,45 M","-285,03 M","-349,06 M","-284,04 M","-674,30 M","-600,79 M","-470,88 M","-380,70 M","-2,21 B","-395,32 M","-456,96 M","549,23 M","-3,38 B","-453,58 M","-656,94 M","-614,29 M","-3,77 B","-2,59 B","-632,23 M","-631,01 M","-348,39 M","-612,33 M","-642,72 M","-666,58 M","-554,76 M","-659,95 M","-621,65 M","-580,71 M","-601,72 M","-636,16 M","-646,86 M","-542,37 M","-628,12 M","-565,90 M","-532,67 M","-513,38 M","-283,40 M","-577,35 M","-568,96 M","-484,90 M"
Despesas com vendas,"-185,56 M","-187,02 M","-196,01 M","-205,41 M","-193,91 M","-199,28 M","-194,08 M","-186,19 M","-183,01 M","-183,76 M","-184,06 M","-174,14 M","-174,23 M","-203,08 M","-183,82 M","-178,24 M","-167,89 M","-204,23 M","-187,78 M","-168,42 M","-155,39 M","-165,09 M","-130,90 M","-97,03 M","-119,92 M","-117,79 M","-115,78 M","-120,13 M","-122,64 M","-138,49 M","-144,17 M","-141,33 M","-150,44 M","-122,33 M","-130,89 M","-133,30 M","-138,45 M","-181,68 M","-139,15 M","-175,61 M","-214,33 M","-225,01 M","-195,59 M","-184,88 M","-179,52 M","-165,68 M","-172,21 M","-179,55 M","-173,58 M","-165,24 M","-177,39 M","-165,00 M","-151,23 M","-156,32 M","-150,34 M","-149,16 M","-131,55 M","-157,91 M","-150,47 M","-157,15 M","-138,22 M","-156,51 M","-135,89 M","-137,92 M","-121,22 M"
Despesas administrativas,"-339,76 M","-324,32 M","-319,12 M","-354,90 M","-352,71 M","-390,09 M","-357,75 M","-348,18 M","-321,37 M","-388,30 M","-358,33 M","-392,69 M","-367,72 M","-422,77 M","-374,20 M","-340,24 M","-330,15 M","-431,77 M","-343,97 M","-311,39 M","-317,95 M","-322,61 M","-241,99 M","-211,86 M","-253,01 M","-236,04 M","-250,50 M","-233,47 M","-241,00 M","-264,44 M","-278,85 M","-274,93 M","-272,70 M","-277,23 M","-266,47 M","-288,05 M","-303,50 M","-353,84 M","-345,01 M","-403,26 M","-431,10 M","-429,15 M","-436,88 M","-453,12 M","-483,73 M","-517,24 M","-489,41 M","-500,09 M","-536,34 M","-505,43 M","-496,10 M","-472,04 M","-485,35 M","-452,40 M","-481,39 M","-487,48 M","-469,26 M","-487,32 M","-446,64 M","-440,91 M","-444,33 M","-482,17 M","-479,25 M","-486,56 M","-385,96 M"
EBIT,"1,83 B","-793,40 M","1,66 B","1,48 B","1,38 B","991,36 M","2,12 B","1,62 B","2,75 B","887,63 M","2,38 B","2,85 B","4,29 B","2,46 B","4,46 B","5,76 B","5,01 B","4,50 B","7,38 B","5,56 B","3,55 B","2,55 B","1,39 B","773,34 M","469,31 M","566,09 M","700,14 M","923,50 M","984,98 M","629,26 M","1,26 B","1,17 B","958,40 M","-1,17 B","579,16 M","479,75 M","1,20 B","-2,86 B","592,88 M","426,37 M","198,39 M","-2,99 B","-1,38 B","549,18 M","480,85 M","936,34 M","663,53 M","620,95 M","649,17 M","794,90 M","874,44 M","720,67 M","327,51 M","416,72 M","561,55 M","778,01 M","564,18 M","573,12 M","773,13 M","870,88 M","651,35 M","665,36 M","772,33 M","1,25 B","922,41 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-319,14 M","-347,82 M","-221,09 M","-333,16 M","-306,03 M","-624,42 M","-313,62 M","-588,90 M","-468,99 M","-130,64 M","-447,27 M","-391,53 M","-18,73 M","-483,57 M","-511,50 M","-338,52 M","-484,18 M","-596,25 M","95,69 M","69,86 M","-262,61 M","-831,96 M","-303,12 M","-329,64 M","-230,37 M","-271,22 M","-562,69 M","-302,88 M","-383,35 M","-401,36 M","-449,24 M","-722,89 M","-359,81 M","-446,63 M","-266,57 M","-509,34 M","21,02 M","-533,68 M","-568,43 M","-82,03 M","-23,30 M","-453,53 M","-1,47 B","-266,88 M","-970,68 M","-738,13 M","-638,99 M","-264,78 M","-118,41 M","-413,59 M","-278,76 M","-564,45 M","-214,01 M","-247,94 M","-182,63 M","-367,90 M","-171,24 M","-123,94 M","-98,52 M","-256,13 M","-209,80 M","-188,88 M","-50,46 M","-304,76 M","-294,10 M"
Antes dos impostos,"1,51 B","-1,14 B","1,44 B","1,15 B","1,08 B","366,94 M","1,80 B","1,03 B","2,28 B","756,98 M","1,93 B","2,46 B","4,27 B","1,98 B","3,95 B","5,42 B","4,53 B","3,90 B","7,47 B","5,63 B","3,28 B","1,72 B","1,09 B","443,70 M","238,94 M","294,87 M","137,45 M","620,61 M","601,62 M","227,89 M","811,99 M","450,92 M","598,59 M","-1,62 B","312,59 M","-29,59 M","1,22 B","-3,40 B","24,45 M","344,34 M","175,08 M","-3,44 B","-2,85 B","282,30 M","-489,83 M","198,21 M","24,54 M","356,17 M","530,76 M","381,30 M","595,67 M","156,21 M","113,50 M","168,79 M","378,92 M","410,11 M","392,94 M","449,17 M","674,61 M","614,75 M","441,54 M","476,48 M","721,87 M","940,27 M","628,31 M"
