Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"46,70 M","54,61 M","46,61 M","44,17 M","44,80 M","53,89 M","43,01 M","42,10 M","41,49 M","44,50 M","39,02 M","39,96 M","37,23 M","41,10 M","35,91 M","39,19 M","37,90 M","40,59 M","36,07 M","26,54 M","27,38 M","30,32 M","18,64 M","14,47 M","28,34 M","32,21 M","31,39 M","25,23 M","50,39 M","55,53 M","51,60 M","46,90 M","61,60 M","67,97 M","62,44 M","61,82 M","60,05 M","66,42 M","59,63 M","65,61 M","67,57 M","74,15 M","62,71 M","66,38 M","59,60 M","65,75 M","63,02 M","61,30 M","61,02 M","64,97 M","52,50 M","52,46 M","49,65 M","56,45 M","46,02 M","41,05 M","37,81 M","40,43 M","33,77 M","32,54 M","30,60 M","33,03 M","28,90 M","27,69 M","26,54 M"
Custos,"-15,65 M","-17,98 M","-14,94 M","-13,77 M","-15,01 M","-17,84 M","-14,40 M","-13,96 M","-12,62 M","-14,11 M","-12,12 M","-12,16 M","-11,61 M","-13,87 M","-11,42 M","-11,13 M","-9,64 M","-10,88 M","-8,62 M","-7,74 M","-7,74 M","-10,43 M","-7,00 M","-4,51 M","-8,81 M","-10,94 M","-9,82 M","-8,02 M","-7,68 M","-7,93 M","-6,92 M","-6,71 M","-6,36 M","-7,13 M","-7,87 M","-6,77 M","-6,17 M","-8,11 M","-8,50 M","-10,10 M","-10,30 M","-10,64 M","-8,62 M","-9,57 M","-7,49 M","-9,01 M","-9,37 M","-9,31 M","-8,79 M","3,42 M","-10,87 M","-11,73 M","-11,67 M","-11,49 M","-8,57 M","-9,41 M","-7,97 M","-8,85 M","-6,66 M","-6,32 M","-6,25 M","-6,73 M","-6,44 M","-5,67 M","-6,19 M"
Lucro bruto,"31,05 M","36,63 M","31,67 M","30,41 M","29,79 M","36,05 M","28,61 M","28,14 M","28,87 M","30,39 M","26,90 M","27,80 M","25,61 M","27,24 M","24,50 M","28,06 M","28,27 M","29,71 M","27,45 M","18,79 M","19,64 M","19,90 M","11,63 M","9,96 M","19,54 M","21,27 M","21,58 M","17,21 M","42,70 M","47,60 M","44,68 M","40,19 M","55,24 M","60,84 M","54,57 M","55,05 M","53,89 M","58,31 M","51,13 M","55,51 M","57,26 M","63,51 M","54,09 M","56,81 M","52,12 M","56,75 M","53,65 M","51,99 M","52,23 M","68,38 M","41,63 M","40,73 M","37,98 M","44,96 M","37,45 M","31,64 M","29,84 M","31,59 M","27,11 M","26,22 M","24,36 M","26,31 M","22,46 M","22,02 M","20,34 M"
Despesas operacionais,"-371,67 M","-93,77 M","-13,44 M","-15,64 M","-17,26 M","-174,44 M","-5,24 M","-13,61 M","-28,15 M","-13,09 M","-15,35 M","-13,80 M","-16,58 M","-20,36 M","-11,58 M","-13,20 M","-14,93 M","-11,51 M","-10,88 M","-10,84 M","-12,02 M","35,80 M","-30,71 M","-38,90 M","-10,98 M","37,65 M","9,33 M","-14,26 M","-18,38 M","-16,72 M","-13,46 M","-55,00 M","-49,22 M","244,69 M","-10,92 M","-18,03 M","-11,63 M","33,88 M","-14,80 M","-30,60 M","-13,01 M","-96,01 M","-12,31 M","-62,23 M","-11,85 M","-63,27 M","-40,55 M","-10,94 M","-7,60 M","-32,16 M","-10,68 M","24,85 M","-9,62 M","-10,93 M","-9,55 M","-7,93 M","-7,49 M","-6,62 M","-5,44 M","-5,96 M","-5,76 M","-5,85 M","-5,04 M","-4,77 M","-3,57 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-14,25 M","-16,97 M","-13,96 M","-15,66 M","-17,66 M","-23,26 M","-13,76 M","-13,70 M","-16,52 M","-19,72 M","-13,00 M","-15,77 M","-17,14 M","-16,40 M","-11,30 M","-12,04 M","-14,53 M","-16,51 M","-11,19 M","-11,40 M","-13,34 M","-9,73 M","-12,03 M","-15,25 M","-11,51 M","-13,27 M","-16,22 M","-14,31 M","-14,84 M","-21,09 M","-13,26 M","-13,58 M","-12,27 M","-14,46 M","-11,86 M","-13,06 M","-12,13 M","-16,75 M","-16,02 M","-12,39 M","-13,70 M","-18,16 M","-13,33 M","-14,46 M","-13,63 M","-19,52 M","-16,36 M","-15,46 M","-13,54 M","-17,63 M","-13,26 M","-14,08 M","-11,02 M","-13,32 M","-10,65 M","-9,14 M","-9,73 M","-9,36 M","-8,75 M","-8,08 M","-6,89 M","-5,13 M","-6,19 M","-5,95 M","-5,41 M"
EBIT,"-340,62 M","-57,13 M","18,23 M","14,77 M","12,53 M","-138,39 M","23,36 M","14,53 M","720,00 Mil","17,30 M","11,55 M","14,00 M","9,04 M","6,88 M","12,92 M","14,87 M","13,33 M","18,20 M","16,57 M","7,95 M","7,62 M","55,70 M","-19,08 M","-28,94 M","8,55 M","58,92 M","30,91 M","2,94 M","24,33 M","30,88 M","31,22 M","-14,81 M","6,02 M","305,53 M","43,65 M","37,01 M","42,26 M","92,18 M","36,34 M","24,92 M","44,25 M","-32,50 M","41,78 M","-5,42 M","40,27 M","-6,52 M","13,10 M","41,05 M","44,64 M","36,23 M","30,95 M","65,58 M","28,36 M","34,03 M","27,90 M","23,71 M","22,35 M","24,97 M","21,67 M","20,26 M","18,59 M","20,46 M","17,41 M","17,25 M","16,77 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"61,37 M","-135,35 M","-16,32 M","60,51 M","79,11 M","-326,79 M","-23,61 M","-255,71 M","-99,94 M","8,58 M","-94,22 M","50,38 M","-11,41 M","9,24 M","-95,47 M","-189,97 M","155,95 M","-81,94 M","-168,97 M","125,88 M","-162,31 M","58,81 M","-76,97 M","-123,43 M","-288,08 M","-3,52 M","-85,70 M","-3,66 M","-51,35 M","-10,58 M","-85,91 M","-181,38 M","-66,39 M","-108,43 M","-10,88 M","-103,89 M","-32,20 M","-70,88 M","5,68 M","50,28 M","33,10 M","92,16 M","-389,41 M","-29,90 M","-227,16 M","-113,98 M","-144,22 M","-30,83 M","-19,09 M","-78,62 M","-42,39 M","-100,14 M","-30,32 M","-37,67 M","-32,63 M","-93,33 M","-12,51 M","-26,57 M","-65,72 M","-4,82 M","-11,15 M","-32,75 M","-12,05 M","-14,06 M","-14,26 M"
Antes dos impostos,"-279,25 M","-192,48 M","1,91 M","75,28 M","91,64 M","-465,18 M","-247,00 Mil","-241,19 M","-99,22 M","25,88 M","-82,67 M","64,38 M","-2,38 M","16,12 M","-82,56 M","-175,11 M","169,28 M","-63,74 M","-152,40 M","133,83 M","-154,69 M","114,51 M","-96,05 M","-152,37 M","-279,53 M","55,40 M","-54,79 M","-715,00 Mil","-27,02 M","20,30 M","-54,69 M","-196,19 M","-60,38 M","197,10 M","32,78 M","-66,88 M","10,06 M","21,30 M","42,02 M","75,20 M","77,35 M","59,66 M","-347,63 M","-35,32 M","-186,89 M","-120,50 M","-131,11 M","10,22 M","25,55 M","-42,40 M","-11,44 M","-34,56 M","-1,96 M","-3,64 M","-4,73 M","-69,62 M","9,84 M","-1,60 M","-44,05 M","15,44 M","7,45 M","-12,29 M","5,37 M","3,19 M","2,51 M"
