Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"28,29","3,81","6,82","4,43","4,06","34,32","-9,43","-2,04","-2,54","-12,31","8,92","6,71","8,69","12,03","30,15","23,89","59,74"
P/VP,"0,22","0,15","0,25","0,16","0,31","0,72","0,79","0,84","0,57","0,91","0,44","1,07","2,18","3,15","7,60","6,20","11,16"
P/EBIT,"2,55","0,90","1,52","1,54","2,72","17,13","75,51","-2,25","-3,15","-19,29","5,55","4,53","5,79","7,12","27,18","21,96","46,46"
P/EBIT *,"2,41","1,02","2,17","3,53","5,78","79,67","-20,67","-2,45","-3,98","-26,54","5,11","4,84","5,73","7,07","26,78","20,71","40,31"
PSR,"0,28","0,17","0,27","0,25","0,43","0,93","0,76","1,10","1,51","1,41","0,47","0,88","1,36","1,85","5,46","4,41","7,17"
P/Ativos,"0,05","0,03","0,06","0,04","0,09","0,21","0,21","0,17","0,16","0,24","0,12","0,28","0,54","0,78","2,45","2,07","4,04"
LPA,"0,08","0,42","0,38","0,38","0,75","0,20","-0,78","-2,55","-2,31","-0,77","0,51","1,57","2,27","2,03","1,59","1,36","0,59"
VPA,"10,80","10,85","10,53","10,25","9,96","9,45","9,34","6,15","10,20","10,43","10,32","9,85","9,05","7,75","6,32","5,24","3,15"
EBIT por ação,"0,93","1,79","1,70","1,10","1,13","0,40","0,10","-2,31","-1,86","-0,49","0,83","2,33","3,41","3,44","1,77","1,48","0,76"
EBIT por ação *,"0,99","1,58","1,19","0,48","0,53","0,09","-0,36","-2,12","-1,47","-0,36","0,90","2,18","3,44","3,46","1,79","1,57","0,87"
Ativo por ação,"49,07","50,04","45,43","38,83","32,67","32,53","34,58","30,91","37,12","40,04","37,98","37,74","36,64","31,27","19,65","15,68","8,69"
Receita líquida por ação,"8,43","9,49","9,53","6,77","7,08","7,28","9,64","4,73","3,87","6,74","9,77","11,97","14,53","13,25","8,80","7,38","4,90"
Margem bruta,"31,02%","33,55%","29,68%","27,90%","26,46%","19,73%","11,72%","-11,23%","-5,91%","10,71%","22,93%","32,05%","33,38%","35,60%","30,29%","31,71%","29,17%"
Margem líquida,"8,16%","12,83%","13,54%","11,89%","15,28%","6,36%","-6,88%","-53,81%","-59,66%","-11,44%","5,27%","13,16%","15,64%","15,35%","18,10%","18,44%","12,00%"
Margem EBIT,"11,07%","18,89%","17,82%","16,25%","15,90%","5,46%","1,01%","-48,78%","-48,02%","-7,30%","8,47%","19,49%","23,45%","25,94%","20,08%","20,06%","15,44%"
Margem EBIT *,"11,70%","16,61%","12,52%","7,06%","7,47%","1,17%","-3,68%","-44,71%","-38,07%","-5,31%","9,20%","18,24%","23,69%","26,13%","20,38%","21,28%","17,79%"
Margem EBITDA,"12,37%","21,31%","20,09%","18,84%","17,94%","6,82%","1,72%","-48,21%","-47,10%","-6,86%","8,86%","21,12%","24,31%","26,81%","21,76%","23,16%","17,43%"
Margem EBITDA *,"13,00%","19,03%","14,79%","9,65%","9,52%","2,53%","-2,97%","-44,14%","-37,15%","-4,87%","9,59%","19,87%","24,55%","27,00%","22,06%","24,37%","19,79%"
Margem operacional,"10,27%","15,13%","15,74%","13,95%","17,54%","8,68%","-5,10%","-63,35%","-68,90%","-10,50%","11,88%","21,73%","25,32%","27,86%","23,25%","23,32%","16,60%"
ROE,"3,30%","6,01%","7,29%","5,07%","7,99%","3,70%","-5,54%","-29,67%","-17,22%","-5,50%","3,68%","11,85%","17,75%","19,10%","23,47%","25,01%","18,30%"
ROA,"0,01","0,02","0,03","0,02","0,03","0,01","-0,02","-0,08","-0,06","-0,02","0,01","0,04","0,06","0,07","0,08","0,09","0,07"
ROIC,"2,01%","3,90%","3,95%","3,05%","3,82%","1,38%","0,33%","-7,95%","-5,44%","-1,30%","2,35%","6,60%","10,15%","12,36%","9,98%","11,38%","9,86%"
ROIC *,"2,13%","3,43%","2,77%","1,32%","1,80%","0,30%","-1,19%","-7,28%","-4,31%","-0,95%","2,55%","6,17%","10,25%","12,45%","10,12%","12,07%","11,36%"
Giro do ativo,"0,17","0,19","0,21","0,17","0,22","0,22","0,28","0,15","0,10","0,17","0,26","0,32","0,40","0,42","0,45","0,47","0,56"
EBIT *,132 mi,211 mi,159 mi,64 mi,70 mi,11 mi,-48 mi,-284 mi,-198 mi,-48 mi,120 mi,292 mi,460 mi,463 mi,240 mi,210 mi,116 mi
EBITDA,139 mi,270 mi,256 mi,170 mi,170 mi,66 mi,22 mi,-306 mi,-245 mi,-62 mi,115 mi,338 mi,472 mi,475 mi,256 mi,228 mi,114 mi
EBITDA *,146 mi,241 mi,188 mi,87 mi,90 mi,24 mi,-39 mi,-280 mi,-193 mi,-44 mi,125 mi,318 mi,477 mi,478 mi,259 mi,240 mi,129 mi
Liquidez corrente,"2,25","1,52","2,20","3,04","3,00","3,12","3,43","1,97","3,62","2,29","3,05","2,41","2,95","2,34","2,17","2,58","2,03"
Liquidez seca,"0,75","0,84","0,78","0,88","0,88","1,09","1,15","0,46","1,45","1,04","1,38","1,21","1,63","1,41","1,29","1,62","1,15"
Liquidez imediata,"0,08","0,12","0,09","0,15","0,15","0,11","0,19","0,04","0,15","0,05","0,11","0,19","0,30","0,27","0,23","0,50","0,24"
Dívida bruta,1.864 mi,1.991 mi,1.923 mi,1.815 mi,1.294 mi,1.429 mi,1.501 mi,1.819 mi,2.050 mi,2.171 mi,1.967 mi,1.453 mi,1.335 mi,1.158 mi,750 mi,551 mi,357 mi
Dívida líquida,1.614 mi,1.510 mi,1.645 mi,1.480 mi,918 mi,979 mi,920 mi,1.598 mi,1.699 mi,1.902 mi,1.632 mi,1.189 mi,997 mi,751 mi,539 mi,246 mi,263 mi
Capital de giro,1.669 mi,1.005 mi,1.745 mi,2.016 mi,1.804 mi,2.161 mi,2.472 mi,1.302 mi,2.645 mi,2.204 mi,2.562 mi,1.765 mi,2.138 mi,1.456 mi,954 mi,968 mi,408 mi
Endividamento geral,"135,69%","147,03%","156,62%","144,61%","141,01%","159,99%","188,62%","260,12%","176,72%","185,72%","171,78%","183,98%","186,22%","193,74%","189,37%","188,42%","170,53%"
