Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010
Ativo total,"6,19 B","6,49 B","6,90 B","6,88 B","6,26 B","7,27 B","6,51 B","6,58 B","6,13 B","6,25 B","6,41 B","6,23 B","6,18 B","6,36 B","6,70 B","6,40 B","5,91 B","6,52 B","6,17 B","5,90 B","6,29 B","5,71 B","5,81 B","5,70 B","5,48 B","4,72 B","4,82 B","4,58 B","4,73 B","4,77 B","4,65 B","4,57 B","4,05 B","3,69 B","3,69 B","3,70 B","3,69 B","3,56 B","2,79 B","2,72 B","2,87 B","2,91 B","2,89 B","2,38 B","2,16 B","1,45 B","1,33 B","1,22 B","1,18 B","731,64 M","502,37 M","353,34 M","225,99 M","230,48 M","232,18 M","162,85 M","168,03 M","99,41 M","102,34 M","12,30 M","14,19 M",0
Ativo circulante,"1,55 B","1,66 B","2,34 B","2,38 B","1,60 B","1,73 B","1,30 B","1,37 B","1,18 B","1,32 B","1,40 B","1,29 B","1,11 B","1,29 B","1,46 B","1,28 B","1,07 B","1,23 B","992,48 M","1,03 B","1,61 B","1,43 B","1,54 B","1,52 B","1,45 B","1,25 B","1,34 B","1,21 B","1,35 B","1,42 B","1,23 B","1,21 B","833,71 M","318,06 M","296,65 M","357,91 M","356,50 M","339,52 M","302,10 M","289,67 M","361,12 M","459,66 M","539,99 M","614,27 M","563,18 M","215,21 M","318,45 M","438,26 M","495,26 M","143,55 M","105,17 M","133,11 M","77,33 M","159,27 M","173,05 M","107,43 M","116,59 M","62,08 M","73,44 M","3,34 M","13,72 M",0
Caixa e eq. de caixa,"885,05 M","1,08 B","1,13 B","1,09 B","396,38 M","988,45 M","686,99 M","779,18 M","652,96 M","663,92 M","648,79 M","404,25 M","268,63 M","401,55 M","500,59 M","123,93 M","264,72 M","76,45 M","122,16 M","229,15 M","304,70 M","214,85 M","41,27 M","21,91 M","149,63 M","45,17 M","53,13 M","64,36 M","283,79 M","135,67 M","307,90 M","43,69 M","78,46 M","83,87 M","125,96 M","101,92 M","118,75 M","95,18 M","171,26 M","108,92 M","115,74 M","108,04 M","119,70 M","81,02 M","147,23 M","97,77 M","243,50 M","322,90 M","324,55 M","83,07 M","89,20 M","123,07 M","67,74 M","116,91 M","133,69 M","99,07 M","109,29 M","54,73 M","66,04 M","3,18 M","13,71 M",0
Aplicações financeiras,"33,55 M","29,28 M","883,00 Mil","874,00 Mil","836,00 Mil","64,83 M","71,40 M","51,59 M","64,43 M","150,00 M","148,32 M","321,90 M","273,59 M","333,01 M","335,69 M","470,14 M","272,34 M","582,56 M","262,28 M","305,25 M","848,99 M","816,04 M","1,11 B","1,09 B","931,71 M","913,97 M","916,25 M","823,74 M","707,22 M","953,04 M","674,13 M","934,47 M","587,41 M","105,22 M","63,24 M","96,55 M","130,28 M","167,20 M","48,33 M","59,46 M","128,09 M","203,89 M","322,60 M","363,87 M","243,84 M","47,08 M","23,09 M","57,08 M","110,61 M","43,91 M",0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"149,09 M","101,48 M","110,21 M","180,68 M","135,04 M","183,61 M","125,09 M","189,94 M","147,96 M","141,84 M","209,32 M","212,66 M","276,61 M","212,57 M","281,52 M","349,94 M","245,86 M","244,62 M","263,49 M","194,61 M","209,68 M","147,85 M","162,43 M","181,89 M","129,78 M","82,35 M","123,94 M","123,02 M","141,38 M","130,92 M","111,77 M","119,74 M","72,67 M","76,88 M","67,60 M","25,70 M","31,70 M","23,10 M","24,33 M","53,54 M","43,43 M","21,76 M","29,40 M","16,50 M","15,96 M","4,61 M","6,39 M","11,35 M","3,82 M",0,0,0,0,0,"265,00 Mil","368,00 Mil","223,00 Mil",0,0,0,0,0
Estoques,"136,70 M","144,32 M","150,61 M","156,55 M","155,95 M","162,44 M","139,02 M","123,58 M","99,40 M","93,83 M","109,70 M","102,63 M","100,83 M","106,44 M","122,38 M","128,89 M","104,95 M","94,35 M","88,13 M","79,83 M","65,96 M","57,05 M","67,18 M","62,18 M","57,27 M","38,36 M","39,86 M","33,27 M","35,08 M","30,87 M","28,92 M","28,69 M","9,73 M","9,26 M","7,17 M","19,31 M","26,58 M","11,19 M","9,03 M","9,03 M","12,06 M","11,27 M","4,81 M","4,22 M","3,83 M","9,91 M","2,42 M","1,82 M","652,00 Mil",0,0,0,"544,00 Mil",0,"102,00 Mil","46,00 Mil","97,00 Mil",0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"4,64 B","4,83 B","4,56 B","4,50 B","4,67 B","5,54 B","5,20 B","5,21 B","4,95 B","4,93 B","5,01 B","4,93 B","5,07 B","5,07 B","5,24 B","5,12 B","4,84 B","5,29 B","5,18 B","4,88 B","4,69 B","4,29 B","4,27 B","4,17 B","4,03 B","3,47 B","3,48 B","3,37 B","3,38 B","3,35 B","3,42 B","3,36 B","3,21 B","3,37 B","3,39 B","3,35 B","3,33 B","3,22 B","2,48 B","2,43 B","2,51 B","2,45 B","2,35 B","1,77 B","1,60 B","1,24 B","1,01 B","782,91 M","679,75 M","588,09 M","397,21 M","220,23 M","148,66 M","71,21 M","59,13 M","55,42 M","51,44 M","37,33 M","28,90 M","8,96 M","470,00 Mil",0
Investimentos,"131,80 M","135,97 M","134,08 M","129,32 M","123,09 M","135,15 M","128,25 M","125,28 M","103,74 M","102,03 M","107,03 M","103,73 M","105,24 M","109,59 M","118,60 M","111,19 M","89,90 M","103,70 M","88,28 M","85,14 M","77,86 M","74,48 M","88,75 M","88,47 M","87,83 M","70,95 M","62,51 M","57,03 M","56,93 M","86,12 M","68,95 M","68,92 M","60,37 M","64,48 M","63,97 M","58,44 M","57,14 M","64,94 M","71,00 M","72,25 M","82,96 M","95,44 M","104,95 M","77,88 M","78,84 M","67,95 M","62,05 M","56,33 M","28,57 M","30,42 M","11,19 M","11,38 M","9,64 M","9,91 M",0,0,0,0,0,0,0,0
Imobilizado,"3,85 B","3,99 B","3,91 B","4,02 B","4,07 B","4,63 B","4,37 B","4,37 B","4,17 B","4,15 B","4,18 B","4,13 B","4,26 B","4,28 B","4,40 B","4,30 B","4,10 B","4,46 B","4,34 B","4,09 B","3,84 B","3,51 B","3,44 B","3,39 B","3,29 B","2,96 B","3,02 B","2,93 B","2,97 B","2,94 B","3,02 B","2,97 B","2,82 B","2,83 B","2,81 B","2,84 B","2,77 B","2,74 B","2,29 B","2,24 B","2,29 B","2,20 B","2,10 B","1,57 B","1,40 B","1,09 B","871,25 M","669,42 M","595,41 M","476,85 M","360,08 M","192,01 M","125,80 M","47,20 M","47,13 M","43,52 M","37,04 M","28,43 M","20,33 M","405,00 Mil","409,00 Mil",0
Intangível,"55,86 M","61,01 M","65,99 M","62,20 M","139,06 M","229,75 M","305,24 M","309,00 M","319,43 M","331,40 M","332,00 M","342,12 M","341,76 M","342,35 M","343,24 M","350,45 M","346,88 M","347,44 M","324,00 M","323,26 M","322,08 M","322,92 M","339,76 M","340,38 M","340,63 M","228,13 M","254,56 M","256,25 M","260,10 M","240,57 M","261,76 M","264,33 M","264,01 M","267,32 M","368,04 M","374,83 M","379,49 M","276,65 M","43,61 M","44,65 M","46,09 M","47,48 M","44,02 M","36,92 M","36,23 M","31,92 M","32,40 M","26,01 M","24,37 M","22,18 M","18,41 M","15,80 M","12,32 M","11,84 M","11,68 M","11,69 M","14,10 M","8,88 M","8,56 M","8,55 M","61,00 Mil",0
