Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"1,32 M","1,34 M","1,10 M","955,00 Mil","1,21 M","1,11 M","915,00 Mil","883,00 Mil","1,25 M","832,00 Mil","963,00 Mil","729,00 Mil","780,00 Mil","862,00 Mil","847,00 Mil","503,00 Mil","893,00 Mil","869,00 Mil","540,00 Mil",0,"598,00 Mil","511,00 Mil","190,00 Mil",0,"271,00 Mil","310,00 Mil","268,00 Mil","321,00 Mil","200,00 Mil","291,00 Mil","113,00 Mil","417,00 Mil","680,00 Mil","559,00 Mil","749,00 Mil","582,00 Mil","657,00 Mil","630,00 Mil","704,00 Mil","602,00 Mil","776,00 Mil","500,00 Mil","271,00 Mil","392,00 Mil","595,00 Mil","942,00 Mil","998,00 Mil","965,00 Mil","763,00 Mil","923,00 Mil","1,04 M","592,00 Mil","952,00 Mil","1,19 M","975,00 Mil","937,00 Mil","803,00 Mil","822,00 Mil","815,00 Mil","870,00 Mil","597,00 Mil","511,00 Mil","652,00 Mil","846,00 Mil","1,30 M"
Custos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-112,00 Mil",0
Lucro bruto,"1,32 M","1,34 M","1,10 M","955,00 Mil","1,21 M","1,11 M","915,00 Mil","883,00 Mil","1,25 M","832,00 Mil","963,00 Mil","729,00 Mil","780,00 Mil","862,00 Mil","847,00 Mil","503,00 Mil","893,00 Mil","869,00 Mil","540,00 Mil",0,"598,00 Mil","511,00 Mil","190,00 Mil",0,"271,00 Mil","310,00 Mil","268,00 Mil","321,00 Mil","200,00 Mil","291,00 Mil","113,00 Mil","417,00 Mil","680,00 Mil","559,00 Mil","749,00 Mil","582,00 Mil","657,00 Mil","630,00 Mil","704,00 Mil","602,00 Mil","776,00 Mil","500,00 Mil","271,00 Mil","392,00 Mil","595,00 Mil","942,00 Mil","998,00 Mil","965,00 Mil","763,00 Mil","923,00 Mil","1,04 M","592,00 Mil","952,00 Mil","1,19 M","975,00 Mil","937,00 Mil","803,00 Mil","822,00 Mil","815,00 Mil","870,00 Mil","597,00 Mil","511,00 Mil","652,00 Mil","734,00 Mil","1,30 M"
Despesas operacionais,"-252,00 Mil","-115,00 Mil","-115,00 Mil","-102,00 Mil","-245,00 Mil","-100,00 Mil","-106,00 Mil","-178,00 Mil","-61,00 Mil","-517,00 Mil","-873,00 Mil","-151,00 Mil","-52,00 Mil","-51,00 Mil","-89,00 Mil","-62,00 Mil","-31,00 Mil","-49,00 Mil","-122,00 Mil",0,"-1,40 M","-23,00 Mil","-121,00 Mil",0,"-94,00 Mil","-16,00 Mil","-49,00 Mil","-92,00 Mil","-202,00 Mil","2,79 M","2,18 M","242,00 Mil","3,56 M","-9,19 M","-171,00 Mil","-210,00 Mil","71,00 Mil","-119,00 Mil","-60,00 Mil","-528,00 Mil","3,15 M","-1,76 M","-1,62 M","-2,17 M","-758,00 Mil","-1,03 M","-601,00 Mil","-1,34 M","-2,82 M","198,00 Mil","-402,00 Mil","-88,00 Mil","329,00 Mil","98,00 Mil","19,00 Mil","327,00 Mil","-174,00 Mil","-2,15 M","-997,00 Mil","-1,24 M","-1,02 M","-3,92 M","3,75 M","-108,00 Mil","-298,00 Mil"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-18,00 Mil",0,0,0
Despesas administrativas,"-126,00 Mil","-115,00 Mil","-115,00 Mil","-102,00 Mil","19,00 Mil","-100,00 Mil","-106,00 Mil","-178,00 Mil","-61,00 Mil","-518,00 Mil","-874,00 Mil","-151,00 Mil","-52,00 Mil","-51,00 Mil","-89,00 Mil","-62,00 Mil","-31,00 Mil","-49,00 Mil","-122,00 Mil",--,"-1,40 M","-21,00 Mil","-121,00 Mil",--,--,"-49,00 Mil","-49,00 Mil","-102,00 Mil","-160,00 Mil","-52,00 Mil","-87,00 Mil","-171,00 Mil","-142,00 Mil","-9,15 M","-184,00 Mil","17,00 Mil","-162,00 Mil","-112,00 Mil","-120,00 Mil","-540,00 Mil","-94,00 Mil","-336,00 Mil","-193,00 Mil","-113,00 Mil","-132,00 Mil","-1,59 M","-594,00 Mil","-434,00 Mil","-269,00 Mil","90,00 Mil","-149,00 Mil","-200,00 Mil","-39,00 Mil","-24,00 Mil","-10,00 Mil","-142,00 Mil","-50,00 Mil","-153,00 Mil","-73,00 Mil","-136,00 Mil","-261,00 Mil","-171,00 Mil","-61,00 Mil","-83,00 Mil","-15,00 Mil"
EBIT,"1,07 M","1,23 M","986,00 Mil","853,00 Mil","967,00 Mil","1,01 M","809,00 Mil","705,00 Mil","1,19 M","315,00 Mil","90,00 Mil","578,00 Mil","728,00 Mil","811,00 Mil","758,00 Mil","441,00 Mil","862,00 Mil","820,00 Mil","418,00 Mil",0,"-802,00 Mil","488,00 Mil","69,00 Mil",0,"177,00 Mil","294,00 Mil","219,00 Mil","229,00 Mil","-2,00 Mil","3,09 M","2,29 M","659,00 Mil","4,24 M","-8,63 M","578,00 Mil","372,00 Mil","728,00 Mil","511,00 Mil","644,00 Mil","74,00 Mil","3,92 M","-1,26 M","-1,35 M","-1,78 M","-163,00 Mil","-90,00 Mil","397,00 Mil","-375,00 Mil","-2,05 M","1,12 M","643,00 Mil","504,00 Mil","1,28 M","1,29 M","994,00 Mil","1,26 M","629,00 Mil","-1,33 M","-182,00 Mil","-374,00 Mil","-425,00 Mil","-3,41 M","4,41 M","626,00 Mil","1,01 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-846,00 Mil","-842,00 Mil","-505,00 Mil","-671,00 Mil","-500,00 Mil","-593,00 Mil","-647,00 Mil","-689,00 Mil","-743,00 Mil","-931,00 Mil","-829,00 Mil","-413,00 Mil","99,88 M","-2,36 M","-1,95 M","-1,73 M","1,96 M","-1,32 M","-1,52 M",0,"-171,60 M","-205,00 Mil","-124,00 Mil",0,"-52,00 Mil","-190,00 Mil","-177,00 Mil","-111,00 Mil","-47,00 Mil","-1,91 M","-5,64 M","-652,00 Mil","-434,00 Mil","-10,57 M","-424,00 Mil","-360,00 Mil","-485,00 Mil","-490,00 Mil","-614,00 Mil","-397,00 Mil","-453,00 Mil","-502,00 Mil","-595,00 Mil","-439,00 Mil","-647,00 Mil","-23,45 M","-525,00 Mil","-513,00 Mil","-516,00 Mil","-11,78 M","-8,30 M","-9,41 M","-12,81 M","-10,43 M","-8,47 M","-9,03 M","-8,25 M","-9,88 M","-7,29 M","-8,71 M","-10,86 M","-10,05 M","13,36 M","-6,67 M","-9,59 M"
Antes dos impostos,"223,00 Mil","388,00 Mil","481,00 Mil","182,00 Mil","467,00 Mil","415,00 Mil","162,00 Mil","16,00 Mil","450,00 Mil","-616,00 Mil","-739,00 Mil","165,00 Mil","100,61 M","-1,55 M","-1,19 M","-1,28 M","2,82 M","-496,00 Mil","-1,10 M",0,"-172,40 M","283,00 Mil","-55,00 Mil",0,"125,00 Mil","104,00 Mil","42,00 Mil","118,00 Mil","-49,00 Mil","1,17 M","-3,34 M","7,00 Mil","3,80 M","-19,20 M","154,00 Mil","12,00 Mil","243,00 Mil","21,00 Mil","30,00 Mil","-323,00 Mil","3,47 M","-1,76 M","-1,95 M","-2,21 M","-810,00 Mil","-23,54 M","-128,00 Mil","-888,00 Mil","-2,57 M","-10,65 M","-7,65 M","-8,91 M","-11,53 M","-9,14 M","-7,48 M","-7,76 M","-7,62 M","-11,22 M","-7,48 M","-9,08 M","-11,28 M","-13,46 M","17,76 M","-6,04 M","-8,59 M"
Imposto,"-34,00 Mil","-109,00 Mil","-88,00 Mil","-100,00 Mil","-118,00 Mil","-93,00 Mil","-33,00 Mil","-93,00 Mil","-21,00 Mil","31,00 Mil","128,00 Mil","-32,00 Mil","107,07 M",0,0,0,0,0,0,0,"25,00 Mil","-12,00 Mil","12,00 Mil",0,"-24,00 Mil","-16,00 Mil","3,26 M","-19,00 Mil",0,"-190,00 Mil","156,00 Mil","-240,00 Mil","-24,00 Mil","-33,68 M","-25,00 Mil","-9,00 Mil","-5,00 Mil","-128,00 Mil",0,0,"-24,00 Mil",0,0,0,0,"107,24 M",0,0,0,"4,40 M","159,00 Mil","159,00 Mil","159,00 Mil","159,00 Mil","159,00 Mil","159,00 Mil","159,00 Mil","159,00 Mil","159,00 Mil","159,00 Mil","265,00 Mil","53,00 Mil","-6,31 M",0,0
Op. continuadas,"189,00 Mil","279,00 Mil","393,00 Mil","82,00 Mil","349,00 Mil","322,00 Mil","129,00 Mil","-77,00 Mil","429,00 Mil","-585,00 Mil","-611,00 Mil","133,00 Mil","207,68 M","-1,55 M","-1,19 M","-1,28 M","2,82 M","-496,00 Mil","-1,10 M",0,"-172,38 M","271,00 Mil","-43,00 Mil",0,"101,00 Mil","88,00 Mil","3,30 M","99,00 Mil","-49,00 Mil","984,00 Mil","-3,19 M","-233,00 Mil","3,78 M","-52,88 M","129,00 Mil","3,00 Mil","238,00 Mil","-107,00 Mil","30,00 Mil","-323,00 Mil","3,44 M","-1,76 M","-1,95 M","-2,21 M","-810,00 Mil","83,70 M","-128,00 Mil","-888,00 Mil","-2,57 M","-6,25 M","-7,50 M","-8,75 M","-11,37 M","-8,98 M","-7,32 M","-7,60 M","-7,46 M","-11,06 M","-7,32 M","-8,93 M","-11,02 M","-13,41 M","11,45 M","-6,04 M","-8,59 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"189,00 Mil","279,00 Mil","393,00 Mil","82,00 Mil","349,00 Mil","322,00 Mil","129,00 Mil","-77,00 Mil","429,00 Mil","-585,00 Mil","-611,00 Mil","133,00 Mil","207,68 M","-1,55 M","-1,19 M","-1,28 M","2,82 M","-496,00 Mil","-1,10 M",0,"-172,38 M","271,00 Mil","-43,00 Mil",0,"101,00 Mil","88,00 Mil","3,30 M","99,00 Mil","-49,00 Mil","984,00 Mil","-3,19 M","-233,00 Mil","3,78 M","-52,88 M","129,00 Mil","3,00 Mil","238,00 Mil","-107,00 Mil","30,00 Mil","-323,00 Mil","3,44 M","-1,76 M","-1,95 M","-2,21 M","-810,00 Mil","83,70 M","-128,00 Mil","-888,00 Mil","-2,57 M","-6,25 M","-7,50 M","-8,75 M","-11,37 M","-8,98 M","-7,32 M","-7,60 M","-7,46 M","-11,06 M","-7,32 M","-8,93 M","-11,02 M","-13,41 M","11,45 M","-6,04 M","-8,59 M"
Dos controladores,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dos não controladores,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
