Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"550,31 M","528,93 M","527,53 M","519,67 M","522,19 M","498,88 M","498,01 M","516,74 M","519,85 M","512,09 M","503,15 M","508,12 M","514,30 M","498,06 M","507,13 M","479,93 M","465,77 M","455,38 M","474,11 M","462,10 M","465,43 M","461,97 M","466,93 M","469,56 M","487,31 M","477,63 M","476,27 M","480,74 M","487,60 M","482,49 M","521,59 M","521,33 M","526,00 M","540,45 M","542,78 M","570,20 M","580,22 M","576,96 M","579,52 M","578,73 M","577,91 M","572,73 M","565,35 M","556,31 M","553,06 M","549,65 M","534,99 M","535,04 M","539,59 M","537,96 M","506,17 M","505,19 M","512,24 M","517,90 M","517,70 M","524,43 M","525,22 M","520,34 M","575,89 M","572,85 M","559,62 M","556,39 M","547,53 M"
Ativo circulante,"133,32 M","110,34 M","106,28 M","98,84 M","102,36 M","78,31 M","68,79 M","71,48 M","78,03 M","62,91 M","42,70 M","45,97 M","53,77 M","39,64 M","40,67 M","38,86 M","35,51 M","28,52 M","25,47 M","23,10 M","25,07 M","21,10 M","27,26 M","26,09 M","31,65 M","22,36 M","21,36 M","23,09 M","27,54 M","21,31 M","26,75 M","26,75 M","32,49 M","38,55 M","54,59 M","65,50 M","67,91 M","64,76 M","67,50 M","66,32 M","67,74 M","66,28 M","63,03 M","56,88 M","65,78 M","62,61 M","50,97 M","49,12 M","55,10 M","54,47 M","51,41 M","53,72 M","61,94 M","56,35 M","57,49 M","56,91 M","59,31 M","54,34 M","89,47 M","70,04 M","58,35 M","55,27 M","56,97 M"
Caixa e eq. de caixa,"53,99 M","45,09 M","37,47 M","31,56 M","33,12 M","14,45 M","11,44 M","13,55 M","18,88 M","6,51 M","11,99 M","11,24 M","14,60 M","9,86 M","7,57 M","6,24 M","7,42 M","7,08 M","4,00 M","1,71 M","1,51 M","1,71 M","4,46 M","2,83 M","5,00 M","2,84 M","1,10 M","300,00 Mil","711,00 Mil","674,00 Mil","339,00 Mil","565,00 Mil","1,86 M","213,00 Mil","252,00 Mil","337,00 Mil","210,00 Mil","140,00 Mil","288,00 Mil","388,00 Mil","779,00 Mil","4,49 M","4,55 M","253,00 Mil","1,34 M","4,25 M","3,58 M","2,86 M","4,43 M","3,85 M","3,27 M","9,26 M","13,48 M","2,77 M","1,64 M","2,69 M","3,49 M","2,50 M","7,20 M","12,54 M","2,25 M","3,57 M","6,51 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"58,55 M","55,19 M","44,99 M","46,36 M","49,43 M","47,77 M","41,82 M","43,49 M","42,70 M","42,59 M","15,31 M","15,56 M","17,89 M","18,24 M","16,79 M","14,40 M","12,62 M","12,47 M","10,65 M","8,63 M","9,06 M","10,65 M","12,12 M","11,18 M","13,07 M","11,59 M","10,77 M","11,77 M","14,78 M","13,50 M","13,44 M","11,05 M","13,21 M","12,68 M","27,36 M","26,53 M","27,30 M","28,68 M","29,66 M","29,20 M","32,66 M","32,27 M","32,39 M","32,56 M","42,56 M","39,56 M","31,48 M","31,90 M","36,46 M","35,23 M","33,53 M","33,37 M","33,83 M","46,01 M","47,56 M","45,09 M","45,71 M","45,31 M","74,60 M","49,48 M","47,29 M","45,84 M","45,24 M"
Estoques,"4,20 M","5,11 M","5,80 M","5,19 M","4,52 M","4,71 M","3,93 M","3,20 M","3,21 M","3,30 M","2,67 M","4,66 M","4,66 M","1,18 M","3,56 M","3,16 M","2,30 M","2,42 M","2,11 M","2,00 M","1,97 M","2,03 M","2,01 M","2,06 M","2,17 M","2,06 M","1,85 M","1,72 M","1,68 M","1,75 M","2,51 M","2,49 M","2,53 M","2,56 M","2,65 M","2,57 M","2,56 M","2,66 M","2,84 M","2,66 M","2,62 M","3,15 M","2,74 M","2,98 M","2,87 M","2,83 M","2,78 M","2,93 M","2,48 M","2,72 M","2,50 M","2,46 M","2,30 M","2,33 M","2,18 M","2,35 M","2,24 M","2,60 M","2,13 M","2,06 M","2,01 M","2,28 M","1,70 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"416,99 M","418,59 M","421,25 M","420,83 M","419,83 M","420,57 M","429,23 M","445,26 M","441,82 M","449,18 M","460,45 M","462,15 M","460,53 M","458,42 M","466,46 M","441,06 M","430,25 M","426,86 M","448,64 M","439,00 M","440,35 M","440,87 M","439,67 M","443,47 M","455,66 M","455,27 M","454,91 M","457,65 M","460,06 M","461,18 M","494,83 M","494,57 M","493,51 M","501,89 M","488,20 M","504,69 M","512,31 M","512,20 M","512,02 M","512,41 M","510,18 M","506,45 M","502,33 M","499,44 M","487,28 M","487,04 M","484,02 M","485,92 M","484,50 M","483,49 M","454,76 M","451,47 M","450,30 M","461,55 M","460,21 M","467,53 M","465,91 M","466,00 M","486,41 M","502,81 M","501,27 M","501,12 M","490,56 M"
Investimentos,"378,00 Mil","413,00 Mil","465,00 Mil","490,00 Mil","495,00 Mil","270,00 Mil","270,00 Mil","271,00 Mil","271,00 Mil","270,00 Mil","270,00 Mil","270,00 Mil","270,00 Mil","270,00 Mil","6,60 M","6,60 M","7,09 M","7,09 M","43,76 M","44,53 M","8,34 M","8,34 M","8,34 M","8,34 M","270,00 Mil","270,00 Mil","277,00 Mil","298,00 Mil","312,00 Mil","372,00 Mil","391,00 Mil","410,00 Mil","429,00 Mil","508,00 Mil","539,00 Mil","556,00 Mil","582,00 Mil","694,00 Mil","438,00 Mil","463,00 Mil","486,00 Mil","611,00 Mil","634,00 Mil","660,00 Mil","703,00 Mil","943,00 Mil","952,00 Mil","964,00 Mil","968,00 Mil","975,00 Mil","989,00 Mil","1,01 M","1,01 M","1,04 M","1,04 M","1,15 M","1,16 M","1,09 M","1,25 M","1,28 M","1,04 M","1,16 M","1,32 M"
Imobilizado,"248,45 M","245,98 M","242,96 M","238,16 M","233,84 M","231,07 M","224,78 M","218,10 M","218,45 M","218,96 M","289,12 M","289,83 M","292,10 M","292,81 M","293,29 M","293,46 M","294,44 M","295,89 M","300,02 M","302,13 M","341,69 M","344,46 M","347,32 M","350,19 M","371,13 M","372,35 M","374,46 M","376,97 M","379,56 M","382,18 M","405,32 M","407,80 M","409,71 M","411,14 M","413,01 M","415,43 M","417,50 M","419,21 M","420,24 M","421,57 M","421,38 M","421,76 M","421,09 M","420,80 M","420,65 M","420,69 M","417,09 M","418,81 M","416,14 M","415,97 M","413,16 M","412,13 M","412,76 M","413,43 M","414,20 M","414,88 M","415,42 M","415,32 M","417,48 M","418,80 M","419,61 M","421,27 M","419,29 M"
