Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"26,00 B","25,16 B","25,15 B","24,24 B","24,33 B","24,56 B","25,87 B","25,37 B","25,27 B","24,51 B","24,27 B","23,81 B","22,52 B","23,76 B","22,55 B","20,92 B","20,37 B","19,82 B","20,05 B","18,55 B","17,97 B","17,25 B","17,07 B","15,64 B","12,10 B","11,92 B","10,84 B","10,53 B","10,33 B","10,56 B","10,25 B","9,88 B","9,68 B","10,13 B","9,93 B","10,48 B","10,64 B","11,38 B","12,45 B","13,03 B","13,32 B","15,82 B","14,87 B","14,26 B","14,28 B","13,89 B","13,59 B","13,11 B","12,84 B","12,50 B","13,30 B","12,82 B","12,66 B","12,66 B","12,91 B","13,22 B","13,05 B","13,33 B","13,59 B","13,73 B","13,03 B","9,99 B","6,09 B"
Ativo circulante,"6,71 B","6,05 B","6,29 B","5,61 B","5,89 B","6,68 B","8,79 B","8,59 B","8,67 B","8,08 B","8,10 B","8,00 B","6,91 B","8,53 B","7,45 B","6,41 B","6,07 B","6,49 B","6,84 B","5,64 B","5,16 B","7,90 B","8,04 B","8,08 B","4,72 B","4,74 B","3,81 B","3,61 B","3,46 B","4,26 B","4,05 B","3,70 B","3,45 B","3,93 B","3,81 B","4,37 B","4,55 B","5,21 B","6,68 B","7,26 B","7,52 B","9,77 B","5,49 B","5,08 B","5,05 B","4,83 B","4,76 B","4,39 B","4,05 B","3,77 B","4,70 B","4,23 B","4,10 B","4,01 B","4,29 B","4,56 B","4,46 B","4,72 B","4,74 B","5,13 B","4,26 B","4,49 B","1,80 B"
Caixa e eq. de caixa,"2,31 B","1,65 B","1,86 B","1,20 B","1,74 B","1,74 B","3,21 B","2,84 B","3,17 B","2,58 B","2,22 B","2,14 B","1,09 B","2,86 B","2,22 B","1,50 B","1,60 B","2,29 B","3,14 B","2,05 B","1,70 B","4,74 B","4,93 B","5,18 B","2,25 B","2,25 B","1,39 B","1,23 B","8,65 M","1,65 B","1,53 B","1,18 B","972,19 M","9,72 M","1,40 B","2,12 B","2,17 B","1,35 B","1,16 B","1,84 B","2,05 B","2,76 B","1,62 B","1,62 B","1,67 B","1,83 B","1,82 B","1,72 B","1,46 B","1,16 B","2,17 B","1,73 B","1,83 B","1,74 B","2,16 B","2,30 B","2,28 B","2,60 B","2,53 B","2,76 B","1,84 B","2,41 B","499,28 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,18 B",0,0,0,0,"1,51 B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"1,65 B","1,69 B","1,59 B","1,59 B","1,24 B","2,25 B","2,99 B","3,11 B","2,73 B","2,64 B","2,90 B","2,69 B","2,32 B","2,53 B","2,24 B","2,16 B","1,89 B","2,04 B","1,81 B","1,80 B","1,55 B","1,56 B","1,48 B","1,41 B","1,19 B","1,31 B","1,23 B","1,13 B","979,42 M","1,46 B","1,36 B","1,28 B","1,29 B","1,22 B","1,46 B","1,30 B","1,37 B","1,02 B","1,20 B","1,15 B","1,08 B","980,08 M","1,79 B","1,71 B","1,60 B","1,55 B","1,44 B","1,32 B","1,23 B","1,23 B","1,18 B","1,14 B","1,04 B","1,21 B","1,08 B","1,16 B","1,06 B","940,58 M","935,67 M","1,02 B","1,14 B","1,13 B","725,01 M"
Estoques,"2,07 B","2,08 B","2,13 B","2,11 B","2,15 B","1,94 B","1,93 B","1,93 B","2,10 B","2,19 B","2,21 B","2,30 B","2,39 B","2,20 B","2,01 B","1,70 B","1,53 B","1,30 B","1,23 B","1,15 B","1,10 B","920,80 M","891,74 M","802,39 M","697,11 M","664,64 M","666,86 M","655,33 M","664,07 M","596,68 M","569,61 M","529,10 M","501,08 M","454,78 M","349,50 M","340,13 M","333,15 M","431,32 M","396,60 M","390,52 M","358,52 M","369,68 M","941,11 M","827,37 M","743,23 M","661,67 M","663,83 M","563,26 M","577,10 M","591,27 M","626,67 M","626,15 M","553,23 M","438,78 M","458,93 M","512,81 M","508,71 M","540,68 M","660,35 M","748,48 M","685,01 M","465,70 M","323,58 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"19,29 B","19,11 B","18,87 B","18,63 B","18,44 B","17,88 B","17,09 B","16,78 B","16,61 B","16,43 B","16,17 B","15,81 B","15,61 B","15,23 B","15,10 B","14,51 B","14,30 B","13,33 B","13,21 B","12,92 B","12,80 B","9,35 B","9,03 B","7,56 B","7,38 B","7,18 B","7,03 B","6,92 B","6,87 B","6,30 B","6,20 B","6,19 B","6,23 B","6,20 B","6,12 B","6,11 B","6,09 B","6,17 B","5,78 B","5,76 B","5,80 B","6,05 B","9,38 B","9,18 B","9,23 B","9,06 B","8,83 B","8,72 B","8,78 B","8,73 B","8,60 B","8,59 B","8,56 B","8,64 B","8,62 B","8,65 B","8,59 B","8,61 B","8,85 B","8,59 B","8,77 B","5,50 B","4,30 B"
Investimentos,"175,97 M","194,18 M","159,33 M","152,58 M","142,28 M","144,49 M","138,23 M","120,32 M","122,89 M","120,64 M","115,30 M","114,82 M","156,75 M","151,28 M","149,72 M","137,43 M","146,11 M","136,62 M","98,45 M","90,92 M","186,92 M","188,55 M","187,99 M","183,07 M","186,94 M","169,36 M","169,60 M","167,35 M","164,77 M","166,19 M","164,41 M","165,69 M","163,60 M","163,48 M","161,79 M","162,67 M","163,15 M","64,77 M","2,76 M","2,19 M","1,63 M","1,16 M","2,34 M","2,63 M","631,00 Mil","641,00 Mil","695,00 Mil","801,00 Mil","890,00 Mil","1,25 M","1,58 M","1,89 M","2,39 M","2,61 M","2,67 M","2,93 M","434,00 Mil","434,00 Mil","434,00 Mil","434,00 Mil","431,00 Mil","17,71 M","287,00 Mil"
Imobilizado,"4,30 B","4,22 B","4,18 B","4,12 B","4,01 B","3,89 B","3,73 B","3,67 B","3,61 B","3,55 B","3,30 B","3,11 B","3,00 B","2,81 B","2,64 B","2,28 B","2,18 B","2,10 B","1,88 B","1,76 B","1,65 B","1,55 B","1,42 B","1,29 B","1,25 B","1,17 B","1,10 B","1,05 B","1,03 B","963,91 M","944,64 M","937,03 M","926,57 M","906,77 M","890,06 M","882,71 M","869,58 M","943,70 M","758,17 M","750,97 M","763,25 M","740,66 M","1,64 B","1,60 B","1,69 B","1,67 B","1,63 B","1,60 B","1,56 B","1,52 B","1,48 B","1,43 B","1,40 B","1,38 B","1,36 B","1,34 B","1,29 B","1,26 B","1,32 B","1,24 B","1,20 B","739,68 M","416,28 M"
