Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"9,68 B","9,50 B","9,43 B","9,73 B","8,95 B","8,50 B","8,36 B","8,43 B","7,76 B","7,85 B","7,27 B","7,41 B","8,00 B","8,05 B","7,56 B","6,92 B","7,24 B","7,37 B","7,25 B","7,25 B","6,98 B","7,01 B","6,41 B","6,37 B","6,02 B","5,75 B","5,45 B","5,40 B","5,36 B","5,39 B","5,30 B","5,32 B","5,06 B","5,16 B","5,44 B","5,23 B","5,20 B","5,32 B","5,37 B","5,14 B","5,33 B","5,44 B","5,35 B","5,65 B","5,66 B","5,83 B","6,00 B","5,77 B","5,60 B","5,77 B","5,68 B","5,41 B","5,28 B","4,87 B","16,78 B","16,36 B","17,34 B","17,20 B","16,74 B","16,22 B","16,99 B","20,07 B","19,59 B"
Ativo circulante,"2,56 B","2,33 B","2,35 B","2,84 B","2,69 B","2,26 B","2,00 B","2,69 B","1,91 B","1,95 B","1,41 B","1,50 B","2,10 B","2,18 B","2,44 B","1,92 B","2,24 B","2,35 B","1,79 B","1,62 B","1,79 B","1,86 B","1,34 B","1,41 B","1,07 B","1,17 B","965,37 M","886,01 M","848,50 M","871,50 M","796,77 M","839,17 M","575,09 M","689,36 M","826,15 M","614,67 M","595,79 M","818,25 M","810,55 M","609,28 M","764,15 M","899,61 M","967,72 M","848,90 M","906,63 M","1,21 B","1,36 B","1,20 B","1,44 B","1,72 B","1,88 B","1,84 B","1,88 B","1,63 B","4,90 B","4,71 B","6,16 B","5,70 B","5,43 B","5,14 B","6,18 B","5,96 B","5,08 B"
Caixa e eq. de caixa,"9,79 M","36,01 M","8,65 M","11,58 M","14,59 M","49,04 M","21,48 M","43,08 M","24,48 M","59,47 M","36,68 M","45,32 M","38,34 M","52,16 M","38,58 M","25,84 M","5,64 M","38,93 M","23,61 M","33,93 M","20,48 M","28,61 M","3,27 M","6,14 M","11,17 M","46,98 M","10,94 M","22,02 M","13,29 M","24,30 M","46,99 M","42,12 M","49,12 M","52,78 M","41,08 M","38,27 M","156,91 M","186,47 M","170,90 M","94,20 M","135,52 M","132,88 M","189,02 M","83,33 M","94,33 M","259,13 M","246,50 M","67,25 M","123,98 M","279,39 M","462,54 M","798,26 M","1,28 B","931,55 M","2,32 B","2,22 B","3,70 B","3,16 B","3,09 B","2,96 B","3,94 B","2,94 B","2,34 B"
Aplicações financeiras,"2,02 B","1,72 B","1,83 B","1,70 B","2,27 B","1,76 B","1,56 B","2,20 B","1,57 B","1,54 B","1,02 B","1,11 B","1,74 B","1,78 B","2,02 B","1,56 B","1,88 B","1,97 B","1,46 B","1,29 B","1,52 B","1,59 B","1,11 B","1,16 B","924,55 M","951,39 M","722,41 M","679,88 M","636,12 M","640,31 M","572,91 M","603,93 M","341,66 M","430,07 M","565,42 M","396,62 M","258,80 M","431,81 M","392,75 M","272,05 M","391,99 M","528,89 M","544,78 M","557,00 M","596,80 M","698,39 M","824,66 M","902,02 M","1,10 B","1,20 B","1,25 B","895,03 M","452,09 M","566,83 M","213,78 M","362,64 M","364,82 M","360,23 M","270,09 M","245,39 M","244,85 M","469,38 M","397,53 M"
Contas a receber,"435,50 M","487,72 M","400,90 M","393,27 M","312,28 M","364,69 M","306,79 M","229,60 M","206,31 M","266,21 M","256,01 M","247,16 M","221,49 M","274,19 M","271,14 M","234,49 M","245,47 M","266,86 M","235,60 M","216,96 M","186,18 M","205,37 M","189,23 M","193,45 M","70,56 M","133,22 M","123,25 M","116,72 M","106,24 M","134,90 M","124,08 M","132,72 M","118,10 M","144,14 M","143,59 M","132,71 M","123,59 M","154,50 M","172,33 M","179,97 M","172,72 M","176,22 M","165,88 M","137,77 M","148,55 M","186,65 M","203,49 M","183,66 M","178,08 M","194,05 M","109,38 M","102,35 M","94,95 M","93,21 M","1,13 B","1,05 B","992,82 M","1,08 B","1,09 B","1,04 B","1,04 B","1,40 B","1,36 B"
Estoques,"40,78 M","41,58 M","46,80 M","35,75 M","34,60 M","30,17 M","35,39 M","33,44 M","33,02 M","30,73 M","38,01 M","33,31 M","40,59 M","37,57 M","35,94 M","33,53 M","28,32 M","26,27 M","24,63 M","22,27 M","16,71 M","9,62 M","12,99 M","10,41 M","8,42 M","6,24 M","8,10 M","7,40 M","7,65 M","5,78 M","7,05 M","5,75 M","5,39 M","4,19 M","5,84 M","5,61 M","6,15 M","5,37 M","6,67 M","5,75 M","7,68 M","6,06 M","7,04 M","6,52 M","6,37 M","5,93 M","4,59 M","3,77 M","4,67 M","3,90 M","5,94 M","4,33 M","4,43 M","3,51 M","71,84 M","49,23 M","39,90 M","28,79 M","25,64 M","24,98 M","18,23 M","21,46 M","36,27 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"7,12 B","7,16 B","7,08 B","6,88 B","6,26 B","6,25 B","6,36 B","5,75 B","5,85 B","5,90 B","5,86 B","5,91 B","5,90 B","5,87 B","5,12 B","5,00 B","5,01 B","5,02 B","5,47 B","5,63 B","5,19 B","5,15 B","5,06 B","4,95 B","4,95 B","4,58 B","4,49 B","4,51 B","4,52 B","4,52 B","4,50 B","4,48 B","4,48 B","4,48 B","4,61 B","4,61 B","4,61 B","4,51 B","4,56 B","4,53 B","4,56 B","4,54 B","4,38 B","4,81 B","4,75 B","4,62 B","4,64 B","4,57 B","4,16 B","4,05 B","3,80 B","3,57 B","3,40 B","3,24 B","11,88 B","11,65 B","11,19 B","11,50 B","11,31 B","11,08 B","10,81 B","14,12 B","14,52 B"
Investimentos,"6,37 B","6,49 B","6,38 B","6,24 B","5,73 B","5,71 B","5,65 B","5,31 B","5,39 B","5,37 B","5,38 B","5,37 B","5,35 B","5,33 B","4,64 B","4,48 B","4,48 B","4,49 B","4,49 B","4,48 B","4,49 B","4,49 B","4,49 B","4,53 B","4,53 B","4,16 B","4,12 B","4,17 B","4,17 B","4,19 B","4,15 B","4,13 B","4,12 B","4,11 B","4,07 B","4,07 B","4,08 B","4,06 B","4,06 B","4,06 B","4,12 B","4,06 B","3,93 B","4,34 B","4,30 B","4,20 B","4,22 B","4,16 B","3,77 B","3,68 B","3,34 B","3,15 B","2,97 B","2,85 B","2,11 B","2,00 B","1,92 B","1,86 B","1,67 B","1,60 B","1,51 B","1,41 B","1,12 B"
Imobilizado,"59,11 M","57,91 M","59,39 M","57,09 M","42,42 M","40,02 M","39,77 M","47,06 M","49,30 M","51,49 M","57,40 M","60,31 M","61,99 M","45,32 M","47,43 M","45,47 M","46,18 M","47,48 M","46,90 M","36,84 M","33,33 M","31,11 M","29,84 M","34,05 M","34,92 M","36,19 M","35,77 M","46,26 M","48,16 M","20,11 M","20,44 M","20,84 M","21,19 M","21,65 M","21,76 M","22,49 M","22,95 M","23,36 M","24,27 M","24,38 M","25,26 M","19,93 M","20,75 M","20,41 M","20,90 M","21,33 M","21,93 M","22,03 M","20,84 M","21,61 M","21,75 M","22,16 M","22,60 M","22,98 M","3,77 B","3,66 B","3,65 B","3,79 B","3,73 B","3,72 B","3,72 B","5,21 B","5,62 B"
