Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"370,59 M","405,57 M","440,27 M","920,67 M","932,85 M","1,02 B","1,10 B","1,16 B","1,17 B","1,24 B","1,29 B","1,32 B","1,32 B","1,33 B","1,36 B","1,50 B","1,51 B","1,49 B","1,45 B","1,48 B","1,63 B","1,39 B","1,40 B","1,40 B","1,41 B","1,43 B","1,45 B","1,47 B","1,47 B","1,79 B","1,80 B","1,80 B","1,81 B","1,92 B","1,93 B","1,95 B","1,95 B","2,29 B","2,32 B","2,27 B","2,29 B","2,53 B","2,72 B","2,67 B","2,67 B","2,92 B","3,13 B","3,21 B","3,20 B","3,81 B","3,70 B","3,62 B","2,97 B","4,25 B","4,15 B","3,81 B","3,76 B","3,72 B","3,57 B","3,59 B","3,41 B","2,88 B"
Ativo circulante,"134,91 M","126,82 M","154,15 M","107,90 M","96,88 M","98,24 M","98,87 M","96,75 M","107,08 M","111,61 M","109,21 M","109,22 M","108,98 M","113,78 M","128,69 M","107,28 M","125,50 M","123,10 M","54,99 M","394,76 M","548,97 M","236,90 M","222,79 M","231,33 M","249,96 M","280,70 M","248,20 M","250,70 M","245,17 M","503,81 M","508,18 M","501,94 M","506,96 M","526,14 M","530,43 M","552,15 M","555,75 M","623,50 M","643,69 M","629,37 M","643,43 M","604,43 M","748,13 M","678,26 M","663,03 M","873,34 M","1,23 B","1,26 B","1,20 B","1,23 B","1,19 B","1,15 B","1,16 B","1,54 B","1,52 B","1,47 B","1,61 B","1,62 B","1,53 B","1,47 B","1,49 B","1,16 B"
Caixa e eq. de caixa,"85,00 Mil","2,26 M","11,83 M","367,00 Mil","126,00 Mil","62,00 Mil","974,00 Mil","429,00 Mil","1,87 M","3,09 M","62,00 Mil","255,00 Mil","1,72 M","1,05 M","18,55 M","392,00 Mil","10,20 M","305,00 Mil","167,00 Mil","64,90 M","128,00 Mil","320,00 Mil","238,00 Mil","79,00 Mil","407,00 Mil","832,00 Mil","197,00 Mil","426,00 Mil","2,29 M","1,81 M","1,08 M","501,00 Mil","3,28 M","901,00 Mil","2,71 M","1,14 M","1,37 M","905,00 Mil","1,71 M","1,54 M","4,76 M","5,95 M","1,14 M","3,04 M","1,99 M","6,12 M","40,15 M","25,31 M","56,94 M","30,34 M","19,10 M","20,63 M","34,71 M","44,24 M","38,26 M","42,51 M","35,48 M","14,72 M","20,93 M","17,03 M","32,89 M","100,21 M"
Aplicações financeiras,"17,23 M","124,00 Mil","127,00 Mil","324,00 Mil","321,00 Mil","307,00 Mil","305,00 Mil","201,00 Mil","167,00 Mil","166,00 Mil","162,00 Mil","201,00 Mil","197,00 Mil","195,00 Mil","190,00 Mil","187,00 Mil","185,00 Mil","183,00 Mil","181,00 Mil","178,00 Mil","176,00 Mil","175,00 Mil","173,00 Mil","170,00 Mil","168,00 Mil","303,00 Mil","303,00 Mil","302,00 Mil","301,00 Mil","299,00 Mil","294,00 Mil","294,00 Mil","288,00 Mil","288,00 Mil","288,00 Mil","288,00 Mil","291,00 Mil","289,00 Mil","287,00 Mil","355,00 Mil","352,00 Mil","1,66 M","1,66 M","2,89 M","2,84 M","7,21 M","11,66 M","32,07 M","40,09 M","36,07 M","32,69 M","37,89 M","40,20 M","109,42 M","95,86 M","124,29 M","231,87 M","120,52 M","78,28 M","114,24 M","147,12 M",0
Contas a receber,"4,80 M","2,44 M","12,70 M","4,73 M","2,87 M","838,00 Mil","1,15 M","944,00 Mil","675,00 Mil","3,00 M","5,76 M","5,22 M","6,61 M","5,25 M","5,25 M","4,08 M","4,58 M","6,39 M","5,52 M","276,21 M","501,53 M","169,82 M","169,15 M","167,73 M","168,83 M","175,67 M","173,90 M","174,90 M","185,05 M","285,48 M","259,30 M","259,84 M","261,56 M","259,53 M","261,56 M","263,14 M","257,58 M","319,63 M","329,10 M","312,46 M","314,69 M","182,28 M","197,10 M","223,88 M","212,00 M","297,33 M","388,29 M","381,61 M","479,88 M","534,87 M","566,66 M","543,82 M","522,16 M","613,36 M","561,84 M","539,91 M","616,91 M","470,36 M","426,20 M","416,30 M","444,18 M","404,12 M"
Estoques,"7,93 M","11,66 M","12,69 M","10,82 M","9,37 M","11,74 M","11,28 M","10,11 M","10,43 M","11,00 M","9,79 M","9,13 M","7,24 M","12,05 M","9,42 M","7,24 M","8,94 M","9,11 M","8,20 M","8,43 M","5,83 M","8,31 M","7,29 M","6,25 M","7,36 M","20,55 M","20,71 M","20,62 M","20,04 M","177,49 M","197,11 M","190,18 M","190,93 M","199,61 M","201,28 M","221,78 M","221,31 M","236,97 M","236,04 M","240,63 M","242,27 M","325,69 M","376,51 M","377,93 M","375,58 M","388,95 M","405,02 M","410,08 M","410,51 M","295,94 M","239,25 M","228,57 M","227,01 M","265,57 M","296,84 M","309,72 M","295,37 M","414,99 M","445,81 M","405,76 M","350,63 M","229,93 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"235,68 M","278,75 M","286,12 M","812,77 M","835,96 M","926,28 M","1,00 B","1,06 B","1,06 B","1,13 B","1,18 B","1,21 B","1,21 B","1,21 B","1,23 B","1,39 B","1,38 B","1,36 B","1,40 B","1,08 B","1,08 B","1,15 B","1,17 B","1,17 B","1,16 B","1,15 B","1,21 B","1,22 B","1,23 B","1,29 B","1,29 B","1,30 B","1,30 B","1,39 B","1,40 B","1,40 B","1,39 B","1,67 B","1,68 B","1,64 B","1,64 B","1,92 B","1,97 B","1,99 B","2,01 B","2,05 B","1,90 B","1,95 B","1,99 B","2,57 B","2,50 B","2,46 B","1,81 B","2,72 B","2,64 B","2,34 B","2,15 B","2,10 B","2,04 B","2,12 B","1,92 B","1,72 B"
Investimentos,"90,74 M","95,04 M","96,35 M","106,60 M","105,24 M","107,43 M","187,00 M","233,67 M","235,59 M","239,26 M","240,71 M","241,79 M","243,01 M","248,21 M","249,00 M","249,33 M","249,20 M","233,78 M","249,97 M","251,65 M","248,28 M","264,27 M","263,64 M","263,28 M","260,49 M","263,44 M","261,89 M","268,11 M","268,14 M","266,01 M","264,66 M","259,63 M","258,75 M","261,75 M","262,43 M","260,12 M","259,79 M","271,62 M","266,59 M","264,82 M","262,68 M","579,21 M","604,30 M","618,24 M","622,57 M","723,98 M","556,05 M","568,42 M","703,48 M","613,87 M","606,57 M","638,53 M","630,41 M","260,96 M","260,63 M","887,44 M","275,15 M","196,45 M","195,59 M","193,37 M","29,39 M","9,91 M"
Imobilizado,"113,69 M","116,00 M","117,38 M","119,34 M","120,88 M","122,38 M","123,95 M","125,89 M","129,23 M","207,78 M","209,05 M","210,11 M","211,45 M","212,75 M","214,23 M","215,74 M","218,72 M","213,88 M","216,48 M","218,42 M","220,42 M","222,44 M","268,50 M","270,67 M","272,84 M","244,39 M","277,44 M","280,64 M","283,27 M","335,05 M","338,87 M","342,42 M","346,00 M","349,58 M","353,46 M","358,88 M","361,83 M","366,81 M","370,69 M","377,74 M","381,68 M","393,74 M","402,02 M","406,68 M","411,50 M","394,37 M","395,65 M","397,37 M","397,37 M","369,10 M","357,05 M","339,67 M","326,67 M","821,47 M","822,40 M","385,39 M","383,53 M","391,85 M","390,45 M","377,63 M","372,66 M","365,76 M"
Intangível,"11,70 M","11,70 M","11,70 M","391,52 M","391,52 M","391,52 M","391,53 M","391,55 M","391,57 M","391,61 M","391,64 M","391,89 M","392,26 M","392,63 M","393,01 M","393,42 M","393,83 M","394,25 M","394,72 M","395,32 M","395,93 M","404,62 M","405,27 M","405,91 M","406,56 M","407,21 M","407,88 M","408,54 M","409,20 M","409,86 M","410,53 M","411,20 M","411,88 M","412,56 M","413,24 M","413,91 M","414,59 M","420,27 M","420,94 M","421,62 M","422,30 M","422,98 M","457,62 M","458,30 M","458,98 M","459,66 M","460,33 M","460,68 M","460,60 M","459,86 M","454,05 M","440,74 M","436,04 M","517,76 M","516,28 M","55,36 M","56,19 M","21,36 M","18,64 M","17,84 M","17,25 M","1,68 M"
