Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"8,30","9,94","7,27","11,23","13,50","25,75","17,04",-,-
P/VP,"1,52","1,60","1,31","2,35","2,91","4,94","5,73",-,-
P/EBIT,"9,54","11,29","7,07","11,73","13,99","25,88","14,47",-,-
P/EBIT *,"9,00","9,97","6,89","12,77","13,94","25,86","18,77",-,-
PSR,"1,03","1,08","0,81","1,49","1,53","3,04","2,62",-,-
P/Ativos,"0,88","0,90","0,69","1,25","1,30","2,64","2,29",-,-
LPA,"1,75","1,47","1,61","1,66","1,47","1,11","1,00",-,-
VPA,"9,60","9,13","8,98","7,94","6,81","5,80","2,98",-,-
EBIT por ação,"1,53","1,30","1,66","1,59","1,41","1,11","1,18",-,-
EBIT por ação *,"1,62","1,47","1,70","1,46","1,42","1,11","0,91",-,-
Ativo por ação,"16,50","16,26","17,00","14,92","15,22","10,85","7,45",-,-
Receita líquida por ação,"14,19","13,61","14,52","12,53","12,92","9,42","6,51",-,-
Margem bruta,"30,38%","30,10%","30,75%","31,12%","28,39%","29,45%","32,84%","34,93%","36,55%"
Margem líquida,"12,37%","10,85%","11,11%","13,29%","11,32%","11,77%","15,37%","11,15%","11,28%"
Margem EBIT,"10,76%","9,53%","11,44%","12,70%","10,95%","11,75%","18,10%","10,83%","13,05%"
Margem EBIT *,"11,40%","10,79%","11,74%","11,66%","10,99%","11,76%","13,95%","14,66%","16,92%"
Margem EBITDA,"13,27%","12,15%","13,50%","14,63%","12,59%","13,06%","19,20%","11,93%","14,13%"
Margem EBITDA *,"13,91%","13,40%","13,80%","13,59%","12,64%","13,07%","15,05%","15,76%","18,00%"
Margem operacional,"12,50%","10,77%","10,82%","12,59%","11,11%","12,00%","14,84%","11,22%","10,97%"
ROE,"18,17%","16,05%","17,81%","20,79%","21,32%","18,94%","33,59%","26,13%","25,97%"
ROA,"0,11","0,09","0,09","0,11","0,10","0,10","0,13","0,12","0,13"
ROIC,"15,64%","13,32%","15,72%","19,27%","19,12%","20,84%","38,43%","25,11%","34,32%"
ROIC *,"16,57%","15,07%","16,13%","17,69%","19,20%","20,86%","29,63%","33,99%","44,49%"
Giro do ativo,"0,86","0,84","0,85","0,84","0,85","0,87","0,87","1,06","1,12"
EBIT *,530 mi,481 mi,558 mi,478 mi,465 mi,362 mi,297 mi,248 mi,243 mi
EBITDA,616 mi,541 mi,642 mi,600 mi,533 mi,403 mi,409 mi,202 mi,203 mi
EBITDA *,646 mi,597 mi,656 mi,557 mi,534 mi,403 mi,321 mi,267 mi,259 mi
Liquidez corrente,"2,65","2,42","2,27","2,64","2,19","2,33","1,89","1,96","2,03"
Liquidez seca,"1,78","1,50","1,28","1,79","1,43","1,31","1,34","1,27","1,34"
Liquidez imediata,"0,87","0,67","0,49","0,95","0,89","0,74","0,70","0,64","0,77"
Dívida bruta,975 mi,889 mi,941 mi,927 mi,1.097 mi,453 mi,501 mi,266 mi,201 mi
Dívida líquida,-341 mi,-195 mi,53 mi,-379 mi,-464 mi,-492 mi,-253 mi,-137 mi,-185 mi
Capital de giro,2.466 mi,2.267 mi,2.280 mi,2.247 mi,2.075 mi,1.687 mi,961 mi,601 mi,513 mi
Endividamento geral,"70,71%","76,69%","87,74%","86,33%","121,83%","85,28%","150,16%","120,94%","106,23%"
