Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"1,11 B","1,17 B","1,12 B","1,25 B","921,27 M","1,29 B","1,24 B","1,19 B","1,04 B","1,16 B","933,65 M","970,83 M","1,04 B","1,22 B","1,13 B","1,02 B","866,20 M","906,78 M","758,98 M","724,95 M","696,46 M","729,86 M","611,55 M","346,85 M","446,12 M","480,45 M","448,59 M","406,04 M","362,88 M"
Custos,"-769,60 M","-809,38 M","-777,60 M","-880,77 M","-650,05 M","-914,32 M","-879,40 M","-812,66 M","-687,13 M","-849,20 M","-631,47 M","-636,75 M","-709,25 M","-873,01 M","-810,13 M","-735,37 M","-612,58 M","-649,50 M","-534,10 M","-506,42 M","-487,87 M","-505,46 M","-410,35 M","-228,13 M","-289,60 M","-309,31 M","-294,04 M","-268,62 M","-232,84 M"
Lucro bruto,"341,04 M","358,59 M","347,09 M","365,68 M","271,22 M","373,35 M","364,48 M","372,89 M","351,90 M","313,22 M","302,18 M","334,08 M","327,53 M","344,82 M","322,63 M","280,46 M","253,62 M","257,28 M","224,88 M","218,53 M","208,59 M","224,40 M","201,20 M","118,72 M","156,52 M","171,13 M","154,55 M","137,41 M","130,05 M"
Despesas operacionais,"-213,43 M","-225,82 M","-232,97 M","-239,82 M","-218,81 M","-234,81 M","-238,78 M","-237,84 M","-206,88 M","-144,54 M","-194,24 M","-215,31 M","-201,59 M","-207,59 M","-190,32 M","-176,94 M","-163,31 M","-154,14 M","-150,25 M","-129,70 M","-112,58 M","-72,36 M","-96,23 M","-51,48 M","-94,39 M","-115,19 M","-100,43 M","-104,29 M","-89,30 M"
Despesas com vendas,"-140,57 M","-151,06 M","-150,89 M","-164,87 M","-137,07 M","-174,35 M","-170,38 M","-164,59 M","-135,41 M","-142,53 M","-137,03 M","-144,93 M","-135,83 M","-154,64 M","-129,06 M","-119,98 M","-107,60 M","-108,46 M","-95,01 M","-80,00 M","-79,90 M","-86,81 M","-67,61 M","-46,04 M","-60,21 M","-60,85 M","-60,01 M","-61,41 M","-54,17 M"
Despesas administrativas,"-68,14 M","-64,66 M","-71,77 M","-70,28 M","-50,78 M","-64,19 M","-65,53 M","-66,20 M","-63,42 M","-57,44 M","-54,60 M","-63,25 M","-62,85 M","-69,59 M","-54,50 M","-50,12 M","-50,81 M","-46,48 M","-47,49 M","-46,32 M","-42,66 M","-63,24 M","-37,34 M","-22,57 M","-19,19 M","-34,83 M","-24,97 M","-27,25 M","-20,72 M"
EBIT,"127,61 M","132,77 M","114,12 M","125,86 M","52,40 M","138,54 M","125,70 M","135,06 M","145,01 M","168,68 M","107,94 M","118,77 M","125,93 M","137,22 M","132,31 M","103,53 M","90,31 M","103,14 M","74,63 M","88,83 M","96,00 M","152,04 M","104,97 M","67,24 M","62,13 M","55,94 M","54,12 M","33,12 M","40,75 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"22,98 M","17,49 M","29,37 M","11,12 M","-2,96 M","-26,12 M","437,00 Mil","-13,19 M","9,39 M","5,49 M","-5,30 M","619,00 Mil","-5,45 M","6,25 M","-4,65 M","-8,51 M","13,60 M","4,39 M","9,72 M","2,28 M","-8,47 M","65,62 M","1,45 M","-21,17 M","-115,55 M","15,55 M","-20,94 M","10,94 M","986,00 Mil"
Antes dos impostos,"150,59 M","150,27 M","143,49 M","136,99 M","49,45 M","112,42 M","126,14 M","121,87 M","154,41 M","174,17 M","102,64 M","119,39 M","120,49 M","143,47 M","127,66 M","95,02 M","103,91 M","107,53 M","84,35 M","91,11 M","87,53 M","217,66 M","106,42 M","46,07 M","-53,42 M","71,49 M","33,18 M","44,06 M","41,73 M"
Imposto,"2,50 M","-12,33 M","4,41 M","-690,00 Mil","12,15 M","15,12 M","3,24 M","-4,32 M","-467,00 Mil","10,36 M","8,31 M","-1,37 M","11,57 M","17,77 M","-4,99 M","1,76 M","-5,35 M","-7,37 M","4,01 M","-5,84 M","2,18 M","-10,91 M","-11,87 M","4,94 M","29,08 M","-240,00 Mil","2,91 M","-1,46 M","-2,28 M"
