Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016
Receita líquida,--,--,--,--,--,--,--,--,--,--,"1,46 B","1,48 B","1,66 B","1,88 B","1,75 B","1,69 B","1,73 B","2,00 B","2,05 B","2,07 B","1,86 B","2,19 B","2,37 B","2,10 B","1,81 B","1,82 B","1,69 B","1,60 B","1,50 B","1,68 B","1,50 B","1,41 B","1,17 B","1,21 B","1,33 B","1,09 B","1,11 B","1,10 B","964,12 M","1,06 B","1,03 B"
Custos,--,--,--,--,--,--,--,--,--,--,"-1,45 B","-1,48 B","-1,64 B","-2,03 B","-2,28 B","-2,35 B","-1,82 B","-2,62 B","-2,73 B","-2,42 B","-1,79 B","-2,40 B","-2,76 B","-3,16 B","-1,73 B","-1,21 B","-1,91 B","-1,33 B","-1,48 B","-1,48 B","-1,23 B","-1,03 B","-889,28 M","-952,10 M","-1,14 B","-896,82 M","-862,53 M","-688,47 M","-978,21 M","-890,78 M","-854,83 M"
Lucro bruto,"74,48 M","19,94 M","127,74 M","196,34 M","234,67 M","114,03 M","260,09 M","150,70 M","251,91 M","-156,49 M","2,33 M","-98,82 M","-72,71 M","-151,63 M","-433,44 M","-606,40 M","-162,12 M","-623,81 M","-676,20 M","-348,69 M","71,99 M","-201,32 M","-382,30 M","-1,06 B","78,19 M","618,54 M","-216,53 M","269,97 M","19,13 M","204,10 M","271,83 M","380,57 M","282,21 M","257,08 M","197,88 M","188,35 M","247,32 M","411,58 M","-14,09 M","169,30 M","172,71 M"
Despesas operacionais,"-1,48 M","10,47 M","278,00 Mil","58,00 Mil","-20,00 Mil","-424,00 Mil","37,20 M","320,00 Mil","76,00 Mil","-101,00 Mil","99,00 Mil","94,00 Mil","522,00 Mil","53,69 M","24,19 M","-14,72 M","2,01 M","-7,43 M","66,00 Mil","-1,39 M","-408,00 Mil","17,71 M","-1,16 M","-1,28 M","194,01 M","296,18 M","29,72 M","124,70 M","33,41 M","3,94 M","27,64 M","33,20 M","12,73 M","20,97 M","10,26 M","14,40 M","7,80 M","37,05 M","19,65 M","10,44 M","12,70 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-28,05 M",0,0,0,0,0,0,0,0
Despesas administrativas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-142,42 M","-24,65 M","-163,66 M","-88,96 M","-138,59 M","-83,61 M","-82,09 M","-89,19 M","-157,03 M","-66,93 M","-122,48 M","-108,24 M","-101,68 M","-87,56 M","-109,79 M","-6,27 M","-96,95 M","-97,63 M","-54,55 M","-110,24 M","-104,25 M","-87,62 M","-113,69 M","-90,78 M"
EBIT,"65,04 M","22,11 M","120,55 M","189,15 M","228,10 M","107,44 M","285,75 M","152,54 M","244,63 M","-180,26 M","-6,45 M","-110,03 M","-82,08 M","-102,55 M","-416,41 M","-624,26 M","-165,56 M","-773,66 M","-700,78 M","-513,73 M","-17,38 M","-322,19 M","-467,07 M","-1,14 B","183,01 M","757,69 M","-253,75 M","272,18 M","-55,70 M","106,36 M","211,91 M","303,98 M","206,76 M","181,10 M","110,52 M","148,20 M","144,88 M","344,38 M","-82,06 M","66,04 M","94,63 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"91,24 M",0,"51,06 M","-22,31 M",0,"114,78 M",0,"158,81 M",0,"-133,41 M","69,41 M","23,13 M",0,"477,35 M",0,"66,18 M","249,48 M","-445,50 M",0,0,0,"-77,71 M",0,"74,28 M","-103,97 M","467,76 M",0,0,0,"447,80 M",0,"86,88 M","116,27 M","164,79 M",0,"196,28 M",0,"186,44 M","196,76 M",0,"201,57 M"
Antes dos impostos,"156,29 M","54,03 M","171,61 M","166,84 M","210,09 M","222,22 M","284,58 M","311,35 M","378,39 M","-192,53 M","62,96 M","-86,90 M","-41,20 M","-61,94 M","-353,20 M","-558,09 M","83,92 M","-609,07 M","-451,58 M","-418,67 M","83,86 M","-511,50 M","-359,67 M","-1,07 B","79,04 M","907,58 M","-302,92 M","445,74 M","134,59 M","194,79 M","368,14 M","390,86 M","323,03 M","345,89 M","260,80 M","344,48 M","319,85 M","530,82 M","114,70 M","299,69 M","296,20 M"
