Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"47,94 B","47,20 B","45,64 B","43,95 B","44,69 B","43,30 B","40,65 B","38,56 B","37,96 B","35,91 B","35,16 B","34,16 B","33,75 B","32,24 B","32,10 B","31,19 B","30,01 B","28,98 B","28,19 B","27,87 B","26,51 B","24,59 B","22,15 B","22,43 B","20,73 B","21,60 B","20,01 B","19,91 B","19,17 B","18,54 B","18,91 B","17,53 B","17,42 B","17,25 B","17,54 B","16,24 B","15,64 B","15,07 B","15,01 B","7,49 B","7,37 B","7,34 B","7,42 B","7,07 B","7,21 B","7,12 B","7,28 B","7,01 B","6,94 B","7,01 B","7,52 B","7,73 B","7,83 B","8,37 B","9,46 B","8,86 B","8,63 B","8,41 B","8,28 B","7,66 B","7,29 B","6,93 B","6,39 B"
Ativo circulante,"6,46 B","7,09 B","7,07 B","6,61 B","8,05 B","7,94 B","6,62 B","6,50 B","6,78 B","5,98 B","5,84 B","5,28 B","5,46 B","4,67 B","4,74 B","4,22 B","4,05 B","3,75 B","3,74 B","4,10 B","4,63 B","5,51 B","4,43 B","4,97 B","3,77 B","4,93 B","3,61 B","3,60 B","3,26 B","2,90 B","4,06 B","3,12 B","2,91 B","2,64 B","2,84 B","2,36 B","2,30 B","1,68 B","1,45 B","867,81 M","841,03 M","898,83 M","1,11 B","1,13 B","1,41 B","1,42 B","1,75 B","1,62 B","1,52 B","1,59 B","2,25 B","2,26 B","2,40 B","2,95 B","2,12 B","1,83 B","1,92 B","1,84 B","2,10 B","1,69 B","1,67 B","1,60 B","1,77 B"
Caixa e eq. de caixa,"639,62 M","1,36 B","719,18 M","653,57 M","783,78 M","2,91 B","63,41 M","71,49 M","1,27 B","245,82 M","279,05 M","724,88 M","1,48 B","336,52 M","168,24 M","221,49 M","316,44 M","282,63 M","231,33 M","1,09 B","853,69 M","2,07 B","799,54 M","1,32 B","757,28 M","595,97 M","7,11 M","14,04 M","17,97 M","16,74 M","12,74 M","7,06 M","11,75 M","6,58 M","10,71 M","5,00 M","5,61 M","4,52 M","4,50 M","3,63 M","5,31 M","6,13 M","6,43 M","7,37 M","5,63 M","4,70 M","6,22 M","3,71 M","3,73 M","4,27 M","4,77 M","11,78 M","13,31 M","309,60 M","479,86 M","210,72 M","208,43 M","203,92 M","327,47 M","217,20 M","1,55 M","54,98 M","410,00 Mil"
Aplicações financeiras,"669,46 M","808,92 M","1,70 B","1,18 B","2,49 B","486,00 M","2,45 B","2,55 B","1,48 B","1,53 B","1,58 B","737,12 M","323,34 M","907,33 M","1,19 B","860,84 M","882,79 M","813,63 M","976,13 M","724,51 M","469,73 M","453,56 M","541,22 M","565,48 M","511,98 M","2,07 B","1,20 B","1,33 B","1,09 B","680,91 M","1,59 B","843,83 M","716,23 M","610,07 M","629,03 M","254,93 M","435,35 M","336,14 M","570,38 M","422,08 M","404,54 M","440,05 M","536,05 M","389,30 M","426,86 M","479,60 M","771,48 M","529,26 M","498,45 M","595,76 M","1,24 B","1,22 B","1,38 B",0,0,0,0,"3,38 M",0,0,"161,45 M",0,"42,82 M"
Contas a receber,"4,27 B","4,11 B","3,75 B","3,78 B","3,80 B","3,60 B","3,29 B","3,02 B","3,24 B","3,37 B","3,41 B","3,28 B","3,16 B","3,03 B","2,91 B","2,71 B","2,48 B","2,34 B","2,20 B","1,99 B","3,06 B","2,80 B","2,73 B","2,60 B","2,08 B","2,06 B",0,0,0,"2,09 B","2,04 B","1,92 B","1,91 B","1,92 B","1,94 B","1,93 B","1,69 B","1,22 B","723,44 M","292,49 M","289,61 M","319,96 M","392,40 M","538,26 M","762,03 M","729,95 M","723,21 M","821,40 M","768,01 M","749,39 M","789,31 M","808,76 M","773,83 M","2,43 B","1,43 B","1,44 B","1,56 B","1,49 B","1,62 B","1,35 B","1,40 B","1,45 B","1,45 B"
Estoques,"78,06 M","72,70 M","84,60 M","113,28 M","114,38 M","94,38 M","99,99 M","135,19 M","106,72 M","164,94 M",0,0,0,"91,24 M",0,0,0,0,"56,58 M","56,60 M","49,72 M",0,"41,64 M","34,34 M","63,75 M","103,82 M","34,55 M","34,74 M","37,52 M","39,17 M","34,91 M","35,20 M","38,36 M","37,64 M","43,89 M","38,65 M","38,43 M","37,72 M","37,20 M","38,31 M","37,76 M","40,48 M","40,88 M","43,61 M","43,71 M","45,70 M","47,96 M","52,27 M","53,92 M","61,77 M","57,47 M","58,67 M","61,76 M","48,81 M","50,83 M","48,42 M","51,07 M","50,05 M","48,18 M","47,66 M","44,25 M","44,79 M","43,33 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"41,48 B","40,11 B","38,58 B","37,34 B","36,65 B","35,37 B","34,03 B","32,06 B","31,18 B","29,93 B","29,32 B","28,88 B","28,29 B","27,57 B","27,36 B","26,97 B","25,95 B","25,23 B","24,46 B","23,77 B","21,87 B","19,08 B","17,72 B","17,46 B","16,96 B","16,67 B","16,40 B","16,31 B","15,91 B","15,64 B","14,85 B","14,41 B","14,50 B","14,61 B","14,70 B","13,87 B","13,34 B","13,39 B","13,56 B","6,62 B","6,53 B","6,44 B","6,30 B","5,94 B","5,80 B","5,71 B","5,53 B","5,39 B","5,42 B","5,42 B","5,27 B","5,47 B","5,42 B","5,42 B","7,35 B","7,02 B","6,71 B","6,57 B","6,18 B","5,97 B","5,62 B","5,33 B","4,62 B"
Investimentos,"4,29 B","4,15 B","4,24 B","4,65 B","4,51 B","4,35 B","4,32 B","4,28 B","4,17 B","4,02 B","4,08 B","4,05 B","3,94 B","3,79 B","3,85 B","3,69 B","3,46 B","3,30 B","3,25 B","3,12 B","3,00 B","2,86 B","2,38 B","2,33 B","2,36 B","2,20 B","2,04 B","1,97 B","1,92 B","1,85 B","1,94 B","1,94 B","1,92 B","1,88 B","1,85 B","1,91 B","1,89 B","1,83 B","1,81 B","1,62 B","1,59 B","1,57 B","1,55 B","1,39 B","1,34 B","1,32 B","1,31 B","1,24 B","1,18 B","1,08 B","1,00 B","900,90 M","790,86 M","767,55 M",0,0,0,0,0,0,0,0,0
Imobilizado,"173,62 M","180,13 M","170,56 M","161,52 M","147,79 M","153,61 M","142,59 M","140,13 M","127,96 M","120,10 M","103,92 M","104,36 M","116,67 M","114,93 M","99,99 M","89,86 M","88,97 M","93,27 M","96,88 M","98,44 M","90,19 M","92,99 M","91,00 M","92,41 M","93,47 M","86,38 M","75,70 M","73,79 M","45,40 M","25,54 M","23,87 M","22,87 M","23,66 M","22,88 M","23,16 M","23,95 M","24,72 M","25,46 M","24,80 M","25,67 M","22,56 M","23,19 M","23,24 M","23,48 M","24,85 M","24,55 M","14,17 M","12,64 M","13,26 M","10,37 M","10,09 M","10,31 M","9,76 M","8,38 M","11,64 M","8,93 M","8,33 M","8,78 M","8,79 M","8,95 M","9,24 M","9,19 M","10,26 M"
