Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"9,50","9,18","5,73","7,67","7,62","6,88","5,12","6,60","5,39","4,51","1,16","8,92","9,96","130,25","5,39","6,12","6,47","16,16"
P/VP,"1,04","1,06","1,02","1,25","1,07","1,44","1,25","0,99","0,92","0,56","0,56","0,84","0,73","0,85","0,90","1,23","1,15","1,12"
P/EBIT,"5,43","5,44","3,90","5,53","4,94","4,68","3,89","4,97","4,12","3,01","0,77","7,09","8,41","-19,85","3,40","3,95","4,59","4,50"
P/EBIT *,"6,21","6,26","4,43","6,31","5,77","5,25","4,55","5,39","4,42","3,11","0,80","8,83","9,50","16,09","3,74","3,86","4,49","4,33"
PSR,"2,34","2,39","2,51","3,50","3,16","3,75","4,66","3,49","3,18","2,28","0,73","3,50","3,42","4,24","2,26","1,93","2,33","2,44"
P/Ativos,"0,46","0,48","0,46","0,61","0,53","0,72","0,70","0,54","0,55","0,36","0,38","0,61","0,53","0,59","0,54","0,67","0,76","0,82"
LPA,"3,56","3,72","5,31","4,31","3,43","4,58","5,10","2,68","2,86","2,07","7,49","0,77","0,57","0,05","1,28","1,39","1,23","0,49"
VPA,"32,52","32,10","29,92","26,38","24,55","21,85","20,88","17,90","16,80","16,67","15,36","8,10","7,84","7,46","7,71","6,89","6,93","7,08"
EBIT por ação,"6,22","6,27","7,79","5,98","5,30","6,73","6,72","3,55","3,73","3,11","11,22","0,96","0,68","-0,32","2,03","2,15","1,74","1,76"
EBIT por ação *,"5,44","5,45","6,87","5,24","4,54","6,00","5,74","3,27","3,48","3,00","10,86","0,77","0,60","0,39","1,84","2,20","1,78","1,84"
Ativo por ação,"72,76","71,64","65,72","54,50","48,94","43,98","37,32","32,78","28,14","26,18","22,87","11,14","10,81","10,64","12,70","12,76","10,52","9,70"
Receita líquida por ação,"14,43","14,28","12,09","9,43","8,27","8,40","5,61","5,06","4,83","4,10","11,82","1,95","1,67","1,49","3,06","4,40","3,42","3,26"
Margem bruta,"38,81%","39,35%","46,91%","59,67%","60,17%","74,48%","69,27%","71,42%","77,23%","78,04%","93,58%","55,30%","50,89%","42,52%","69,08%","54,38%","57,97%","66,73%"
Margem líquida,"25,29%","26,68%","44,60%","46,53%","42,56%","54,89%","91,51%","53,41%","59,51%","51,29%","63,57%","40,18%","34,43%","3,25%","41,86%","31,55%","36,00%","40,11%"
Margem EBIT,"43,10%","43,90%","64,41%","63,43%","64,04%","80,18%","119,77%","70,27%","77,21%","75,79%","94,96%","49,33%","40,65%","-21,35%","66,34%","48,94%","50,80%","54,11%"
Margem EBIT *,"37,70%","38,17%","56,81%","55,58%","54,84%","71,42%","102,38%","64,76%","71,99%","73,21%","91,88%","39,61%","35,98%","26,33%","60,28%","50,00%","51,86%","56,35%"
Margem EBITDA,"43,47%","44,27%","64,88%","63,83%","64,54%","80,59%","120,31%","70,87%","77,50%","76,15%","95,08%","49,99%","41,46%","-20,60%","66,58%","49,15%","51,07%","54,33%"
Margem EBITDA *,"38,06%","38,54%","57,28%","55,98%","55,34%","71,83%","102,92%","65,36%","72,28%","73,57%","92,00%","40,27%","36,78%","27,08%","60,53%","50,21%","52,13%","56,57%"
Margem operacional,"27,51%","29,54%","52,33%","50,21%","49,13%","68,78%","114,11%","64,71%","72,74%","73,34%","93,55%","47,36%","41,73%","-13,99%","59,19%","42,03%","46,16%","41,47%"
ROE,"11,03%","11,71%","17,70%","16,26%","14,03%","20,54%","23,95%","12,93%","16,77%","12,37%","48,07%","9,38%","7,26%","0,65%","16,61%","20,16%","17,80%","18,49%"
ROA,"0,05","0,05","0,08","0,08","0,07","0,10","0,14","0,08","0,10","0,08","0,33","0,07","0,05","0,00","0,10","0,11","0,12","0,13"
ROIC,"8,83%","9,23%","12,92%","11,61%","11,30%","15,96%","20,20%","12,48%","13,85%","12,36%","50,35%","9,26%","6,83%","-3,29%","16,71%","17,48%","16,90%","18,53%"
ROIC *,"7,73%","8,02%","11,39%","10,17%","9,68%","14,22%","17,27%","11,50%","12,91%","11,94%","48,71%","7,43%","6,05%","4,06%","15,19%","17,86%","17,25%","19,30%"
Giro do ativo,"0,20","0,20","0,18","0,17","0,17","0,19","0,15","0,15","0,17","0,16","0,52","0,18","0,15","0,14","0,24","0,34","0,33","0,34"
EBIT *,3.585 mi,3.592 mi,4.525 mi,3.454 mi,2.988 mi,3.952 mi,3.784 mi,2.157 mi,2.292 mi,1.977 mi,7.153 mi,509 mi,396 mi,258 mi,1.214 mi,1.450 mi,1.170 mi,1.211 mi
EBITDA,4.133 mi,4.166 mi,5.168 mi,3.967 mi,3.517 mi,4.460 mi,4.447 mi,2.361 mi,2.468 mi,2.056 mi,7.402 mi,643 mi,457 mi,-203 mi,1.341 mi,1.425 mi,1.152 mi,1.167 mi
EBITDA *,3.619 mi,3.626 mi,4.562 mi,3.479 mi,3.016 mi,3.975 mi,3.804 mi,2.177 mi,2.301 mi,1.987 mi,7.162 mi,518 mi,405 mi,265 mi,1.219 mi,1.456 mi,1.176 mi,1.215 mi
Liquidez corrente,"4,00","3,76","2,43","2,45","3,61","3,05","4,01","3,05","4,63","3,35","2,81","2,13","3,10","2,09","2,07","0,96","1,96","2,03"
Liquidez seca,"3,95","3,72","2,40","2,38","3,54","3,05","4,01","2,99","4,56","3,30","2,75","2,03","3,00","2,01","2,04","0,93","1,91","1,98"
Liquidez imediata,"0,40","0,72","0,89","0,10","0,26","0,23","1,51","0,37","0,03","0,01","0,01","0,01","0,01","0,01","0,22","0,11","0,07","0,00"
Dívida bruta,16.296 mi,16.007 mi,13.273 mi,9.268 mi,8.041 mi,7.416 mi,4.535 mi,3.293 mi,3.014 mi,1.942 mi,1.010 mi,1.096 mi,1.191 mi,1.239 mi,2.520 mi,2.771 mi,1.428 mi,1.049 mi
Dívida líquida,14.987 mi,13.842 mi,9.873 mi,7.496 mi,6.797 mi,6.320 mi,2.014 mi,629 mi,2.317 mi,1.326 mi,669 mi,650 mi,707 mi,639 mi,2.211 mi,2.564 mi,1.373 mi,1.006 mi
Capital de giro,4.841 mi,5.200 mi,4.674 mi,3.533 mi,3.376 mi,2.518 mi,4.135 mi,3.317 mi,2.272 mi,1.854 mi,1.082 mi,476 mi,959 mi,830 mi,1.526 mi,-84 mi,782 mi,899 mi
Endividamento geral,"119,75%","120,19%","115,75%","101,84%","94,98%","95,88%","74,10%","56,95%","64,10%","54,04%","46,32%","33,07%","36,23%","42,71%","64,84%","85,25%","51,88%","36,99%"
