Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"114,50 B","111,19 B","113,42 B","114,12 B","110,64 B","114,62 B","111,90 B","108,17 B","103,97 B","105,35 B","102,81 B","102,33 B","97,88 B","96,64 B","95,94 B","89,07 B","85,93 B","85,98 B","81,01 B","79,28 B","73,30 B","72,60 B","67,55 B","65,81 B","64,34 B","67,48 B","64,56 B","65,00 B","62,14 B","66,00 B","63,88 B","62,76 B","61,47 B","64,28 B","63,22 B","61,10 B","58,25 B","59,02 B","57,89 B","56,74 B","54,02 B","54,83 B","53,66 B","50,82 B","49,17 B","48,59 B","46,12 B","44,40 B","42,77 B","41,93 B","40,37 B","39,35 B","39,16 B","39,05 B","334,70 B","317,58 B","315,66 B","312,00 B","301,53 B","289,54 B","282,96 B","275,49 B","213,50 B"
Ativo circulante,"12,71 B","11,33 B","9,71 B","13,03 B","12,20 B","12,52 B","13,52 B","12,81 B","12,82 B","12,79 B","12,68 B","13,21 B","11,18 B","11,69 B","11,19 B","10,18 B","9,39 B","9,77 B","7,63 B","10,45 B","7,31 B","8,02 B","6,72 B","6,80 B","6,41 B","6,38 B","6,00 B","6,78 B","6,17 B","6,35 B","6,33 B","6,31 B","6,16 B","5,78 B","5,33 B","7,07 B","6,25 B","6,34 B","5,58 B","6,10 B","4,79 B","6,11 B","5,88 B","5,82 B","5,51 B","5,58 B","5,17 B","5,34 B","5,13 B","5,25 B","4,71 B","5,60 B","6,31 B","5,30 B","198,21 B","191,18 B","194,85 B","191,17 B","292,85 B","280,94 B","274,40 B","178,97 B","137,92 B"
Caixa e eq. de caixa,"5,03 B","4,04 B","3,61 B","5,15 B","5,54 B","4,85 B","6,90 B","5,92 B","6,61 B","5,98 B","4,89 B","5,55 B","4,29 B","4,47 B","4,54 B","3,17 B","3,45 B","3,88 B","2,52 B","5,07 B","2,54 B","2,89 B","2,60 B","2,63 B","2,42 B","2,37 B","2,03 B","2,21 B","1,88 B","2,42 B","2,25 B","2,02 B","1,72 B","1,22 B","1,10 B","1,93 B","2,61 B","2,43 B","2,29 B","2,36 B","1,76 B","2,17 B","2,12 B","1,95 B","1,99 B","1,90 B","1,89 B","1,80 B","1,90 B","1,54 B","1,01 B","1,09 B","1,16 B","1,38 B","4,86 B","5,18 B","3,94 B","3,99 B","4,34 B","5,83 B","4,46 B","4,03 B","3,90 B"
Aplicações financeiras,"1,94 B","1,88 B","1,77 B","2,18 B","1,90 B","2,11 B","2,08 B","1,73 B","1,77 B","1,72 B","3,32 B","2,06 B","1,99 B","2,00 B","2,04 B","1,85 B","1,54 B","1,52 B","1,41 B","1,44 B","1,45 B","1,47 B","1,21 B","1,19 B","1,17 B","1,21 B","1,09 B","1,08 B","1,05 B","1,03 B","986,00 M","996,00 M","1,39 B","1,44 B","1,50 B","1,90 B","437,00 M","310,00 M","300,00 M","295,00 M","285,00 M","282,00 M","274,00 M","304,00 M","295,00 M","290,00 M","59,00 M","67,00 M","69,00 M","86,00 M","425,00 M","307,00 M","750,00 M","429,00 M","105,13 B","98,42 B","106,93 B","102,17 B","142,76 B","137,82 B","138,81 B","98,54 B","76,34 B"
Contas a receber,"2,57 B","2,56 B","1,45 B","2,95 B","2,33 B","3,13 B","2,42 B","2,96 B","2,20 B","2,98 B","2,18 B","3,07 B","2,27 B","3,06 B","2,27 B","2,85 B","2,13 B","2,38 B","1,94 B","2,24 B","1,63 B","2,19 B","1,50 B","1,26 B","1,11 B","1,28 B","1,22 B","1,16 B","1,12 B","1,30 B","1,30 B","1,01 B","1,05 B","1,09 B","1,01 B","932,00 M","985,00 M","934,00 M","937,00 M","955,00 M","977,00 M","996,00 M","1,17 B","1,04 B","1,15 B","1,01 B","1,19 B","1,11 B","1,17 B","1,20 B","1,27 B","1,11 B","1,18 B","1,18 B","70,33 B","69,75 B","67,67 B","67,11 B","115,28 B","108,34 B","103,77 B","58,70 B","47,42 B"
Estoques,"1,77 B","1,76 B","1,92 B","1,80 B","1,70 B","1,64 B","1,38 B","1,48 B","1,48 B","1,54 B","1,53 B","1,62 B","1,71 B","1,60 B","1,76 B","1,80 B","1,72 B","1,43 B","1,25 B","1,17 B","1,12 B","925,00 M","893,00 M","963,00 M","984,00 M","853,00 M","970,00 M","951,00 M","934,00 M","798,00 M","847,00 M","875,00 M","884,00 M","839,00 M","915,00 M","970,00 M","875,00 M","907,00 M","947,00 M","951,00 M","954,00 M","968,00 M","922,00 M","895,00 M","826,00 M","831,00 M","778,00 M","822,00 M","816,00 M","736,00 M","674,00 M","674,00 M","844,00 M","790,00 M","815,00 M","806,00 M","850,00 M","771,00 M","797,00 M","788,00 M","735,00 M","663,00 M","733,00 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,09 B","1,11 B",0,"1,10 B","1,11 B","1,11 B","1,09 B","1,06 B","1,04 B","1,05 B","1,03 B","870,00 M"
Ativo não circulante,"101,79 B","99,86 B","103,71 B","101,10 B","98,44 B","102,11 B","98,38 B","95,36 B","91,15 B","92,56 B","90,14 B","89,12 B","86,69 B","84,94 B","84,76 B","78,88 B","76,54 B","76,21 B","73,38 B","68,83 B","65,99 B","64,58 B","60,83 B","59,02 B","57,93 B","61,09 B","58,56 B","58,22 B","55,97 B","59,66 B","57,55 B","56,45 B","55,31 B","58,50 B","57,89 B","54,03 B","52,00 B","52,68 B","52,31 B","50,64 B","49,23 B","48,72 B","47,78 B","44,99 B","43,66 B","43,02 B","40,95 B","39,06 B","37,64 B","36,68 B","35,66 B","33,75 B","32,85 B","33,75 B","136,49 B","126,41 B","120,81 B","120,83 B","8,68 B","8,60 B","8,55 B","96,52 B","75,58 B"
Investimentos,"90,03 B","88,07 B","92,06 B","89,19 B","86,39 B","90,17 B","86,36 B","83,41 B","79,77 B","81,30 B","79,37 B","78,77 B","76,72 B","75,36 B","75,37 B","69,72 B","67,70 B","67,63 B","65,72 B","61,33 B","58,87 B","57,37 B","53,45 B","51,58 B","50,63 B","53,04 B","50,15 B","50,67 B","48,42 B","52,83 B","50,23 B","48,90 B","47,60 B","50,93 B","50,15 B","46,41 B","44,80 B","45,06 B","44,71 B","43,14 B","41,49 B","41,25 B","40,09 B","37,67 B","36,20 B","35,81 B","33,67 B","31,84 B","30,46 B","29,95 B","28,95 B","27,95 B","27,36 B","27,30 B","1,28 B","1,18 B","940,00 M","938,00 M","986,00 M","998,00 M","1,12 B","1,08 B","1,13 B"
Imobilizado,"4,39 B","4,47 B","4,69 B","4,71 B","4,71 B","4,73 B","4,58 B","4,57 B","4,47 B","4,42 B","4,26 B","4,17 B","4,07 B","4,05 B","3,98 B","3,88 B","3,75 B","3,74 B","3,64 B","3,57 B","3,56 B","3,62 B","3,64 B","3,68 B","3,65 B","3,67 B","3,63 B","3,33 B","3,30 B","3,34 B","3,40 B","3,44 B","3,56 B","3,67 B","3,64 B","3,69 B","3,71 B","3,74 B","3,99 B","4,02 B","4,09 B","4,15 B","4,21 B","4,15 B","4,15 B","4,08 B","4,12 B","4,11 B","4,11 B","3,83 B","3,79 B","3,72 B","3,69 B","3,64 B","5,32 B","5,25 B","5,07 B","5,08 B","4,85 B","4,80 B","4,74 B","4,62 B","4,30 B"
