Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"479,31 B","473,65 B","469,40 B","479,67 B","459,89 B",0,"442,98 B","421,14 B","404,74 B","408,33 B","407,54 B","396,34 B","377,30 B","381,16 B","217,79 B","217,11 B","203,16 B","218,46 B","216,47 B","203,59 B","214,81 B","210,40 B","206,00 B","199,99 B","197,92 B","182,35 B","171,86 B","175,20 B","180,86 B","198,19 B","196,37 B","192,92 B","185,30 B","192,39 B","183,08 B","170,99 B","165,40 B","168,02 B","164,44 B","161,03 B","159,03 B","164,02 B","154,31 B","137,17 B","130,26 B","125,49 B","118,43 B","112,77 B","108,97 B","109,59 B","107,31 B","106,30 B","103,50 B","104,91 B","103,58 B","98,60 B","94,39 B","91,05 B","88,00 B","85,58 B","82,27 B","81,25 B","67,46 B"
Ativo circulante,"213,80 B","241,58 B","208,11 B","258,26 B","238,19 B",0,"191,75 B","150,38 B","146,82 B","154,88 B","146,50 B","115,65 B","136,97 B","145,82 B","29,80 B","35,58 B","23,61 B","28,20 B","31,41 B","19,58 B","18,22 B","20,80 B","10,56 B","11,29 B","25,95 B","26,36 B","21,21 B","16,94 B","20,06 B","18,69 B","12,28 B","12,15 B","16,10 B","28,62 B","22,54 B","10,68 B","4,73 B","12,44 B","6,26 B","5,33 B","8,15 B","16,13 B","7,57 B","7,17 B","21,81 B","20,49 B","17,07 B","17,42 B","14,33 B","15,45 B","12,22 B","12,00 B","10,65 B","13,71 B","25,15 B","29,27 B","28,07 B","28,65 B","1,43 B","1,24 B","1,11 B","3,79 B","10,80 B"
Caixa e eq. de caixa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Aplicações financeiras,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Contas a receber,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Estoques,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativos biológicos,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativo não circulante,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Investimentos,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Imobilizado,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Intangível,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Passivo total,"479,31 B","473,65 B","469,40 B","479,67 B","459,89 B",0,"442,98 B","421,14 B","404,74 B","408,33 B","407,54 B","396,34 B","377,30 B","381,16 B","217,79 B","217,11 B","203,16 B","218,46 B","216,47 B","203,59 B","214,81 B","210,40 B","206,00 B","199,99 B","197,92 B","182,35 B","171,86 B","175,20 B","180,86 B","198,19 B","196,37 B","192,92 B","185,30 B","192,39 B","183,08 B","170,99 B","165,40 B","168,02 B","164,44 B","161,03 B","159,03 B","164,02 B","154,31 B","137,17 B","130,26 B","125,49 B","118,43 B","112,77 B","108,97 B","109,59 B","107,31 B","106,30 B","103,50 B","104,91 B","103,58 B","98,60 B","94,39 B","91,05 B","88,00 B","85,58 B","82,27 B","81,25 B","67,46 B"
Passivo circulante,"277,20 B","274,85 B","259,25 B","276,36 B","263,38 B",0,"197,63 B","99,73 B","96,04 B","96,67 B","176,75 B","170,73 B","171,54 B","99,98 B","18,19 B","26,69 B","13,43 B","18,25 B","22,66 B","15,05 B","15,81 B","15,87 B","9,52 B","9,37 B","12,55 B","5,10 B","5,49 B","11,72 B","13,14 B","18,33 B","22,87 B","24,13 B","25,57 B","27,00 B","23,93 B","15,87 B","15,86 B","16,53 B","11,35 B","9,07 B","3,55 B","5,16 B","3,43 B","3,27 B","2,12 B","2,30 B","1,60 B","2,20 B","1,22 B","1,65 B","840,58 M","1,71 B","1,06 B","1,63 B","5,97 B","6,61 B","5,91 B","6,23 B","1,13 B","1,68 B","1,26 B","2,86 B","2,68 B"
