Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019
Receita líquida,"515,33 M","640,69 M","505,10 M","653,59 M","740,38 M","542,67 M","401,27 M","502,68 M","495,86 M","465,94 M","445,05 M","269,53 M","509,25 M","485,91 M","442,80 M","376,21 M","360,35 M","334,00 M","378,51 M","318,55 M","267,34 M","296,97 M","202,59 M","199,10 M","287,84 M","215,12 M","189,21 M"
Custos,"-458,84 M","-490,50 M","-608,17 M","-592,64 M","-548,72 M","-327,55 M","-230,13 M","-241,05 M","-582,33 M","-221,59 M","-331,18 M","-177,46 M","-467,87 M","-312,56 M","-202,57 M","-303,26 M","-128,59 M","-121,79 M","-140,10 M","-108,26 M","-119,26 M","-117,59 M","-133,25 M","-111,47 M","-215,98 M","-146,78 M","-143,64 M"
Lucro bruto,"56,48 M","150,19 M","-103,08 M","60,95 M","191,66 M","215,12 M","171,14 M","261,62 M","-86,47 M","244,34 M","113,87 M","92,07 M","41,38 M","173,35 M","240,23 M","72,95 M","231,76 M","212,20 M","238,41 M","210,29 M","148,08 M","179,38 M","69,34 M","87,63 M","71,85 M","68,33 M","45,57 M"
Despesas operacionais,"-17,77 M","-70,11 M","-61,61 M","-35,49 M","-63,12 M","-47,73 M","-20,63 M","-46,33 M","-24,71 M","-44,11 M","-43,34 M","-15,64 M","456,20 M","-1,91 M","-9,05 M","-12,13 M","13,10 M","4,74 M","-9,10 M","-12,51 M","-38,00 M","-10,99 M","-25,88 M","-16,58 M","3,60 M","-12,49 M","-1,52 M"
Despesas com vendas,"-52,02 M","-66,98 M","-58,52 M","-48,45 M","-61,34 M","-57,36 M","-41,39 M","-35,48 M","-33,27 M","-38,43 M","-31,00 M","-30,14 M","-31,33 M","-41,36 M","-33,67 M","-29,55 M","-23,92 M","-22,97 M","-22,81 M","-21,57 M","-27,54 M","-30,20 M","-24,21 M","-15,99 M","-17,80 M","-17,08 M","-15,66 M"
Despesas administrativas,"-31,03 M","-43,08 M","-32,42 M","-35,14 M","-41,80 M","-17,69 M","-37,70 M","-40,30 M","-36,08 M","-38,03 M","-28,79 M","-21,32 M","-34,09 M","-18,40 M","-29,77 M","-29,68 M","-24,85 M","-22,98 M","-23,35 M","-21,47 M","-18,84 M","-15,79 M","-16,61 M","-19,78 M","-29,20 M","-15,07 M","-10,05 M"
EBIT,"38,72 M","80,07 M","-164,69 M","25,46 M","128,54 M","167,38 M","150,51 M","215,30 M","-111,18 M","200,23 M","70,53 M","76,43 M","497,58 M","171,44 M","231,18 M","60,82 M","244,86 M","216,95 M","229,32 M","197,78 M","110,07 M","168,39 M","43,46 M","71,05 M","75,45 M","55,84 M","44,05 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"18,48 M","-71,35 M","149,12 M","-32,14 M","-273,97 M","-126,73 M","-185,32 M","-234,29 M","214,22 M","-312,02 M","-1,64 M","-157,96 M","-100,95 M","71,09 M","-81,12 M","83,73 M","-46,65 M","-262,84 M","-72,54 M","-123,99 M","-27,28 M","-86,99 M","-68,63 M","-79,49 M","-18,67 M","-57,50 M","-32,84 M"
Antes dos impostos,"57,20 M","8,72 M","-15,57 M","-6,68 M","-145,43 M","40,65 M","-34,81 M","-18,99 M","103,04 M","-111,79 M","68,89 M","-81,53 M","396,63 M","242,53 M","150,05 M","144,55 M","198,21 M","-45,89 M","156,77 M","73,79 M","82,80 M","81,40 M","-25,17 M","-8,44 M","56,78 M","-1,66 M","11,22 M"
Imposto,"-1,78 M","10,20 M","1,61 M","-7,18 M","71,94 M","-6,87 M","32,43 M","26,41 M","-27,27 M","64,24 M","-19,40 M","25,58 M","54,11 M","-65,03 M","-30,02 M","-31,57 M","-28,73 M","35,65 M","-41,09 M","-2,61 M","-32,50 M","-15,88 M","8,09 M","9,18 M","1,16 M","4,25 M","4,04 M"
Op. continuadas,"55,41 M","18,92 M","-13,96 M","-13,86 M","-73,48 M","33,77 M","-2,38 M","7,41 M","75,77 M","-47,55 M","49,49 M","-55,95 M","450,74 M","177,51 M","120,03 M","112,98 M","169,47 M","-10,24 M","115,69 M","71,18 M","50,30 M","65,52 M","-17,08 M","745,00 Mil","57,94 M","2,58 M","15,25 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1,00 Mil","290,00 Mil","92,00 Mil","153,00 Mil","477,00 Mil","-477,00 Mil",0,0
Lucro líquido,"55,41 M","18,92 M","-13,96 M","-13,86 M","-73,48 M","33,77 M","-2,38 M","7,41 M","75,77 M","-47,55 M","49,49 M","-55,95 M","450,74 M","177,51 M","120,03 M","112,98 M","169,47 M","-10,24 M","115,69 M","71,18 M","50,59 M","65,61 M","-16,93 M","1,22 M","57,47 M","2,58 M","15,25 M"
Dos controladores,0,0,"-13,96 M","75,86 M","-73,48 M",0,"-2,38 M","-40,14 M","75,77 M",0,"49,49 M","121,55 M","450,74 M",0,"120,03 M","112,98 M","169,47 M","-10,24 M","115,69 M","71,18 M","50,59 M","65,61 M","-16,93 M","1,22 M","57,47 M","2,58 M","15,25 M"
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
