Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-19,42","26,68","5,24","7,15","6,70","5,39","8,19","10,14","13,37","-410,05","-6,64","33,50","35,30","35,59","49,46","46,13","24,95","41,53"
P/VP,"1,58","1,65","0,61","1,51","0,92","1,10","1,39","1,70","2,33","1,64","2,00","1,54","2,45","3,28","4,05","3,12","2,85","7,26"
P/EBIT,"1,97","1,91","0,90","1,96","1,69","2,78","7,57","8,07","1,83","1,60","2,44","2,69","5,56","9,38","12,66","11,41","9,62","15,93"
P/EBIT *,"1,91","2,16","1,04","2,67","1,91","4,02","10,22","8,08","1,82","1,52","1,98","2,50","5,10","8,98","11,09","11,11","9,84","19,43"
PSR,"0,19","0,23","0,12","0,33","0,22","0,34","0,52","0,74","0,22","0,15","0,19","0,26","0,46","0,70","0,96","1,09","1,14","1,77"
P/Ativos,"0,15","0,18","0,09","0,21","0,16","0,20","0,31","0,11","0,11","0,10","0,14","0,18","0,34","0,57","0,84","0,68","0,81","1,38"
LPA,"-0,33","0,29","0,73","1,23","0,68","0,95","0,63","0,79","0,46","-0,01","-0,64","0,16","0,25","0,33","0,27","0,20","0,33","0,22"
VPA,"4,09","4,64","6,20","5,83","4,95","4,64","3,73","4,72","2,64","2,41","2,13","3,57","3,66","3,56","3,33","2,95","2,85","1,26"
EBIT por ação,"3,29","4,00","4,24","4,49","2,69","1,84","0,68","1,00","3,37","2,47","1,75","2,04","1,61","1,24","1,06","0,81","0,85","0,58"
EBIT por ação *,"3,40","3,53","3,67","3,30","2,38","1,27","0,51","0,99","3,37","2,59","2,15","2,20","1,76","1,30","1,21","0,83","0,83","0,47"
Ativo por ação,"42,13","42,52","43,73","41,66","28,88","24,96","16,96","71,02","55,63","40,30","31,08","30,64","26,16","20,43","16,01","13,47","10,08","6,66"
Receita líquida por ação,"33,97","33,78","31,74","26,54","21,10","15,05","9,91","10,87","28,30","25,43","22,86","20,99","19,41","16,63","14,09","8,44","7,11","5,18"
Margem bruta,"15,45%","15,79%","17,16%","18,38%","17,29%","15,38%","10,67%","13,31%","21,87%","20,48%","19,89%","18,99%","17,92%","16,03%","17,54%","16,35%","17,51%","16,14%"
