Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"318,06 M","398,66 M","423,33 M","311,07 M","357,23 M","460,10 M","439,05 M","327,83 M","380,31 M","502,20 M","405,63 M","281,20 M","323,10 M","501,98 M","515,75 M","360,07 M","437,60 M","416,88 M","330,47 M","242,65 M","236,18 M","248,12 M","201,65 M","93,99 M","127,48 M","179,36 M","149,52 M","117,05 M","137,53 M","193,96 M","166,10 M","107,65 M","108,59 M","174,34 M","161,77 M","125,03 M","117,23 M","150,30 M","120,91 M","88,29 M","115,79 M","223,78 M","202,76 M","171,52 M","107,91 M","251,54 M","254,35 M","226,68 M","173,27 M","179,54 M","166,93 M","128,78 M","119,52 M","158,43 M","94,82 M","73,50 M","97,70 M","149,69 M","125,68 M","86,04 M","60,72 M","119,38 M","97,86 M","75,84 M","73,24 M"
Custos,"-251,75 M","-299,38 M","-317,92 M","-238,69 M","-272,10 M","-329,26 M","-307,96 M","-230,87 M","-258,00 M","-350,72 M","-292,75 M","-199,12 M","-220,70 M","-315,04 M","-330,92 M","-239,42 M","-267,84 M","-271,44 M","-239,62 M","-198,52 M","-185,11 M","-192,62 M","-144,69 M","-73,52 M","-97,89 M","-129,62 M","-109,02 M","-89,20 M","-110,44 M","-149,21 M","-140,22 M","-101,85 M","-101,66 M","-167,38 M","-142,87 M","-112,33 M","-107,37 M","-151,04 M","-102,61 M","-82,91 M","-106,04 M","-191,74 M","-165,76 M","-152,76 M","-104,92 M","-201,61 M","-186,03 M","-170,32 M","-129,97 M","-127,18 M","-114,21 M","-98,44 M","-93,02 M","-118,86 M","-73,27 M","-58,77 M","-77,51 M","-116,17 M","-98,92 M","-70,63 M","-50,69 M","-94,40 M","-73,56 M","-58,30 M","-59,55 M"
Lucro bruto,"66,31 M","99,28 M","105,42 M","72,38 M","85,13 M","130,84 M","131,09 M","96,96 M","122,31 M","151,48 M","112,88 M","82,08 M","102,40 M","186,94 M","184,83 M","120,66 M","169,75 M","145,44 M","90,84 M","44,13 M","51,07 M","55,50 M","56,95 M","20,47 M","29,60 M","49,74 M","40,51 M","27,85 M","27,10 M","44,75 M","25,88 M","5,80 M","6,93 M","6,96 M","18,90 M","12,71 M","9,86 M","-739,00 Mil","18,30 M","5,39 M","9,75 M","32,05 M","37,00 M","18,76 M","2,99 M","49,93 M","68,32 M","56,36 M","43,30 M","52,36 M","52,72 M","30,34 M","26,50 M","39,57 M","21,55 M","14,72 M","20,20 M","33,52 M","26,76 M","15,41 M","10,03 M","24,99 M","24,30 M","17,54 M","13,70 M"
Despesas operacionais,"-43,70 M","-41,69 M","-41,11 M","-43,64 M","-41,86 M","-58,69 M","-48,00 M","-43,59 M","-41,74 M","-43,65 M","-33,65 M","-37,06 M","-32,70 M","-43,49 M","-36,51 M","-33,80 M","-30,24 M","-33,72 M","-38,07 M","-29,75 M","-25,08 M","-31,99 M","-26,52 M","-4,20 M","-19,38 M","-26,37 M","-22,46 M","-25,35 M","-18,59 M","-8,52 M","-19,46 M","-17,61 M","-16,77 M","-22,35 M","-26,15 M","-20,39 M","-18,95 M","-24,62 M","-16,96 M","-18,61 M","-21,15 M","-26,51 M","-20,22 M","-20,93 M","-19,43 M","-31,65 M","-14,46 M","-15,80 M","-12,58 M","-28,68 M","-20,73 M","-14,29 M","-14,09 M","-16,84 M","-12,62 M","-11,08 M","-13,37 M","-14,13 M","-11,49 M","-8,49 M","-12,54 M","-6,92 M","-12,82 M","-9,94 M","-9,64 M"
Despesas com vendas,"-24,13 M","-24,99 M","-31,16 M","-25,04 M","-25,37 M","-29,25 M","-25,69 M","-22,44 M","-23,91 M","-26,03 M","-25,29 M","-20,40 M","-22,29 M","-25,44 M","-25,13 M","-22,46 M","-21,02 M","-22,34 M","-19,05 M","-15,39 M","-13,59 M","-12,88 M","-12,71 M","-8,81 M","-10,36 M","-11,93 M","-9,72 M","-8,72 M","-8,62 M","-10,00 M","-9,06 M","-8,28 M","-7,83 M","-9,61 M","-9,47 M","-9,40 M","-7,39 M","-10,97 M","-7,93 M","-7,61 M","-9,61 M","-11,62 M","-10,28 M","-9,86 M","-9,09 M","-12,89 M","-10,78 M","-9,04 M","-8,17 M","-12,79 M","-9,07 M","-7,89 M","-7,01 M","-7,68 M","-6,39 M","-7,19 M","-5,36 M","-7,72 M","-4,43 M","-5,56 M","-4,55 M","-4,99 M","-4,59 M","-5,83 M","-3,86 M"
Despesas administrativas,"-23,51 M","-25,32 M","-23,64 M","-24,12 M","-23,36 M","-26,69 M","-24,27 M","-24,87 M","-24,98 M","-27,12 M","-23,12 M","-22,84 M","-18,36 M","-21,15 M","-17,77 M","-16,28 M","-16,20 M","-16,62 M","-14,21 M","-13,77 M","-12,69 M","-14,86 M","-10,86 M","-11,71 M","-10,83 M","-12,17 M","-12,70 M","-12,05 M","-11,04 M","-11,84 M","-11,08 M","-11,73 M","-9,86 M","-8,45 M","-11,58 M","-10,91 M","-11,11 M","-15,21 M","-10,52 M","-12,04 M","-11,87 M","-14,20 M","-13,62 M","-14,26 M","-11,47 M","-18,70 M","-12,97 M","-10,71 M","-9,53 M","-12,73 M","-9,12 M","-8,86 M","-8,00 M","-10,73 M","-5,97 M","-6,20 M","-6,26 M","-9,45 M","-6,84 M","-6,72 M","-6,66 M","-6,65 M","-5,29 M","-4,92 M","-5,35 M"
EBIT,"22,61 M","57,59 M","64,31 M","28,74 M","43,27 M","72,15 M","83,09 M","53,37 M","80,57 M","107,83 M","79,23 M","45,02 M","69,70 M","143,46 M","148,32 M","86,86 M","139,51 M","111,72 M","52,77 M","14,39 M","26,00 M","23,51 M","30,44 M","16,27 M","10,21 M","23,37 M","18,04 M","2,50 M","8,51 M","36,23 M","6,41 M","-11,81 M","-9,84 M","-15,39 M","-7,25 M","-7,68 M","-9,09 M","-25,36 M","1,34 M","-13,22 M","-11,40 M","5,53 M","16,78 M","-2,17 M","-16,44 M","18,29 M","53,87 M","40,56 M","30,72 M","23,67 M","31,98 M","16,05 M","12,41 M","22,73 M","8,93 M","3,65 M","6,83 M","19,39 M","15,27 M","6,91 M","-2,51 M","18,07 M","11,48 M","7,60 M","4,06 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"1,22 M","-326,00 Mil","2,35 M","-5,54 M","-1,76 M","-1,89 M","-233,00 Mil","1,26 M","-544,00 Mil","-734,00 Mil","2,98 M","-383,00 Mil","2,08 M","1,74 M","5,04 M","137,00 Mil","-5,33 M","-1,29 M","4,12 M","-519,00 Mil","-218,00 Mil","41,00 Mil","-561,00 Mil","6,50 M","2,76 M","-1,40 M","-1,80 M","-482,00 Mil","-1,22 M","-2,21 M","-1,61 M","-1,91 M","2,00 Mil","-1,28 M","1,81 M","-269,00 Mil","1,95 M","2,62 M","1,81 M","2,98 M","2,60 M","471,00 Mil","-6,31 M","461,00 Mil","-3,80 M","406,00 Mil","-6,30 M","-1,78 M","-353,00 Mil","-2,15 M","592,00 Mil","-2,14 M","-1,73 M","-2,12 M","-1,60 M","-3,62 M","-491,00 Mil","-3,44 M","-5,18 M","-316,00 Mil","-939,00 Mil","-2,72 M","-2,02 M","-3,43 M","-2,92 M"
Antes dos impostos,"23,83 M","57,27 M","66,66 M","23,20 M","41,51 M","70,26 M","82,86 M","54,63 M","80,02 M","107,09 M","82,21 M","44,63 M","71,78 M","145,20 M","153,36 M","86,99 M","134,18 M","110,43 M","56,89 M","13,87 M","25,78 M","23,55 M","29,88 M","22,77 M","12,97 M","21,97 M","16,25 M","2,02 M","7,28 M","34,02 M","4,80 M","-13,72 M","-9,84 M","-16,67 M","-5,45 M","-7,95 M","-7,14 M","-22,74 M","3,15 M","-10,24 M","-8,80 M","6,00 M","10,47 M","-1,71 M","-20,23 M","18,69 M","47,57 M","38,78 M","30,37 M","21,52 M","32,58 M","13,91 M","10,68 M","20,60 M","7,33 M","30,00 Mil","6,33 M","15,96 M","10,09 M","6,60 M","-3,45 M","15,35 M","9,46 M","4,17 M","1,15 M"
