Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"62,09 B","63,80 B","62,16 B","60,34 B","57,47 B","59,39 B","58,99 B","57,50 B","56,79 B","55,43 B","51,69 B","49,26 B","49,38 B","47,64 B","46,13 B","44,29 B","40,20 B","42,08 B","40,84 B","38,28 B","38,58 B","35,27 B","35,84 B","37,23 B","33,84 B","34,70 B","37,28 B","34,30 B","30,25 B","29,63 B","29,36 B","28,84 B","28,51 B","30,55 B","30,16 B","29,38 B","30,02 B","29,31 B","28,22 B","28,11 B","26,93 B","26,27 B","25,18 B","23,15 B","22,27 B","21,17 B","20,71 B","19,74 B","17,81 B","14,92 B","14,16 B","14,32 B","14,10 B","14,10 B","14,40 B","14,06 B","13,50 B","12,74 B","12,68 B","12,38 B","12,22 B","12,26 B","11,40 B"
Ativo circulante,"16,09 B","18,05 B","16,59 B","15,14 B","12,99 B","13,82 B","14,19 B","19,39 B","17,97 B","16,50 B","13,58 B","11,65 B","12,96 B","12,50 B","12,51 B","13,34 B","11,43 B","13,89 B","14,08 B","12,97 B","13,35 B","10,79 B","12,26 B","14,52 B","12,11 B","13,67 B","16,69 B","15,44 B","11,53 B","10,86 B","10,95 B","10,29 B","9,98 B","11,80 B","11,28 B","10,26 B","10,49 B","9,96 B","8,97 B","8,99 B","8,62 B","8,68 B","8,73 B","7,80 B","7,99 B","7,90 B","8,28 B","7,37 B","6,87 B","4,83 B","4,12 B","4,30 B","4,47 B","4,43 B","4,81 B","4,91 B","4,41 B","4,08 B","4,48 B","4,07 B","4,02 B","4,13 B","3,54 B"
Caixa e eq. de caixa,"8,10 B","10,11 B","8,96 B","7,30 B","5,67 B","6,74 B","6,67 B","11,90 B","10,72 B","9,56 B","5,93 B","4,07 B","5,21 B","4,68 B","3,71 B","4,88 B","4,15 B","6,41 B","6,96 B","6,51 B","7,01 B","5,21 B","6,53 B","8,04 B","5,80 B","8,34 B","10,78 B","10,10 B","6,13 B","5,73 B","6,04 B","5,63 B","5,33 B","7,03 B","7,07 B","6,34 B","6,65 B","5,87 B","5,32 B","5,22 B","5,30 B","5,05 B","5,37 B","4,72 B","5,07 B","5,25 B","5,81 B","5,05 B","4,41 B","2,73 B","2,17 B","2,42 B","2,52 B","2,52 B","2,91 B","3,08 B","2,71 B","2,34 B","2,81 B","2,48 B","2,43 B","2,53 B","1,84 B"
Aplicações financeiras,"789,91 M","785,37 M","766,21 M","780,50 M","799,11 M","794,04 M","829,24 M","1,06 B","1,08 B","1,16 B","1,93 B","1,95 B","1,87 B","1,82 B","2,54 B","2,52 B","2,04 B","2,02 B","1,99 B","1,74 B","1,52 B","1,35 B","1,31 B","1,83 B","1,42 B","1,39 B","1,37 B","1,36 B","1,33 B","1,31 B","1,28 B","1,27 B","1,26 B","1,24 B","632,12 M","614,56 M","606,07 M","591,30 M","576,77 M","594,28 M","575,07 M","557,14 M","539,07 M","521,21 M","505,93 M","497,60 M","484,22 M","471,34 M","459,76 M","249,51 M","243,87 M","238,77 M","234,53 M","240,08 M","236,03 M","231,66 M","226,86 M","221,26 M","215,49 M","209,18 M","203,47 M","198,22 M","209,87 M"
Contas a receber,"2,29 B","2,40 B","2,04 B","1,89 B","1,72 B","1,82 B","2,38 B","2,43 B","2,40 B","2,11 B","2,40 B","2,32 B","2,43 B","2,67 B","2,96 B","2,92 B","2,38 B","2,81 B","2,66 B","2,50 B","2,45 B","1,81 B","1,99 B","2,11 B","2,22 B","1,86 B","2,08 B","1,94 B","1,98 B","2,04 B","2,01 B","1,71 B","1,67 B","1,75 B","1,79 B","1,40 B","1,31 B","1,63 B","1,35 B","1,44 B","1,32 B","1,50 B","1,38 B","1,24 B","1,27 B","1,15 B","1,13 B","1,03 B","1,18 B","1,15 B","1,07 B","1,01 B","1,02 B","981,99 M","959,15 M","851,63 M","814,92 M","821,15 M","781,52 M","761,49 M","770,98 M","753,96 M","661,13 M"
Estoques,"3,73 B","3,68 B","3,53 B","3,75 B","3,42 B","3,22 B","3,31 B","3,12 B","2,87 B","2,67 B","2,66 B","2,72 B","2,60 B","2,44 B","2,35 B","2,15 B","2,10 B","2,00 B","1,79 B","1,61 B","1,47 B","1,38 B","1,38 B","1,56 B","1,46 B","1,33 B","1,41 B","1,46 B","1,35 B","1,21 B","1,13 B","1,04 B","984,11 M","933,16 M","906,53 M","932,59 M","915,94 M","876,91 M","875,17 M","912,68 M","834,68 M","701,13 M","663,62 M","607,45 M","599,79 M","563,71 M","532,67 M","530,46 M","507,25 M","495,85 M","489,81 M","490,29 M","479,50 M","473,66 M","481,19 M","494,46 M","521,22 M","506,22 M","495,52 M","462,55 M","475,45 M","460,13 M","470,62 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"46,00 B","45,75 B","45,58 B","45,19 B","44,48 B","45,57 B","44,80 B","38,11 B","38,82 B","38,94 B","38,12 B","37,61 B","36,42 B","35,14 B","33,61 B","30,95 B","28,77 B","28,18 B","26,76 B","25,31 B","25,23 B","24,48 B","23,58 B","22,71 B","21,73 B","21,03 B","20,59 B","18,86 B","18,72 B","18,77 B","18,41 B","18,55 B","18,53 B","18,75 B","18,88 B","19,12 B","19,53 B","19,35 B","19,25 B","19,12 B","18,32 B","17,59 B","16,44 B","15,34 B","14,28 B","13,27 B","12,43 B","12,37 B","10,94 B","10,09 B","10,04 B","10,02 B","9,64 B","9,67 B","9,59 B","9,15 B","9,09 B","8,66 B","8,21 B","8,31 B","8,21 B","8,13 B","7,87 B"
Investimentos,"98,83 M","96,89 M","135,59 M","137,26 M","135,12 M","139,23 M","125,80 M","280,31 M","276,24 M","278,51 M","287,82 M","285,50 M","292,41 M","289,00 M","280,98 M","277,65 M","278,46 M","273,44 M","264,83 M","264,59 M","265,97 M","268,44 M","266,14 M","265,47 M","261,73 M","170,66 M","182,22 M","179,59 M","177,82 M","173,26 M","170,38 M","169,90 M","170,50 M","173,45 M","176,29 M","171,00 M","552,76 M","555,35 M","539,65 M","530,29 M","515,06 M","507,27 M","510,14 M","504,63 M","502,28 M","494,75 M","485,66 M","472,83 M","472,12 M","466,58 M","464,27 M","454,18 M","457,92 M","462,19 M","461,70 M","459,94 M","622,11 M","618,03 M","11,54 M","11,54 M","11,54 M","11,54 M","11,55 M"
Imobilizado,"30,33 B","30,31 B","30,32 B","30,40 B","30,37 B","30,75 B","30,89 B","27,39 B","27,39 B","27,29 B","27,64 B","27,18 B","26,47 B","25,77 B","24,63 B","22,95 B","21,29 B","20,61 B","19,71 B","19,13 B","17,98 B","17,65 B","16,38 B","15,33 B","14,48 B","13,74 B","13,14 B","12,66 B","12,44 B","12,26 B","12,23 B","12,30 B","12,42 B","12,62 B","12,61 B","12,75 B","12,79 B","13,00 B","12,96 B","12,94 B","12,66 B","12,01 B","11,04 B","10,10 B","9,19 B","8,35 B","7,45 B","7,75 B","6,32 B","5,91 B","5,80 B","5,81 B","5,41 B","5,38 B","5,29 B","5,12 B","4,93 B","4,92 B","4,99 B","5,02 B","5,03 B","5,00 B","5,00 B"
Intangível,"504,78 M","505,83 M","480,73 M","478,20 M","437,37 M","428,08 M","408,50 M","384,00 M","358,70 M","339,64 M","303,31 M","301,87 M","298,17 M","285,10 M","146,98 M","145,88 M","156,21 M","142,38 M","145,44 M","88,80 M","77,89 M","75,33 M","72,09 M","74,35 M","73,85 M","77,87 M","81,48 M","82,41 M","84,77 M","85,22 M","87,35 M","89,09 M","88,81 M","89,95 M","91,72 M","93,22 M","85,14 M","120,26 M","23,80 M","24,38 M","12,82 M","12,78 M","12,60 M","11,41 M","12,10 M","11,34 M","11,68 M","11,55 M","10,95 M","9,30 M","8,62 M","9,00 M","8,97 M","8,65 M","8,01 M","8,18 M","8,28 M","7,10 M","7,36 M","7,20 M","7,67 M","7,66 M","6,37 M"
Passivo total,"62,09 B","63,80 B","62,16 B","60,34 B","57,47 B","59,39 B","58,99 B","57,50 B","56,79 B","55,43 B","51,69 B","49,26 B","49,38 B","47,64 B","46,13 B","44,29 B","40,20 B","42,08 B","40,84 B","38,28 B","38,58 B","35,27 B","35,84 B","37,23 B","33,84 B","34,70 B","37,28 B","34,30 B","30,25 B","29,63 B","29,36 B","28,84 B","28,51 B","30,55 B","30,16 B","29,38 B","30,02 B","29,31 B","28,22 B","28,11 B","26,93 B","26,27 B","25,18 B","23,15 B","22,27 B","21,17 B","20,71 B","19,74 B","17,81 B","14,92 B","14,16 B","14,32 B","14,10 B","14,10 B","14,40 B","14,06 B","13,50 B","12,74 B","12,68 B","12,38 B","12,22 B","12,26 B","11,40 B"
Passivo circulante,"9,05 B","8,77 B","7,83 B","7,17 B","6,63 B","7,16 B","6,17 B","6,82 B","6,44 B","5,88 B","6,29 B","6,28 B","6,26 B","6,57 B","5,33 B","5,45 B","4,52 B","5,57 B","5,42 B","4,65 B","4,57 B","3,61 B","3,14 B","2,57 B","3,08 B","3,10 B","3,27 B","3,19 B","2,68 B","3,71 B","3,72 B","3,55 B","2,92 B","3,75 B","3,49 B","3,56 B","3,82 B","4,14 B","3,78 B","3,55 B","3,38 B","3,16 B","3,17 B","3,21 B","3,03 B","2,52 B","2,20 B","2,76 B","1,87 B","1,78 B","1,84 B","2,03 B","1,66 B","1,77 B","1,89 B","1,87 B","1,87 B","1,93 B","1,94 B","1,85 B","1,67 B","1,69 B","1,50 B"
Fornecedores,"4,05 B","4,14 B","4,16 B","3,81 B","3,17 B","2,94 B","2,87 B","2,63 B","2,40 B","2,60 B","2,37 B","2,79 B","2,72 B","2,94 B","2,68 B","2,76 B","2,36 B","2,50 B","2,46 B","2,20 B","2,06 B","2,00 B","1,55 B","1,30 B","1,21 B","1,02 B","978,02 M","915,77 M","742,74 M","903,75 M","828,93 M","807,06 M","617,47 M","713,61 M","578,64 M","615,42 M","568,04 M","634,86 M","627,38 M","701,73 M","653,50 M","702,20 M","717,13 M","663,73 M","627,38 M","438,86 M","341,93 M","1,23 B","314,80 M","345,38 M","391,83 M","615,28 M","289,04 M","318,08 M","339,46 M","265,28 M","204,80 M","335,05 M","234,34 M","243,77 M","272,14 M","269,84 M","189,70 M"
Empréstimos e financ.,"2,27 B","1,77 B","1,85 B","1,75 B","1,61 B","1,81 B","1,62 B","2,57 B","2,62 B","1,56 B","2,20 B","1,96 B","2,14 B","1,95 B","1,07 B","1,33 B","1,13 B","1,86 B","1,80 B","1,55 B","1,73 B","721,02 M","759,13 M","670,16 M","1,35 B","1,27 B","1,60 B","1,67 B","1,31 B","1,98 B","2,27 B","2,20 B","1,79 B","2,47 B","2,34 B","2,34 B","2,73 B","2,84 B","2,63 B","2,42 B","2,36 B","2,05 B","2,02 B","2,20 B","2,00 B","1,75 B","1,51 B","1,20 B","1,18 B","1,12 B","1,13 B","1,13 B","1,08 B","1,12 B","1,23 B","1,19 B","1,01 B","910,50 M","929,71 M","865,99 M","847,78 M","842,12 M","802,31 M"
Passivo não circulante,"37,46 B","40,63 B","39,66 B","39,78 B","39,53 B","43,59 B","40,87 B","39,06 B","36,80 B","35,83 B","31,81 B","28,74 B","30,36 B","29,50 B","29,81 B","29,15 B","25,82 B","29,42 B","28,96 B","27,32 B","30,23 B","27,27 B","29,52 B","31,29 B","27,33 B","25,10 B","27,80 B","24,91 B","21,24 B","19,39 B","19,62 B","19,19 B","18,40 B","19,57 B","19,18 B","18,69 B","18,51 B","18,07 B","17,12 B","17,14 B","17,27 B","17,75 B","17,01 B","13,42 B","13,01 B","11,60 B","11,23 B","9,54 B","8,78 B","7,75 B","6,85 B","6,89 B","6,82 B","6,91 B","7,15 B","7,16 B","6,22 B","5,85 B","5,71 B","5,20 B","5,23 B","5,58 B","5,18 B"
