Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"4,64 B","4,49 B","4,02 B","3,83 B","3,53 B","3,46 B","2,72 B","2,66 B","2,53 B","2,22 B","2,20 B","2,03 B","1,96 B","1,93 B","1,79 B","1,79 B","1,78 B","1,75 B","1,94 B","1,88 B","1,69 B","1,69 B","1,62 B","602,10 M","607,51 M","365,87 M","106,23 M"
Ativo circulante,"4,03 B","3,57 B","3,12 B","2,83 B","2,70 B","2,64 B","2,17 B","2,22 B","2,09 B","1,74 B","1,57 B","1,57 B","1,61 B","1,52 B","1,49 B","1,49 B","1,37 B","1,14 B","1,33 B","1,42 B","1,35 B","1,40 B","1,47 B","463,30 M","437,00 M","268,13 M","51,25 M"
Caixa e eq. de caixa,"196,18 M","189,28 M","115,72 M","138,09 M","116,34 M","106,17 M","34,23 M","35,65 M","33,82 M","39,62 M","17,89 M","34,87 M","33,44 M","33,63 M","16,62 M","15,29 M","2,46 M","7,12 M","5,21 M","792,82 M","814,89 M","899,71 M","1,02 B","39,85 M","49,85 M","66,31 M","21,84 M"
Aplicações financeiras,"699,32 M","721,67 M","696,19 M","652,70 M","591,17 M","670,20 M","516,87 M","575,00 M","483,27 M","335,40 M","475,22 M","504,64 M","474,73 M","395,26 M","466,33 M","501,49 M","515,79 M","460,22 M","646,39 M","11,43 M","21,16 M","22,10 M",0,0,0,0,0
Contas a receber,"1,14 B","1,18 B","1,09 B","1,02 B","844,59 M","873,25 M","662,50 M","625,41 M","605,05 M","511,88 M","444,02 M","359,64 M","318,05 M","293,81 M","241,08 M","250,71 M","233,71 M","271,79 M","283,37 M","305,91 M","250,28 M","209,15 M","191,05 M","153,87 M","116,72 M","61,21 M","15,45 M"
Estoques,"1,95 B","1,41 B","1,16 B","971,59 M","1,11 B","950,32 M","928,01 M","956,91 M","949,38 M","838,63 M","622,78 M","660,64 M","780,85 M","787,98 M","754,85 M","717,76 M","613,35 M","394,80 M","387,73 M","303,13 M","264,69 M","263,03 M","265,00 M","267,58 M","269,43 M","140,25 M","13,51 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"606,74 M","921,23 M","893,70 M","994,64 M","826,50 M","821,75 M","550,55 M","440,31 M","437,20 M","480,31 M","625,72 M","464,37 M","353,20 M","411,47 M","302,74 M","300,51 M","407,05 M","611,08 M","612,73 M","464,13 M","330,93 M","295,43 M","141,55 M","138,80 M","170,50 M","97,74 M","54,99 M"
Investimentos,"211,69 M","198,14 M","106,54 M","97,19 M","117,16 M","135,68 M","159,49 M","117,96 M","97,76 M","103,58 M","93,08 M","90,65 M","81,69 M","50,60 M","11,08 M","11,32 M","15,74 M","15,08 M","14,68 M","13,26 M","12,31 M","10,93 M","10,31 M","10,17 M","9,61 M","20,62 M","16,69 M"
Imobilizado,"46,57 M","29,59 M","24,81 M","23,48 M","23,97 M","23,54 M","18,52 M","18,38 M","15,98 M","15,10 M","10,91 M","9,71 M","7,47 M","2,95 M","3,37 M","3,72 M","3,92 M","4,08 M","4,30 M","3,02 M","3,21 M","2,17 M","1,72 M","1,83 M","1,90 M","1,96 M","745,00 Mil"
