Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018
P/L,"5,60","6,73","4,46","6,07","6,11","3,50","9,11",-,-
P/VP,"1,62","1,86","1,03","1,10","0,60","0,53","0,70",-,-
P/EBIT,"4,93","5,89","3,85","6,38","8,11","3,52","7,17",-,-
P/EBIT *,"6,12","7,20","4,57","7,46","7,81","3,62","7,24",-,-
PSR,"1,23","1,58","0,99","1,56","1,26","1,02","2,37",-,-
P/Ativos,"0,48","0,62","0,44","0,63","0,36","0,35","0,50",-,-
LPA,"2,03","2,12","1,75","1,18","0,59","0,91","0,48",-,-
VPA,"7,00","7,66","7,60","6,51","6,00","6,03","6,23",-,-
EBIT por ação,"2,31","2,42","2,03","1,13","0,44","0,90","0,61",-,-
EBIT por ação *,"1,86","1,98","1,71","0,96","0,46","0,88","0,60",-,-
Ativo por ação,"23,74","22,96","17,69","11,35","9,87","8,96","8,67",-,-
Receita líquida por ação,"9,21","9,01","7,93","4,62","2,84","3,12","1,84",-,-
Margem bruta,"33,83%","34,93%","33,76%","33,14%","33,55%","41,64%","41,67%","35,76%","31,32%"
Margem líquida,"25,00%","26,35%","25,33%","27,30%","23,57%","33,53%","33,05%","25,65%","27,89%"
Margem EBIT,"25,07%","26,85%","25,62%","24,37%","15,58%","28,98%","33,06%","27,26%","28,65%"
Margem EBIT *,"20,16%","21,98%","21,58%","20,85%","16,18%","28,19%","32,72%","23,82%","18,50%"
Margem EBITDA,"25,75%","27,47%","25,70%","24,47%","15,74%","29,11%","33,18%",--%,--%
Margem EBITDA *,"20,84%","22,59%","21,66%","20,95%","16,34%","28,32%","32,84%",--%,--%
Margem operacional,"27,45%","29,45%","28,07%","30,42%","27,77%","36,29%","35,12%","27,72%","29,56%"
ROE,"27,70%","26,07%","22,54%","17,43%","10,42%","16,34%","9,14%","43,03%","45,98%"
ROA,"0,10","0,10","0,11","0,11","0,07","0,12","0,07","0,14","0,22"
ROIC,"12,32%","13,58%","15,18%","12,07%","5,85%","13,89%","15,51%","17,85%","29,02%"
ROIC *,"9,91%","11,11%","12,79%","10,33%","6,07%","13,51%","15,35%","15,60%","18,74%"
Giro do ativo,"0,39","0,39","0,45","0,41","0,29","0,35","0,21","0,53","0,80"
EBIT *,362 mi,387 mi,334 mi,188 mi,89 mi,171 mi,117 mi,46 mi,15 mi
EBITDA,463 mi,483 mi,398 mi,221 mi,87 mi,177 mi,119 mi,--,--
EBITDA *,375 mi,397 mi,335 mi,189 mi,90 mi,172 mi,118 mi,--,--
Liquidez corrente,"4,22","4,46","4,93","4,93","4,53","3,17","4,77","2,58","1,82"
Liquidez seca,"2,18","2,70","3,15","2,55","2,18","2,08","3,87","1,23","1,34"
Liquidez imediata,"0,21","0,24","0,20","0,11","0,10","0,02","3,07","0,64","0,78"
Dívida bruta,1.372 mi,1.313 mi,655 mi,216 mi,44 mi,3 mi,58 mi,56 mi,0 mi
Dívida líquida,476 mi,402 mi,-121 mi,-159 mi,-385 mi,-465 mi,-863 mi,-11 mi,-22 mi
Capital de giro,3.077 mi,2.766 mi,2.100 mi,1.385 mi,1.182 mi,780 mi,1.105 mi,164 mi,23 mi
Endividamento geral,"185,71%","151,94%","98,60%","56,82%","53,55%","40,09%","30,26%","216,71%","106,76%"
