Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"372,96 M","530,12 M","414,75 M","481,89 M","334,63 M","575,42 M","393,52 M","295,14 M","285,21 M","255,66 M","204,98 M","283,53 M","159,16 M","147,25 M","128,81 M","179,70 M","99,56 M","109,25 M","149,33 M","260,26 M","90,43 M","179,07 M","86,70 M","51,28 M","42,46 M","78,62 M","29,54 M","79,46 M","6,17 M"
Custos,"-253,91 M","-351,49 M","-268,20 M","-317,34 M","-209,07 M","-370,74 M","-265,74 M","-206,08 M","-183,65 M","-167,76 M","-136,08 M","-190,20 M","-109,94 M","-96,52 M","-80,33 M","-126,58 M","-65,56 M","-66,28 M","-84,74 M","-150,64 M","-53,89 M","-107,21 M","-47,30 M","-29,69 M","-25,52 M","-50,21 M","-20,35 M","-49,74 M","-4,19 M"
Lucro bruto,"119,05 M","178,63 M","146,56 M","164,56 M","125,56 M","204,68 M","127,78 M","89,06 M","101,56 M","87,90 M","68,90 M","93,33 M","49,23 M","50,73 M","48,48 M","53,12 M","34,01 M","42,97 M","64,59 M","109,62 M","36,55 M","71,86 M","39,40 M","21,59 M","16,95 M","28,42 M","9,19 M","29,72 M","1,99 M"
Despesas operacionais,"-47,39 M","-49,38 M","-31,60 M","-29,29 M","-32,08 M","-41,58 M","-35,31 M","-17,98 M","-31,26 M","-3,90 M","-26,70 M","-27,34 M","-21,29 M","-27,18 M","-23,44 M","-28,26 M","-20,94 M","-20,08 M","-21,08 M","-19,31 M","-16,69 M","-13,09 M","-9,84 M","-3,29 M","-4,73 M","-3,66 M","-2,43 M","-5,69 M","-4,71 M"
Despesas com vendas,"-38,58 M","-46,87 M","-35,51 M","-27,56 M","-28,28 M","-38,13 M","-31,73 M","-23,74 M","-21,59 M","-12,77 M","-17,13 M","-19,20 M","-17,05 M","-16,85 M","-16,00 M","-20,71 M","-10,39 M","-13,99 M","-16,02 M","-13,72 M","-12,95 M","-8,02 M","-4,86 M","-1,76 M","-3,46 M","-2,00 M","-5,27 M","-4,35 M","-3,49 M"
Despesas administrativas,"-29,12 M","-25,60 M","-20,53 M","-22,15 M","-21,71 M","-24,83 M","-17,19 M","-14,79 M","-16,68 M","-12,45 M","-10,69 M","-11,63 M","-10,13 M","-8,15 M","-8,38 M","-8,48 M","-7,54 M","-6,40 M","-6,46 M","-6,67 M","-5,78 M","-5,37 M","-4,27 M","-2,41 M","-2,03 M","-2,83 M","-2,78 M","-998,00 Mil","-1,42 M"
EBIT,"71,66 M","129,25 M","114,95 M","135,27 M","93,49 M","163,10 M","92,47 M","71,08 M","70,31 M","84,01 M","42,20 M","65,99 M","27,93 M","23,54 M","25,05 M","24,87 M","13,06 M","22,89 M","43,51 M","90,31 M","19,86 M","58,77 M","29,56 M","18,30 M","12,21 M","24,75 M","6,76 M","24,02 M","-2,72 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"6,41 M","10,44 M","16,82 M","9,18 M","9,29 M","9,42 M","10,64 M","8,72 M","9,09 M","15,17 M","16,20 M","15,98 M","7,28 M","18,06 M","14,34 M","17,40 M","17,91 M","11,10 M","14,16 M","12,46 M","6,85 M","6,54 M","366,00 Mil","363,00 Mil","163,00 Mil","54,00 Mil","216,00 Mil","249,00 Mil","388,00 Mil"
Antes dos impostos,"78,07 M","139,69 M","131,78 M","144,45 M","102,78 M","172,51 M","103,12 M","79,81 M","79,39 M","99,18 M","58,40 M","81,96 M","35,21 M","41,60 M","39,38 M","42,27 M","30,97 M","33,98 M","57,67 M","102,77 M","26,70 M","65,30 M","29,92 M","18,66 M","12,38 M","24,81 M","6,98 M","24,27 M","-2,33 M"
Imposto,"4,00 M","-16,42 M","-15,78 M","-15,91 M","-6,42 M","-14,87 M","-11,23 M","-8,99 M","-7,28 M","-7,26 M","-6,92 M","-8,83 M","-5,13 M","-6,78 M","-5,19 M","-6,59 M","-4,75 M","-3,60 M","-4,39 M","-6,46 M","-2,38 M","-3,23 M","-2,00 M","-1,04 M","-1,17 M","-1,54 M","-779,00 Mil","-1,44 M","-263,00 Mil"
Op. continuadas,"82,07 M","123,27 M","116,00 M","128,54 M","96,35 M","157,64 M","91,88 M","70,82 M","72,11 M","91,91 M","51,49 M","73,14 M","30,08 M","34,82 M","34,19 M","35,67 M","26,22 M","30,38 M","53,28 M","96,32 M","24,32 M","62,07 M","27,93 M","17,62 M","11,21 M","23,27 M","6,20 M","22,84 M","-2,59 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"82,07 M","123,27 M","116,00 M","128,54 M","96,35 M","157,64 M","91,88 M","70,82 M","72,11 M","91,91 M","51,49 M","73,14 M","30,08 M","34,82 M","34,19 M","35,67 M","26,22 M","30,38 M","53,28 M","96,32 M","24,32 M","62,07 M","27,93 M","17,62 M","11,21 M","23,27 M","6,20 M","22,84 M","-2,59 M"
Dos controladores,"69,87 M","104,64 M","103,96 M","118,59 M","86,88 M","119,95 M","86,58 M","65,98 M","70,00 M","88,14 M","48,56 M","69,13 M","25,61 M","32,47 M","27,62 M","33,72 M","21,08 M","24,50 M","45,63 M","90,54 M","17,05 M","53,43 M","17,64 M","13,46 M","9,00 M","19,09 M","6,34 M","21,27 M","-2,47 M"
Dos não controladores,"12,20 M","18,63 M","12,04 M","9,95 M","9,47 M","37,69 M","5,30 M","4,84 M","2,11 M","3,77 M","2,92 M","4,00 M","4,47 M","2,35 M","6,58 M","1,95 M","5,14 M","5,88 M","7,64 M","5,78 M","7,27 M","8,64 M","10,29 M","4,17 M","2,21 M","4,17 M","-139,00 Mil","1,57 M","-128,00 Mil"
