Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"1,26 B","1,33 B","1,45 B","1,37 B","1,27 B","1,32 B","1,15 B","1,07 B","1,02 B","1,02 B","1,18 B","1,12 B","1,02 B","1,12 B","1,20 B","1,02 B","890,00 M","941,53 M","949,48 M","889,11 M","834,97 M","776,69 M","691,19 M","360,90 M","573,79 M","595,70 M","645,53 M","661,80 M","623,20 M","634,41 M","710,33 M","628,23 M","618,68 M","576,50 M","596,52 M","576,33 M","540,50 M","503,91 M","530,30 M","558,23 M","572,54 M","560,86 M","667,88 M","615,25 M","579,36 M","578,64 M","595,93 M","591,59 M","566,82 M","570,37 M","640,67 M","637,99 M","544,73 M","556,87 M","583,76 M","582,09 M","569,47 M","527,10 M","606,16 M","569,08 M","534,42 M","496,63 M","483,07 M","446,56 M","397,14 M"
Custos,"-916,59 M","-991,67 M","-1,03 B","-997,02 M","-913,95 M","-1,02 B","-795,63 M","-742,50 M","-702,95 M","-750,25 M","-831,33 M","-781,53 M","-704,16 M","-839,16 M","-837,52 M","-760,31 M","-653,88 M","-721,35 M","-692,67 M","-628,01 M","-578,76 M","-546,93 M","-499,66 M","-316,92 M","-412,14 M","-467,72 M","-467,16 M","-496,67 M","-454,33 M","-512,83 M","-493,70 M","-449,95 M","-445,15 M","-421,49 M","-411,57 M","-420,73 M","-403,96 M","-382,24 M","-386,77 M","-400,26 M","-403,13 M","-427,62 M","-475,96 M","-450,94 M","-427,89 M","-441,46 M","-425,67 M","-433,45 M","-423,42 M","-442,11 M","-439,80 M","-456,32 M","-405,00 M","-407,09 M","-412,80 M","-441,56 M","-435,20 M","-415,97 M","-435,98 M","-429,53 M","-401,13 M","-392,88 M","-361,24 M","-332,68 M","-295,28 M"
Lucro bruto,"339,77 M","333,87 M","414,45 M","372,13 M","352,70 M","300,00 M","355,02 M","326,35 M","317,76 M","266,25 M","348,05 M","339,27 M","317,99 M","276,64 M","361,30 M","259,09 M","236,13 M","220,18 M","256,81 M","261,10 M","256,21 M","229,76 M","191,53 M","43,98 M","161,65 M","127,98 M","178,37 M","165,13 M","168,87 M","121,58 M","216,63 M","178,28 M","173,53 M","155,01 M","184,95 M","155,60 M","136,54 M","121,67 M","143,53 M","157,97 M","169,41 M","133,24 M","191,92 M","164,31 M","151,47 M","137,18 M","170,26 M","158,14 M","143,41 M","128,26 M","200,87 M","181,66 M","139,72 M","149,78 M","170,97 M","140,53 M","134,28 M","111,12 M","170,19 M","139,55 M","133,29 M","103,74 M","121,83 M","113,88 M","101,86 M"
Despesas operacionais,"-122,56 M","-129,53 M","-135,20 M","-141,52 M","-150,67 M","-132,19 M","-113,95 M","-127,81 M","-54,90 M","-134,52 M","-126,92 M","-110,85 M","-83,19 M","-128,44 M","-100,95 M","-102,57 M","-80,22 M","-80,78 M","-85,23 M","-22,95 M","-82,72 M","-123,44 M","-129,50 M","-84,97 M","-95,42 M","-77,39 M","-73,01 M","-73,27 M","-71,25 M","-66,74 M","-87,88 M","-88,83 M","-77,37 M","-95,59 M","-75,80 M","-71,63 M","-81,47 M","-309,95 M","-82,69 M","-90,91 M","-86,75 M","-110,13 M","-100,59 M","-87,73 M","-77,53 M","-80,72 M","-90,10 M","-80,08 M","-79,34 M","-85,65 M","-85,41 M","-93,66 M","-74,44 M","-77,86 M","-81,88 M","-88,65 M","-78,74 M","-99,48 M","-68,30 M","-71,93 M","-70,03 M","-97,67 M","-72,50 M","-81,87 M","-70,12 M"
Despesas com vendas,"-78,55 M","-88,61 M","-93,36 M","-102,61 M","-92,40 M","-112,34 M","-83,59 M","-76,06 M","-71,24 M","-81,94 M","-86,94 M","-87,55 M","-75,59 M","-95,38 M","-82,82 M","-76,88 M","-57,96 M","-61,08 M","-62,96 M","-59,64 M","-52,35 M","-48,58 M","-43,97 M","-31,86 M","-42,28 M","-44,86 M","-41,73 M","-40,91 M","-37,80 M","-36,68 M","-50,34 M","-44,65 M","-37,10 M","-41,85 M","-37,89 M","-34,81 M","-33,83 M","-41,58 M","-33,25 M","-36,65 M","-35,92 M","-36,77 M","-47,22 M","-42,47 M","-41,70 M","-45,64 M","-43,32 M","-44,60 M","-40,37 M","-41,99 M","-40,85 M","-46,42 M","-37,73 M","-40,66 M","-38,76 M","-39,50 M","-35,70 M","-36,72 M","-39,55 M","-37,69 M","-33,32 M","-36,13 M","-33,64 M","-29,78 M","-24,96 M"
Despesas administrativas,"-45,26 M","-47,46 M","-44,10 M","-46,45 M","-42,57 M","-28,44 M","-36,94 M","-40,19 M","-35,07 M","-32,74 M","-33,88 M","-32,04 M","-29,18 M","-30,41 M","-26,22 M","-30,26 M","-23,18 M","-31,40 M","-26,76 M","-24,12 M","-27,55 M","-26,44 M","-24,24 M","-19,42 M","-25,28 M","-24,45 M","-18,89 M","-23,39 M","-19,01 M","-27,27 M","-23,28 M","-22,98 M","-20,35 M","-19,78 M","-17,71 M","-27,73 M","-23,92 M","-16,84 M","-14,04 M","-24,41 M","-21,60 M","-26,86 M","-19,49 M","-18,64 M","-16,96 M","-16,91 M","-17,69 M","-17,46 M","-20,30 M","-13,64 M","-25,02 M","-25,24 M","-25,64 M","-24,82 M","-25,30 M","-29,76 M","-24,27 M","-26,41 M","-20,12 M","-22,18 M","-21,09 M","-17,61 M","-15,97 M","-26,93 M","-19,14 M"
EBIT,"217,21 M","204,34 M","279,25 M","230,62 M","202,02 M","167,80 M","241,06 M","198,53 M","262,85 M","131,74 M","221,13 M","228,41 M","234,80 M","148,20 M","260,35 M","156,52 M","155,90 M","139,41 M","171,58 M","238,15 M","173,49 M","106,32 M","62,03 M","-40,98 M","66,23 M","50,60 M","105,36 M","91,86 M","97,62 M","54,83 M","128,75 M","89,44 M","96,16 M","59,42 M","109,15 M","83,97 M","55,08 M","-188,28 M","60,84 M","67,06 M","82,66 M","23,11 M","91,32 M","76,59 M","73,94 M","56,45 M","80,16 M","78,06 M","64,06 M","42,61 M","115,47 M","88,00 M","65,28 M","71,92 M","89,09 M","51,88 M","55,54 M","11,65 M","101,89 M","67,62 M","63,26 M","6,07 M","49,33 M","32,02 M","31,74 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"75,82 M","-88,13 M","-6,71 M","-41,72 M","12,11 M","-113,17 M","-19,34 M","-50,39 M","11,81 M","28,08 M","49,57 M","29,35 M","14,83 M","-16,48 M","16,27 M","-4,91 M","-3,98 M","3,21 M","5,88 M","-11,97 M","-6,04 M","-12,40 M","-13,15 M","-19,83 M","-40,60 M","-12,56 M","-10,48 M","-9,49 M","-8,84 M","-6,87 M","-7,71 M","-5,17 M","-1,81 M","-4,32 M","-7,12 M","-7,57 M","-13,02 M","-4,70 M","-7,72 M","-22,81 M","-12,29 M","1,90 M","-315,00 Mil","-7,86 M","-5,52 M","-1,54 M","-5,26 M","-6,27 M","-3,45 M","-5,20 M","-5,60 M","-9,95 M","-12,05 M","-9,25 M","-11,26 M","-3,92 M","-3,01 M","267,00 Mil","14,44 M","-6,12 M","-2,33 M","1,48 M","-100,00 Mil","-6,29 M","-5,69 M"
Antes dos impostos,"293,04 M","116,21 M","272,54 M","188,90 M","214,13 M","54,63 M","221,72 M","148,14 M","274,67 M","159,82 M","270,70 M","257,77 M","249,63 M","131,72 M","276,62 M","151,61 M","151,92 M","142,61 M","177,46 M","226,18 M","167,45 M","93,92 M","48,88 M","-60,81 M","25,64 M","38,03 M","94,88 M","82,38 M","88,78 M","47,96 M","121,04 M","84,28 M","94,35 M","55,10 M","102,03 M","76,41 M","42,06 M","-192,97 M","53,12 M","44,25 M","70,37 M","25,02 M","91,01 M","68,73 M","68,42 M","54,91 M","74,90 M","71,79 M","60,61 M","37,41 M","109,86 M","78,05 M","53,23 M","62,67 M","77,83 M","47,95 M","52,52 M","11,91 M","116,33 M","61,51 M","60,93 M","7,55 M","49,23 M","25,73 M","26,05 M"
Imposto,"-78,82 M","19,77 M","-85,22 M","-62,15 M","-55,44 M","55,98 M","-79,91 M","-59,63 M","-74,40 M","-5,73 M","-55,87 M","-64,86 M","-63,68 M","-9,59 M","-72,63 M","-37,99 M","-29,30 M","-12,29 M","-37,70 M","-56,22 M","-40,86 M","7,71 M","-8,40 M","20,49 M","-5,20 M","27,31 M","-25,75 M","-24,21 M","-25,56 M","9,71 M","-24,41 M","-23,74 M","-23,84 M","-13,80 M","-7,71 M","-18,84 M","-6,48 M","51,31 M","-5,59 M","-1,13 M","309,00 Mil","-3,03 M","-28,20 M","-25,56 M","-24,24 M","-2,56 M","-18,97 M","-23,98 M","-20,04 M","-11,30 M","-32,21 M","-23,77 M","-17,52 M","-14,53 M","-23,10 M","-12,74 M","-18,34 M","5,50 M","-23,96 M","-22,50 M","-20,44 M","11,37 M","-18,04 M","-10,23 M","-7,94 M"
Op. continuadas,"214,22 M","135,98 M","187,32 M","126,75 M","158,69 M","110,61 M","141,82 M","88,51 M","200,27 M","154,09 M","214,83 M","192,91 M","185,95 M","122,13 M","203,99 M","113,62 M","122,62 M","130,32 M","139,76 M","169,96 M","126,58 M","101,63 M","40,47 M","-40,32 M","20,44 M","65,34 M","69,14 M","58,16 M","63,22 M","57,67 M","96,63 M","60,54 M","70,51 M","41,30 M","94,32 M","57,57 M","35,58 M","-141,66 M","47,53 M","43,12 M","70,68 M","21,98 M","62,81 M","43,17 M","44,18 M","52,35 M","55,94 M","47,81 M","40,57 M","26,11 M","77,65 M","54,29 M","35,72 M","48,14 M","54,73 M","35,21 M","34,18 M","17,41 M","92,37 M","39,01 M","40,49 M","18,92 M","31,18 M","15,49 M","18,11 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-4,08 M",0,"-6,34 M","-3,59 M","-5,58 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"214,22 M","135,98 M","187,32 M","126,75 M","158,69 M","110,61 M","141,82 M","88,51 M","200,27 M","154,09 M","214,83 M","192,91 M","185,95 M","122,13 M","203,99 M","113,62 M","122,62 M","130,32 M","139,76 M","169,96 M","126,58 M","101,63 M","40,47 M","-40,32 M","20,44 M","65,34 M","69,14 M","58,16 M","63,22 M","57,67 M","96,63 M","60,54 M","70,51 M","41,30 M","94,32 M","53,49 M","35,58 M","-148,00 M","43,94 M","37,54 M","70,68 M","21,98 M","62,81 M","43,17 M","44,18 M","52,35 M","55,94 M","47,81 M","40,57 M","26,11 M","77,65 M","54,29 M","35,72 M","48,14 M","54,73 M","35,21 M","34,18 M","17,41 M","92,37 M","39,01 M","40,49 M","18,92 M","31,18 M","15,49 M","18,11 M"
Dos controladores,"214,25 M","136,01 M","187,25 M","126,74 M","158,65 M","110,64 M","141,75 M","88,67 M","200,34 M","154,10 M","215,10 M","192,96 M","186,08 M","123,09 M","204,31 M","114,79 M","123,06 M","130,78 M","139,83 M","170,05 M","126,20 M","100,87 M","41,64 M","-39,37 M","21,39 M","66,17 M","69,28 M","59,65 M","63,94 M","61,45 M","92,37 M","60,21 M","71,38 M","43,59 M","98,29 M","57,05 M","38,38 M","-142,60 M","50,41 M","42,96 M","73,89 M","33,76 M","71,08 M","48,63 M","47,55 M","51,80 M","59,70 M","51,70 M","44,90 M","31,29 M","78,67 M","55,02 M","36,50 M","51,78 M","55,04 M","36,84 M","35,52 M","17,65 M","92,03 M","38,76 M","40,21 M","19,32 M","30,72 M","15,24 M","17,57 M"
Dos não controladores,"-32,00 Mil","-28,00 Mil","78,00 Mil","11,00 Mil","46,00 Mil","-27,00 Mil","66,00 Mil","-157,00 Mil","-68,00 Mil","-16,00 Mil","-271,00 Mil","-48,00 Mil","-132,00 Mil","-956,00 Mil","-318,00 Mil","-1,17 M","-438,00 Mil","-457,00 Mil","-74,00 Mil","-89,00 Mil","382,00 Mil","758,00 Mil","-1,17 M","-947,00 Mil","-950,00 Mil","-830,00 Mil","-140,00 Mil","-1,49 M","-719,00 Mil","-3,78 M","4,26 M","326,00 Mil","-865,00 Mil","-2,29 M","-3,96 M","-3,56 M","-2,80 M","-5,40 M","-6,47 M","-5,42 M","-3,21 M","-11,78 M","-8,28 M","-5,46 M","-3,37 M","548,00 Mil","-3,76 M","-3,89 M","-4,33 M","-5,18 M","-1,01 M","-739,00 Mil","-782,00 Mil","-3,64 M","-308,00 Mil","-1,63 M","-1,34 M","-236,00 Mil","340,00 Mil","251,00 Mil","277,00 Mil","-396,00 Mil","462,00 Mil","252,00 Mil","544,00 Mil"
