Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"8,44","1,07","7,53","-0,16","9,43","10,29","2,57","43,42","37,91","-21,94","90,69","7,13","9,51","13,45","19,77","11,62","10,23"
P/VP,"0,33","0,34","0,62","0,32","0,43","1,01","0,55","2,12","1,37","2,05","0,94","1,30","1,61","1,88","2,13","2,01","1,70"
P/EBIT,"1,42","1,49","1,25","-0,48","3,28","4,00","2,65","7,48","4,01","13,34","3,51","3,43","4,28","5,23","7,74","5,38","5,76"
P/EBIT *,"1,10","1,25","1,12","-0,60","3,05","3,74","2,48","6,32","3,23","7,37","2,97","3,68","4,54","7,98","7,69","5,42","5,81"
PSR,"0,12","0,12","0,14","0,07","0,25","0,54","0,25","0,60","0,42","0,71","0,31","0,51","0,75","0,79","0,97","1,03","0,97"
P/Ativos,"0,07","0,07","0,08","0,04","0,13","0,27","0,14","0,40","0,32","0,48","0,23","0,35","0,43","0,51","0,61","0,70","0,61"
LPA,"0,57","4,41","0,68","-15,23","1,07","1,86","3,56","0,45","0,33","-0,84","0,10","1,78","1,58","1,14","0,92","1,54","1,58"
VPA,"14,63","14,01","8,31","7,64","23,44","18,99","16,72","9,10","9,21","9,00","9,84","9,74","9,33","8,12","8,51","8,94","9,54"
EBIT por ação,"3,40","3,16","4,13","-5,13","3,07","4,78","3,46","2,58","3,15","1,38","2,63","3,70","3,51","2,92","2,34","3,33","2,81"
EBIT por ação *,"4,38","3,77","4,61","-4,06","3,30","5,11","3,69","3,06","3,91","2,50","3,10","3,45","3,30","1,92","2,36","3,31","2,79"
Ativo por ação,"69,07","68,03","63,66","64,70","75,90","70,85","64,00","47,95","40,12","38,46","40,00","36,60","34,90","29,92","29,69","25,75","26,44"
Receita líquida por ação,"40,25","39,93","37,89","35,57","39,99","35,09","35,94","32,13","30,37","25,89","29,29","24,70","19,92","19,28","18,64","17,47","16,66"
Margem bruta,"16,84%","15,65%","20,13%","14,95%","16,25%","24,44%","24,99%","18,57%","21,61%","16,62%","17,64%","20,70%","26,10%","22,71%","23,82%","28,80%","28,80%"
Margem líquida,"1,42%","11,05%","1,81%","-42,80%","2,67%","5,29%","9,92%","1,38%","1,10%","-3,24%","0,35%","7,20%","7,91%","5,90%","4,92%","8,84%","9,49%"
Margem EBIT,"8,46%","7,91%","10,89%","-14,41%","7,67%","13,62%","9,61%","8,04%","10,38%","5,33%","8,97%","14,97%","17,59%","15,17%","12,57%","19,08%","16,85%"
Margem EBIT *,"10,88%","9,44%","12,16%","-11,42%","8,26%","14,56%","10,27%","9,51%","12,88%","9,66%","10,58%","13,96%","16,57%","9,95%","12,66%","18,93%","16,72%"
Margem EBITDA,"14,57%","13,92%","16,47%","-8,90%","12,23%","18,14%","14,00%","12,59%","14,97%","10,47%","13,18%","19,48%","22,86%","20,04%","17,76%","20,32%","18,20%"
Margem EBITDA *,"16,99%","15,45%","17,73%","-5,91%","12,81%","19,08%","14,65%","14,06%","17,47%","14,79%","14,79%","18,47%","21,84%","14,81%","17,84%","20,17%","18,07%"
Margem operacional,"4,21%","11,73%","5,78%","-40,43%","-1,25%","8,01%","14,85%","2,60%","2,64%","-2,93%","1,14%","10,16%","11,48%","8,33%","6,67%","14,18%","15,48%"
ROE,"3,91%","31,50%","8,24%","-199,39%","4,56%","9,78%","21,31%","4,89%","3,62%","-9,33%","1,03%","18,27%","16,89%","14,01%","10,78%","17,27%","16,57%"
ROA,"0,01","0,06","0,01","-0,24","0,01","0,03","0,06","0,01","0,01","-0,02","0,00","0,05","0,05","0,04","0,03","0,06","0,06"
ROIC,"5,97%","5,88%","7,72%","-9,31%","5,08%","8,97%","6,56%","6,84%","9,34%","4,18%","7,57%","11,91%","12,67%","10,80%","9,17%","14,77%","12,37%"
ROIC *,"7,68%","7,02%","8,62%","-7,38%","5,47%","9,58%","7,01%","8,10%","11,58%","7,57%","8,93%","11,10%","11,94%","7,08%","9,23%","14,65%","12,27%"
Giro do ativo,"0,58","0,59","0,60","0,55","0,53","0,50","0,56","0,67","0,76","0,67","0,73","0,67","0,57","0,64","0,63","0,68","0,63"
EBIT *,1.631 mi,1.404 mi,1.716 mi,-1.514 mi,1.230 mi,1.903 mi,1.374 mi,1.138 mi,1.456 mi,931 mi,1.155 mi,1.284 mi,1.229 mi,714 mi,879 mi,1.232 mi,1.037 mi
EBITDA,2.184 mi,2.070 mi,2.324 mi,-1.180 mi,1.821 mi,2.372 mi,1.874 mi,1.507 mi,1.694 mi,1.009 mi,1.437 mi,1.792 mi,1.696 mi,1.439 mi,1.233 mi,1.322 mi,1.129 mi
