Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"4,05 B","4,17 B","3,63 B","3,46 B","3,74 B","4,11 B","3,72 B","3,72 B","3,32 B","3,66 B","3,50 B","3,35 B","3,61 B","2,83 B","3,46 B","3,41 B","3,54 B","4,07 B","3,92 B","3,22 B","3,69 B","4,30 B","3,18 B","2,54 B","3,05 B","3,30 B","3,94 B","2,82 B","3,34 B","2,89 B","3,18 B","2,92 B","2,98 B","3,41 B","2,79 B","2,42 B","2,69 B","2,42 B","2,39 B","2,24 B","2,60 B","2,73 B","2,50 B","2,49 B","3,20 B","3,28 B","1,83 B","1,82 B","2,28 B","2,07 B","1,68 B","1,76 B","1,92 B","1,77 B","1,73 B","1,79 B","1,90 B","1,82 B","1,66 B","1,64 B","1,83 B","1,73 B","1,55 B","1,51 B","1,71 B"
Custos,"-3,36 B","-3,60 B","-3,14 B","-3,06 B","-2,69 B","-3,59 B","-3,13 B","-2,90 B","-2,94 B","-3,00 B","-2,81 B","-2,68 B","-2,77 B","-2,83 B","-2,84 B","-2,71 B","-2,90 B","-3,35 B","-3,31 B","-2,71 B","-3,12 B","-2,81 B","-2,49 B","-2,15 B","-2,43 B","-2,68 B","-2,40 B","-2,31 B","-2,65 B","-2,39 B","-2,71 B","-2,31 B","-2,34 B","-2,63 B","-2,26 B","-1,91 B","-2,08 B","-2,04 B","-2,00 B","-1,91 B","-2,12 B","-2,19 B","-2,01 B","-2,21 B","-2,59 B","-2,40 B","-1,59 B","-1,55 B","-1,72 B","-1,72 B","-887,45 M","-1,37 B","-1,49 B","-1,40 B","-1,38 B","-1,41 B","-1,36 B","-1,38 B","-1,32 B","-1,27 B","-1,32 B","-1,30 B","-1,13 B","-1,08 B","-1,12 B"
Lucro bruto,"686,60 M","568,53 M","495,30 M","394,55 M","1,05 B","526,79 M","591,37 M","825,78 M","384,13 M","655,74 M","681,67 M","661,94 M","841,56 M","9,21 M","627,08 M","701,36 M","644,17 M","717,94 M","607,38 M","507,59 M","576,05 M","1,49 B","684,83 M","393,13 M","622,48 M","617,00 M","1,54 B","505,05 M","689,31 M","496,95 M","469,45 M","617,56 M","638,30 M","782,97 M","537,33 M","506,22 M","618,82 M","381,27 M","397,81 M","329,54 M","481,26 M","532,44 M","490,32 M","274,44 M","610,36 M","883,16 M","241,26 M","264,98 M","558,65 M","343,57 M","791,93 M","384,44 M","429,42 M","370,30 M","345,21 M","375,85 M","539,60 M","431,66 M","332,29 M","370,97 M","519,57 M","434,07 M","424,00 M","429,29 M","587,38 M"
Despesas operacionais,"-495,73 M","-311,69 M","-233,71 M","-297,50 M","-400,69 M","-188,96 M","-288,25 M","-468,89 M","-204,91 M","-191,34 M","-373,36 M","-375,19 M","-363,05 M","-3,03 B","-345,96 M","-208,78 M","-304,71 M","-250,56 M","-437,60 M","-284,27 M","-293,24 M","-427,73 M","-267,67 M","-405,82 M","-312,79 M","-894,12 M","-548,69 M","-365,12 M","-255,76 M","-281,61 M","-304,41 M","-344,09 M","-329,99 M","-359,94 M","-190,05 M","-426,60 M","-294,03 M","-283,74 M","-235,47 M","-274,46 M","-281,69 M","-430,31 M","-138,55 M","-209,87 M","-150,30 M","-50,82 M","-156,17 M","-126,63 M","-204,74 M","-100,19 M","-170,41 M","-204,16 M","-168,72 M","9,75 M","-152,21 M","-202,79 M","-196,22 M","-194,65 M","-188,27 M","-223,96 M","-174,42 M","-186,60 M","-123,95 M","-126,12 M","-196,07 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-51,04 M","-75,52 M","-63,89 M","-77,78 M","-54,37 M","-124,90 M","-68,09 M","-100,04 M","-88,48 M","-8,18 M","-97,55 M","-109,72 M","-92,53 M","-81,23 M","-91,25 M","-98,34 M","-86,67 M"
Despesas administrativas,"-355,50 M","-140,55 M","-175,49 M","-224,09 M","-340,37 M","-276,96 M","-252,02 M","-196,18 M","-198,19 M","-149,72 M","-313,29 M","-324,51 M","-336,73 M","-2,64 B","-283,97 M","-269,44 M","-299,49 M","-206,40 M","-394,27 M","-272,77 M","-304,58 M","-343,49 M","-245,98 M","-396,01 M","-306,02 M","-846,58 M","-602,35 M","-267,02 M","-260,59 M","-205,53 M","-272,90 M","-305,41 M","-299,75 M","-143,55 M","-165,04 M","-423,54 M","-256,28 M","-13,23 M","-212,02 M","-251,67 M","-181,09 M","-271,50 M","-184,04 M","-171,73 M","-125,29 M","-175,44 M","-152,37 M","-113,98 M","-138,87 M","-118,24 M","-104,83 M","-119,37 M","-105,38 M","-222,45 M","-104,08 M","-101,28 M","-107,29 M","-182,01 M","-89,68 M","-112,85 M","-82,91 M","-103,32 M","-33,98 M","-38,62 M","-109,15 M"
EBIT,"190,87 M","256,84 M","261,59 M","97,05 M","653,05 M","337,84 M","303,12 M","356,88 M","179,22 M","464,39 M","308,31 M","286,75 M","478,51 M","-3,02 B","281,12 M","492,58 M","339,46 M","467,38 M","169,79 M","223,32 M","282,81 M","1,07 B","417,15 M","-12,69 M","309,69 M","-277,12 M","990,99 M","139,92 M","433,54 M","215,34 M","165,04 M","273,47 M","308,31 M","423,04 M","347,28 M","79,62 M","324,79 M","97,53 M","162,35 M","55,08 M","199,57 M","102,13 M","351,77 M","64,57 M","460,06 M","832,34 M","85,08 M","138,34 M","353,91 M","243,38 M","621,52 M","180,29 M","260,70 M","380,05 M","193,00 M","173,06 M","343,38 M","237,01 M","144,02 M","147,02 M","345,15 M","247,47 M","300,06 M","303,17 M","391,32 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-152,74 M","-367,80 M","-178,06 M","-20,53 M","-71,20 M","1,61 B","-89,39 M","-597,77 M","-354,82 M","-130,67 M","-252,46 M","-72,76 M","-265,54 M","-2,05 B","-284,98 M","-607,76 M","-502,95 M","-336,84 M","-428,93 M","-219,67 M","-344,75 M","-400,68 M","-207,07 M","-69,87 M","-56,05 M","-313,51 M","1,28 B","-71,03 M","-190,72 M","-58,05 M","-141,79 M","-298,36 M","-152,57 M","-181,91 M","-243,64 M","-172,39 M","-278,32 M","-259,31 M","-245,70 M","-136,02 M","-156,49 M","-136,07 M","-329,65 M","-132,39 M","-256,19 M","-119,38 M","-164,55 M","-111,84 M","-78,78 M","-98,01 M","-121,44 M","-95,49 M","-138,85 M","-127,77 M","-112,58 M","-121,08 M","-129,66 M","-80,76 M","-143,95 M","-88,88 M","-96,60 M","-130,44 M","-58,91 M","-32,19 M","-97,85 M"
Antes dos impostos,"38,13 M","-110,95 M","83,53 M","76,52 M","581,85 M","1,95 B","213,73 M","-240,88 M","-175,60 M","333,73 M","55,86 M","213,99 M","212,97 M","-5,08 B","-3,86 M","-115,18 M","-163,49 M","130,54 M","-259,14 M","3,65 M","-61,94 M","666,43 M","210,09 M","-82,56 M","253,64 M","-590,64 M","2,27 B","68,89 M","242,82 M","157,29 M","23,25 M","-24,89 M","155,74 M","241,13 M","103,64 M","-92,77 M","46,48 M","-161,77 M","-83,35 M","-80,93 M","43,08 M","-33,94 M","22,12 M","-67,82 M","203,88 M","712,97 M","-79,47 M","26,50 M","275,12 M","145,38 M","500,07 M","84,80 M","121,85 M","252,28 M","80,42 M","51,97 M","213,72 M","156,24 M","69,00 Mil","58,14 M","248,56 M","117,03 M","241,15 M","270,97 M","293,47 M"
