Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"3,81 B","3,89 B","3,99 B","3,96 B","3,94 B","3,81 B","3,74 B","3,71 B","3,63 B","3,62 B","3,47 B","3,39 B","3,41 B","3,45 B","3,05 B","2,94 B","2,85 B","2,44 B","2,23 B","2,17 B","2,18 B","2,21 B","2,09 B","1,99 B","1,92 B","1,91 B","1,27 B","1,33 B","1,16 B","1,14 B","1,18 B","1,23 B","1,22 B","1,16 B","1,18 B","1,22 B","1,78 B","1,86 B","2,23 B","2,18 B","2,25 B","2,33 B","2,31 B","2,19 B","2,23 B","2,13 B","2,11 B","2,09 B","2,07 B","2,06 B","1,94 B","1,92 B","1,93 B","1,91 B","1,81 B","1,73 B","1,57 B","1,61 B","1,39 B","1,30 B","1,27 B","1,16 B","931,97 M"
Ativo circulante,"1,23 B","1,33 B","1,10 B","1,08 B","1,03 B","990,43 M","1,00 B","978,20 M","1,07 B","1,11 B","1,02 B","992,96 M","1,05 B","1,07 B","1,11 B","1,07 B","1,00 B","964,70 M","938,46 M","910,83 M","910,96 M","1,06 B","994,38 M","926,13 M","863,47 M","912,81 M","337,43 M","374,11 M","303,42 M","289,69 M","296,39 M","322,99 M","331,13 M","321,34 M","347,95 M","390,66 M","357,37 M","428,67 M","830,24 M","407,82 M","407,52 M","421,27 M","430,28 M","416,89 M","452,20 M","421,37 M","435,80 M","414,17 M","387,60 M","366,40 M","304,01 M","292,42 M","281,05 M","291,12 M","247,77 M","208,90 M","229,19 M","214,91 M","223,66 M","212,50 M","255,70 M","209,35 M","240,13 M"
Caixa e eq. de caixa,"220,40 M","300,11 M","239,62 M","270,58 M","315,99 M","289,79 M","321,27 M","272,24 M","395,01 M","436,41 M","387,32 M","345,31 M","339,36 M","337,27 M","405,66 M","262,36 M","216,87 M","216,30 M","96,55 M","83,01 M","82,54 M","101,34 M","96,57 M","55,20 M","34,47 M","55,31 M","60,23 M","45,12 M","17,46 M","17,03 M","8,39 M","8,71 M","33,34 M","65,18 M","67,58 M","14,42 M","13,29 M","14,48 M","26,45 M","15,53 M","13,32 M","13,51 M","10,44 M","12,21 M","25,77 M","9,32 M","9,41 M","9,82 M","7,63 M","16,13 M","16,32 M","19,50 M","17,84 M","36,92 M","18,30 M","16,74 M","17,78 M","13,86 M","60,93 M","49,97 M","11,28 M","16,51 M","10,32 M"
Aplicações financeiras,"18,56 M","7,30 M","29,72 M","25,04 M","19,05 M","7,41 M","28,45 M","20,52 M","127,70 M","126,18 M","130,76 M","158,87 M","227,62 M","245,31 M","288,25 M","324,74 M","343,43 M","390,24 M","459,54 M","472,74 M","496,08 M","608,33 M","606,40 M","603,55 M","546,66 M","608,17 M","31,11 M","73,17 M","9,19 M","6,32 M","26,43 M","33,99 M","14,77 M",0,"13,52 M","12,76 M","8,53 M","46,89 M","44,86 M","13,64 M","18,68 M","12,09 M","17,43 M","5,62 M","17,73 M","6,04 M","34,72 M","67,39 M","52,10 M","66,34 M","61,33 M","70,73 M","76,91 M","72,78 M","56,26 M","29,61 M","50,74 M","49,94 M",0,0,"94,40 M","48,44 M","102,54 M"
Contas a receber,"507,73 M","569,00 M","469,29 M","466,54 M","434,11 M","450,32 M","410,42 M","456,23 M","368,49 M","389,57 M","340,86 M","313,29 M","332,85 M","320,64 M","277,99 M","338,39 M","319,56 M","233,44 M","249,93 M","255,94 M","239,50 M","262,59 M","192,42 M","180,17 M","180,00 M","160,71 M","155,14 M","154,51 M","185,26 M","170,55 M","155,75 M","165,30 M","168,77 M","197,06 M","167,68 M","258,65 M","220,26 M","227,07 M","116,14 M","133,82 M","138,20 M","147,44 M","144,98 M","147,59 M","167,70 M","170,41 M","175,72 M","142,60 M","162,71 M","147,48 M","113,81 M","109,30 M","107,18 M","101,86 M","102,39 M","98,98 M","101,42 M","99,63 M","119,03 M","116,99 M","105,48 M","102,91 M","85,28 M"
Estoques,"71,68 M","72,80 M","77,46 M","74,50 M","72,14 M","71,11 M","73,64 M","65,33 M","65,97 M","61,97 M","60,73 M","64,23 M","54,57 M","53,77 M","54,43 M","49,07 M","44,24 M","40,63 M","27,38 M","27,75 M","25,96 M","22,23 M","27,07 M","22,79 M","20,85 M","21,46 M","18,05 M","20,71 M","19,23 M","19,70 M","22,23 M","17,87 M","15,79 M","14,47 M","13,37 M","12,05 M","14,45 M","15,58 M","16,66 M","14,25 M","14,38 M","15,29 M","13,79 M","15,91 M","13,77 M","14,73 M","15,04 M","13,23 M","11,85 M","11,17 M","11,79 M","8,94 M","7,22 M","7,32 M","8,77 M","10,56 M","11,65 M","12,58 M","13,07 M","12,15 M","8,57 M","8,92 M","5,70 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"2,58 B","2,56 B","2,90 B","2,88 B","2,91 B","2,82 B","2,74 B","2,73 B","2,56 B","2,51 B","2,45 B","2,40 B","2,36 B","2,38 B","1,93 B","1,87 B","1,84 B","1,47 B","1,30 B","1,26 B","1,27 B","1,15 B","1,10 B","1,07 B","1,06 B","999,26 M","937,51 M","956,00 M","861,00 M","853,52 M","883,04 M","903,20 M","885,39 M","833,90 M","827,87 M","832,88 M","1,42 B","1,43 B","1,40 B","1,77 B","1,84 B","1,91 B","1,88 B","1,78 B","1,78 B","1,71 B","1,67 B","1,67 B","1,68 B","1,69 B","1,63 B","1,63 B","1,65 B","1,62 B","1,56 B","1,52 B","1,34 B","1,39 B","1,17 B","1,09 B","1,01 B","950,67 M","691,84 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","5,00 Mil","2,00 Mil","8,00 Mil","8,00 Mil","8,00 Mil","8,00 Mil"
Imobilizado,"1,74 B","1,74 B","1,76 B","1,77 B","1,80 B","1,73 B","1,75 B","1,78 B","1,66 B","1,60 B","1,52 B","1,51 B","1,47 B","1,52 B","1,30 B","1,27 B","1,28 B","1,11 B","935,40 M","946,53 M","925,17 M","828,20 M","833,20 M","785,20 M","770,07 M","701,46 M","638,95 M","646,32 M","476,20 M","516,00 M","522,90 M","553,60 M","562,54 M","562,22 M","547,84 M","561,75 M","1,15 B","1,15 B","1,17 B","1,57 B","1,59 B","1,58 B","1,56 B","1,52 B","1,48 B","1,44 B","1,39 B","1,37 B","1,36 B","1,35 B","1,34 B","1,33 B","1,32 B","1,28 B","1,24 B","1,19 B","1,12 B","1,09 B","1,02 B","963,18 M","895,19 M","834,97 M","600,38 M"
