Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-0,62","-2,03","1,66","3,31","-5,92","13,89","-2,26","-0,85","-22,35","5,98","-1,25","-1,50","-40,60","-65,83","-509,78","-4.520,24","29.604,52"
P/VP,"0,50","0,47","0,55","0,97","1,69","1,89","0,59","1,02","1,13","1,60","1,00","9,92","-27,29","-191,43","-2.649,85","1.814,04","1.723,40"
P/EBIT,"-0,60","2,43","-2,88","-3,07","-4,99","47,98","-2,86","-1,32","-13,26","-1,55","-0,33","-4,21","-101,64","-134,10","53.258,47","11.845,61","15.266,46"
P/EBIT *,"-1,07","-6,18","-4,79","-14,54","-25,06","-12,26","-1,84","-2,86","-2,46","-1,70","-1,28","-18,61","-197,67","-1.881,24","5.031,99","8.951,00","11.326,08"
PSR,"0,72","0,52","1,01","1,65","2,61","5,24","1,81","2,48","1,15","1,01","0,35","2,46","34,93","65,73","226,92","642,35","821,65"
P/Ativos,"0,08","0,13","0,18","0,34","0,49","0,58","0,12","0,15","0,22","0,22","0,12","0,93","10,75","23,65","84,91","229,02","313,53"
LPA,"-1,27","-0,67","1,11","1,16","-0,87","0,43","-0,55","-2,14","-0,12","0,49","-1,59","-13,34","-8,01","-11,85","-5,10","-1,55","0,33"
VPA,"1,57","2,92","3,37","3,97","3,07","3,20","2,10","1,79","2,40","1,84","1,97","2,02","-11,91","-4,07","-0,98","3,86","5,59"
EBIT por ação,"-1,31","0,56","-0,64","-1,25","-1,04","0,13","-0,44","-1,38","-0,21","-1,90","-5,91","-4,75","-3,20","-5,82","0,05","0,59","0,63"
EBIT por ação *,"-0,74","-0,22","-0,39","-0,26","-0,21","-0,49","-0,68","-0,64","-1,10","-1,73","-1,54","-1,07","-1,64","-0,41","0,52","0,78","0,85"
Ativo por ação,"10,15","10,75","10,20","11,14","10,63","10,41","10,66","12,29","12,16","13,57","17,20","21,61","30,23","32,98","30,62","30,54","30,75"
Receita líquida por ação,"1,10","2,60","1,82","2,33","1,98","1,15","0,69","0,73","2,37","2,93","5,67","8,12","9,30","11,87","11,46","10,89","11,73"
Margem bruta,"15,60%","21,42%","23,39%","22,87%","26,98%","22,81%","0,06%","5,23%","-4,70%","-22,07%","-3,81%","9,53%","7,95%","18,93%","29,07%","27,94%","27,41%"
Margem líquida,"-115,60%","-25,80%","61,03%","49,70%","-44,19%","37,70%","-80,11%","-292,16%","-3,89%","16,84%","-28,01%","-164,20%","-86,03%","-99,85%","-44,62%","-14,20%","2,78%"
Margem EBIT,"-118,87%","21,54%","-35,19%","-53,62%","-52,42%","10,91%","-63,25%","-188,13%","-8,64%","-65,01%","-104,29%","-58,49%","-34,37%","-49,01%","0,43%","5,42%","5,38%"
Margem EBIT *,"-67,28%","-8,46%","-21,20%","-11,32%","-10,43%","-42,72%","-98,12%","-86,80%","-46,52%","-59,13%","-27,24%","-13,23%","-17,67%","-3,49%","4,51%","7,18%","7,25%"
Margem EBITDA,"-111,63%","26,00%","-27,65%","-45,00%","-46,62%","22,64%","-41,02%","-148,73%","12,32%","-30,01%","-85,26%","-45,14%","-22,08%","-42,34%","7,06%","11,09%","11,91%"
Margem EBITDA *,"-60,04%","-3,99%","-13,67%","-2,71%","-4,63%","-30,99%","-75,89%","-47,40%","-25,56%","-24,13%","-8,21%","0,12%","-5,38%","3,18%","11,14%","12,85%","13,78%"
Margem operacional,"-115,34%","-34,85%","61,74%","-62,95%","-44,86%","44,25%","-92,68%","-337,46%","-35,21%","-28,33%","14,86%","-119,07%","-88,58%","-87,22%","-36,19%","-12,69%","4,93%"
ROE,"-80,81%","-22,96%","33,00%","29,23%","-28,50%","13,58%","-26,29%","-76,06%","-3,13%","26,80%","-80,52%","-661,73%","67,22%","290,82%","553,14%","-39,68%","5,82%"
ROA,"-0,13","-0,06","0,11","0,10","-0,08","0,04","-0,05","-0,17","-0,01","0,04","-0,09","-0,62","-0,26","-0,36","-0,17","-0,05","0,01"
ROIC,"-13,65%","5,44%","-6,78%","-11,89%","-10,38%","1,29%","-4,24%","-11,87%","-1,80%","-14,61%","-37,44%","-24,36%","-11,75%","-19,21%","0,17%","2,09%","2,32%"
ROIC *,"-7,72%","-2,14%","-4,08%","-2,51%","-2,07%","-5,07%","-6,58%","-5,48%","-9,68%","-13,29%","-9,78%","-5,51%","-6,04%","-1,37%","1,81%","2,76%","3,13%"
Giro do ativo,"0,11","0,24","0,18","0,21","0,19","0,11","0,06","0,06","0,20","0,22","0,33","0,38","0,31","0,36","0,37","0,36","0,38"
EBIT *,-36 mi,-11 mi,-19 mi,-13 mi,-10 mi,-24 mi,-33 mi,-31 mi,-53 mi,-82 mi,-74 mi,-51 mi,-78 mi,-20 mi,24 mi,36 mi,40 mi
EBITDA,-59 mi,32 mi,-24 mi,-50 mi,-44 mi,12 mi,-14 mi,-52 mi,13 mi,-42 mi,-229 mi,-174 mi,-98 mi,-238 mi,38 mi,57 mi,66 mi
EBITDA *,-32 mi,-5 mi,-12 mi,-3 mi,-5 mi,-17 mi,-25 mi,-17 mi,-29 mi,-34 mi,-23 mi,0 mi,-24 mi,17 mi,60 mi,66 mi,76 mi
