Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"7,19","6,55","17,29","36,77","15,27","41,29","9,77","9,60","12,30","6,29","6,64","18,67","29,47","36,55","14,95","40,29","45,04"
P/VP,"0,96","1,59","2,65","3,88","4,32","3,57","1,25","0,57","0,47","0,57","0,61","0,88","1,48","1,99","1,30","1,85","1,66"
P/EBIT,"5,66","11,28","11,87","21,01","11,42","25,38","6,58","3,69","3,90","3,67","4,47","10,57","16,16","20,25","9,78","19,03","24,59"
P/EBIT *,"5,98","11,86","13,16","20,39","17,33","29,58","7,66","4,19","3,85","4,42","7,33","15,35","20,18","44,31","17,85","34,54","28,71"
PSR,"1,04","1,78","2,43","3,00","3,21","3,16","1,12","0,46","0,47","0,61","0,75","1,20","2,08","3,46","1,94","2,57","2,78"
P/Ativos,"0,68","1,17","1,88","2,66","2,69","2,19","0,67","0,31","0,26","0,30","0,32","0,49","0,88","1,19","0,77","1,02","0,91"
LPA,"0,55","0,89","0,44","0,27","0,66","0,19","0,31","0,15","0,09","0,22","0,20","0,10","0,10","0,11","0,17","0,08","0,06"
VPA,"4,10","3,68","2,90","2,56","2,35","2,23","2,44","2,53","2,43","2,39","2,23","2,08","2,03","1,98","1,92","1,79","1,74"
EBIT por ação,"0,70","0,52","0,65","0,47","0,89","0,31","0,46","0,39","0,29","0,37","0,30","0,17","0,19","0,19","0,26","0,17","0,12"
EBIT por ação *,"0,66","0,49","0,58","0,49","0,58","0,27","0,40","0,34","0,30","0,31","0,18","0,12","0,15","0,09","0,14","0,10","0,10"
Ativo por ação,"5,82","5,01","4,10","3,74","3,76","3,64","4,54","4,68","4,48","4,51","4,19","3,72","3,41","3,30","3,25","3,26","3,18"
Receita líquida por ação,"3,80","3,28","3,17","3,31","3,16","2,52","2,72","3,12","2,46","2,24","1,79","1,53","1,44","1,14","1,29","1,29","1,04"
Margem bruta,"30,73%","30,10%","32,06%","27,85%","31,59%","24,44%","27,17%","30,29%","27,58%","29,56%","26,60%","27,07%","27,13%","23,76%","26,13%","27,77%","29,90%"
Margem líquida,"14,44%","27,21%","14,04%","8,16%","21,00%","7,65%","11,46%","4,80%","3,80%","9,64%","11,36%","6,41%","7,07%","9,46%","12,99%","6,38%","6,17%"
Margem EBIT,"18,37%","15,80%","20,44%","14,28%","28,09%","12,45%","17,01%","12,51%","11,97%","16,53%","16,85%","11,33%","12,90%","17,07%","19,86%","13,52%","11,30%"
Margem EBIT *,"17,38%","15,02%","18,44%","14,71%","18,51%","10,68%","14,62%","11,01%","12,14%","13,71%","10,28%","7,80%","10,33%","7,80%","10,88%","7,45%","9,68%"
