Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"32,76 M","42,72 M","42,94 M","38,17 M","34,23 M","38,50 M","33,25 M","30,51 M","34,20 M","32,36 M","33,85 M","33,95 M","32,77 M","33,60 M","33,39 M","36,40 M","34,20 M","32,85 M","36,36 M","35,10 M","27,00 M","24,45 M","25,60 M","29,17 M","25,36 M","27,07 M","32,11 M","29,55 M","24,49 M","34,48 M","34,36 M","35,05 M","25,88 M","25,91 M","27,67 M","28,28 M","20,43 M","23,50 M","26,59 M","25,04 M","18,12 M","19,00 M","23,32 M","20,22 M","11,90 M","14,61 M","17,57 M","18,08 M","13,24 M","15,29 M","16,76 M","16,72 M","11,05 M","11,09 M","14,62 M","13,36 M","8,31 M","10,71 M","15,34 M","17,93 M","9,54 M","13,03 M","15,20 M","16,13 M","9,29 M"
Custos,"-25,37 M","-29,76 M","-24,95 M","-30,07 M","-24,70 M","-25,55 M","-23,89 M","-22,59 M","-23,35 M","-22,75 M","-22,88 M","-22,35 M","-22,71 M","-23,09 M","-25,02 M","-26,42 M","-24,74 M","-23,35 M","-23,76 M","-22,98 M","-19,75 M","-19,20 M","-19,71 M","-20,27 M","-19,78 M","-20,49 M","-21,61 M","-22,06 M","-18,30 M","-23,58 M","-23,62 M","-22,46 M","-20,80 M","-20,70 M","-19,32 M","-19,39 M","-14,66 M","-18,07 M","-16,84 M","-17,08 M","-13,71 M","-15,81 M","-14,96 M","-13,62 M","-10,25 M","-11,86 M","-12,38 M","-12,03 M","-10,05 M","-11,72 M","-11,36 M","-11,44 M","-9,06 M","-8,67 M","-10,05 M","-8,94 M","-8,46 M","-9,62 M","-10,11 M","-11,29 M","-8,52 M","-10,92 M","-11,12 M","-9,99 M","-6,87 M"
Lucro bruto,"7,39 M","12,96 M","17,98 M","8,11 M","9,53 M","12,95 M","9,36 M","7,92 M","10,85 M","9,60 M","10,98 M","11,60 M","10,06 M","10,51 M","8,37 M","9,98 M","9,46 M","9,51 M","12,60 M","12,12 M","7,25 M","5,25 M","5,89 M","8,91 M","5,58 M","6,58 M","10,50 M","7,49 M","6,19 M","10,90 M","10,74 M","12,59 M","5,08 M","5,21 M","8,35 M","8,89 M","5,76 M","5,43 M","9,76 M","7,96 M","4,42 M","3,20 M","8,35 M","6,61 M","1,65 M","2,75 M","5,19 M","6,06 M","3,19 M","3,56 M","5,40 M","5,28 M","1,99 M","2,42 M","4,57 M","4,42 M","-153,00 Mil","1,09 M","5,23 M","6,64 M","1,03 M","2,11 M","4,08 M","6,14 M","2,42 M"
Despesas operacionais,"-3,98 M","-2,88 M","-8,26 M","-4,13 M","-4,27 M","-6,62 M","-4,98 M","-3,90 M","-4,00 M","-3,71 M","-4,51 M","-3,40 M","-3,70 M","-7,34 M","-3,43 M","-4,77 M","-3,12 M","7,82 M","-5,89 M","-3,39 M","-3,14 M","-4,56 M","-2,03 M","-2,64 M","-3,37 M","-3,96 M","-3,10 M","-2,13 M","-2,30 M","-13,80 M","-2,62 M","-2,66 M","-3,98 M","-5,82 M","-4,25 M","-3,21 M","-2,69 M","-3,06 M","-3,20 M","-3,03 M","-2,86 M","-2,53 M","-2,27 M","-852,00 Mil","-1,61 M","-3,05 M","-2,18 M","-2,62 M","-2,15 M","-4,43 M","-1,61 M","-1,35 M","-1,12 M","81,00 Mil","-1,14 M","-1,23 M","-889,00 Mil","-242,00 Mil","-1,28 M","-694,00 Mil","-1,14 M","-3,55 M","-1,51 M","-1,64 M","-807,00 Mil"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-4,76 M","-6,94 M","-5,39 M","-4,37 M","-4,40 M","-7,18 M","-5,21 M","-4,12 M","-4,07 M","-5,70 M","-4,78 M","-3,57 M","-3,91 M","-5,69 M","-3,89 M","-4,93 M","-3,56 M","-4,21 M","-6,12 M","-3,54 M","-3,31 M","-4,45 M","-3,04 M","-3,48 M","-3,48 M","-3,95 M","-3,81 M","-3,36 M","-3,09 M","-12,94 M","-4,09 M","-3,72 M","-4,26 M","-4,52 M","-4,55 M","-3,63 M","-3,11 M","-5,41 M","-3,42 M","-2,75 M","-3,21 M","-4,53 M","-2,57 M","-2,18 M","-2,87 M","-4,00 M","-2,63 M","-3,04 M","-2,56 M","-3,77 M","-2,33 M","-2,11 M","-1,83 M","-2,16 M","-1,86 M","-1,88 M","-1,66 M","-2,37 M","-1,94 M","-2,06 M","-1,79 M","-4,49 M","-2,39 M","-2,35 M","-1,52 M"
EBIT,"3,41 M","10,08 M","9,73 M","3,98 M","5,25 M","6,33 M","4,38 M","4,02 M","6,85 M","5,89 M","6,47 M","8,20 M","6,36 M","3,17 M","4,93 M","5,21 M","6,33 M","17,33 M","6,71 M","8,73 M","4,11 M","691,00 Mil","3,85 M","6,27 M","2,21 M","2,62 M","7,40 M","5,36 M","3,89 M","-2,90 M","8,11 M","9,93 M","1,10 M","-607,00 Mil","4,10 M","5,68 M","3,07 M","2,38 M","6,55 M","4,93 M","1,55 M","665,00 Mil","6,08 M","5,75 M","41,00 Mil","-300,00 Mil","3,01 M","3,44 M","1,04 M","-866,00 Mil","3,79 M","3,93 M","866,00 Mil","2,50 M","3,44 M","3,20 M","-1,04 M","846,00 Mil","3,95 M","5,95 M","-116,00 Mil","-1,44 M","2,57 M","4,50 M","1,61 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"815,00 Mil","946,00 Mil","501,00 Mil","745,00 Mil","691,00 Mil","5,19 M","203,00 Mil","126,00 Mil","169,00 Mil","-207,00 Mil","221,00 Mil","146,00 Mil","225,00 Mil","136,00 Mil","341,00 Mil","-37,00 Mil","76,00 Mil","-272,00 Mil","-140,00 Mil","-286,00 Mil","-420,00 Mil","-564,00 Mil","-96,00 Mil","-529,00 Mil","-518,00 Mil","-559,00 Mil","-548,00 Mil","-557,00 Mil","-524,00 Mil","-1,21 M","-569,00 Mil","-339,00 Mil","-559,00 Mil","-663,00 Mil","-791,00 Mil","-778,00 Mil","-758,00 Mil","-655,00 Mil","-573,00 Mil","-451,00 Mil","-691,00 Mil","-232,00 Mil","-677,00 Mil","-604,00 Mil","-776,00 Mil","-204,00 Mil","-87,00 Mil","-415,00 Mil","-442,00 Mil","-402,00 Mil","-420,00 Mil","-577,00 Mil","-561,00 Mil","-702,00 Mil","-682,00 Mil","-796,00 Mil","-725,00 Mil","-582,00 Mil","-773,00 Mil","-609,00 Mil","-613,00 Mil","-620,00 Mil","-676,00 Mil","-738,00 Mil","-499,00 Mil"
Antes dos impostos,"4,23 M","11,02 M","10,23 M","4,72 M","5,95 M","11,51 M","4,58 M","4,14 M","7,02 M","5,69 M","6,69 M","8,35 M","6,59 M","3,31 M","5,28 M","5,17 M","6,41 M","17,05 M","6,58 M","8,44 M","3,69 M","127,00 Mil","3,76 M","5,74 M","1,69 M","2,06 M","6,85 M","4,80 M","3,37 M","-4,11 M","7,54 M","9,59 M","539,00 Mil","-1,27 M","3,31 M","4,90 M","2,31 M","1,72 M","5,98 M","4,48 M","862,00 Mil","433,00 Mil","5,41 M","5,15 M","-735,00 Mil","-504,00 Mil","2,92 M","3,03 M","602,00 Mil","-1,27 M","3,37 M","3,35 M","305,00 Mil","1,80 M","2,75 M","2,40 M","-1,77 M","264,00 Mil","3,18 M","5,34 M","-729,00 Mil","-2,06 M","1,90 M","3,76 M","1,11 M"
