Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"61,76","84,69","8,10","-7,30","1,71","4,33","4,11","31,31","3,31","-9,48","-6,48","-8,54","-4,72","-4,14","-32,50","-13,30","86,08","24,87"
P/VP,"2,06","2,68","8,02","1,45","1,28","4,80","6,49","11,04","6,85","1,92","4,86","7,78","1,79","1,25","1,75","3,05","3,25","3,52"
P/EBIT,"4,16","5,44","3,85","10,44","0,78","1,49","1,73","2,00","10,93","10,80","4,24","4,84","3,71","4,37","5,09","10,12","14,36","32,89"
P/EBIT *,"4,07","5,37","3,67","11,30","1,18","1,45","1,66","1,91","2,37","8,39","3,83","3,83","3,41","4,02","6,89","12,23","19,92","41,15"
PSR,"0,14","0,18","0,15","0,08","0,06","0,22","0,20","0,14","0,16","0,45","0,23","0,26","0,23","0,20","0,44","0,47","0,79","1,38"
P/Ativos,"0,17","0,21","0,16","0,08","0,05","0,39","0,34","0,22","0,17","0,22","0,22","0,24","0,17","0,21","0,28","0,42","0,56","1,08"
LPA,"0,27","0,26","1,99","-1,08","2,97","3,10","2,36","0,16","1,00","-0,34","-0,48","-0,42","-0,53","-0,65","-0,16","-0,53","0,10","0,38"
VPA,"8,15","8,07","2,01","5,44","3,97","2,79","1,49","0,44","0,48","1,71","0,65","0,46","1,39","2,16","2,96","2,32","2,76","2,69"
EBIT por ação,"4,04","3,98","4,19","0,76","6,54","9,00","5,60","2,43","0,30","0,30","0,74","0,74","0,67","0,62","1,02","0,70","0,62","0,29"
EBIT por ação *,"4,13","4,03","4,40","0,70","4,32","9,26","5,85","2,55","1,39","0,39","0,82","0,93","0,73","0,67","0,75","0,58","0,45","0,23"
Ativo por ação,"98,70","101,28","98,09","93,41","97,08","34,24","28,18","22,52","18,91","15,19","14,45","14,70","14,40","12,72","18,25","16,99","16,12","8,74"
Receita líquida por ação,"116,86","116,96","106,38","94,31","89,43","60,91","48,14","34,78","21,20","7,22","13,43","13,94","10,85","13,38","11,78","14,99","11,33","6,86"
Margem bruta,"12,33%","12,31%","13,25%","10,12%","13,15%","20,14%","17,37%","13,09%","12,93%","13,50%","11,51%","11,76%","13,03%","12,32%","14,30%","14,19%","16,38%","13,03%"
Margem líquida,"0,19%","0,47%","2,60%","-2,74%","2,20%","7,78%","6,71%","3,24%","7,25%","-4,40%","-3,36%","-2,76%","-4,74%","-4,78%","-1,41%","-3,55%","0,88%","5,64%"
Margem EBIT,"3,46%","3,40%","3,94%","0,80%","7,31%","14,77%","11,64%","7,00%","1,42%","4,19%","5,51%","5,29%","6,19%","4,62%","8,66%","4,67%","5,52%","4,20%"
Margem EBIT *,"3,53%","3,44%","4,14%","0,74%","4,83%","15,20%","12,15%","7,33%","6,55%","5,40%","6,11%","6,69%","6,74%","5,02%","6,40%","3,86%","3,98%","3,36%"
Margem EBITDA,"5,79%","7,81%","8,76%","5,90%","11,56%","16,60%","13,70%","9,45%","3,62%","6,60%","7,98%","7,51%","8,36%","7,32%","11,43%","8,20%","9,46%","7,53%"
Margem EBITDA *,"5,87%","7,85%","8,97%","5,84%","9,08%","17,03%","14,22%","9,78%","8,75%","7,81%","8,57%","8,91%","8,90%","7,71%","9,17%","7,39%","7,92%","6,69%"
