Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"5,64","7,99","4,82","6,57","3,80","6,47","-6,98","-5,16",-,-,-,-,-,-,-,-,-,-
P/VP,"1,35","2,21","0,79","0,76","0,34","0,50","0,70","6,10",-,-,-,-,-,-,-,-,-,-
P/EBIT,"5,48","7,52","4,88","5,96","4,59","8,62","-9,67","5,51",-,-,-,-,-,-,-,-,-,-
P/EBIT *,"5,05","6,91","4,31","4,94","3,46","6,07","16,86","5,26",-,-,-,-,-,-,-,-,-,-
PSR,"1,12","1,43","0,77","0,89","0,50","0,87","1,36","1,22",-,-,-,-,-,-,-,-,-,-
P/Ativos,"0,46","0,60","0,29","0,30","0,14","0,20","0,34","0,22",-,-,-,-,-,-,-,-,-,-
LPA,"4,86","4,03","2,41","1,50","1,02","0,80","-0,96","-0,92",-,-,-,-,-,-,-,-,-,-
VPA,"20,30","14,57","14,78","12,87","11,34","10,31","9,64","0,78",-,-,-,-,-,-,-,-,-,-
EBIT por ação,"5,00","4,29","2,38","1,65","0,84","0,60","-0,69","0,87",-,-,-,-,-,-,-,-,-,-
EBIT por ação *,"5,43","4,67","2,69","1,99","1,12","0,85","0,40","0,91",-,-,-,-,-,-,-,-,-,-
Ativo por ação,"59,18","53,43","39,80","32,99","27,05","25,85","19,93","21,52",-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,"24,43","22,62","15,07","11,05","7,67","5,95","4,93","3,91",-,-,-,-,-,-,-,-,-,-
Margem bruta,"36,36%","34,91%","33,54%","34,73%","33,33%","36,43%","27,07%","39,71%","19,63%","28,37%","13,24%","27,49%","28,89%","28,22%","33,69%","29,00%","39,70%","30,26%"
Margem líquida,"19,85%","17,83%","15,99%","13,52%","13,14%","13,71%","-20,34%","-24,31%","-55,11%","1,75%","-19,83%","9,40%","11,18%","14,27%","16,22%","14,06%","26,24%","14,75%"
Margem EBIT,"20,47%","18,95%","15,79%","14,93%","10,95%","10,04%","-14,09%","22,13%","-15,17%","14,47%","-2,02%","19,02%","17,65%","18,89%","23,62%","18,46%","33,53%","20,98%"
Margem EBIT *,"22,22%","20,64%","17,88%","18,02%","14,54%","14,26%","8,08%","23,19%","-0,90%","15,65%","-3,12%","13,55%","16,84%","16,62%","21,16%","19,59%","32,67%","20,00%"
Margem EBITDA,"21,05%","19,63%","16,46%","15,59%","11,57%","10,72%","-13,22%","22,84%","-12,57%","17,59%","0,60%","20,11%","19,12%","19,68%","24,30%","18,82%","33,95%","21,16%"
Margem EBITDA *,"22,80%","21,32%","18,55%","18,68%","15,16%","14,94%","8,95%","23,91%","1,70%","18,76%","-0,50%","14,64%","18,31%","17,41%","21,84%","19,95%","33,09%","20,18%"
Margem operacional,"22,54%","20,45%","18,47%","16,78%","15,94%","15,94%","-18,27%","-21,95%","-53,83%","-7,08%","-17,63%","11,71%","12,97%","16,45%","18,80%","16,25%","28,91%","17,40%"
ROE,"23,91%","27,71%","16,34%","11,63%","8,92%","7,93%","-10,44%","-109,84%","-106,06%","2,61%","-28,76%","13,95%","14,44%","19,15%","20,32%","27,92%","56,19%","45,95%"
ROA,"0,08","0,08","0,06","0,05","0,04","0,03","-0,05","-0,04","-0,11","0,00","-0,05","0,03","0,04","0,05","0,05","0,05","0,10","0,05"
ROIC,"10,22%","9,39%","6,97%","5,70%","3,50%","2,56%","-3,63%","4,13%","-3,06%","4,21%","-0,57%","6,53%","6,98%","7,94%","9,47%","8,61%","20,08%","10,24%"
ROIC *,"11,10%","10,23%","7,89%","6,88%","4,65%","3,63%","2,08%","4,33%","-0,18%","4,55%","-0,87%","4,65%","6,66%","6,99%","8,48%","9,13%","19,56%","9,76%"
Giro do ativo,"0,41","0,42","0,38","0,33","0,28","0,23","0,25","0,18","0,20","0,28","0,26","0,32","0,35","0,37","0,32","0,35","0,37","0,35"
EBIT *,565 mi,486 mi,280 mi,207 mi,116 mi,88 mi,41 mi,94 mi,-4 mi,95 mi,-19 mi,106 mi,143 mi,137 mi,139 mi,136 mi,198 mi,67 mi
EBITDA,535 mi,462 mi,258 mi,179 mi,92 mi,66 mi,-68 mi,93 mi,-46 mi,107 mi,3 mi,157 mi,162 mi,162 mi,159 mi,130 mi,206 mi,71 mi
EBITDA *,580 mi,502 mi,291 mi,215 mi,121 mi,92 mi,45 mi,97 mi,6 mi,114 mi,-4 mi,114 mi,155 mi,143 mi,143 mi,138 mi,200 mi,68 mi
Liquidez corrente,"2,78","2,18","2,46","2,39","2,78","1,84","2,12","0,95","0,68","1,19","1,43","1,78","2,89","2,56","2,51","2,10","4,39","3,00"
Liquidez seca,"2,21","1,69","1,78","1,33","1,76","0,76","0,70","0,34","0,34","0,65","0,78","0,91","1,54","1,43","1,78","1,39","3,24","1,40"
Liquidez imediata,"0,42","0,23","0,42","0,44","0,50","0,17","0,12","0,01","0,01","0,01","0,01","0,05","0,16","0,14","0,09","0,13","0,04","0,06"
Dívida bruta,907 mi,875 mi,511 mi,338 mi,125 mi,124 mi,125 mi,1.141 mi,1.205 mi,1.276 mi,1.301 mi,1.262 mi,1.097 mi,914 mi,883 mi,854 mi,783 mi,360 mi
Dívida líquida,83 mi,324 mi,106 mi,36 mi,-129 mi,-61 mi,67 mi,1.112 mi,1.186 mi,1.217 mi,1.222 mi,1.165 mi,932 mi,713 mi,598 mi,465 mi,195 mi,132 mi
Capital de giro,2.196 mi,1.597 mi,1.152 mi,809 mi,681 mi,556 mi,464 mi,-58 mi,-441 mi,196 mi,410 mi,603 mi,937 mi,818 mi,783 mi,674 mi,1.005 mi,453 mi
Endividamento geral,"191,86%","267,15%","170,05%","157,05%","139,32%","151,32%","107,77%","2.384,30%","881,52%","436,09%","451,29%","359,08%","264,01%","261,22%","287,28%","474,63%","484,48%","779,23%"
