Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013
Receita líquida,"356,56 M","397,20 M","482,86 M","462,57 M","387,03 M","419,76 M","502,71 M","477,79 M","506,70 M","548,70 M","613,28 M","569,89 M","494,47 M","474,05 M","619,17 M","590,10 M","487,30 M","616,87 M","511,09 M","445,44 M",0,"337,79 M","298,67 M","150,57 M",0,"366,64 M","414,15 M","424,82 M","401,90 M",0,"376,24 M","446,35 M","396,67 M",0,"366,91 M","400,08 M","376,86 M","350,66 M","363,20 M","401,17 M","387,79 M","388,48 M","410,56 M","437,31 M","400,62 M","366,58 M","192,85 M","89,42 M","81,75 M","75,22 M","80,95 M","77,83 M","70,83 M","64,86 M"
Custos,"-248,70 M","-277,27 M","-309,76 M","-297,95 M","-269,62 M","-290,50 M","-318,64 M","-315,31 M","-361,77 M","-350,28 M","-378,52 M","-373,89 M","-353,06 M","-346,05 M","-397,75 M","-393,52 M","-358,86 M","-404,87 M","-344,70 M","-284,34 M",0,"-253,56 M","-207,90 M","-139,59 M",0,"-281,14 M","-288,87 M","-275,90 M","-271,80 M",0,"-264,68 M","-286,21 M","-267,68 M",0,"-252,81 M","-263,43 M","-259,31 M","-253,39 M","-256,96 M","-269,31 M","-264,73 M","-277,24 M","-290,07 M","-294,88 M","-285,85 M","-266,47 M","-135,84 M","-59,60 M","-52,25 M","-47,61 M","-52,34 M","-45,86 M","-41,88 M","-39,99 M"
Lucro bruto,"107,85 M","119,93 M","173,10 M","164,63 M","117,41 M","129,26 M","184,06 M","162,49 M","144,93 M","198,42 M","234,76 M","196,00 M","141,41 M","127,99 M","221,42 M","196,58 M","128,43 M","212,00 M","166,38 M","161,09 M",0,"84,22 M","90,77 M","10,98 M",0,"85,50 M","125,28 M","148,92 M","130,10 M",0,"111,57 M","160,13 M","129,00 M",0,"114,10 M","136,65 M","117,55 M","97,28 M","106,24 M","131,86 M","123,06 M","111,25 M","120,48 M","142,43 M","114,77 M","100,11 M","57,01 M","29,82 M","29,50 M","27,61 M","28,62 M","31,96 M","28,96 M","24,86 M"
Despesas operacionais,"-118,34 M","-113,06 M","-149,41 M","-152,33 M","-124,83 M","-134,76 M","-161,57 M","-119,99 M","-161,38 M","-194,36 M","-171,60 M","-168,00 M","-157,58 M","90,67 M","-194,47 M","-168,61 M","-140,16 M","-229,51 M","-146,80 M","-122,41 M",0,"-133,94 M","-98,67 M","-474,48 M",0,"-121,27 M","-136,23 M","-112,46 M","-112,29 M",0,"-127,66 M","-130,41 M","-116,79 M",0,"-128,27 M","-103,44 M","-101,41 M","-103,65 M","-160,70 M","-114,69 M","-126,35 M","-119,74 M","-189,01 M","-135,34 M","-125,37 M","-96,90 M","-67,88 M","-25,82 M","-23,14 M","-23,97 M","-13,39 M","-20,51 M","-18,68 M","-17,18 M"
Despesas com vendas,"-96,24 M","-105,98 M","-118,45 M","-116,07 M","-111,23 M","-105,16 M","-130,99 M","-134,12 M","-142,23 M","-192,28 M","-156,45 M","-146,48 M","-123,47 M","-202,33 M","-125,73 M","-75,51 M","-118,11 M","-226,80 M","-89,67 M","-87,53 M",--,"-81,87 M","-50,20 M","-42,18 M",--,--,"-64,41 M","-66,56 M","-66,50 M",--,"-79,09 M","-94,31 M","-85,13 M",--,"-73,55 M","-84,41 M","-81,82 M","-74,54 M","-76,67 M","-86,68 M","-89,11 M","-84,87 M","-89,83 M","-95,00 M","-83,33 M","-70,27 M","-36,17 M","-16,29 M","-14,11 M","-13,15 M","-10,55 M","-11,34 M","-9,85 M","-8,84 M"
Despesas administrativas,"-35,77 M","-40,09 M","-35,75 M","-40,92 M","-53,01 M","-53,91 M","-50,61 M","-50,56 M","-46,66 M","-69,25 M","-59,27 M","-53,53 M","-47,72 M","17,27 M","-82,66 M","-114,87 M","-36,08 M","6,37 M","-63,61 M","-67,43 M",--,"-62,14 M","-53,70 M","-60,36 M",--,--,"-86,50 M","-49,34 M","-50,99 M",--,"-38,61 M","-36,31 M","-34,11 M",--,"-43,07 M","-28,89 M","-29,18 M","-31,65 M","-39,08 M","-35,77 M","-36,16 M","-35,84 M","-42,17 M","-39,41 M","-43,94 M","-30,09 M","-13,25 M","-9,43 M","-10,03 M","-11,13 M","-6,64 M","-9,49 M","-9,44 M","-8,72 M"
EBIT,"-10,48 M","6,87 M","23,68 M","12,29 M","-7,42 M","-5,51 M","22,50 M","42,50 M","-16,46 M","4,06 M","63,16 M","28,00 M","-16,17 M","218,66 M","26,95 M","27,97 M","-11,72 M","-17,51 M","19,59 M","38,69 M",0,"-49,72 M","-7,90 M","-463,51 M",0,"-35,78 M","-10,95 M","36,46 M","17,81 M",0,"-16,09 M","29,72 M","12,21 M",0,"-14,17 M","33,20 M","16,14 M","-6,37 M","-54,46 M","17,17 M","-3,29 M","-8,49 M","-68,53 M","7,08 M","-10,59 M","3,21 M","-10,87 M","4,00 M","6,36 M","3,64 M","15,23 M","11,45 M","10,28 M","7,68 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-90,60 M","-30,86 M","-31,01 M","-34,89 M","-28,38 M","-40,51 M","-29,69 M","-20,38 M","-23,64 M","-43,59 M","-29,00 M","-26,21 M","-37,28 M","-37,02 M","-29,20 M","-38,17 M","-24,52 M","-27,40 M","-17,61 M","-13,26 M",0,"-5,73 M","-10,48 M","-17,75 M",0,"-17,11 M","-15,09 M","-12,21 M","-14,65 M",0,"-10,13 M","-3,97 M","-2,83 M",0,"-3,37 M","-2,75 M","-2,33 M","-627,00 Mil","-2,02 M","-878,00 Mil","9,19 M","-21,64 M","-15,99 M","-18,27 M","-11,91 M","-13,61 M","-7,08 M","-3,19 M","-2,53 M","-1,89 M","-1,55 M","-1,15 M","-1,01 M","-1,16 M"
Antes dos impostos,"-101,08 M","-23,98 M","-7,32 M","-22,59 M","-35,80 M","-46,01 M","-7,19 M","22,11 M","-40,09 M","-39,53 M","34,16 M","1,79 M","-53,45 M","181,64 M","-2,24 M","-10,20 M","-36,24 M","-44,91 M","1,98 M","25,43 M",0,"-55,45 M","-18,38 M","-481,26 M",0,"-52,88 M","-26,04 M","24,25 M","3,16 M",0,"-26,22 M","25,75 M","9,38 M",0,"-17,54 M","30,45 M","13,80 M","-7,00 M","-56,48 M","16,29 M","5,90 M","-30,14 M","-84,52 M","-11,19 M","-22,51 M","-10,40 M","-17,94 M","807,00 Mil","3,84 M","1,75 M","13,68 M","10,30 M","9,26 M","6,53 M"
