Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"2,85 B","2,74 B","2,69 B","2,60 B","2,49 B","2,59 B","2,52 B","2,46 B","2,45 B","2,42 B","2,43 B","2,40 B","2,32 B","2,30 B","2,20 B","2,06 B","1,99 B","1,95 B","1,97 B","1,85 B","1,84 B","1,79 B","1,98 B","1,46 B","1,29 B","1,22 B","1,16 B"
Ativo circulante,"1,89 B","1,78 B","1,97 B","1,94 B","1,92 B","1,99 B","2,07 B","2,06 B","1,94 B","1,99 B","1,98 B","1,97 B","1,91 B","1,84 B","1,59 B","1,65 B","1,72 B","1,69 B","1,74 B","1,64 B","1,63 B","1,59 B","1,67 B","1,10 B","958,59 M","905,53 M","989,92 M"
Caixa e eq. de caixa,"11,90 M","5,57 M","33,84 M","1,71 M","1,59 M","5,14 M","3,71 M","812,00 Mil","1,04 M","1,58 M","5,58 M","2,11 M","17,04 M","16,06 M","8,88 M","8,52 M","8,92 M","16,14 M","36,14 M","51,52 M","60,62 M","6,49 M","6,42 M","8,35 M","36,69 M","9,21 M","2,96 M"
Aplicações financeiras,"222,44 M","175,17 M","330,97 M","396,98 M","348,99 M","457,65 M","508,55 M","499,88 M","447,86 M","397,60 M","441,26 M","408,34 M","351,10 M","336,37 M","328,74 M","379,10 M","370,42 M","384,55 M","508,88 M","583,77 M","616,19 M","695,05 M","856,99 M","276,64 M","136,57 M","126,41 M","96,24 M"
Contas a receber,"1,66 B","1,60 B","1,61 B","1,54 B","1,57 B","1,52 B","1,56 B","1,56 B","1,49 B","1,59 B","1,53 B","1,56 B","610,28 M","1,49 B","1,25 B","1,26 B","1,34 B","1,29 B","1,19 B","1,00 B","949,37 M","885,49 M","803,80 M","819,81 M","785,33 M","769,91 M","890,72 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,"931,88 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"954,09 M","964,02 M","720,53 M","658,75 M","564,67 M","607,45 M","447,21 M","398,15 M","513,25 M","429,94 M","454,87 M","428,97 M","406,86 M","456,89 M","609,89 M","410,94 M","273,90 M","261,80 M","230,30 M","210,54 M","209,28 M","203,43 M","311,69 M","351,71 M","329,10 M","318,89 M","170,35 M"
Investimentos,"197,25 M","189,73 M","135,50 M","131,11 M","79,39 M","77,66 M","30,90 M","24,94 M","23,63 M","23,39 M","19,89 M","16,40 M","14,33 M","12,42 M","12,18 M","6,61 M","4,58 M","4,58 M","4,58 M","4,58 M","1,49 M","1,49 M","200,00 Mil","200,00 Mil","200,00 Mil",0,0
Imobilizado,"15,30 M","14,47 M","13,01 M","11,54 M","11,26 M","11,31 M","12,16 M","12,81 M","13,46 M","11,09 M","11,76 M","12,04 M","12,65 M","12,60 M","12,98 M","13,51 M","14,02 M","13,77 M","9,54 M","5,40 M","5,26 M","5,66 M","5,35 M","6,10 M","5,30 M","5,76 M","3,29 M"
Intangível,"1,47 M","1,33 M","1,28 M","759,00 Mil","659,00 Mil","529,00 Mil","411,00 Mil","209,00 Mil","99,00 Mil","129,00 Mil","160,00 Mil","191,00 Mil","222,00 Mil","249,00 Mil","289,00 Mil","124,00 Mil","139,00 Mil","158,00 Mil","168,00 Mil","187,00 Mil","205,00 Mil","231,00 Mil","289,00 Mil","289,00 Mil","317,00 Mil","363,00 Mil","610,00 Mil"
Passivo total,"2,85 B","2,74 B","2,69 B","2,60 B","2,49 B","2,59 B","2,52 B","2,46 B","2,45 B","2,42 B","2,43 B","2,40 B","2,32 B","2,30 B","2,20 B","2,06 B","1,99 B","1,95 B","1,97 B","1,85 B","1,84 B","1,79 B","1,98 B","1,46 B","1,29 B","1,22 B","1,16 B"
Passivo circulante,"864,38 M","684,59 M","758,96 M","730,58 M","691,24 M","677,53 M","750,95 M","721,46 M","660,09 M","685,83 M","643,32 M","634,56 M","495,45 M","601,83 M","688,25 M","655,50 M","643,97 M","665,68 M","647,47 M","531,90 M","524,83 M","503,17 M","613,44 M","611,79 M","510,63 M","482,46 M","374,06 M"
Fornecedores,"41,95 M","32,59 M","47,68 M","55,74 M","57,08 M","43,08 M","32,04 M","33,95 M","41,19 M","53,47 M","52,79 M","49,11 M","30,95 M","27,91 M","39,65 M","54,70 M","46,81 M","41,92 M","23,48 M","18,75 M","22,80 M","15,70 M","22,11 M","14,51 M","15,22 M","18,20 M","16,88 M"
Empréstimos e financ.,"336,49 M","95,46 M","107,47 M","96,42 M","77,41 M","125,53 M","229,30 M","160,14 M","115,56 M","145,52 M","54,64 M","47,59 M","33,16 M","46,36 M","21,74 M","2,86 M","4,11 M","6,82 M","24,79 M","50,46 M","47,65 M","56,19 M","173,01 M","124,18 M","156,60 M","88,23 M","148,12 M"
Passivo não circulante,"743,69 M","839,93 M","687,72 M","648,56 M","570,95 M","549,20 M","430,15 M","447,10 M","423,40 M","410,84 M","530,43 M","475,49 M","500,94 M","404,08 M","211,52 M","150,27 M","110,39 M","86,71 M","94,65 M","102,37 M","107,17 M","88,62 M","171,48 M","224,91 M","197,48 M","241,60 M","320,80 M"
Emprést. de longo prazo,"365,90 M","509,02 M","407,77 M","342,61 M","272,33 M","234,80 M","114,49 M","160,80 M","172,91 M","139,74 M","227,60 M","191,03 M","152,63 M","118,64 M","115,08 M","85,65 M","24,83 M","5,61 M","10,22 M","16,63 M","25,75 M","23,04 M","94,98 M","147,68 M","122,60 M","167,03 M","105,37 M"
Patrimônio líquido,"1,24 B","1,22 B","1,25 B","1,22 B","1,23 B","1,37 B","1,34 B","1,29 B","1,37 B","1,32 B","1,26 B","1,29 B","1,32 B","1,30 B","1,30 B","1,26 B","1,24 B","1,20 B","1,23 B","1,21 B","1,20 B","1,20 B","1,19 B","619,80 M","579,59 M","500,36 M","465,42 M"
Aos não controladores,"159,47 M","151,97 M","147,89 M","147,83 M","143,81 M","156,40 M","132,89 M","118,38 M","131,54 M","119,51 M","89,14 M","97,30 M","92,37 M","89,11 M","99,80 M","72,71 M","62,76 M","44,02 M","50,09 M","49,04 M","41,57 M","35,90 M","35,27 M","82,98 M","65,60 M","52,53 M","42,60 M"
