Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"0,72","-0,92","2,77","0,30","0,70","-1,59","-4,64","-2,42","-2,96","16,29","-0,23","-0,70","-0,21","-0,75","-7,00","21,03","30,24"
P/VP,"0,74","68,92","2,30","10,78","-0,41","-0,12","-0,08","-0,11","-0,08","-0,09","-0,04","-0,07","-0,09","1,47","0,42","0,71","0,86"
P/EBIT,"0,47","0,60","1,13","0,66","0,54","0,63","0,64","1,16","2,17","5,09","-2,59","-0,76","-0,26","1,19","2,34","3,13","-9,39"
P/EBIT *,"0,44","0,58","1,14","0,73","1,08","1,01","0,51","1,25","1,42","7,46","-1,33","370,13","-0,77","1,39","1,97","3,58","5,56"
PSR,"0,03","0,04","0,10","0,08","0,12","0,09","0,05","0,08","0,06","0,06","0,03","0,02","0,02","0,08","0,17","0,21","0,29"
P/Ativos,"0,05","0,05","0,13","0,10","0,18","0,12","0,08","0,12","0,08","0,07","0,03","0,03","0,02","0,06","0,10","0,19","0,26"
LPA,"8,30","-7,19","5,89","44,74","25,82","-5,36","-1,12","-2,89","-1,50","0,28","-8,88","-2,74","-8,48","-9,20","-2,01","1,33","1,03"
VPA,"8,12","0,10","7,09","1,25","-43,44","-69,31","-64,09","-62,96","-54,94","-50,74","-51,53","-26,70","-19,03","4,70","33,53","39,23","36,44"
EBIT por ação,"12,81","10,94","14,39","20,43","33,40","13,59","8,16","6,06","2,05","0,91","-0,80","-2,53","-6,82","5,81","6,04","8,94","-3,33"
EBIT por ação *,"13,77","11,28","14,34","18,48","16,73","8,44","10,10","5,58","3,13","0,62","-1,55","0,01","-2,35","4,97","7,16","7,80","5,62"
Ativo por ação,"124,75","127,88","128,27","138,30","102,08","68,82","63,41","60,30","58,22","62,90","68,68","72,21","77,57","116,70","141,48","148,15","122,04"
Receita líquida por ação,"183,91","163,93","160,44","175,89","149,22","94,49","96,20","82,43","77,12","73,93","73,92","77,80","79,71","82,02","82,32","135,44","109,20"
Margem bruta,"12,72%","11,97%","13,67%","14,15%","15,15%","14,76%","16,82%","14,20%","12,80%","10,59%","7,88%","10,38%","6,70%","15,38%","17,56%","16,30%","15,98%"
Margem líquida,"4,51%","-4,39%","3,67%","25,44%","17,30%","-5,67%","-1,16%","-9,73%","-5,45%","1,08%","-33,60%","-9,86%","-29,77%","-31,39%","-6,85%","2,75%","2,65%"
Margem EBIT,"6,97%","6,67%","8,97%","11,61%","22,38%","14,38%","8,48%","7,35%","2,66%","1,23%","-1,08%","-3,25%","-8,55%","7,09%","7,33%","6,60%","-3,05%"
Margem EBIT *,"7,49%","6,88%","8,94%","10,51%","11,21%","8,93%","10,50%","6,77%","4,06%","0,84%","-2,10%","0,01%","-2,95%","6,06%","8,70%","5,76%","5,15%"
Margem EBITDA,"9,01%","8,93%","11,21%","13,55%","24,59%","17,87%","11,78%","11,38%","6,01%","5,65%","3,63%","1,11%","-3,77%","12,77%","12,66%","9,52%","0,90%"
Margem EBITDA *,"9,53%","9,14%","11,17%","12,44%","13,42%","12,42%","13,80%","10,80%","7,41%","5,26%","2,61%","4,36%","1,84%","11,74%","14,02%","8,68%","9,10%"
Margem operacional,"4,86%","-6,85%","5,87%","9,02%","22,03%","-5,22%","-0,72%","-9,28%","-7,57%","1,17%","-33,30%","-9,66%","-20,11%","-4,64%","-3,01%","4,28%","4,45%"
ROE,"102,24%","-7.518,08%","83,09%","3.580,95%","-59,44%","7,73%","1,75%","12,74%","7,65%","-1,57%","48,20%","28,73%","124,71%","-547,40%","-16,81%","9,48%","7,95%"
ROA,"0,07","-0,06","0,05","0,32","0,25","-0,08","-0,02","-0,13","-0,07","0,01","-0,36","-0,11","-0,31","-0,22","-0,04","0,03","0,02"
ROIC,"12,10%","9,91%","12,82%","17,06%","40,03%","24,82%","15,95%","12,52%","4,31%","1,69%","-1,35%","-4,18%","-11,58%","8,39%","6,76%","8,54%","-3,57%"
ROIC *,"13,01%","10,21%","12,77%","15,43%","20,05%","15,42%","19,74%","11,53%","6,57%","1,15%","-2,62%","0,01%","-3,99%","7,18%","8,01%","7,46%","6,02%"
Giro do ativo,"1,47","1,28","1,25","1,27","1,46","1,37","1,52","1,37","1,32","1,18","1,08","1,08","1,03","0,70","0,58","0,91","0,89"
EBIT *,79 mi,65 mi,82 mi,106 mi,96 mi,48 mi,58 mi,32 mi,18 mi,3 mi,-9 mi,0 mi,-14 mi,28 mi,41 mi,45 mi,32 mi
EBITDA,95 mi,84 mi,103 mi,137 mi,212 mi,97 mi,65 mi,54 mi,26 mi,24 mi,15 mi,4 mi,-18 mi,60 mi,60 mi,74 mi,5 mi
