Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"36,71 B","37,91 B","37,22 B","36,91 B","35,58 B","37,31 B","35,70 B","34,98 B","37,22 B","37,46 B","36,92 B","35,60 B","34,22 B","37,77 B","35,98 B","34,50 B","33,76 B","38,38 B","30,55 B","25,07 B","22,61 B","24,65 B","21,81 B","20,56 B","17,71 B","19,79 B","13,25 B","12,08 B","9,74 B","8,80 B","7,13 B","7,04 B","6,90 B","7,42 B","5,95 B","5,27 B","5,27 B","6,10 B","5,20 B","4,98 B","4,98 B","5,50 B","4,78 B","4,66 B","4,83 B","5,25 B","4,66 B","4,49 B","4,48 B","4,71 B","4,35 B","4,29 B","4,11 B","4,11 B","5,23 B","5,12 B","4,85 B","4,88 B","4,44 B","4,40 B","3,68 B","3,93 B","2,63 B"
Ativo circulante,"18,40 B","19,84 B","19,24 B","19,22 B","18,06 B","19,55 B","17,75 B","17,39 B","20,05 B","20,22 B","19,48 B","19,09 B","18,18 B","21,94 B","20,72 B","20,07 B","19,59 B","24,51 B","19,87 B","15,99 B","14,62 B","16,80 B","14,36 B","13,28 B","10,59 B","12,84 B","6,35 B","6,04 B","5,33 B","6,41 B","4,89 B","4,84 B","4,77 B","5,26 B","3,79 B","3,12 B","3,13 B","3,92 B","3,01 B","2,81 B","2,82 B","3,36 B","2,64 B","2,67 B","2,92 B","3,40 B","2,76 B","2,63 B","2,68 B","2,92 B","2,63 B","2,62 B","2,39 B","2,42 B","3,83 B","3,74 B","3,50 B","3,57 B","3,24 B","3,32 B","2,67 B","2,90 B","2,01 B"
Caixa e eq. de caixa,"1,29 B","1,58 B","1,42 B","1,97 B","1,53 B","1,83 B","1,54 B","1,21 B","1,98 B","2,59 B","2,80 B","2,10 B","1,78 B","2,42 B","1,81 B","1,71 B","1,41 B","2,57 B","751,22 M","1,29 B","639,87 M","1,68 B","1,19 B","1,10 B","388,90 M","305,75 M","221,79 M","625,71 M","293,19 M","599,09 M","419,01 M","680,45 M","775,15 M","412,71 M","178,62 M","265,06 M","255,09 M","599,14 M","234,56 M","197,50 M","411,26 M","617,47 M","270,39 M","227,14 M","282,75 M","412,17 M","132,75 M","287,37 M","235,28 M","280,31 M","260,30 M","176,57 M","152,28 M","418,88 M","99,03 M","140,30 M","176,12 M","173,12 M","77,97 M","48,31 M","125,62 M","328,87 M","192,41 M"
Aplicações financeiras,"337,04 M","459,93 M","155,42 M","143,68 M","201,33 M","337,89 M","269,53 M","739,12 M","352,06 M","779,07 M","480,83 M","386,19 M","447,91 M","304,30 M","293,88 M","211,31 M","584,43 M","1,56 B","1,35 B","468,47 M","745,39 M","1,22 B","1,73 B","1,88 B","2,23 B","4,45 B","238,72 M","441,10 M","217,28 M","409,11 M","253,76 M","182,84 M","299,35 M","1,26 B","1,04 B","596,98 M","521,38 M","818,98 M","566,95 M","464,85 M","302,25 M","497,62 M","265,14 M","238,79 M","337,43 M","450,98 M","435,16 M","283,76 M","306,27 M","491,29 M","423,49 M","539,04 M","476,23 M","126,39 M","274,33 M","255,06 M","162,70 M","74,96 M","259,47 M","655,52 M","145,34 M","46,73 M","39,21 M"
Contas a receber,"4,44 B","5,61 B","5,33 B","5,74 B","4,95 B","5,83 B","4,78 B","4,54 B","6,05 B","5,89 B","4,84 B","5,53 B","4,72 B","6,76 B","5,49 B","5,62 B","4,80 B","5,65 B","5,43 B","3,78 B","3,71 B","4,76 B","4,03 B","4,39 B","2,15 B","2,92 B","1,87 B","1,46 B","1,76 B","2,05 B","1,66 B","1,51 B","1,41 B","1,24 B","663,19 M","503,85 M","578,85 M","581,00 M","423,05 M","404,30 M","389,64 M","435,23 M","431,18 M","419,45 M","480,44 M","618,28 M","583,81 M","577,42 M","510,04 M","530,62 M","463,68 M","458,45 M","448,83 M","486,47 M","1,96 B","1,97 B","1,88 B","1,93 B","1,76 B","1,63 B","1,52 B","1,52 B","1,19 B"
Estoques,"7,56 B","7,18 B","7,47 B","7,04 B","7,19 B","7,61 B","7,39 B","7,20 B","7,32 B","7,50 B","7,90 B","7,57 B","7,56 B","7,79 B","8,47 B","7,97 B","8,08 B","9,11 B","8,13 B","7,50 B","6,81 B","5,93 B","5,01 B","4,20 B","4,08 B","3,80 B","2,89 B","2,56 B","2,48 B","2,81 B","2,11 B","2,11 B","1,94 B","1,97 B","1,55 B","1,43 B","1,45 B","1,60 B","1,35 B","1,31 B","1,28 B","1,35 B","1,21 B","1,29 B","1,39 B","1,47 B","1,27 B","1,14 B","1,26 B","1,25 B","1,14 B","1,05 B","974,92 M","1,07 B","1,31 B","1,13 B","1,13 B","1,26 B","1,00 B","876,60 M","741,13 M","849,80 M","518,55 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"18,32 B","18,07 B","17,98 B","17,69 B","17,52 B","17,76 B","17,96 B","17,59 B","17,17 B","17,23 B","17,44 B","16,51 B","16,04 B","15,83 B","15,25 B","14,44 B","14,17 B","13,87 B","10,68 B","9,07 B","7,99 B","7,85 B","7,46 B","7,28 B","7,12 B","6,95 B","6,90 B","6,05 B","4,41 B","2,38 B","2,24 B","2,20 B","2,13 B","2,16 B","2,16 B","2,16 B","2,15 B","2,18 B","2,19 B","2,17 B","2,16 B","2,14 B","2,14 B","1,98 B","1,92 B","1,86 B","1,90 B","1,86 B","1,80 B","1,79 B","1,72 B","1,68 B","1,72 B","1,69 B","1,40 B","1,38 B","1,35 B","1,31 B","1,20 B","1,08 B","1,01 B","1,03 B","622,80 M"
Investimentos,"1,14 B","1,10 B","1,10 B","1,07 B","1,01 B","971,86 M","898,73 M","565,48 M","329,77 M","322,52 M","264,05 M","282,26 M","301,65 M","338,83 M","360,49 M","368,40 M","377,53 M","407,78 M","454,53 M","411,73 M","381,79 M","386,73 M","382,94 M","318,64 M","287,97 M","305,09 M","305,02 M","293,61 M","294,61 M","308,46 M","294,29 M","284,53 M","277,19 M","311,35 M","319,04 M","311,85 M","304,90 M","293,83 M","373,65 M","368,12 M","368,53 M","297,47 M","333,57 M","313,17 M","294,65 M","280,57 M","313,36 M","287,05 M","266,01 M","251,75 M","248,72 M","236,61 M","224,62 M","222,89 M",0,0,0,0,0,0,0,0,0
Imobilizado,"5,03 B","5,12 B","5,09 B","4,99 B","5,02 B","5,07 B","5,04 B","4,96 B","5,07 B","5,18 B","5,25 B","5,42 B","5,38 B","5,47 B","5,41 B","5,34 B","5,38 B","5,30 B","4,80 B","4,41 B","3,78 B","3,72 B","3,53 B","3,46 B","3,40 B","3,35 B","3,18 B","2,75 B","2,67 B","754,25 M","663,33 M","608,12 M","565,66 M","569,03 M","560,45 M","557,36 M","557,97 M","560,07 M","558,99 M","562,40 M","569,58 M","578,57 M","567,68 M","563,89 M","561,46 M","566,19 M","549,65 M","534,74 M","530,78 M","540,44 M","527,89 M","510,82 M","575,51 M","573,96 M","552,03 M","529,16 M","513,74 M","489,94 M","406,58 M","372,57 M","359,86 M","358,84 M","297,79 M"
