Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"9,21 B","11,15 B","9,03 B","9,13 B","9,39 B","10,79 B","9,00 B","9,01 B","9,24 B","10,55 B","8,58 B","8,57 B","9,07 B","11,17 B","8,81 B","8,56 B","8,76 B","9,40 B","8,61 B","9,01 B","8,25 B","10,07 B","8,31 B","5,57 B","5,23 B","6,39 B","4,86 B","4,31 B","4,33 B","4,61 B","3,67 B","3,70 B","3,61 B","3,62 B","2,86 B","2,70 B","2,81 B","2,84 B","2,26 B","2,15 B","2,26 B","2,54 B","2,08 B","2,11 B","2,25 B","2,78 B","2,39 B","2,34 B","2,27 B","2,48 B","2,02 B","1,82 B","1,77 B","2,05 B","1,70 B","1,65 B","1,67 B","1,93 B","1,60 B","1,47 B",0,"1,60 B","1,20 B","1,07 B",0
Custos,"-6,37 B","-8,11 B","-6,18 B","-6,35 B","-6,51 B","-7,54 B","-6,16 B","-6,23 B","-6,48 B","-7,36 B","-6,56 B","-6,10 B","-6,59 B","-8,07 B","-6,35 B","-6,11 B","-6,33 B","-7,03 B","-6,88 B","-6,71 B","-6,18 B","-7,58 B","-6,13 B","-4,13 B","-3,81 B","-4,56 B","-3,44 B","-3,22 B","-3,12 B","-3,31 B","-2,58 B","-2,59 B","-2,57 B","-2,57 B","-1,97 B","-1,86 B","-1,97 B","-2,00 B","-1,54 B","-1,46 B","-1,58 B","-1,81 B","-1,47 B","-1,48 B","-1,64 B","-2,02 B","-1,71 B","-1,71 B","-1,65 B","-1,80 B","-1,45 B","-1,31 B","-1,27 B","-1,47 B","-1,21 B","-1,18 B","-1,20 B","-1,26 B","-1,08 B","-990,14 M",0,"-1,08 B","-784,35 M","-704,46 M",0
Lucro bruto,"2,83 B","3,05 B","2,84 B","2,79 B","2,88 B","3,24 B","2,84 B","2,78 B","2,76 B","3,19 B","2,02 B","2,47 B","2,48 B","3,10 B","2,45 B","2,45 B","2,43 B","2,37 B","1,73 B","2,31 B","2,07 B","2,49 B","2,18 B","1,44 B","1,42 B","1,83 B","1,42 B","1,09 B","1,21 B","1,30 B","1,09 B","1,11 B","1,04 B","1,06 B","882,77 M","834,94 M","832,45 M","840,65 M","715,91 M","682,49 M","683,56 M","721,41 M","613,87 M","629,53 M","613,82 M","759,22 M","679,53 M","633,72 M","620,00 M","678,15 M","572,41 M","514,22 M","498,22 M","574,14 M","495,29 M","476,88 M","462,65 M","668,16 M","523,61 M","482,66 M",0,"521,24 M","413,05 M","368,56 M",0
Despesas operacionais,"-2,48 B","-2,42 B","-2,36 B","-2,42 B","-2,44 B","-2,73 B","-2,48 B","-2,45 B","-2,40 B","-2,95 B","-2,62 B","-2,50 B","-2,46 B","-2,81 B","-2,23 B","-2,27 B","-2,36 B","-2,61 B","-1,81 B","-2,05 B","-1,55 B","-2,17 B","-1,80 B","-1,46 B","-1,26 B","-1,45 B","-1,09 B","-809,15 M","-919,99 M","-983,71 M","-857,33 M","-834,75 M","-780,09 M","-780,23 M","-669,01 M","-634,08 M","-635,00 M","-653,80 M","-567,25 M","-550,27 M","-570,34 M","-655,23 M","-532,36 M","-533,94 M","-518,17 M","-615,26 M","-531,66 M","-528,39 M","-526,23 M","-572,81 M","-475,38 M","-379,70 M","-460,13 M","-519,36 M","-443,10 M","-419,41 M","-460,63 M","-636,92 M","-454,23 M","-432,51 M",0,"-444,54 M","-336,86 M","-314,87 M",0
Despesas com vendas,"-1,70 B","-2,18 B","-1,73 B","-1,71 B","-1,76 B","-2,05 B","-1,73 B","-1,69 B","-1,66 B","-2,04 B","-1,72 B","-1,60 B","-1,64 B","-2,03 B","-1,55 B","-1,57 B","-1,59 B","-1,76 B","-1,58 B","-1,61 B","-1,42 B","-1,68 B","-1,43 B","-1,12 B","-938,26 M","-1,13 B","-889,95 M","-726,20 M","-692,98 M","-774,98 M","-669,22 M","-661,37 M","-641,87 M","-602,86 M","-519,26 M","-489,25 M","-508,59 M","-497,24 M","-434,47 M","-417,77 M","-426,78 M","-486,14 M","-408,92 M","-404,41 M","-421,33 M","-487,44 M","-423,07 M","-415,84 M","-419,90 M","-437,45 M","-371,75 M","-349,50 M","-355,07 M","-396,13 M","-347,43 M","-327,19 M","-333,35 M","-404,30 M","-335,49 M","-305,76 M",--,"-290,48 M","-238,32 M","-219,97 M",--
Despesas administrativas,"-671,04 M","-683,30 M","-675,86 M","-656,56 M","-661,33 M","-679,63 M","-701,89 M","-663,19 M","-662,29 M","-647,51 M","-668,57 M","-645,60 M","-616,22 M","-700,25 M","-607,66 M","-608,47 M","-617,45 M","-554,42 M","-429,97 M","-460,34 M","-403,88 M","-475,73 M","-409,88 M","-354,25 M","-369,47 M","-325,65 M","-371,02 M","-251,68 M","-240,21 M","-222,42 M","-190,55 M","-176,69 M","-170,18 M","-194,47 M","-168,97 M","-161,09 M","-154,55 M","-173,91 M","-150,26 M","-149,43 M","-141,96 M","-157,90 M","-141,84 M","-143,75 M","-140,79 M","-159,79 M","-133,96 M","-133,83 M","-129,31 M","-154,58 M","-121,18 M","-111,28 M","-118,65 M","-140,00 M","-108,90 M","-105,12 M","-110,64 M","-135,90 M","-112,59 M","-98,37 M",--,"-118,18 M","-80,08 M","-63,55 M",--
EBIT,"352,94 M","624,56 M","487,24 M","368,83 M","438,05 M","514,76 M","353,77 M","331,71 M","362,19 M","243,17 M","-595,72 M","-35,92 M","16,33 M","287,80 M","222,74 M","186,65 M","74,45 M","-234,02 M","-73,05 M","260,41 M","517,26 M","318,43 M","376,88 M","-28,51 M","157,78 M","376,76 M","337,28 M","283,08 M","291,43 M","312,46 M","232,54 M","273,28 M","263,27 M","275,63 M","213,75 M","200,85 M","197,45 M","186,85 M","148,66 M","132,22 M","113,22 M","66,18 M","81,51 M","95,59 M","95,65 M","143,96 M","147,87 M","105,33 M","93,77 M","105,33 M","97,02 M","134,51 M","38,09 M","54,79 M","52,19 M","57,47 M","2,02 M","31,24 M","69,38 M","50,15 M",0,"76,70 M","76,19 M","53,68 M",0
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-568,71 M","-572,47 M","-488,07 M","-495,56 M","-488,07 M","-389,99 M","-300,55 M","-401,08 M","-383,43 M","-227,16 M","-300,60 M","-532,10 M","-632,36 M","-568,80 M","-556,28 M","-493,84 M","-422,11 M","-248,03 M","-40,98 M","-229,68 M","-170,33 M","-118,83 M","-102,70 M","-94,56 M","-94,41 M","-187,98 M","-39,49 M","255,99 M","-98,93 M","-90,69 M","-71,66 M","-72,56 M","-59,77 M","-78,61 M","-92,55 M","-109,25 M","-130,41 M","-138,19 M","-127,23 M","-124,50 M","-113,93 M","-152,75 M","-124,27 M","-104,71 M","-104,33 M","-110,06 M","-96,78 M","-79,53 M","-74,36 M","-73,81 M","-65,36 M","-59,51 M","-45,28 M","-47,00 M","-50,96 M","-57,07 M","-48,77 M","-40,25 M","-37,42 M","-42,37 M",0,"-47,01 M","-38,81 M","-27,57 M",0
Antes dos impostos,"-215,77 M","52,09 M","-837,00 Mil","-126,73 M","-50,02 M","124,77 M","53,22 M","-69,36 M","-21,24 M","16,01 M","-896,33 M","-568,02 M","-616,03 M","-281,00 M","-333,54 M","-307,19 M","-347,66 M","-482,05 M","-114,03 M","30,73 M","346,94 M","199,60 M","274,18 M","-123,07 M","63,37 M","188,78 M","297,80 M","539,07 M","192,50 M","221,77 M","160,88 M","200,72 M","203,50 M","197,03 M","121,20 M","91,61 M","67,04 M","48,67 M","21,43 M","7,71 M","-711,00 Mil","-86,58 M","-42,76 M","-9,12 M","-8,68 M","33,90 M","51,09 M","25,79 M","19,41 M","31,53 M","31,66 M","75,00 M","-7,19 M","7,78 M","1,23 M","404,00 Mil","-46,75 M","-9,01 M","31,96 M","7,78 M",0,"29,69 M","37,38 M","26,12 M",0
