Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,4T2019
Ativo total,"5,26 B","5,25 B","5,28 B","5,35 B","5,28 B","5,31 B","5,14 B","5,17 B","5,23 B","5,46 B","5,82 B","6,52 B","6,57 B","6,88 B","6,89 B","6,37 B","6,34 B","6,68 B","7,59 B","5,34 B","5,46 B","4,69 B","1,92 B"
Ativo circulante,"3,69 B","3,65 B","3,68 B","3,62 B","3,54 B","3,65 B","3,75 B","3,77 B","3,79 B","4,01 B","4,42 B","5,20 B","5,21 B","5,52 B","5,52 B","5,07 B","5,31 B","5,70 B","7,01 B","4,84 B","5,01 B","4,29 B","1,63 B"
Caixa e eq. de caixa,"624,62 M","656,54 M","470,34 M","498,87 M","472,89 M","744,55 M","739,90 M","1,02 B","950,10 M","1,05 B","898,25 M","901,77 M","892,41 M","663,12 M","513,78 M","480,95 M","739,78 M","1,36 B","1,65 B","311,18 M","502,00 M","460,78 M","97,93 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"1,27 B","1,36 B","1,26 B","1,21 B","1,08 B","1,13 B","1,05 B","994,15 M","954,78 M","1,03 B","1,03 B","1,21 B","1,12 B","1,42 B","1,37 B","1,41 B","1,36 B","1,35 B","1,37 B","1,36 B","1,43 B","967,78 M","613,39 M"
Estoques,"1,44 B","1,34 B","1,62 B","1,61 B","1,70 B","1,50 B","1,49 B","1,32 B","1,48 B","1,52 B","2,03 B","2,50 B","2,69 B","2,93 B","3,12 B","2,71 B","2,76 B","2,50 B","3,29 B","2,62 B","2,65 B","2,61 B","787,69 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"1,56 B","1,60 B","1,61 B","1,73 B","1,73 B","1,66 B","1,39 B","1,40 B","1,44 B","1,45 B","1,41 B","1,32 B","1,36 B","1,35 B","1,37 B","1,30 B","1,03 B","975,12 M","575,68 M","498,00 M","445,33 M","395,88 M","294,94 M"
Investimentos,"130,31 M","123,66 M","224,11 M","215,55 M","214,18 M","207,90 M","15,50 M","139,21 M","135,17 M","126,35 M","123,18 M","105,65 M","97,08 M","97,98 M","96,81 M","86,42 M","117,45 M","101,63 M","5,02 M","5,02 M","5,02 M","18,64 M","5,02 M"
Imobilizado,"407,83 M","411,67 M","410,65 M","394,91 M","397,92 M","398,47 M","398,47 M","406,06 M","436,14 M","439,03 M","433,71 M","424,12 M","398,64 M","402,33 M","358,79 M","358,12 M","266,82 M","240,35 M","230,58 M","214,42 M","197,14 M","167,43 M","159,68 M"
Intangível,"33,11 M","33,94 M","50,38 M","51,35 M","51,60 M","52,32 M","128,64 M","131,58 M","133,18 M","62,23 M","62,25 M","60,95 M","61,28 M","61,61 M","61,66 M","61,55 M","50,70 M","40,78 M","22,12 M","23,48 M","5,32 M","5,40 M","4,48 M"
Passivo total,"5,26 B","5,25 B","5,28 B","5,35 B","5,28 B","5,31 B","5,14 B","5,17 B","5,23 B","5,46 B","5,82 B","6,52 B","6,57 B","6,88 B","6,89 B","6,37 B","6,34 B","6,68 B","7,59 B","5,34 B","5,46 B","4,69 B","1,92 B"
Passivo circulante,"1,77 B","1,90 B","1,85 B","1,77 B","1,68 B","1,58 B","1,33 B","1,28 B","1,19 B","1,22 B","1,28 B","1,59 B","1,69 B","2,20 B","1,65 B","1,51 B","1,58 B","2,05 B","2,80 B","2,53 B","2,66 B","2,50 B","575,83 M"
Fornecedores,"1,26 B","1,22 B","1,21 B","1,04 B","984,90 M","1,12 B","834,45 M","703,21 M","620,23 M","576,88 M","514,32 M","676,35 M","724,15 M","811,11 M","873,13 M","691,71 M","711,35 M","1,16 B","2,07 B","1,59 B","1,94 B","1,99 B","345,48 M"
Empréstimos e financ.,"263,09 M","342,90 M","342,61 M","439,65 M","448,52 M","225,82 M","322,03 M","334,51 M","310,55 M","357,64 M","427,29 M","478,31 M","605,99 M","1,06 B","367,62 M","393,90 M","478,95 M","615,82 M","503,96 M","488,43 M","402,57 M","232,28 M","106,55 M"
Passivo não circulante,"395,65 M","385,16 M","399,12 M","604,53 M","643,91 M","834,67 M","716,06 M","794,75 M","887,39 M","1,02 B","999,97 M","1,17 B","1,16 B","620,40 M","982,86 M","668,00 M","582,23 M","623,04 M","875,56 M","977,32 M","1,07 B","662,36 M","197,63 M"
Emprést. de longo prazo,"170,64 M","147,14 M","158,57 M","217,11 M","240,66 M","421,98 M","303,05 M","374,40 M","370,37 M","462,59 M","511,10 M","621,39 M","687,13 M","151,70 M","589,72 M","263,75 M","267,47 M","381,49 M","581,12 M","746,38 M","855,12 M","473,46 M","70,89 M"
Patrimônio líquido,"3,09 B","2,97 B","3,04 B","2,97 B","2,95 B","2,89 B","3,09 B","3,09 B","3,15 B","3,22 B","3,54 B","3,75 B","3,71 B","4,05 B","4,26 B","4,19 B","4,18 B","4,01 B","3,91 B","1,83 B","1,73 B","1,52 B","1,15 B"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
