Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"872,74 M","1,16 B","1,07 B","929,66 M","763,81 M","962,90 M","809,91 M","884,91 M","730,78 M","840,79 M","883,79 M","989,85 M","784,65 M","1,11 B","1,12 B","1,17 B","975,50 M","1,26 B","1,20 B","1,16 B","1,23 B","825,35 M","931,73 M","608,52 M","478,74 M"
Custos,"-607,76 M","-870,71 M","-801,33 M","-698,57 M","-582,60 M","-735,12 M","-610,63 M","-690,65 M","-565,81 M","-920,07 M","-824,93 M","-726,00 M","-837,08 M","-910,76 M","-782,05 M","-855,46 M","-698,12 M","-995,84 M","-857,19 M","-786,00 M","-850,80 M","-571,19 M","-579,10 M","-400,75 M","-312,28 M"
Lucro bruto,"264,99 M","290,11 M","268,14 M","231,09 M","181,21 M","227,77 M","199,28 M","194,26 M","164,97 M","-79,27 M","58,86 M","263,85 M","-52,44 M","200,99 M","341,38 M","317,71 M","277,38 M","264,94 M","341,59 M","372,88 M","377,40 M","254,16 M","352,63 M","207,78 M","166,46 M"
Despesas operacionais,"-181,83 M","-246,69 M","-214,16 M","-213,52 M","-189,69 M","-209,72 M","-209,53 M","-179,40 M","-208,13 M","-224,98 M","-196,72 M","-240,26 M","-255,43 M","-366,51 M","-232,42 M","-190,99 M","-162,21 M","-125,28 M","-109,85 M","-194,14 M","-149,07 M","-48,06 M","-170,03 M","-114,65 M","-115,87 M"
Despesas com vendas,"-178,44 M","-251,08 M","-214,12 M","-196,34 M","-170,85 M","-223,98 M","-209,61 M","-200,02 M","-202,35 M","-246,23 M","-210,48 M","-221,06 M","-227,67 M","-236,12 M","-271,79 M","-209,55 M","-210,51 M","-226,05 M","-209,45 M","-177,42 M","-214,24 M","-172,54 M","-152,20 M","-99,03 M","-105,41 M"
Despesas administrativas,"-34,05 M","-32,73 M","-33,95 M","-34,56 M","-37,75 M","-37,03 M","-33,33 M","-34,27 M","-26,68 M","-28,13 M","-32,28 M","-34,56 M","-40,19 M","-64,26 M","-28,85 M","-32,49 M","-32,55 M","-38,60 M","-23,87 M","-37,11 M","-30,89 M","-15,92 M","-21,67 M","-11,42 M","-10,64 M"
EBIT,"83,16 M","43,42 M","53,98 M","17,57 M","-8,48 M","18,06 M","-10,26 M","14,86 M","-43,17 M","-304,26 M","-137,86 M","23,59 M","-307,86 M","-165,52 M","108,96 M","126,72 M","115,17 M","139,66 M","231,74 M","178,74 M","228,34 M","206,10 M","182,59 M","93,12 M","50,59 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"41,57 M","-68,27 M","19,46 M","9,91 M","75,13 M","-187,02 M","37,19 M","-54,52 M","-29,22 M","-30,65 M","-86,11 M","15,23 M","-40,71 M","1,58 M","-33,97 M","-67,29 M","55,12 M","24,83 M","-60,41 M","28,53 M","8,74 M","-30,80 M","189,00 Mil","-13,23 M","-49,75 M"
Antes dos impostos,"124,72 M","-24,85 M","73,44 M","27,48 M","66,65 M","-168,97 M","26,93 M","-39,66 M","-72,39 M","-334,90 M","-223,97 M","38,82 M","-348,57 M","-163,94 M","75,00 M","59,42 M","170,30 M","164,49 M","171,33 M","207,27 M","237,08 M","175,30 M","182,78 M","79,89 M","848,00 Mil"
Imposto,"-1,28 M","-3,28 M","-7,83 M","-7,71 M","-2,01 M","-32,53 M","-25,45 M","-12,56 M","3,39 M","10,07 M","11,72 M","4,70 M","5,96 M","-41,30 M","-6,43 M","-3,82 M","735,00 Mil","-11,37 M","54,32 M","-4,97 M","-43,45 M","-2,39 M","13,03 M","10,86 M","-8,45 M"
Op. continuadas,"123,45 M","-28,13 M","65,61 M","19,77 M","64,64 M","-201,50 M","1,48 M","-52,23 M","-69,00 M","-324,84 M","-212,25 M","43,52 M","-342,61 M","-205,23 M","68,56 M","55,60 M","171,03 M","153,12 M","225,66 M","202,30 M","193,62 M","172,91 M","195,81 M","90,75 M","-7,61 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"123,45 M","-28,13 M","65,61 M","19,77 M","64,64 M","-201,50 M","1,48 M","-52,23 M","-69,00 M","-324,84 M","-212,25 M","43,52 M","-342,61 M","-205,23 M","68,56 M","55,60 M","171,03 M","153,12 M","225,66 M","202,30 M","193,62 M","172,91 M","195,81 M","90,75 M","-7,61 M"
Dos controladores,"123,45 M",0,0,0,"64,64 M",0,0,0,"-69,00 M",0,0,0,"-342,61 M","89,97 M",0,"55,60 M","171,03 M","153,12 M","225,66 M","202,30 M","193,62 M","172,91 M","195,81 M","90,75 M","-7,61 M"
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
