Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"0,56","168,99","121,15","92,69","14,19","41,65","-8,67","-2,16","-7,03","-15,51","-32,02","-197,96","-8,73","-3,07","-175,60","-74,97","-44,82"
P/VP,"1,52","-6,52","-4,45","-1,80","-1,39","-1,84","-0,73","-0,40","-0,61","-0,77","-1,40","-1,76","-2,00","-3,70","131,86","-434,01","-171,06"
P/EBIT,"1,58","44,14","34,01","13,79","8,63","18,20","8,60","15,01","34,16","8,83","16,21","12,42","55,82","-3,14","-326,08","-376,73","-13,00"
P/EBIT *,"4,10","34,65","25,51","10,11","10,16","13,41","5,99","5,16","8,70","9,48","11,85","18,51","36,08","-23,71","-153,99","-141,43","481,21"
PSR,"0,66","5,73","3,91","1,66","1,50","2,65","1,21","0,73","0,94","1,05","1,71","2,28","2,21","2,36","12,10","19,04","19,10"
P/Ativos,"0,66","5,42","4,40","2,03","1,80","2,82","1,43","0,79","1,04","0,99","1,65","2,10","2,33","2,62","8,01","10,97","9,54"
LPA,"7,19","0,17","0,17","0,09","0,48","0,23","-0,46","-0,94","-0,36","-0,19","-0,16","-0,03","-0,80","-3,25","-0,18","-0,43","-0,74"
VPA,"2,67","-4,39","-4,56","-4,73","-4,84","-5,29","-5,53","-5,07","-4,12","-3,77","-3,58","-3,42","-3,51","-2,70","0,24","-0,07","-0,19"
EBIT por ação,"2,57","0,65","0,60","0,62","0,78","0,53","0,47","0,14","0,07","0,33","0,31","0,48","0,13","-3,18","-0,10","-0,08","-2,54"
EBIT por ação *,"0,99","0,83","0,79","0,84","0,66","0,72","0,67","0,40","0,29","0,31","0,42","0,32","0,19","-0,42","-0,20","-0,23","0,07"
Ativo por ação,"6,11","5,28","4,61","4,20","3,76","3,44","2,82","2,59","2,42","2,93","3,03","2,86","3,00","3,82","3,87","2,92","3,46"
Receita líquida por ação,"6,15","5,00","5,18","5,15","4,50","3,66","3,32","2,81","2,68","2,76","2,92","2,64","3,17","4,23","2,56","1,68","1,73"
Margem bruta,"27,28%","26,42%","25,85%","28,50%","25,05%","28,27%","28,37%","22,42%","18,80%","18,80%","22,55%","21,54%","18,59%","5,71%","7,14%","7,88%","16,99%"
Margem líquida,"118,29%","3,40%","3,24%","1,79%","10,58%","6,38%","-14,02%","-33,59%","-13,32%","-6,79%","-5,35%","-1,15%","-25,32%","-76,91%","-6,90%","-25,44%","-44,30%"
Margem EBIT,"41,89%","12,97%","11,50%","12,01%","17,37%","14,58%","14,13%","4,84%","2,74%","11,93%","10,56%","18,33%","3,96%","-75,20%","-3,71%","-5,05%","-146,99%"
Margem EBIT *,"16,11%","16,52%","15,33%","16,39%","14,75%","19,79%","20,28%","14,07%","10,75%","11,10%","14,45%","12,29%","6,12%","-9,96%","-7,86%","-13,46%","3,97%"
Margem EBITDA,"44,39%","15,35%","14,39%","13,93%","19,37%","17,04%","16,68%","7,85%","6,07%","15,63%","14,07%","22,22%","7,02%","-73,10%","-0,85%","0,44%","-142,78%"
Margem EBITDA *,"18,61%","18,90%","18,22%","18,30%","16,76%","22,26%","22,83%","17,09%","14,08%","14,81%","17,96%","16,18%","9,18%","-7,87%","-5,00%","-7,96%","8,18%"
Margem operacional,"89,77%","4,58%","1,83%","3,55%","13,35%","9,05%","-13,70%","-33,59%","-13,76%","-6,79%","-5,35%","0,31%","-10,00%","-81,93%","-8,54%","-17,85%","-159,65%"
ROE,"272,04%","-3,86%","-3,67%","-1,95%","-9,82%","-4,41%","8,40%","18,62%","8,66%","4,98%","4,36%","0,89%","22,87%","120,37%","-75,13%","577,00%","377,91%"
ROA,"1,19","0,03","0,04","0,02","0,13","0,07","-0,17","-0,36","-0,15","-0,06","-0,05","-0,01","-0,27","-0,85","-0,05","-0,15","-0,22"
ROIC,"63,22%","13,00%","13,79%","16,13%","21,97%","16,27%","17,34%","5,48%","3,16%","11,71%","10,57%","17,46%","4,51%","-95,75%","-2,80%","-3,27%","-79,23%"
ROIC *,"24,31%","16,56%","18,38%","22,00%","18,66%","22,09%","24,89%","15,95%","12,41%","10,90%","14,46%","11,71%","6,97%","-12,68%","-5,93%","-8,71%","2,14%"
Giro do ativo,"1,01","0,95","1,12","1,23","1,20","1,06","1,18","1,09","1,11","0,94","0,96","0,92","1,06","1,11","0,66","0,58","0,50"
EBIT *,70 mi,58 mi,56 mi,59 mi,47 mi,51 mi,47 mi,28 mi,20 mi,21 mi,29 mi,23 mi,13 mi,-30 mi,-15 mi,-17 mi,4 mi
EBITDA,193 mi,54 mi,52 mi,50 mi,61 mi,44 mi,39 mi,15 mi,11 mi,30 mi,29 mi,41 mi,15 mi,-220 mi,-2 mi,0 mi,-176 mi
EBITDA *,81 mi,67 mi,67 mi,66 mi,53 mi,57 mi,53 mi,34 mi,26 mi,29 mi,37 mi,30 mi,20 mi,-24 mi,-10 mi,-10 mi,10 mi
Liquidez corrente,"2,83","0,36","0,32","0,30","0,25","0,21","0,13","0,09","0,08","0,07","0,10","0,10","0,18","0,24","0,60","0,38","0,22"
Liquidez seca,"2,49","0,32","0,29","0,27","0,22","0,19","0,12","0,07","0,06","0,06","0,08","0,08","0,15","0,19","0,41","0,29","0,19"
Liquidez imediata,"0,47","0,00","0,00","0,02","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,00"
Dívida bruta,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,1 mi,2 mi,4 mi,15 mi,19 mi,24 mi,32 mi,31 mi,34 mi
Dívida líquida,-124 mi,-1 mi,0 mi,-11 mi,-1 mi,0 mi,0 mi,0 mi,1 mi,1 mi,4 mi,15 mi,19 mi,24 mi,32 mi,30 mi,33 mi
