Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"74,16 B","71,02 B","67,33 B","64,51 B","62,67 B","59,10 B","59,08 B","55,41 B","56,41 B","54,64 B","52,91 B","54,69 B","50,78 B","50,55 B","50,24 B","47,89 B","47,17 B","41,36 B","39,42 B","36,32 B","34,50 B","33,45 B","35,32 B","34,93 B","33,88 B","33,26 B","31,33 B","30,58 B","31,26 B","30,82 B","31,91 B","30,32 B","31,22 B","30,61 B","28,88 B","28,29 B","27,64 B","24,56 B","23,85 B","22,22 B","22,71 B","21,68 B","21,00 B","19,51 B","18,68 B","17,22 B","17,24 B","15,26 B","14,90 B","14,03 B","14,01 B","13,29 B","13,00 B","12,71 B","14,61 B","13,89 B","13,17 B","12,29 B","12,67 B","12,99 B","13,03 B","12,77 B","10,39 B"
Ativo circulante,"25,74 B","23,93 B","11,61 B","10,35 B","10,29 B","10,44 B","12,57 B","10,28 B","12,39 B","10,99 B","11,32 B","13,80 B","10,91 B","12,62 B","12,83 B","10,81 B","9,25 B","7,91 B","10,89 B","8,68 B","8,24 B","8,13 B","8,75 B","8,09 B","7,27 B","7,13 B","5,48 B","4,79 B","5,32 B","4,74 B","6,32 B","4,87 B","6,73 B","6,40 B","5,26 B","4,92 B","6,64 B","4,24 B","4,30 B","3,19 B","4,24 B","3,70 B","4,04 B","3,47 B","3,38 B","2,53 B","2,76 B","2,35 B","2,46 B","1,82 B","1,92 B","1,45 B","1,34 B","1,12 B","2,18 B","2,07 B","1,64 B","1,35 B","1,39 B","1,84 B","1,82 B","1,72 B","2,51 B"
Caixa e eq. de caixa,"5,16 B","3,65 B","5,34 B","4,35 B","5,45 B","4,19 B","6,80 B","4,46 B","5,90 B","4,55 B","6,98 B","9,15 B","4,59 B","5,23 B","6,30 B","3,86 B","4,03 B","4,59 B","6,57 B","3,72 B","3,60 B","3,55 B","2,82 B","1,07 B","1,23 B","1,26 B","1,34 B","753,93 M","1,45 B","1,27 B","1,81 B","1,47 B","2,28 B","2,84 B","3,62 B","3,40 B","5,29 B","2,82 B","2,71 B","1,63 B","2,61 B","2,30 B","2,76 B","2,52 B","2,31 B","1,59 B","1,92 B","1,69 B","1,78 B","1,27 B","1,35 B","866,57 M","798,61 M","598,25 M","1,47 B","1,43 B","1,02 B","763,33 M","785,13 M","1,28 B","1,36 B","33,63 M","63,37 M"
Aplicações financeiras,"4,15 B","4,29 B","2,37 B","2,33 B","1,15 B","2,52 B","1,85 B","1,91 B","2,16 B","2,63 B","628,64 M","1,14 B","2,70 B","3,05 B","2,42 B","2,64 B","2,47 B","1,19 B","1,68 B","2,73 B","2,58 B","2,66 B","4,13 B","5,23 B","3,83 B","3,73 B","2,36 B","2,33 B","2,19 B","1,75 B","2,89 B","1,81 B","2,85 B","1,98 B","17,88 M","17,50 M","17,16 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"36,52 M","44,02 M","40,66 M","4,00 Mil","4,00 Mil","3,00 Mil","3,00 Mil","1,15 B","2,06 B"
Contas a receber,"2,34 B","2,21 B","2,54 B","2,28 B","2,38 B","2,25 B","2,64 B","2,77 B","3,01 B","2,39 B","2,37 B","2,22 B","2,37 B","3,16 B","3,36 B","3,61 B","2,11 B","1,40 B","1,43 B","1,24 B","1,39 B","1,21 B","1,11 B","1,06 B","1,47 B","1,36 B","948,00 M","884,74 M","917,93 M","896,97 M","828,52 M","847,21 M","913,36 M","904,61 M","840,12 M","785,81 M","809,58 M","873,64 M","1,05 B","987,35 M","1,00 B","909,17 M","814,16 M","590,00 M","621,70 M","645,26 M","560,32 M","425,94 M","382,69 M","336,57 M","339,39 M","317,73 M","303,42 M","296,23 M","438,25 M","373,26 M","384,02 M","404,06 M","388,12 M","364,65 M","297,71 M","321,19 M","233,84 M"
Estoques,"452,00 M","443,00 M","442,59 M","408,67 M","418,71 M","499,82 M","418,24 M","390,05 M","365,28 M","416,52 M",0,0,0,"246,93 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"48,42 B","47,09 B","55,71 B","54,17 B","52,38 B","48,66 B","46,51 B","45,12 B","44,02 B","43,65 B","41,60 B","40,89 B","39,87 B","37,93 B","37,41 B","37,08 B","37,92 B","33,45 B","28,53 B","27,64 B","26,26 B","25,32 B","26,57 B","26,84 B","26,61 B","26,13 B","25,85 B","25,79 B","25,93 B","26,08 B","25,59 B","25,45 B","24,49 B","24,21 B","23,62 B","23,36 B","21,00 B","20,31 B","19,56 B","19,04 B","18,47 B","17,98 B","16,96 B","16,04 B","15,30 B","14,69 B","14,47 B","12,92 B","12,44 B","12,21 B","12,09 B","11,85 B","11,66 B","11,59 B","12,43 B","11,82 B","11,53 B","10,93 B","11,28 B","11,15 B","11,21 B","11,05 B","7,88 B"
Investimentos,"388,00 M","360,00 M","1,14 B","1,13 B","1,14 B","1,16 B","1,14 B","1,16 B","1,05 B","983,74 M","1,14 B","1,06 B","1,11 B","835,88 M","951,49 M","874,43 M","776,34 M","848,80 M","855,23 M","772,65 M","851,86 M","791,69 M","881,70 M","893,61 M","922,39 M","740,65 M","1,46 B","1,34 B","1,28 B","1,26 B","1,30 B","1,21 B","1,08 B","1,06 B","1,06 B","1,11 B","1,20 B","1,17 B","1,25 B","1,27 B","1,31 B","1,33 B","1,17 B","995,26 M","909,26 M","790,59 M","726,20 M","668,94 M","629,30 M","583,89 M","694,53 M","674,15 M","705,15 M","676,51 M",0,0,0,0,0,0,0,0,0
Imobilizado,"2,06 B","1,88 B","1,63 B","1,48 B","1,34 B","1,22 B","1,03 B","949,55 M","903,26 M","868,62 M","788,00 M","732,33 M","710,86 M","1,04 B","1,04 B","1,12 B","1,09 B","1,14 B","1,12 B","1,10 B","1,15 B","1,17 B","1,21 B","1,22 B","1,23 B","1,17 B","1,22 B","1,22 B","1,26 B","1,08 B","1,07 B","1,07 B","1,06 B","1,08 B","1,07 B","1,09 B","1,08 B","1,11 B","1,08 B","1,11 B","1,14 B","774,59 M","718,32 M","673,20 M","661,01 M","649,18 M","611,42 M","579,69 M","559,79 M","550,95 M","527,11 M","472,72 M","478,11 M","474,04 M","527,41 M","474,66 M","448,04 M","431,07 M","416,05 M","403,98 M","392,12 M","393,12 M","324,05 M"
