Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"8,86","9,70","18,60","15,64","5,88","36,33","123,08","14,30","24,98","10,98","16,06","23,84","16,77","17,11","22,22","20,24","83,54","78,35"
P/VP,"1,82","2,01","1,71","2,14","2,12","3,06","3,04","2,53","2,38","2,42","7,05","5,51","6,52","6,73","7,91","5,68","18,05","16,88"
P/EBIT,"4,25","4,38","5,03","4,28","2,40","6,94","11,55","5,80","8,32","5,06","6,40","7,64","7,90","8,48","10,87","7,99","32,98","36,24"
P/EBIT *,"4,26","4,43","5,11","4,41","2,46","7,10","11,35","5,95","6,57","6,14","10,14","8,18","8,78","9,01","11,31","7,98","32,17","35,73"
PSR,"1,60","1,69","1,28","1,41","1,27","2,06","2,38","1,94","2,01","1,87","2,75","2,46","3,06","3,84","5,11","3,54","12,05","14,55"
P/Ativos,"0,40","0,45","0,39","0,49","0,48","0,61","0,70","0,62","0,63","0,64","1,12","0,96","1,31","1,65","2,06","1,48","4,40","5,34"
LPA,"1,66","1,62","0,62","0,84","2,05","0,34","0,09","0,71","0,39","0,89","0,85","0,43","0,67","0,67","0,58","0,45","0,33","0,35"
VPA,"8,09","7,82","6,74","6,17","5,68","4,09","3,83","4,03","4,08","4,04","1,93","1,87","1,72","1,70","1,64","1,59","1,54","1,63"
EBIT por ação,"3,47","3,60","2,29","3,08","5,01","1,80","1,01","1,76","1,16","1,93","2,13","1,35","1,42","1,35","1,19","1,13","0,84","0,76"
EBIT por ação *,"3,46","3,56","2,25","2,99","4,88","1,76","1,03","1,71","1,47","1,59","1,34","1,26","1,28","1,27","1,15","1,13","0,86","0,77"
Ativo por ação,"36,71","35,16","29,26","27,05","25,02","20,47","16,56","16,47","15,26","15,15","12,16","10,73","8,53","6,95","6,29","6,08","6,32","5,14"
Receita líquida por ação,"9,22","9,33","8,97","9,37","9,50","6,06","4,90","5,24","4,81","5,23","4,95","4,20","3,66","2,98","2,54","2,54","2,31","1,89"
Margem bruta,"47,42%","47,44%","35,71%","42,88%","58,37%","37,92%","34,64%","42,40%","39,77%","37,30%","34,31%","38,08%","43,50%","53,37%","56,42%","55,55%","47,29%","49,05%"
Margem líquida,"19,31%","18,59%","7,24%","9,80%","21,96%","6,58%","0,87%","13,47%","6,55%","16,88%","16,38%","9,28%","18,25%","22,74%","23,27%","17,74%","14,55%","18,82%"
Margem EBIT,"37,60%","38,56%","25,50%","32,87%","52,72%","29,75%","20,58%","33,50%","24,18%","36,90%","43,04%","32,19%","38,71%","45,29%","46,95%","44,35%","36,53%","40,14%"
Margem EBIT *,"37,48%","38,13%","25,10%","31,93%","51,39%","29,06%","20,94%","32,61%","30,64%","30,43%","27,16%","30,07%","34,85%","42,62%","45,16%","44,45%","37,46%","40,71%"
Margem EBITDA,"49,58%","46,68%","32,88%","40,47%","60,90%","55,50%","45,06%","51,83%","39,29%","47,84%","52,64%","41,00%","47,15%","53,64%","54,69%","51,28%","42,46%","45,68%"
Margem EBITDA *,"49,46%","46,26%","32,48%","39,52%","59,58%","54,81%","45,42%","50,94%","45,75%","41,37%","36,76%","38,88%","43,30%","50,97%","52,90%","51,38%","43,39%","46,25%"
Margem operacional,"22,09%","21,98%","11,87%","15,91%","36,52%","15,36%","6,89%","21,79%","14,10%","25,67%","24,68%","14,35%","26,60%","34,77%","34,58%","26,38%","23,05%","28,77%"
ROE,"21,57%","21,52%","9,37%","14,18%","35,63%","9,40%","1,08%","16,90%","7,54%","20,99%","39,51%","20,15%","36,77%","39,24%","35,46%","28,34%","21,57%","21,47%"
ROA,"0,05","0,05","0,02","0,03","0,08","0,02","0,00","0,04","0,02","0,06","0,07","0,04","0,08","0,10","0,09","0,07","0,05","0,07"
ROIC,"10,95%","11,72%","9,04%","13,47%","24,37%","10,39%","7,64%","12,75%","8,60%","15,48%","20,11%","14,29%","18,64%","21,67%","20,12%","20,35%","15,10%","19,06%"
ROIC *,"10,91%","11,60%","8,90%","13,08%","23,75%","10,15%","7,78%","12,42%","10,89%","12,77%","12,69%","13,34%","16,78%","20,39%","19,35%","20,40%","15,48%","19,33%"
Giro do ativo,"0,25","0,27","0,31","0,35","0,38","0,30","0,30","0,32","0,32","0,34","0,41","0,39","0,43","0,43","0,40","0,42","0,36","0,37"
EBIT *,6.982 mi,7.188 mi,4.547 mi,6.044 mi,9.858 mi,3.558 mi,2.071 mi,3.453 mi,2.976 mi,3.213 mi,2.715 mi,2.549 mi,2.577 mi,2.564 mi,2.313 mi,2.282 mi,1.744 mi,1.554 mi
