Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"4,38 B","3,25 B","6,35 B","4,66 B","3,90 B","2,54 B","5,59 B","5,29 B","4,69 B","6,21 B","4,43 B","3,91 B","4,39 B","3,85 B","3,65 B","3,42 B","8,26 B","3,11 B","2,84 B","2,58 B","3,71 B","2,87 B","2,38 B","1,99 B","2,64 B","2,98 B","2,70 B","2,50 B","2,41 B","2,58 B","2,40 B","2,34 B","2,40 B","3,39 B","2,43 B","2,33 B","2,40 B","2,67 B","2,59 B","2,54 B","2,20 B","2,34 B","2,20 B","2,06 B","1,88 B","2,10 B","1,93 B","1,79 B","1,57 B","1,66 B","1,64 B","1,40 B","1,31 B","1,46 B","1,36 B","1,15 B","1,15 B","1,37 B","1,37 B","1,22 B","1,18 B","1,26 B","1,20 B","1,16 B","1,03 B"
Custos,"-2,23 B","-2,03 B","-2,91 B","-2,62 B","-1,96 B","-1,58 B","-3,65 B","-3,56 B","-2,87 B","-3,82 B","-2,70 B","-2,21 B","-2,07 B","-2,46 B","-2,17 B","-1,77 B","-1,58 B","-2,00 B","-1,79 B","-2,09 B","-1,73 B","-1,73 B","-1,57 B","-1,58 B","-1,58 B","-1,68 B","-1,58 B","-1,47 B","-1,37 B","-1,57 B","-1,39 B","-1,49 B","-1,39 B","-2,33 B","-1,36 B","-1,39 B","-1,54 B","-1,89 B","-1,61 B","-1,73 B","-1,35 B","-1,53 B","-1,32 B","-1,30 B","-1,10 B","-1,32 B","-1,08 B","-1,04 B","-745,22 M","-812,56 M","-765,43 M","-659,93 M","-567,80 M","-678,64 M","-595,79 M","-493,08 M","-465,21 M","-556,56 M","-576,97 M","-561,68 M","-586,86 M","-763,80 M","-594,01 M","-583,09 M","-513,75 M"
Lucro bruto,"2,14 B","1,21 B","3,43 B","2,05 B","1,94 B","967,41 M","1,94 B","1,73 B","1,83 B","2,39 B","1,72 B","1,69 B","2,31 B","1,39 B","1,48 B","1,65 B","6,68 B","1,11 B","1,06 B","491,84 M","1,98 B","1,14 B","807,58 M","415,78 M","1,06 B","1,30 B","1,12 B","1,04 B","1,03 B","1,00 B","1,01 B","850,76 M","1,01 B","1,07 B","1,07 B","941,04 M","865,54 M","785,84 M","980,06 M","814,23 M","849,23 M","812,92 M","871,92 M","760,90 M","783,19 M","783,02 M","857,71 M","755,12 M","821,63 M","848,27 M","877,30 M","742,71 M","742,55 M","780,63 M","761,56 M","660,51 M","688,14 M","813,59 M","790,06 M","656,16 M","592,41 M","495,87 M","605,34 M","581,11 M","520,29 M"
Despesas operacionais,"-507,00 M","-572,95 M","-352,42 M","-396,35 M","-407,00 M","-575,85 M","-458,91 M","-424,87 M","-390,60 M","-545,25 M","-460,19 M","-379,46 M","-510,56 M","-731,46 M","215,72 M","-313,83 M","-254,35 M","-478,56 M","-150,40 M","-160,32 M","-210,36 M","-715,44 M","-199,39 M","-279,54 M","-196,81 M","-365,80 M","-208,04 M","-203,00 M","-165,84 M","-992,24 M","-188,68 M","-196,36 M","-137,60 M","-146,11 M","-139,65 M","343,86 M","-100,65 M","-147,86 M","1,19 B","-107,13 M","-66,89 M","-76,64 M","-149,27 M","-111,63 M","-161,96 M","4,67 M","-114,81 M","-135,18 M","-109,00 M","-157,47 M","-109,01 M","-124,52 M","-94,82 M","-126,19 M","-137,96 M","-135,89 M","-85,28 M","-153,95 M","-137,70 M","-174,61 M","-108,94 M","-181,36 M","-124,44 M","-110,86 M","-84,69 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-530,00 M","-262,51 M","-555,87 M","-503,65 M","-435,00 M","-464,13 M","-521,90 M","-489,19 M","-446,09 M","-604,08 M","-522,48 M","-425,55 M","-522,74 M","-214,67 M","-428,78 M","-415,51 M","-280,01 M","-408,61 M","-185,62 M","-232,84 M","-260,26 M","-663,69 M","-226,09 M","-251,75 M","-213,37 M","-351,80 M","-239,44 M","-256,98 M","-188,50 M","-225,15 M","-246,35 M","-239,57 M","-176,39 M","-184,97 M","-173,20 M","-213,01 M","-154,99 M","-186,73 M","-200,60 M","-181,13 M","-145,78 M","-130,22 M","-176,98 M","-179,25 M","-192,75 M","-126,08 M","-156,49 M","-190,40 M","-166,53 M","-191,96 M","-156,42 M","-161,30 M","-136,87 M","-158,98 M","-167,25 M","-136,47 M","-114,46 M","-156,99 M","-137,23 M","-169,08 M","-106,85 M","-174,80 M","-112,27 M","-95,50 M","-75,44 M"
EBIT,"1,64 B","637,91 M","3,08 B","1,65 B","1,54 B","391,56 M","1,49 B","1,31 B","1,44 B","1,85 B","1,26 B","1,31 B","1,80 B","655,63 M","1,70 B","1,33 B","6,43 B","632,24 M","907,57 M","331,51 M","1,77 B","427,72 M","608,19 M","136,24 M","862,70 M","932,85 M","910,76 M","834,81 M","869,06 M","11,18 M","816,35 M","654,40 M","867,40 M","919,05 M","928,19 M","1,28 B","764,89 M","637,98 M","2,18 B","707,09 M","782,34 M","736,29 M","722,65 M","649,26 M","621,24 M","787,68 M","742,89 M","619,94 M","712,63 M","690,81 M","768,29 M","618,19 M","647,73 M","654,44 M","623,61 M","524,62 M","602,85 M","659,63 M","652,36 M","481,55 M","483,47 M","314,51 M","480,90 M","470,25 M","435,60 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-784,00 M","-166,83 M","-953,29 M","-986,44 M","-760,00 M","-184,91 M","-746,34 M","-747,89 M","-789,93 M","-770,65 M","-774,49 M","-829,22 M","-838,12 M","-781,08 M","-742,60 M","-704,86 M","-878,63 M","-625,82 M","-453,90 M","-327,47 M","-355,57 M","-418,25 M","-322,18 M","-241,38 M","-371,69 M","-328,67 M","-283,61 M","-316,46 M","-311,12 M","-276,69 M","-276,05 M","-239,98 M","-186,67 M","-364,62 M","-199,11 M","-271,09 M","-350,90 M","-410,63 M","-467,42 M","-501,70 M","-455,78 M","-416,38 M","-365,76 M","-389,33 M","-341,63 M","-282,98 M","-219,05 M","-202,93 M","-190,51 M","-180,78 M","-162,08 M","-152,52 M","-137,58 M","-140,95 M","-148,62 M","-168,16 M","-176,03 M","-236,95 M","-270,61 M","-209,43 M","-205,74 M","-257,73 M","-69,16 M","-153,80 M","-147,25 M"
Antes dos impostos,"853,00 M","471,09 M","2,13 B","662,78 M","776,00 M","206,65 M","739,07 M","557,89 M","646,25 M","1,08 B","486,68 M","484,66 M","964,23 M","-125,45 M","953,29 M","629,23 M","5,55 B","6,42 M","453,67 M","4,04 M","1,42 B","9,47 M","286,01 M","-105,14 M","491,01 M","604,18 M","627,15 M","518,35 M","557,93 M","-265,51 M","540,29 M","414,42 M","680,73 M","554,43 M","729,08 M","1,01 B","413,98 M","227,35 M","1,71 B","205,39 M","326,56 M","319,91 M","356,89 M","259,94 M","279,61 M","504,71 M","523,84 M","417,01 M","522,12 M","510,02 M","606,20 M","465,68 M","510,15 M","513,49 M","474,99 M","356,46 M","426,82 M","422,68 M","381,75 M","272,12 M","277,73 M","56,78 M","411,73 M","316,45 M","288,35 M"
