Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014
Ativo total,"35,94 B","34,93 B","29,64 B","29,78 B","29,21 B","30,57 B","28,57 B","27,68 B","26,19 B","25,12 B","21,73 B","21,07 B","22,68 B","26,25 B","26,41 B","23,37 B","20,96 B","21,72 B","19,74 B","14,20 B","13,04 B","8,50 B","7,73 B","7,46 B","7,29 B","7,24 B","7,51 B","7,00 B","5,88 B","5,19 B","4,85 B","4,77 B","3,92 B","4,01 B","4,08 B","3,61 B","3,31 B","2,79 B","2,56 B","2,48 B","2,57 B","2,62 B","2,34 B","1,81 B","1,42 B","1,36 B"
Ativo circulante,"9,06 B","7,05 B","7,26 B","7,62 B","7,25 B","6,95 B","7,13 B","6,87 B","6,33 B","5,43 B","4,75 B","4,98 B","6,32 B","9,44 B","10,23 B","8,09 B","7,68 B","9,15 B","9,42 B","6,54 B","3,77 B","2,38 B","2,31 B","2,63 B","2,02 B","1,95 B","2,64 B","2,43 B","1,76 B","1,44 B","1,40 B","1,70 B","1,04 B","1,16 B","1,49 B","1,16 B","1,06 B","565,34 M","637,42 M","581,03 M","741,62 M","782,05 M","628,57 M","355,26 M","283,31 M","222,59 M"
Caixa e eq. de caixa,"1,83 B","1,32 B","1,67 B","1,00 B","847,11 M","677,89 M","568,04 M","674,84 M","475,27 M","133,39 M","356,84 M","487,38 M","486,98 M","551,76 M","401,84 M","919,65 M","903,52 M","146,03 M","4,64 B","2,82 B","886,55 M","68,65 M","327,88 M","287,41 M","239,23 M","72,23 M","128,86 M","326,05 M","158,46 M","259,48 M","158,39 M","525,78 M","295,47 M","411,38 M","321,35 M","251,82 M","196,76 M","53,58 M","65,35 M","73,02 M","314,40 M","460,58 M","306,56 M","33,58 M","20,31 M","15,54 M"
Aplicações financeiras,"3,65 B","2,80 B","1,65 B","2,44 B","2,19 B","3,61 B","3,41 B","3,01 B","2,74 B","2,87 B","1,65 B","2,09 B","3,44 B","6,28 B","7,39 B","4,80 B","4,75 B","7,64 B","3,63 B","2,74 B","2,10 B","1,62 B","1,30 B","1,41 B","810,26 M","974,87 M","1,50 B","1,14 B","711,20 M","552,67 M","635,20 M","584,79 M","306,72 M","372,23 M","668,52 M","334,64 M","379,53 M","69,94 M","77,86 M","52,76 M","52,94 M","23,34 M","42,50 M","74,84 M","32,18 M","47,77 M"
Contas a receber,"2,17 B","1,99 B","2,22 B","2,18 B","2,18 B","1,44 B","1,74 B","1,68 B","1,54 B","1,34 B","1,31 B","1,10 B","1,02 B","1,17 B","1,04 B","1,28 B","1,08 B","879,88 M","631,55 M","550,86 M","447,11 M","455,42 M","398,43 M","376,41 M","398,07 M","539,26 M","489,14 M","432,57 M","457,15 M","351,90 M","219,97 M","237,58 M","113,64 M","157,92 M","225,45 M","279,19 M","234,55 M","215,52 M","235,99 M","211,39 M","162,83 M","183,82 M","174,66 M","149,19 M","123,21 M","94,09 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"221,18 M","211,89 M","194,79 M",0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"26,88 B","27,87 B","22,38 B","22,16 B","21,96 B","23,62 B","21,44 B","20,82 B","19,86 B","19,69 B","16,99 B","16,09 B","16,36 B","16,81 B","16,18 B","15,28 B","13,27 B","12,57 B","10,32 B","7,66 B","9,28 B","6,12 B","5,42 B","4,83 B","5,27 B","5,29 B","4,88 B","4,57 B","4,12 B","3,76 B","3,45 B","3,06 B","2,88 B","2,85 B","2,58 B","2,46 B","2,25 B","2,22 B","1,93 B","1,90 B","1,83 B","1,84 B","1,71 B","1,45 B","1,14 B","1,13 B"
Investimentos,"20,09 M","19,70 M","18,18 M",0,"562,00 Mil","562,00 Mil","562,00 Mil","589,00 Mil","612,00 Mil","1,14 M","676,00 Mil","1,11 M","1,09 M","1,10 M","1,11 M","1,14 M","1,19 M","1,19 M","1,20 M","2,14 M","1,99 M","1,24 M","1,23 M","1,13 M","1,12 M","1,11 M","1,09 M","1,08 M","1,06 M","1,04 M","1,03 M",0,0,0,0,0,0,0,0,0,0,0,0,"-4,00 Mil",0,0
Imobilizado,"23,24 B","24,16 B","21,62 B","21,46 B","20,67 B","21,91 B","19,72 B","19,17 B","18,76 B","18,64 B","16,02 B","15,08 B","15,30 B","15,84 B","15,29 B","14,80 B","12,83 B","12,14 B","9,86 B","7,29 B","6,36 B","5,74 B","5,04 B","4,47 B","5,01 B","5,06 B","4,68 B","4,41 B","3,99 B","3,65 B","3,39 B","3,01 B","2,83 B","2,80 B","2,56 B","2,43 B","2,23 B","2,20 B","1,90 B","1,77 B","1,68 B","1,65 B","1,68 B","1,44 B","1,13 B","1,12 B"
