Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-4,25","-5,72","-147,06","-20,33","8,91","17,37","9,03","9,69","11,00","11,17","8,88","4,36","7,17","5,74","5,91","7,05","15,40"
P/VP,"0,83","0,45","0,65","0,62","1,14","1,68","1,29","1,44","1,30","1,20","1,02","0,72","0,74","0,80","1,31","1,56","2,23"
P/EBIT,"22,02","6,63","62,76","9,91","6,15","13,39","8,41","9,01","10,78","13,69","9,76","4,46","6,47","4,88","5,03","6,68","13,96"
P/EBIT *,"2,75","3,19","15,73","79,30","10,17","12,07","6,94","7,73","9,68","10,26","6,93","5,52","5,98","5,04","5,47","6,71","14,35"
PSR,"0,41","0,32","0,59","0,54","0,98","1,44","1,03","1,23","1,51","1,47","1,02","0,75","0,78","0,80","1,12","1,48","3,25"
P/Ativos,"0,16","0,10","0,17","0,16","0,34","0,53","0,42","0,49","0,49","0,50","0,43","0,29","0,30","0,29","0,49","0,66","1,23"
LPA,"-1,85","-0,89","-0,05","-0,31","1,38","0,98","1,23","1,23","1,16","0,99","0,97","1,28","0,75","0,94","1,35","1,13","0,62"
VPA,"9,47","11,43","11,98","10,35","10,83","10,08","8,60","8,23","9,85","9,21","8,48","7,80","7,29","6,75","6,08","5,11","4,26"
EBIT por ação,"0,36","0,77","0,12","0,64","2,01","1,27","1,32","1,32","1,18","0,81","0,89","1,25","0,83","1,10","1,59","1,19","0,68"
EBIT por ação *,"2,86","1,60","0,50","0,08","1,21","1,41","1,60","1,54","1,32","1,08","1,25","1,01","0,90","1,07","1,46","1,18","0,66"
Ativo por ação,"50,69","52,29","44,55","40,16","36,11","32,09","26,09","24,23","25,87","22,07","20,24","19,22","18,12","18,37","16,28","12,07","7,75"
Receita líquida por ação,"19,38","16,01","13,20","11,81","12,63","11,81","10,76","9,63","8,46","7,55","8,46","7,44","6,88","6,76","7,13","5,37","2,93"
Margem bruta,"29,34%","26,37%","22,71%","19,83%","25,74%","28,20%","30,42%","33,19%","33,87%","32,78%","30,20%","28,29%","26,39%","28,03%","31,07%","32,34%","35,07%"
Margem líquida,"-9,56%","-5,35%","-0,25%","-1,86%","12,34%","9,34%","12,35%","13,99%","14,71%","13,52%","12,50%","17,95%","11,63%","15,11%","20,33%","22,35%","22,70%"
Margem EBIT,"1,84%","4,81%","0,94%","5,45%","15,89%","10,74%","12,23%","13,69%","14,00%","10,70%","10,46%","16,81%","12,11%","16,32%","22,24%","22,17%","23,25%"
Margem EBIT *,"14,76%","10,00%","3,75%","0,68%","9,61%","11,91%","14,83%","15,97%","15,59%","14,28%","14,73%","13,58%","13,11%","15,80%","20,47%","22,07%","22,61%"
Margem EBITDA,"4,15%","6,73%","2,74%","8,11%","17,70%","12,39%","13,67%","14,87%","15,04%","11,68%","11,24%","17,68%","13,04%","16,93%","22,71%","22,63%","24,15%"
Margem EBITDA *,"17,07%","11,91%","5,55%","3,34%","11,43%","13,56%","16,27%","17,14%","16,62%","15,26%","15,50%","14,45%","14,04%","16,42%","20,94%","22,53%","23,51%"
Margem operacional,"-7,71%","-3,70%","-0,99%","1,89%","16,24%","11,45%","14,50%","16,21%","16,92%","15,73%","14,67%","19,46%","12,89%","15,67%","22,48%","25,17%","25,63%"
ROE,"-16,94%","-6,45%","-0,24%","-1,88%","13,34%","10,29%","14,64%","15,55%","12,08%","10,56%","11,79%","16,08%","10,31%","14,06%","22,24%","22,12%","14,82%"
