Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"2,78 B","3,04 B","2,88 B","2,71 B","2,28 B","2,38 B","2,44 B","2,29 B","1,91 B","1,94 B","1,97 B","1,83 B","1,69 B","1,67 B","1,69 B","1,60 B","1,68 B","1,89 B","1,80 B","1,82 B","1,60 B","1,70 B","1,78 B","1,66 B","1,51 B","1,42 B","1,57 B","1,56 B","1,51 B","1,52 B","1,35 B","1,32 B","1,23 B","1,37 B","1,24 B","1,13 B","1,01 B","1,07 B","1,10 B","1,10 B","990,03 M","1,21 B","1,20 B","1,31 B","1,04 B","1,13 B","1,13 B","1,01 B","910,86 M","949,87 M","1,07 B","1,02 B","829,51 M","936,45 M","1,02 B","960,56 M","884,95 M","1,17 B","1,06 B","988,38 M",0,"866,17 M","881,11 M","705,13 M",0
Custos,"-1,96 B","-2,14 B","-2,02 B","-1,91 B","-1,63 B","-1,74 B","-1,80 B","-1,68 B","-1,41 B","-1,47 B","-1,51 B","-1,42 B","-1,34 B","-1,33 B","-1,37 B","-1,29 B","-1,34 B","-1,46 B","-1,31 B","-1,35 B","-1,15 B","-1,22 B","-1,28 B","-1,19 B","-1,08 B","-999,74 M","-1,11 B","-1,08 B","-1,03 B","-1,02 B","-905,17 M","-878,24 M","-815,22 M","-909,94 M","-820,53 M","-745,10 M","-672,18 M","-707,90 M","-741,38 M","-743,74 M","-664,32 M","-833,14 M","-831,31 M","-925,16 M","-734,80 M","-785,44 M","-814,52 M","-731,55 M","-670,55 M","-700,65 M","-787,03 M","-748,54 M","-612,96 M","-671,36 M","-728,70 M","-685,33 M","-652,22 M","-828,66 M","-722,19 M","-669,69 M",0,"-630,61 M","-567,56 M","-473,09 M",0
Lucro bruto,"816,50 M","897,18 M","851,63 M","796,85 M","654,13 M","633,01 M","644,67 M","604,95 M","493,24 M","467,94 M","460,58 M","405,20 M","353,45 M","347,14 M","327,71 M","311,02 M","331,68 M","434,01 M","488,19 M","461,86 M","444,78 M","482,67 M","499,96 M","466,90 M","424,00 M","419,89 M","462,44 M","477,82 M","482,11 M","498,99 M","446,64 M","438,89 M","413,98 M","462,28 M","424,46 M","383,52 M","341,88 M","358,63 M","354,19 M","353,17 M","325,71 M","375,29 M","373,63 M","382,16 M","307,56 M","342,22 M","319,41 M","282,18 M","240,30 M","249,21 M","284,68 M","270,98 M","216,56 M","265,09 M","293,14 M","275,24 M","232,73 M","339,67 M","333,83 M","318,69 M",0,"235,56 M","313,55 M","232,04 M",0
Despesas operacionais,"-522,81 M","-505,37 M","-478,67 M","-1,34 B","-672,16 M","-610,57 M","-457,70 M","-454,61 M","-419,47 M","-503,94 M","-436,17 M","-292,62 M","-384,60 M","-357,80 M","-412,53 M","30,75 M","-215,59 M","6,60 M","-170,56 M","-235,75 M","-300,04 M","-231,89 M","-326,60 M","-311,06 M","-290,25 M","-252,81 M","-287,42 M","-284,84 M","-276,52 M","-286,80 M","-266,41 M","-257,83 M","-245,53 M","-259,68 M","-209,00 M","-244,10 M","-232,85 M","-245,66 M","-236,26 M","-236,90 M","-218,06 M","-247,75 M","-246,52 M","-233,38 M","-212,65 M","-237,67 M","-200,50 M","107,58 M","-149,85 M","-163,03 M","-131,57 M","-126,97 M","-131,03 M","-144,70 M","-107,13 M","-106,96 M","-86,71 M","-97,33 M","-74,69 M","-98,22 M",0,"-87,65 M","-83,16 M","-69,27 M",0
Despesas com vendas,"-257,89 M","-218,87 M","-249,58 M","-247,38 M","-246,68 M","-220,59 M","-206,91 M","-193,25 M","-176,60 M","-206,01 M","-196,35 M","-190,71 M","-162,06 M","-176,68 M","-164,51 M","-162,09 M","-158,42 M","-168,84 M","-167,73 M","-153,59 M","-152,16 M","-171,00 M","-168,43 M","-161,13 M","-148,71 M","-150,95 M","-150,77 M","-143,40 M","-147,13 M","-155,38 M","-147,47 M","-149,13 M","-133,98 M","-144,47 M","-139,42 M","-138,74 M","-127,67 M","-133,41 M","-127,84 M","-121,58 M","-115,92 M","-116,59 M","-118,98 M","-113,05 M","-109,02 M","-110,39 M","-96,78 M","-80,73 M","-68,59 M","-68,87 M","-66,85 M","-71,39 M","-62,68 M","-62,90 M","-68,81 M","-64,89 M","-53,96 M","-67,21 M","-59,88 M","-50,38 M",--,"-52,86 M","-40,34 M","-34,08 M",--
Despesas administrativas,"-146,48 M","-154,52 M","-165,52 M","-156,33 M","-151,15 M","-145,99 M","-190,87 M","-172,04 M","-169,16 M","-194,14 M","-151,71 M","-160,48 M","-147,04 M","-183,75 M","-176,18 M","-113,49 M","-137,14 M","-144,14 M","-124,08 M","-118,72 M","-116,45 M","-118,03 M","-111,03 M","-104,46 M","-100,01 M","-82,99 M","-88,84 M","-95,28 M","-84,57 M","-89,27 M","-87,89 M","-86,73 M","-83,48 M","-85,47 M","-81,86 M","-81,21 M","-71,18 M","-69,49 M","-77,24 M","-74,58 M","-66,17 M","-77,46 M","-71,81 M","-68,99 M","-61,32 M","-79,20 M","-63,22 M","-56,11 M","-60,63 M","-64,84 M","-60,48 M","-60,62 M","-58,19 M","-62,25 M","-48,22 M","-53,37 M","-50,77 M","-61,85 M","-52,69 M","-46,79 M",--,"-39,59 M","-40,71 M","-36,27 M",--
EBIT,"293,69 M","391,82 M","372,96 M","-545,55 M","-18,02 M","22,45 M","186,97 M","150,35 M","73,77 M","-35,99 M","24,42 M","112,58 M","-31,15 M","-10,66 M","-84,82 M","341,78 M","116,09 M","440,61 M","317,64 M","226,11 M","144,75 M","250,78 M","173,36 M","155,84 M","133,75 M","167,08 M","175,03 M","192,98 M","205,59 M","212,19 M","180,23 M","181,06 M","168,46 M","202,60 M","215,47 M","139,41 M","109,03 M","112,98 M","117,93 M","116,27 M","107,65 M","127,53 M","127,11 M","148,78 M","94,91 M","104,56 M","118,91 M","389,76 M","90,46 M","86,18 M","153,11 M","144,01 M","85,52 M","120,39 M","186,01 M","168,28 M","146,02 M","242,35 M","259,14 M","220,47 M",0,"147,91 M","230,38 M","162,77 M",0
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-306,69 M","-275,19 M","-214,17 M","-245,39 M","-306,91 M","-174,85 M","-160,27 M","-194,04 M","-237,99 M","-54,66 M","-128,79 M","129,48 M","-89,28 M","-244,93 M","113,89 M","-127,24 M","21,49 M","8,20 M","-49,99 M","31,47 M","35,42 M","3,21 M","9,51 M","9,90 M","24,39 M","32,82 M","36,91 M","43,97 M","23,54 M","30,55 M","41,76 M","28,09 M","36,23 M","23,18 M","28,44 M","37,94 M","49,12 M","55,82 M","59,16 M","50,70 M","47,96 M","51,72 M","52,41 M","51,40 M","44,74 M","33,26 M","27,40 M","35,25 M","15,06 M","7,40 M","361,00 Mil","14,01 M","8,47 M","-10,09 M","-7,09 M","-4,41 M","-3,08 M","-4,70 M","-3,92 M","5,92 M",0,"16,31 M","34,09 M","26,75 M",0
Antes dos impostos,"-13,00 M","116,62 M","158,79 M","-790,94 M","-324,94 M","-152,40 M","26,71 M","-43,70 M","-164,22 M","-90,65 M","-104,37 M","242,06 M","-120,43 M","-255,59 M","29,06 M","214,54 M","137,58 M","448,81 M","267,64 M","257,58 M","180,16 M","253,99 M","182,88 M","165,74 M","158,14 M","199,90 M","211,94 M","236,95 M","229,13 M","242,74 M","221,99 M","209,15 M","204,68 M","225,78 M","243,90 M","177,36 M","158,15 M","168,80 M","177,09 M","166,97 M","155,61 M","179,25 M","179,51 M","200,18 M","139,65 M","137,82 M","146,31 M","425,01 M","105,51 M","93,58 M","153,47 M","158,01 M","93,99 M","110,31 M","178,92 M","163,87 M","142,94 M","237,64 M","255,22 M","226,39 M",0,"164,21 M","264,48 M","189,52 M",0
