Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017
P/L,"5,94","7,32","6,45","4,69","7,52","17,53","16,79","21,98",-,-
P/VP,"0,35","0,39","0,32","0,43","0,26","0,43","0,81","11,10",-,-
P/EBIT,"3,60","4,37","3,71","4,07","5,27","10,53","21,31","16,65",-,-
P/EBIT *,"3,74","4,74","3,59","10,02","5,26","9,20","19,23","15,07",-,-
PSR,"0,33","0,37","0,27","0,46","0,34","0,74","1,97","2,25",-,-
P/Ativos,"0,15","0,17","0,14","0,20","0,12","0,27","0,61","1,77",-,-
LPA,"0,58","0,51","0,47","0,85","0,32","0,23","0,46","0,30",-,-
VPA,"9,63","9,49","9,43","9,36","9,40","9,34","9,52","0,60",-,-
EBIT por ação,"0,95","0,85","0,81","0,99","0,46","0,38","0,36","0,40",-,-
EBIT por ação *,"0,91","0,78","0,84","0,40","0,46","0,44","0,40","0,44",-,-
Ativo por ação,"22,36","22,54","20,80","20,47","19,49","14,99","12,49","3,74",-,-
Receita líquida por ação,"10,41","9,97","11,15","8,76","7,17","5,43","3,89","2,95",-,-
Margem bruta,"26,30%","25,77%","23,82%","19,87%","29,19%","34,10%","33,98%","31,82%","35,33%","29,59%"
Margem líquida,"7,99%","7,40%","5,90%","10,24%","4,78%","4,77%","11,94%","10,26%","10,85%","-9,30%"
Margem EBIT,"9,14%","8,54%","7,26%","11,25%","6,38%","7,05%","9,26%","13,53%","13,92%","-6,32%"
Margem EBIT *,"8,78%","7,87%","7,49%","4,57%","6,38%","8,07%","10,26%","14,94%","15,85%","-4,29%"
Margem EBITDA,"10,82%","9,43%","8,02%","12,13%","7,08%","7,93%","9,80%","14,02%","15,32%","-0,39%"
Margem EBITDA *,"10,46%","8,76%","8,25%","5,44%","7,09%","8,95%","10,80%","15,44%","17,25%","1,64%"
Margem operacional,"10,25%","9,72%","8,12%","12,50%","7,15%","6,78%","13,83%","12,10%","13,09%","-7,04%"
ROE,"8,22%","7,40%","6,68%","9,25%","3,61%","2,75%","4,87%","50,53%","40,45%","-16,67%"
ROA,"0,04","0,03","0,03","0,04","0,02","0,02","0,04","0,08","0,06","-0,04"
ROIC,"4,75%","4,26%","4,57%","5,47%","2,71%","3,12%","7,02%","12,06%","8,57%","-3,36%"
ROIC *,"4,56%","3,92%","4,71%","2,22%","2,72%","3,57%","7,78%","13,32%","9,76%","-2,28%"
Giro do ativo,"0,47","0,44","0,54","0,43","0,37","0,36","0,31","0,79","0,55","0,48"
EBIT *,96 mi,83 mi,88 mi,42 mi,48 mi,46 mi,42 mi,46 mi,23 mi,-3 mi
EBITDA,119 mi,99 mi,94 mi,112 mi,53 mi,45 mi,40 mi,43 mi,23 mi,-1 mi
EBITDA *,115 mi,92 mi,97 mi,50 mi,53 mi,51 mi,44 mi,48 mi,25 mi,0 mi
Liquidez corrente,"2,67","2,68","2,27","2,63","2,84","3,27","5,09","1,35","3,29","1,47"
Liquidez seca,"1,37","1,43","1,23","1,33","1,27","1,55","4,38","1,00","1,85","0,68"
Liquidez imediata,"0,28","0,29","0,31","0,31","0,43","0,39","1,05","0,15","0,29","0,11"
Dívida bruta,666 mi,674 mi,626 mi,656 mi,499 mi,106 mi,45 mi,121 mi,114 mi,26 mi
Dívida líquida,485 mi,467 mi,389 mi,457 mi,271 mi,-147 mi,-721 mi,87 mi,92 mi,19 mi
Capital de giro,1.088 mi,1.188 mi,952 mi,1.026 mi,967 mi,843 mi,870 mi,78 mi,165 mi,28 mi
Endividamento geral,"121,04%","125,96%","111,16%","110,99%","105,29%","59,32%","31,14%","525,40%","572,99%","274,15%"
