Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"624,11 M","615,03 M","571,18 M","579,78 M","554,43 M","555,66 M","585,94 M","563,36 M","552,23 M","550,29 M","560,54 M","547,75 M","556,72 M","530,10 M","569,73 M","547,05 M","469,00 M","467,87 M","455,90 M","414,03 M","413,86 M","356,26 M","385,41 M","382,05 M","333,40 M","308,83 M","331,05 M","297,71 M","294,20 M","279,99 M","313,71 M","293,90 M","280,00 M","272,05 M","276,39 M","316,39 M","296,48 M","316,95 M","330,05 M","368,40 M","373,38 M","412,06 M","438,32 M","412,54 M","427,73 M","407,46 M","420,88 M","344,48 M","352,67 M","348,71 M","353,36 M","312,23 M","283,03 M","261,79 M","277,40 M","302,52 M","289,24 M","286,57 M","304,06 M","273,55 M","263,84 M","258,52 M","219,80 M"
Ativo circulante,"483,73 M","475,69 M","436,10 M","446,43 M","422,75 M","423,53 M","458,88 M","436,84 M","428,72 M","426,75 M","436,29 M","424,01 M","438,99 M","417,08 M","461,94 M","440,84 M","365,26 M","366,22 M","357,76 M","319,24 M","321,42 M","264,80 M","294,43 M","291,66 M","243,95 M","219,07 M","241,99 M","208,36 M","203,75 M","190,42 M","225,61 M","205,68 M","192,21 M","183,12 M","186,45 M","225,69 M","207,38 M","227,80 M","242,16 M","280,04 M","285,37 M","323,76 M","345,62 M","320,61 M","336,59 M","317,66 M","333,38 M","258,11 M","266,85 M","263,62 M","268,50 M","227,33 M","198,66 M","177,72 M","193,15 M","218,96 M","206,07 M","203,01 M","220,38 M","189,15 M","179,19 M","173,13 M","131,38 M"
Caixa e eq. de caixa,"230,99 M","230,69 M","154,75 M","169,36 M","163,75 M","168,63 M","184,79 M","159,40 M","154,91 M","156,01 M","155,60 M","124,36 M","114,32 M","87,30 M","105,60 M","87,83 M","47,72 M","65,63 M","52,83 M","53,27 M","93,17 M","89,38 M","101,18 M","70,13 M","71,19 M","76,93 M","84,35 M","59,31 M","58,03 M","49,70 M","50,08 M","63,43 M","59,54 M","55,50 M","52,59 M","93,13 M","81,14 M","102,88 M","110,07 M","152,72 M","163,26 M","205,51 M","204,62 M","182,12 M","201,27 M","202,45 M","202,75 M","133,78 M","148,57 M","156,18 M","144,61 M","111,12 M","86,26 M","74,29 M","76,39 M","99,96 M","96,28 M","95,34 M","99,70 M","85,36 M","78,26 M","84,52 M","53,42 M"
Aplicações financeiras,"4,45 M","3,55 M","3,37 M","3,30 M","3,94 M","3,63 M","3,94 M","3,97 M","4,09 M","6,27 M","5,62 M","5,31 M","5,05 M","5,36 M","8,01 M","6,93 M","8,32 M","7,57 M","8,09 M","15,82 M","13,79 M","11,43 M","10,19 M","10,17 M","7,57 M","12,19 M","10,43 M","11,46 M","11,16 M","10,15 M","9,38 M","7,89 M","8,62 M","7,44 M","6,81 M","5,59 M","6,35 M","5,77 M","4,79 M","3,64 M","3,26 M","2,43 M","2,96 M","4,76 M","3,92 M","4,19 M","6,41 M","6,45 M","6,24 M","7,05 M","6,94 M","5,86 M","6,99 M","8,50 M","7,84 M","8,14 M","9,85 M","9,04 M","8,76 M","9,91 M","10,17 M","10,36 M","8,27 M"
Contas a receber,"89,83 M","90,13 M","126,93 M","124,60 M","93,10 M","97,17 M","119,96 M","103,08 M","84,19 M","74,84 M","107,69 M","122,11 M","140,63 M","120,00 M","153,10 M","170,34 M","136,77 M","125,11 M","153,56 M","128,20 M","104,63 M","80,22 M","97,00 M","92,48 M","83,66 M","61,19 M","75,04 M","71,21 M","64,14 M","58,58 M","75,72 M","68,48 M","61,06 M","55,18 M","66,82 M","60,69 M","50,09 M","50,91 M","62,99 M","62,89 M","58,12 M","51,09 M","65,87 M","61,16 M","66,31 M","49,39 M","63,23 M","62,04 M","59,19 M","53,41 M","66,91 M","58,36 M","52,01 M","47,76 M","55,88 M","52,47 M","46,73 M","42,21 M","58,26 M","47,73 M","46,95 M","40,34 M","32,88 M"
Estoques,"152,90 M","147,55 M","148,03 M","145,52 M","154,18 M","144,59 M","139,49 M","151,59 M","162,88 M","159,66 M","165,44 M","165,88 M","165,50 M","166,11 M","159,19 M","145,04 M","143,30 M","139,67 M","119,84 M","104,35 M","90,65 M","67,34 M","61,90 M","69,29 M","72,74 M","63,09 M","64,56 M","58,53 M","59,71 M","61,39 M","71,75 M","55,42 M","55,77 M","56,72 M","50,26 M","57,32 M","62,52 M","61,32 M","53,90 M","54,00 M","55,08 M","60,40 M","62,95 M","63,95 M","57,79 M","55,19 M","51,16 M","49,17 M","46,10 M","41,45 M","39,52 M","39,93 M","42,22 M","37,98 M","39,44 M","46,72 M","44,78 M","47,84 M","42,23 M","38,13 M","38,71 M","35,74 M","31,26 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"140,38 M","139,33 M","135,07 M","133,36 M","131,67 M","132,12 M","127,06 M","126,52 M","123,52 M","123,54 M","124,26 M","123,74 M","117,73 M","113,02 M","107,79 M","106,21 M","103,74 M","101,65 M","98,14 M","94,78 M","92,44 M","91,46 M","90,98 M","90,39 M","89,45 M","89,76 M","89,06 M","89,36 M","90,45 M","89,57 M","88,10 M","88,22 M","87,79 M","88,93 M","89,94 M","90,70 M","89,10 M","89,15 M","87,89 M","88,36 M","88,01 M","88,29 M","92,71 M","91,93 M","91,14 M","89,81 M","87,51 M","86,36 M","85,82 M","85,10 M","84,86 M","84,90 M","84,37 M","84,07 M","84,25 M","83,57 M","83,18 M","83,55 M","83,68 M","84,40 M","84,65 M","85,39 M","88,42 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil","160,00 Mil"
Imobilizado,"139,34 M","137,58 M","134,05 M","132,25 M","130,57 M","131,05 M","125,89 M","125,20 M","122,73 M","122,42 M","121,70 M","119,00 M","112,89 M","108,21 M","102,89 M","101,26 M","98,49 M","96,64 M","93,07 M","89,78 M","87,41 M","86,43 M","86,01 M","85,28 M","84,40 M","84,66 M","83,94 M","84,18 M","85,40 M","84,45 M","84,38 M","84,50 M","84,07 M","85,26 M","86,31 M","87,02 M","87,15 M","87,15 M","85,85 M","85,85 M","85,48 M","85,45 M","85,55 M","85,25 M","84,30 M","83,21 M","81,33 M","80,76 M","80,46 M","80,75 M","80,21 M","80,48 M","80,30 M","80,45 M","80,22 M","80,25 M","80,48 M","80,68 M","81,17 M","81,99 M","82,28 M","83,10 M","85,80 M"
Intangível,"319,96 Mil","297,61 Mil","249,74 Mil","189,23 Mil","166,92 Mil","170,92 Mil","169,79 Mil","158,29 Mil","146,79 Mil","333,11 Mil","221,69 Mil","260,07 Mil","327,56 Mil","396,14 Mil","447,15 Mil","476,08 Mil","522,88 Mil","539,87 Mil","586,67 Mil","603,67 Mil","645,07 Mil","650,62 Mil","691,55 Mil","728,31 Mil","667,11 Mil","717,48 Mil","749,96 Mil","804,74 Mil","679,21 Mil","737,81 Mil","798,88 Mil","794,43 Mil","792,56 Mil","828,48 Mil","875,93 Mil","922,81 Mil","970,73 Mil","1,02 M","1,07 M","1,11 M","1,15 M","1,19 M","1,33 M","1,47 M","1,54 M","1,48 M","1,28 M","854,02 Mil","756,30 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo total,"624,11 M","615,03 M","571,18 M","579,78 M","554,43 M","555,66 M","585,94 M","563,36 M","552,23 M","550,29 M","560,54 M","547,75 M","556,72 M","530,10 M","569,73 M","547,05 M","469,00 M","467,87 M","455,90 M","414,03 M","413,86 M","356,26 M","385,41 M","382,05 M","333,40 M","308,83 M","331,05 M","297,71 M","294,20 M","279,99 M","313,71 M","293,90 M","280,00 M","272,05 M","276,39 M","316,39 M","296,48 M","316,95 M","330,05 M","368,40 M","373,38 M","412,06 M","438,32 M","412,54 M","427,73 M","407,46 M","420,88 M","344,48 M","352,67 M","348,71 M","353,36 M","312,23 M","283,03 M","261,79 M","277,40 M","302,52 M","289,24 M","286,57 M","304,06 M","273,55 M","263,84 M","258,52 M","219,80 M"
