Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"15,13","14,28","6,61","66,97","6,08","3,21","-3,00","4,01","12,43","463,34","87,67","28,87","16,72","14,53","42,37","17,16","13,68","45,20"
P/VP,"0,34","0,33","0,38","0,56","0,43","0,43","0,43","0,42","0,86","1,24","1,06","0,66","0,82","2,03","3,10","4,17","2,88","3,69"
P/EBIT,"1,47","1,49","1,71","2,63","1,36","1,34","-8,00","2,00","3,57","5,97","3,94","3,17","2,71","5,46","10,46","10,70","8,59","26,23"
P/EBIT *,"1,44","1,49","1,71","2,74","1,59","1,79","884,58","2,15","3,34","4,99","4,32","3,50","2,66","5,52","9,67","10,77","8,56","26,18"
PSR,"0,09","0,09","0,11","0,14","0,10","0,13","0,17","0,14","0,26","0,40","0,28","0,21","0,19","0,42","0,54","1,32","1,01","1,89"
P/Ativos,"0,10","0,10","0,11","0,14","0,11","0,12","0,12","0,14","0,28","0,37","0,27","0,18","0,18","0,41","0,52","1,60","1,08","1,47"
LPA,"0,59","0,64","1,72","0,20","1,81","3,49","-3,20","2,20","1,31","0,04","0,14","0,32","0,44","1,11","0,43","1,45","1,07","0,36"
VPA,"26,66","28,11","29,65","24,03","25,50","26,29","22,52","21,00","19,01","15,53","11,61","14,01","9,00","7,94","5,94","5,98","5,07","4,39"
EBIT por ação,"6,14","6,13","6,64","5,09","8,10","8,34","-1,20","4,40","4,56","3,23","3,12","2,92","2,72","2,95","1,76","2,33","1,70","0,62"
EBIT por ação *,"6,24","6,15","6,65","4,88","6,93","6,27","0,01","4,09","4,87","3,86","2,84","2,65","2,77","2,92","1,91","2,32","1,71","0,62"
Ativo por ação,"94,69","93,63","103,83","94,55","98,85","94,45","80,74","60,99","58,67","51,54","45,91","52,14","40,91","39,26","35,62","15,62","13,56","11,04"
Receita líquida por ação,"99,11","99,96","99,74","97,29","110,25","89,05","56,99","65,16","62,56","48,71","44,34","44,54","38,46","38,33","34,28","18,90","14,49","8,57"
Margem bruta,"12,13%","12,04%","11,88%","10,09%","10,67%","12,45%","6,45%","11,83%","13,71%","15,42%","14,26%","13,03%","13,83%","14,58%","10,56%","18,99%","18,70%","15,41%"
Margem líquida,"1,44%","1,41%","2,48%","0,71%","2,38%","4,58%","-4,79%","4,21%","3,18%","1,07%","1,31%","1,75%","2,00%","3,59%","2,01%","7,69%","7,37%","4,18%"
Margem EBIT,"6,19%","6,13%","6,66%","5,23%","7,35%","9,36%","-2,11%","6,75%","7,29%","6,63%","7,03%","6,57%","7,07%","7,70%","5,14%","12,33%","11,74%","7,21%"
Margem EBIT *,"6,30%","6,16%","6,67%","5,02%","6,29%","7,04%","0,02%","6,28%","7,79%","7,93%","6,40%","5,95%","7,19%","7,61%","5,56%","12,25%","11,77%","7,22%"
