Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"27,91 B","28,97 B","29,05 B","20,09 B","19,79 B","20,32 B","19,49 B","17,84 B","18,74 B","19,56 B","26,99 B","23,51 B","24,48 B","24,65 B","23,18 B","22,82 B","22,03 B","26,27 B","24,80 B","25,67 B","26,09 B","25,45 B","25,48 B","23,43 B","21,26 B","18,13 B","17,63 B","16,54 B","16,09 B","15,38 B","14,80 B","14,32 B","14,19 B","14,96 B","14,84 B","7,74 B","7,79 B","8,42 B","7,95 B","8,48 B","8,84 B","9,39 B","9,74 B","8,55 B","8,84 B","7,20 B","6,77 B","6,65 B","6,89 B","6,25 B","5,49 B","5,25 B","5,74 B","5,36 B","4,88 B","4,13 B","3,87 B","3,79 B","3,51 B","3,46 B","3,60 B","3,22 B","2,74 B"
Ativo circulante,"11,58 B","12,21 B","12,21 B","13,58 B","13,13 B","13,38 B","12,76 B","11,70 B","12,56 B","12,92 B","13,80 B","11,42 B","11,52 B","10,44 B","9,91 B","9,66 B","9,38 B","11,27 B","10,79 B","13,02 B","10,03 B","10,71 B","10,10 B","8,73 B","7,03 B","6,38 B","6,21 B","5,88 B","5,33 B","6,46 B","6,13 B","5,85 B","6,19 B","7,06 B","7,02 B","4,06 B","4,11 B","4,80 B","4,44 B","5,00 B","5,43 B","6,02 B","6,46 B","5,40 B","5,77 B","4,24 B","3,71 B","3,64 B","3,98 B","3,51 B","2,93 B","2,83 B","3,36 B","3,38 B","3,06 B","2,43 B","2,26 B","2,20 B","1,91 B","1,99 B","2,23 B","1,87 B","1,72 B"
Caixa e eq. de caixa,"1,71 B","1,49 B","1,32 B","1,26 B","1,56 B","1,74 B","1,16 B","643,20 M","3,15 B","1,60 B","1,97 B","958,61 M","884,53 M","2,05 B","1,68 B","1,85 B","1,81 B","2,84 B","1,77 B","3,01 B","1,85 B","2,95 B","2,43 B","2,26 B","1,45 B","1,46 B","910,72 M","882,67 M","866,91 M","1,22 B","586,75 M","643,56 M","798,63 M","1,69 B","2,21 B","649,82 M","617,37 M","1,09 B","785,01 M","1,20 B","1,35 B","1,59 B","1,62 B","1,81 B","1,97 B","1,16 B","889,66 M","1,12 B","1,38 B","1,00 B","639,02 M","592,38 M","1,23 B","1,14 B","114,19 M","102,36 M","80,22 M","98,21 M","57,01 M","47,23 M","101,28 M","38,31 M","61,24 M"
Aplicações financeiras,"656,96 M","1,18 B","938,43 M","1,01 B","1,39 B","1,67 B","2,08 B","1,89 B","1,51 B","1,62 B","2,52 B","1,16 B","1,58 B","1,79 B","1,34 B","1,19 B","1,41 B","1,83 B","1,97 B","3,14 B","1,97 B","2,20 B","1,84 B","1,43 B","994,30 M","1,03 B","749,92 M","717,78 M","502,24 M","1,22 B","1,18 B","1,30 B","1,86 B","1,98 B","1,49 B","974,19 M","1,17 B","1,21 B","1,03 B","1,08 B","1,07 B","1,19 B","1,28 B","824,23 M","713,64 M","531,81 M","247,38 M","338,72 M","401,79 M","306,35 M","203,10 M","186,44 M","306,44 M","498,67 M","1,11 B","700,90 M","507,25 M","417,40 M","281,79 M","575,16 M","766,83 M","521,91 M","439,05 M"
Contas a receber,"4,20 B","4,85 B","4,29 B","7,03 B","6,07 B","6,52 B","5,42 B","5,80 B","4,71 B","7,22 B","2,65 B","2,50 B","2,32 B","2,39 B","2,16 B","2,02 B","1,72 B","2,17 B","1,91 B","1,83 B","1,96 B","2,25 B","2,14 B","1,79 B","1,55 B","1,69 B","1,58 B","1,54 B","1,44 B","1,69 B","1,50 B","1,35 B","1,37 B","1,51 B","1,27 B","939,88 M","948,88 M","1,05 B","947,16 M","957,87 M","791,10 M","909,01 M","905,63 M","886,83 M","798,94 M","847,49 M","802,98 M","759,13 M","752,97 M","807,00 M","705,29 M","687,61 M","604,22 M","651,42 M","676,14 M","554,37 M","526,32 M","641,87 M","480,58 M","437,21 M","438,22 M","570,28 M","452,87 M"
Estoques,"3,16 B","2,97 B","3,32 B","2,84 B","2,70 B","2,39 B","3,01 B","2,45 B","2,28 B","1,84 B","2,73 B","2,34 B","2,14 B","2,40 B","2,80 B","2,72 B","2,63 B","2,75 B","3,16 B","2,74 B","2,66 B","2,18 B","2,52 B","2,10 B","1,87 B","1,43 B","1,78 B","1,62 B","1,54 B","1,36 B","1,62 B","1,52 B","1,46 B","1,24 B","1,46 B","860,72 M","847,93 M","835,92 M","1,02 B","1,04 B","1,08 B","963,67 M","1,08 B","866,98 M","979,32 M","889,98 M","1,07 B","947,89 M","912,85 M","799,52 M","875,18 M","836,36 M","805,14 M","700,66 M","786,33 M","730,40 M","767,87 M","688,75 M","738,71 M","675,25 M","681,12 M","571,52 M","509,55 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"16,33 B","16,76 B","16,84 B","6,52 B","6,66 B","6,94 B","6,73 B","6,15 B","6,18 B","6,63 B","13,19 B","12,09 B","12,96 B","14,21 B","13,26 B","13,17 B","12,64 B","15,00 B","14,01 B","12,66 B","16,07 B","14,74 B","15,38 B","14,70 B","14,23 B","11,75 B","11,42 B","10,66 B","10,76 B","8,92 B","8,67 B","8,47 B","8,00 B","7,90 B","7,82 B","3,68 B","3,69 B","3,62 B","3,51 B","3,48 B","3,41 B","3,38 B","3,28 B","3,15 B","3,07 B","2,96 B","3,06 B","3,01 B","2,92 B","2,74 B","2,56 B","2,42 B","2,38 B","1,98 B","1,82 B","1,70 B","1,61 B","1,59 B","1,60 B","1,47 B","1,37 B","1,35 B","1,02 B"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"3,03 B","3,14 B","3,08 B","2,58 B","2,69 B","2,80 B","2,65 B","2,40 B","2,35 B","2,34 B","3,33 B","3,37 B","3,43 B","4,64 B","4,52 B","4,59 B","4,35 B","4,76 B","4,56 B","4,43 B","4,87 B","4,70 B","5,02 B","4,99 B","4,90 B","4,39 B","4,39 B","4,09 B","4,13 B","2,24 B","2,28 B","2,26 B","2,24 B","2,28 B","2,24 B","1,84 B","1,86 B","1,73 B","1,71 B","1,72 B","1,74 B","1,75 B","1,76 B","1,73 B","1,76 B","1,67 B","1,60 B","1,58 B","1,54 B","1,44 B","1,35 B","1,26 B","1,21 B","1,01 B","865,74 M","818,92 M","797,52 M","800,43 M","703,60 M","587,09 M","552,43 M","560,47 M","492,26 M"
