Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-0,22","0,07","-0,21","-0,24","-0,07",-,-,-,-,-,-,-,-,-,-,-,-,-
P/VP,"-0,06","-0,07","-0,05","-0,09","-0,12",-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT,"-0,31","0,06","-0,37","-0,40","-0,08",-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT *,"-0,55","-0,48","-0,69","-0,36","-0,23",-,-,-,-,-,-,-,-,-,-,-,-,-
PSR,"9,15","10,88","0,09","0,10","0,09",-,-,-,-,-,-,-,-,-,-,-,-,-
P/Ativos,"0,67","0,66","0,28","0,10","0,07",-,-,-,-,-,-,-,-,-,-,-,-,-
LPA,"-11,84","40,57","-18,26","-19,04","-57,14",-,-,-,-,-,-,-,-,-,-,-,-,-
VPA,"-39,85","-38,80","-70,13","-51,87","-32,83",-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação,"-8,33","44,08","-10,45","-11,27","-51,20",-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação *,"-4,66","-5,67","-5,57","-12,72","-17,50",-,-,-,-,-,-,-,-,-,-,-,-,-
Ativo por ação,"3,84","4,10","13,77","45,20","53,89",-,-,-,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,"0,28","0,25","43,05","43,45","45,28",-,-,-,-,-,-,-,-,-,-,-,-,-
Margem bruta,"100,00%","98,63%","45,33%","51,88%","55,94%","61,86%","62,65%","68,52%","84,59%","93,09%","96,98%","96,20%","94,87%","95,96%","95,66%","96,32%","95,58%","83,61%"
Margem líquida,"-4.164,33%","16.320,18%","-42,43%","-41,61%","-125,37%","-51,03%","-175,09%","-66,42%","-61,43%","-118,93%","-115,91%","-53,96%","-6,18%","25,63%","24,89%","28,91%","22,83%","16,08%"
Margem EBIT,"-2.978,20%","17.762,52%","-24,27%","-25,94%","-113,08%","-38,33%","-171,31%","-88,60%","-62,73%","-127,43%","-111,46%","-59,75%","-9,01%","24,13%","14,08%","34,32%","33,41%","25,61%"
Margem EBIT *,"-1.666,76%","-2.285,28%","-12,95%","-29,27%","-38,66%","-8,24%","-31,60%","-34,49%","-25,43%","-59,26%","-40,91%","-29,32%","9,63%","27,25%","27,61%","34,92%","33,55%","25,80%"
Margem EBITDA,"-2.834,59%","18.016,69%","-10,82%","-16,04%","-102,29%","-32,06%","-160,11%","-76,99%","-55,41%","-116,59%","-100,36%","-46,98%","-2,69%","28,84%","18,04%","37,20%","36,24%","28,79%"
Margem EBITDA *,"-1.523,15%","-2.031,11%","0,50%","-19,37%","-27,87%","-1,97%","-20,40%","-22,87%","-18,10%","-48,41%","-29,81%","-16,55%","15,95%","31,96%","31,56%","37,80%","36,38%","28,98%"
Margem operacional,"-4.313,06%","16.440,67%","-42,41%","-41,67%","-124,05%","-50,56%","-175,09%","-86,55%","-59,55%","-117,46%","-112,73%","-48,47%","1,19%","35,13%","35,86%","40,89%","35,38%","26,58%"
ROE,"29,26%","-104,47%","26,07%","34,91%","173,60%","-742,07%","425,56%","-48,47%","-30,34%","-41,91%","-42,39%","-20,60%","-3,09%","12,24%","12,54%","16,27%","16,96%","11,65%"
ROA,"-3,03","9,87","-1,33","-0,40","-1,05","-0,46","-0,87","-0,18","-0,20","-0,28","-0,30","-0,18","-0,03","0,10","0,10","0,13","0,14","0,10"
ROIC,"-292,93%","1.480,02%","-95,11%","-27,33%","-108,14%","-39,60%","-105,93%","-27,47%","-24,14%","-36,04%","-31,45%","-22,25%","-4,44%","11,71%","7,03%","17,92%","25,54%","18,09%"
ROIC *,"-163,94%","-190,42%","-50,75%","-30,84%","-36,97%","-8,51%","-19,54%","-10,69%","-9,78%","-16,76%","-11,54%","-10,92%","4,74%","13,23%","13,78%","18,24%","25,64%","18,23%"
Giro do ativo,"0,07","0,06","3,13","0,96","0,84","0,90","0,50","0,26","0,32","0,24","0,26","0,33","0,44","0,41","0,42","0,44","0,63","0,59"
EBIT *,-13 mi,-16 mi,-15 mi,-34 mi,-47 mi,-12 mi,-33 mi,-37 mi,-29 mi,-53 mi,-46 mi,-49 mi,26 mi,101 mi,105 mi,142 mi,112 mi,72 mi
EBITDA,-22 mi,118 mi,-13 mi,-19 mi,-123 mi,-46 mi,-163 mi,-83 mi,-62 mi,-104 mi,-111 mi,-79 mi,-8 mi,107 mi,69 mi,151 mi,121 mi,81 mi
EBITDA *,-12 mi,-14 mi,0 mi,-23 mi,-34 mi,-3 mi,-21 mi,-25 mi,-21 mi,-44 mi,-33 mi,-28 mi,44 mi,119 mi,120 mi,154 mi,122 mi,81 mi
Liquidez corrente,"0,03","0,03","0,13","0,46","0,49","0,35","0,71","1,49","1,31","1,57","1,50","2,89","3,07","2,69","2,61","2,31","2,46","2,74"
Liquidez seca,"0,03","0,03","0,13","0,46","0,49","0,35","0,71","1,49","1,31","1,57","1,50","2,89","3,07","2,69","2,61","2,31","2,46","2,74"
Liquidez imediata,"0,00","0,01","0,04","0,08","0,10","0,14","0,11","0,13","0,79","1,04","0,23","0,43","0,67","0,26","0,63","0,55","1,11","1,38"
Dívida bruta,0 mi,0 mi,1 mi,60 mi,52 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi
Dívida líquida,0 mi,-1 mi,-5 mi,53 mi,42 mi,-14 mi,-38 mi,-57 mi,-52 mi,-58 mi,-26 mi,-50 mi,-65 mi,-140 mi,-142 mi,-136 mi,-91 mi,-71 mi
Capital de giro,-95 mi,-93 mi,-152 mi,-53 mi,-52 mi,-59 mi,-24 mi,30 mi,20 mi,31 mi,23 mi,70 mi,112 mi,171 mi,165 mi,151 mi,118 mi,89 mi
Endividamento geral,"-109,64%","-110,58%","-119,66%","-187,30%","-264,80%","1.514,00%","-590,92%","175,99%","54,06%","48,76%","40,78%","14,78%","14,33%","17,05%","20,54%","27,54%","18,71%","22,16%"
