Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"168,00 Mil","186,00 Mil","196,00 Mil","193,00 Mil","84,00 Mil","23,97 M","33,19 M","-31,43 M","25,73 M","29,48 M","-2,47 M","37,42 M","30,07 M","29,14 M","37,42 M","31,25 M","22,42 M","27,73 M","42,74 M","40,38 M","32,49 M","33,48 M","26,95 M","19,00 M","22,17 M","4,00 M","32,99 M","34,57 M","34,98 M","35,02 M","25,20 M","28,64 M","22,44 M","24,59 M","23,16 M","22,51 M","18,81 M","24,30 M","31,70 M","29,60 M","24,60 M","26,53 M","41,04 M","50,30 M","48,43 M","71,11 M","73,47 M","71,22 M","64,17 M","98,26 M","94,04 M","101,37 M","80,10 M","101,25 M","95,05 M","97,61 M","89,22 M","112,04 M","111,52 M","99,93 M","84,22 M","100,33 M","84,24 M","85,20 M","73,47 M"
Custos,0,0,0,0,"-9,00 Mil","-14,09 M","-19,67 M","16,09 M","-12,65 M","-13,79 M","951,00 Mil","16,36 M","-14,80 M","-14,96 M","-16,36 M","-12,61 M","-9,04 M","-10,89 M","-16,22 M","-15,40 M","-12,15 M","-11,74 M","-8,72 M","-8,99 M","-8,49 M","-5,31 M","-9,64 M","-8,68 M","-9,92 M","-5,42 M","-5,70 M","-3,52 M","-2,50 M","-2,15 M","-2,05 M","-1,17 M","-799,00 Mil","-790,00 Mil","-724,00 Mil","-976,00 Mil","-843,00 Mil","-1,38 M","-1,79 M","-1,71 M","-1,44 M","-4,09 M","-3,44 M","-3,30 M","-3,54 M","-3,81 M","-3,95 M","-3,86 M","-3,50 M","-4,02 M","-4,79 M","-3,69 M","-4,10 M","-3,42 M","-3,25 M","-3,09 M","-5,23 M","-4,04 M","-4,60 M","-3,00 M","-10,84 M"
Lucro bruto,"168,00 Mil","186,00 Mil","196,00 Mil","193,00 Mil","75,00 Mil","9,88 M","13,51 M","-15,34 M","13,08 M","15,69 M","-1,52 M","53,78 M","15,26 M","14,18 M","21,06 M","18,64 M","13,38 M","16,84 M","26,52 M","24,98 M","20,34 M","21,74 M","18,23 M","10,01 M","13,68 M","-1,30 M","23,35 M","25,89 M","25,06 M","29,60 M","19,50 M","25,12 M","19,95 M","22,45 M","21,11 M","21,35 M","18,01 M","23,51 M","30,98 M","28,62 M","23,76 M","25,14 M","39,25 M","48,59 M","46,99 M","67,02 M","70,03 M","67,93 M","60,64 M","94,46 M","90,09 M","97,51 M","76,61 M","97,23 M","90,25 M","93,91 M","85,11 M","108,62 M","108,27 M","96,84 M","78,99 M","96,29 M","79,65 M","82,20 M","62,63 M"
Despesas operacionais,"-1,41 M","-14,21 M","-3,01 M","-4,24 M","137,87 M","-26,16 M","-14,84 M","18,16 M","-20,21 M","-6,00 M","6,17 M","-27,32 M","-28,56 M","-112,20 M","-27,32 M","-34,30 M","-29,40 M","-48,66 M","-32,53 M","-29,39 M","-33,05 M","-105,50 M","-22,23 M","-22,69 M","-87,32 M","-66,89 M","-34,23 M","-34,84 M","-31,43 M","-62,71 M","-32,33 M","-35,68 M","-33,27 M","-96,84 M","-34,36 M","-33,98 M","-31,24 M","-110,34 M","-35,29 M","-43,31 M","-40,74 M","-111,16 M","-52,01 M","-54,72 M","-41,44 M","-105,71 M","-59,51 M","-65,27 M","-60,37 M","-76,19 M","-64,21 M","-68,33 M","-59,76 M","-118,59 M","-64,40 M","-65,70 M","-63,87 M","-74,20 M","-67,56 M","-58,09 M","-52,97 M","-60,11 M","-50,84 M","-50,31 M","-47,39 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-1,40 M","-6,27 M","-2,25 M","-3,22 M","-3,98 M","-13,73 M","-17,02 M","17,44 M","-18,42 M","-22,33 M","2,99 M","-26,51 M","-25,24 M","-30,04 M","-26,51 M","-30,18 M","-27,00 M","-23,52 M","-25,73 M","-26,42 M","-24,82 M","-24,83 M","-20,99 M","-20,80 M","-29,17 M","-26,94 M","-27,44 M","-28,93 M","-26,43 M","-28,49 M","-29,71 M","-33,19 M","-31,08 M","-40,16 M","-31,95 M","-32,70 M","-30,90 M","-33,45 M","-34,50 M","-42,69 M","-41,29 M","-57,51 M","-47,62 M","-52,89 M","-50,72 M","-58,00 M","-58,02 M","-63,34 M","-59,31 M","-68,24 M","-62,76 M","-66,36 M","-59,45 M","-67,10 M","-64,99 M","-65,30 M","-63,35 M","-73,71 M","-66,72 M","-57,42 M","-52,52 M","-60,64 M","-50,96 M","-49,95 M","-46,63 M"
EBIT,"-1,24 M","-14,02 M","-2,82 M","-4,05 M","137,94 M","-16,27 M","-1,33 M","2,82 M","-7,13 M","9,68 M","4,65 M","26,46 M","-13,30 M","-98,02 M","-6,26 M","-15,66 M","-16,02 M","-31,82 M","-6,01 M","-4,41 M","-12,71 M","-83,76 M","-4,01 M","-12,68 M","-73,64 M","-68,19 M","-10,88 M","-8,94 M","-6,38 M","-33,11 M","-12,83 M","-10,57 M","-13,32 M","-74,39 M","-13,25 M","-12,64 M","-13,23 M","-86,84 M","-4,31 M","-14,69 M","-16,98 M","-86,01 M","-12,76 M","-6,13 M","5,55 M","-38,69 M","10,52 M","2,66 M","271,00 Mil","18,27 M","25,88 M","29,18 M","16,85 M","-21,36 M","25,86 M","28,22 M","21,24 M","34,42 M","40,71 M","38,76 M","26,02 M","36,19 M","28,80 M","31,89 M","15,24 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-1,54 M","17,82 M","-26,40 M","207,00 Mil","-335,00 Mil","-2,29 M","-5,70 M","7,64 M","-5,11 M","-3,92 M","-452,00 Mil","4,46 M","-3,77 M","-8,25 M","-173,00 Mil","-1,17 M","-3,60 M","-2,87 M","-2,88 M","-794,00 Mil","-10,99 M","-1,74 M","-2,53 M","-64,00 Mil","550,00 Mil","-2,11 M","1,55 M","1,52 M","1,22 M","804,00 Mil","1,11 M","655,00 Mil","970,00 Mil","3,98 M","1,20 M","1,52 M","2,18 M","-5,85 M","-2,53 M","3,12 M","3,86 M","16,98 M","4,50 M","4,95 M","-7,67 M","9,14 M","5,31 M","7,37 M","6,75 M","26,83 M","4,72 M","4,79 M","4,79 M","64,62 M","5,44 M","6,06 M","7,34 M","6,16 M","7,98 M","7,59 M","5,07 M","2,26 M","1,58 M","1,39 M","1,38 M"
Antes dos impostos,"-2,78 M","3,80 M","-29,22 M","-3,84 M","137,61 M","-18,57 M","-7,02 M","10,46 M","-12,23 M","5,76 M","4,20 M","30,93 M","-17,07 M","-106,27 M","-6,43 M","-16,83 M","-19,62 M","-34,68 M","-8,89 M","-5,20 M","-23,70 M","-85,50 M","-6,54 M","-12,74 M","-73,09 M","-70,30 M","-9,33 M","-7,42 M","-5,15 M","-32,30 M","-11,72 M","-9,91 M","-12,35 M","-70,41 M","-12,05 M","-11,12 M","-11,05 M","-92,69 M","-6,84 M","-11,57 M","-13,12 M","-69,04 M","-8,27 M","-1,18 M","-2,12 M","-29,55 M","15,83 M","10,03 M","7,03 M","45,10 M","30,60 M","33,97 M","21,64 M","43,26 M","31,29 M","34,27 M","28,58 M","40,58 M","48,69 M","46,34 M","31,09 M","38,44 M","30,38 M","33,28 M","16,62 M"
Imposto,"-2,00 Mil","654,00 Mil","578,00 Mil","-125,00 Mil","-1,90 M","1,33 M","-528,00 Mil","600,00 Mil","-227,00 Mil","57,00 Mil","213,00 Mil","-1,06 M","-776,00 Mil","-474,00 Mil","-1,06 M","11,00 Mil","-68,00 Mil","474,00 Mil","-242,00 Mil","-599,00 Mil","-297,00 Mil","-399,00 Mil","-311,00 Mil","-117,00 Mil","-151,00 Mil","2,52 M","-1,18 M","-844,00 Mil","-1,20 M","-1,13 M","-219,00 Mil","-428,00 Mil","-318,00 Mil","326,00 Mil","-703,00 Mil","-353,00 Mil","-581,00 Mil","-535,00 Mil","-1,80 M","-673,00 Mil","-497,00 Mil","166,00 Mil","-2,10 M","-3,62 M","-3,58 M","-4,72 M","-5,76 M","-4,99 M","-5,16 M","-9,84 M","-8,37 M","-9,19 M","-8,11 M","-12,80 M","-9,55 M","-10,17 M","-9,52 M","-12,20 M","-13,07 M","-12,85 M","-10,73 M","-14,00 M","-10,50 M","-10,40 M","-7,22 M"
Op. continuadas,"-2,79 M","4,45 M","-28,64 M","-3,97 M","135,71 M","-17,23 M","-7,55 M","11,06 M","-12,46 M","5,82 M","4,41 M","29,87 M","-17,84 M","-106,75 M","-7,49 M","-16,82 M","-19,69 M","-34,21 M","-9,13 M","-5,80 M","-24,00 M","-85,90 M","-6,85 M","-12,86 M","-73,24 M","-67,78 M","-10,51 M","-8,26 M","-6,36 M","-33,43 M","-11,94 M","-10,34 M","-12,67 M","-70,08 M","-12,75 M","-11,47 M","-11,63 M","-93,22 M","-8,64 M","-12,24 M","-13,62 M","-68,87 M","-10,37 M","-4,80 M","-5,70 M","-34,27 M","10,07 M","5,04 M","1,86 M","35,26 M","22,23 M","24,79 M","13,53 M","30,46 M","21,75 M","24,10 M","19,06 M","28,39 M","35,62 M","33,49 M","20,36 M","24,44 M","19,88 M","22,88 M","9,40 M"
