Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"19,19 M","18,91 M","23,37 M","19,51 M","19,35 M","19,70 M","19,37 M","19,35 M","19,16 M","19,33 M","18,59 M","18,37 M","18,25 M","18,16 M","17,40 M","17,42 M","17,58 M","17,66 M","17,55 M","17,35 M","17,30 M","17,23 M","17,06 M","17,00 M","17,02 M","16,77 M","16,46 M","16,27 M","16,30 M","16,26 M","16,04 M","16,01 M","15,98 M","15,97 M","15,53 M","15,58 M","15,60 M","15,59 M","14,88 M","14,93 M","16,24 M","16,45 M","16,09 M","16,35 M","16,61 M","17,08 M","23,45 M","24,36 M","24,52 M","24,42 M","24,54 M","24,78 M","25,05 M","25,15 M","24,80 M","24,93 M","25,20 M","25,12 M","24,90 M","24,92 M","24,98 M","24,50 M","27,34 M"
Ativo circulante,"818,00 Mil","802,00 Mil","5,26 M","1,68 M","1,53 M","1,98 M","1,91 M","1,77 M","1,75 M","1,73 M","1,54 M","1,32 M","1,21 M","1,12 M","1,20 M","1,22 M","1,38 M","1,47 M","1,48 M","1,28 M","1,23 M","1,15 M","1,09 M","1,03 M","1,06 M","798,00 Mil","763,00 Mil","578,00 Mil","603,00 Mil","562,00 Mil","574,00 Mil","545,00 Mil","508,00 Mil","501,00 Mil","499,00 Mil","496,00 Mil","513,00 Mil","506,00 Mil","510,00 Mil","521,00 Mil","646,00 Mil","736,00 Mil","725,00 Mil","855,00 Mil","997,00 Mil","1,34 M","767,00 Mil","1,55 M","1,60 M","1,38 M","1,49 M","1,60 M","1,75 M","1,73 M","1,59 M","1,63 M","1,66 M","1,48 M","1,43 M","1,36 M","1,32 M","1,30 M","989,00 Mil"
Caixa e eq. de caixa,"11,00 Mil","11,00 Mil","14,00 Mil","11,00 Mil","14,00 Mil","19,00 Mil","36,00 Mil","17,00 Mil","21,00 Mil","26,00 Mil","13,00 Mil","18,00 Mil","11,00 Mil","32,00 Mil","8,00 Mil","4,00 Mil","20,00 Mil","5,00 Mil","19,00 Mil","13,00 Mil","19,00 Mil","26,00 Mil","241,00 Mil","210,00 Mil","176,00 Mil","46,00 Mil","82,00 Mil","47,00 Mil","23,00 Mil","26,00 Mil","6,00 Mil","4,00 Mil",0,"1,00 Mil","3,00 Mil","3,00 Mil","8,00 Mil","3,00 Mil","7,00 Mil","41,00 Mil","174,00 Mil","256,00 Mil","244,00 Mil","373,00 Mil","516,00 Mil","866,00 Mil","293,00 Mil","403,00 Mil","421,00 Mil","183,00 Mil","270,00 Mil","406,00 Mil","588,00 Mil","556,00 Mil","473,00 Mil","441,00 Mil","400,00 Mil","801,00 Mil","904,00 Mil","836,00 Mil","786,00 Mil","729,00 Mil","423,00 Mil"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"807,00 Mil","791,00 Mil","5,24 M","1,67 M","1,51 M","1,96 M","1,87 M","1,75 M","1,73 M","1,71 M","1,53 M","1,30 M","1,20 M","1,09 M","1,19 M","1,22 M","1,36 M","1,46 M","1,46 M","1,26 M","1,21 M","1,13 M","852,00 Mil","819,00 Mil","880,00 Mil","752,00 Mil","681,00 Mil","531,00 Mil","580,00 Mil","536,00 Mil","568,00 Mil","541,00 Mil","508,00 Mil","500,00 Mil","496,00 Mil","493,00 Mil","505,00 Mil","503,00 Mil","503,00 Mil","472,00 Mil","472,00 Mil","480,00 Mil","481,00 Mil","482,00 Mil","481,00 Mil","479,00 Mil","474,00 Mil","1,15 M","1,18 M","1,19 M","1,22 M","1,19 M","1,16 M","1,18 M","1,12 M","1,19 M","1,25 M","679,00 Mil","529,00 Mil","523,00 Mil","534,00 Mil","575,00 Mil","566,00 Mil"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"18,37 M","18,11 M","18,11 M","17,83 M","17,83 M","17,72 M","17,46 M","17,58 M","17,41 M","17,60 M","17,05 M","17,05 M","17,04 M","17,04 M","16,20 M","16,20 M","16,20 M","16,20 M","16,07 M","16,07 M","16,07 M","16,07 M","15,97 M","15,97 M","15,97 M","15,97 M","15,70 M","15,70 M","15,70 M","15,70 M","15,47 M","15,47 M","15,47 M","15,47 M","15,03 M","15,08 M","15,08 M","15,08 M","14,37 M","14,41 M","15,60 M","15,71 M","15,37 M","15,49 M","15,61 M","15,74 M","22,68 M","22,80 M","22,92 M","23,04 M","23,06 M","23,18 M","23,30 M","23,42 M","23,20 M","23,30 M","23,54 M","23,64 M","23,46 M","23,56 M","23,66 M","23,20 M","26,36 M"
Investimentos,"52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil","52,00 Mil"
Imobilizado,"7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,25 M","7,29 M","7,41 M","7,53 M","7,65 M","7,78 M","7,90 M","8,02 M","8,14 M","8,27 M","8,39 M","8,51 M","8,94 M","9,06 M","9,18 M","9,31 M","9,41 M","9,51 M","9,61 M","9,71 M","9,81 M","9,91 M","10,01 M","10,12 M","10,52 M"
