Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"695,00 Mil","695,00 Mil","676,00 Mil","615,00 Mil","668,00 Mil","582,00 Mil","634,00 Mil","589,00 Mil","646,00 Mil","645,00 Mil","641,00 Mil","519,00 Mil","416,00 Mil","416,00 Mil","390,00 Mil","354,00 Mil","426,00 Mil","558,00 Mil","510,00 Mil","448,00 Mil","418,00 Mil","391,00 Mil","324,00 Mil","447,00 Mil","394,00 Mil","393,00 Mil","288,00 Mil","257,00 Mil","278,00 Mil","263,00 Mil","244,00 Mil","123,00 Mil","136,00 Mil","122,00 Mil","147,00 Mil","147,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Custos,"-64,00 Mil","-65,00 Mil","-63,00 Mil",0,"-62,00 Mil","-56,00 Mil","-48,00 Mil",0,"-54,00 Mil","-60,00 Mil","-59,00 Mil",0,"-39,00 Mil","-38,00 Mil","-36,00 Mil",0,"-45,00 Mil","-50,00 Mil","-46,00 Mil",0,"-38,00 Mil","-36,00 Mil","-30,00 Mil",0,"-37,00 Mil","-36,00 Mil","-27,00 Mil",0,"-26,00 Mil","-24,00 Mil","-22,00 Mil",0,"-12,00 Mil","-11,00 Mil","-14,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro bruto,"631,00 Mil","630,00 Mil","613,00 Mil","615,00 Mil","606,00 Mil","526,00 Mil","586,00 Mil","589,00 Mil","592,00 Mil","585,00 Mil","582,00 Mil","519,00 Mil","377,00 Mil","378,00 Mil","354,00 Mil","354,00 Mil","381,00 Mil","508,00 Mil","464,00 Mil","448,00 Mil","380,00 Mil","355,00 Mil","294,00 Mil","447,00 Mil","357,00 Mil","357,00 Mil","261,00 Mil","257,00 Mil","252,00 Mil","239,00 Mil","222,00 Mil","123,00 Mil","124,00 Mil","111,00 Mil","133,00 Mil","147,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas operacionais,"-2,48 M","-656,00 Mil","-3,38 M","-1,03 M","34,95 M","-640,00 Mil","-749,00 Mil","-765,00 Mil","-516,00 Mil","-334,00 Mil","-724,00 Mil","-664,00 Mil","4,43 M","-293,00 Mil","-497,00 Mil","-415,00 Mil","-628,00 Mil","-289,00 Mil","-1,00 M","-654,00 Mil","2,05 M","-558,00 Mil","-576,00 Mil","-420,00 Mil","3,27 M","-495,00 Mil","-601,00 Mil","-403,00 Mil","-515,00 Mil","-596,00 Mil","-1,13 M","-192,00 Mil","-573,00 Mil","-573,00 Mil","-544,00 Mil","675,00 Mil","1,59 M","-1,68 M","-1,51 M","-474,00 Mil","510,00 Mil","-608,00 Mil","-421,00 Mil","-239,00 Mil","-4,59 M","-227,00 Mil","-1,17 M","-49,00 Mil","-7,03 M","-539,00 Mil","-328,00 Mil","-104,00 Mil","-6,22 M","-108,00 Mil","-97,00 Mil","-51,00 Mil","-2,08 M","-11,31 M","-231,00 Mil","-234,00 Mil","-398,00 Mil","-254,00 Mil","-184,00 Mil","90,00 Mil"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-2,49 M","-656,00 Mil","-3,38 M","-1,03 M","-735,00 Mil","-640,00 Mil","-759,00 Mil","-765,00 Mil","-516,00 Mil","-619,00 Mil","-724,00 Mil","-664,00 Mil","-430,00 Mil","-384,00 Mil","-497,00 Mil","-415,00 Mil","-628,00 Mil","-579,00 Mil","-1,00 M","-654,00 Mil","-612,00 Mil","-558,00 Mil","-576,00 Mil","-420,00 Mil","-603,00 Mil","-495,00 Mil","-601,00 Mil","-403,00 Mil","-515,00 Mil","-596,00 Mil","-1,13 M","-329,00 Mil","-572,00 Mil","-682,00 Mil","-544,00 Mil","-984,00 Mil","1,72 M","-2,08 M","-1,54 M","-626,00 Mil","-1,45 M","-941,00 Mil","-563,00 Mil","-382,00 Mil","-7,49 M","-387,00 Mil","-1,45 M","-502,00 Mil","-6,82 M","-830,00 Mil","-615,00 Mil","-585,00 Mil","-6,43 M","-505,00 Mil","-675,00 Mil","-487,00 Mil","-1,87 M","-11,70 M","-625,00 Mil","-625,00 Mil","25,00 Mil","-386,00 Mil","-471,00 Mil","-377,00 Mil"
EBIT,"-1,85 M","-26,00 Mil","-2,77 M","-420,00 Mil","35,55 M","-114,00 Mil","-163,00 Mil","-176,00 Mil","76,00 Mil","251,00 Mil","-142,00 Mil","-145,00 Mil","4,81 M","85,00 Mil","-143,00 Mil","-61,00 Mil","-247,00 Mil","219,00 Mil","-537,00 Mil","-206,00 Mil","2,43 M","-203,00 Mil","-282,00 Mil","27,00 Mil","3,62 M","-138,00 Mil","-340,00 Mil","-146,00 Mil","-263,00 Mil","-357,00 Mil","-905,00 Mil","-69,00 Mil","-449,00 Mil","-462,00 Mil","-411,00 Mil","822,00 Mil","1,59 M","-1,68 M","-1,51 M","-474,00 Mil","510,00 Mil","-608,00 Mil","-421,00 Mil","-239,00 Mil","-4,59 M","-227,00 Mil","-1,17 M","-49,00 Mil","-7,03 M","-539,00 Mil","-328,00 Mil","-104,00 Mil","-6,22 M","-108,00 Mil","-97,00 Mil","-51,00 Mil","-2,08 M","-11,31 M","-231,00 Mil","-234,00 Mil","-398,00 Mil","-254,00 Mil","-184,00 Mil","90,00 Mil"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-6,38 M","-60,00 Mil","-190,00 Mil","-540,00 Mil","-6,79 M","-253,00 Mil","658,00 Mil","-2,46 M","-6,19 M","-445,00 Mil",0,"-235,00 Mil","-11,40 M","-403,00 Mil","-356,00 Mil","-392,00 Mil","-6,52 M","-268,00 Mil","-76,00 Mil","-46,00 Mil","-2,51 M","-23,00 Mil","-43,00 Mil","-73,00 Mil","-2,69 M","-302,00 Mil","-109,00 Mil","-227,00 Mil","-2,94 M","-215,00 Mil","-198,00 Mil","-143,00 Mil","-857,00 Mil","-1,32 M","-309,00 Mil","-843,00 Mil","-8,60 M",0,"601,00 Mil","-952,00 Mil","-28,01 M",0,0,0,"336,00 Mil","-5,76 M","-3,03 M","33,00 Mil","1,43 M","-3,04 M","-125,00 Mil","-194,00 Mil","-77,00 Mil","-222,00 Mil","-1,16 M","25,00 Mil",0,"-3,31 M","-1,00 Mil","-4,11 M",0,0,"-857,00 Mil","-832,00 Mil"
Antes dos impostos,"-8,23 M","-86,00 Mil","-2,96 M","-960,00 Mil","28,77 M","-367,00 Mil","495,00 Mil","-2,63 M","-6,11 M","-194,00 Mil","-142,00 Mil","-380,00 Mil","-6,60 M","-318,00 Mil","-499,00 Mil","-453,00 Mil","-6,76 M","-49,00 Mil","-613,00 Mil","-252,00 Mil","-80,00 Mil","-226,00 Mil","-325,00 Mil","-46,00 Mil","932,00 Mil","-440,00 Mil","-449,00 Mil","-373,00 Mil","-3,20 M","-572,00 Mil","-1,10 M","-212,00 Mil","-1,31 M","-1,78 M","-720,00 Mil","-21,00 Mil","-7,01 M","-1,68 M","-912,00 Mil","-1,43 M","-27,50 M","-608,00 Mil","-421,00 Mil","-239,00 Mil","-4,26 M","-5,99 M","-4,20 M","-16,00 Mil","-5,59 M","-3,57 M","-453,00 Mil","-298,00 Mil","-6,29 M","-330,00 Mil","-1,26 M","-26,00 Mil","-2,08 M","-14,61 M","-232,00 Mil","-4,35 M","-398,00 Mil","-254,00 Mil","-1,04 M","-742,00 Mil"
