Conta,4T2025 (TTM)
P/L,--
P/VP,--
P/EBIT,--
P/EBIT *,--
PSR,--
P/Ativos,--
LPA,--
VPA,--
EBIT por ação,--
EBIT por ação *,--
Ativo por ação,--
Receita líquida por ação,--
Margem bruta,--%
Margem líquida,--%
Margem EBIT,--%
Margem EBIT *,--%
Margem EBITDA,--%
Margem EBITDA *,--%
Margem operacional,--%
ROE,"-27,71%"
ROA,"-0,26"
ROIC,"-25,83%"
ROIC *,"-0,54%"
Giro do ativo,"0,00"
EBIT *,-10 mi
EBITDA,-467 mi
EBITDA *,-10 mi
Liquidez corrente,"4,02"
Liquidez seca,"4,02"
Liquidez imediata,"3,48"
Dívida bruta,120 mi
Dívida líquida,101 mi
Capital de giro,16 mi
Endividamento geral,"7,61%"
