Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014
Ativo total,"1,63 B","1,57 B","1,46 B","1,33 B","1,27 B","1,38 B","1,31 B","1,31 B","1,29 B","1,28 B","1,27 B","1,30 B","1,31 B","1,35 B","1,31 B","1,29 B","1,20 B","1,19 B","1,12 B","1,06 B","1,11 B","1,10 B","1,00 B","923,99 M","927,54 M","869,54 M","875,94 M","845,88 M","834,85 M","846,01 M","829,44 M","886,35 M","816,09 M","810,23 M","784,27 M","778,57 M","732,31 M","775,58 M","777,19 M","708,51 M","699,62 M","693,37 M","669,20 M","614,79 M","641,97 M","627,26 M","545,64 M","533,57 M"
Ativo circulante,"1,10 B","1,02 B","969,50 M","833,91 M","774,33 M","891,59 M","838,71 M","837,59 M","832,14 M","828,89 M","806,15 M","806,33 M","809,62 M","842,90 M","812,13 M","812,40 M","701,46 M","729,71 M","682,65 M","631,48 M","677,75 M","679,62 M","566,56 M","485,79 M","476,75 M","425,04 M","428,95 M","399,49 M","384,21 M","413,11 M","394,09 M","460,49 M","402,02 M","407,30 M","381,31 M","375,46 M","322,26 M","379,92 M","411,98 M","369,97 M","372,22 M","378,38 M","372,18 M","333,10 M","374,47 M","365,62 M","284,20 M","266,35 M"
Caixa e eq. de caixa,"401,10 M","250,82 M","206,56 M","147,60 M","148,50 M","233,96 M","259,28 M","343,25 M","349,25 M","304,03 M","268,62 M","262,12 M","234,58 M","165,04 M","156,54 M","216,96 M","147,37 M","161,25 M","164,60 M","151,86 M","218,72 M","225,57 M","168,73 M","132,76 M","125,69 M","45,01 M","82,78 M","72,41 M","71,22 M","65,18 M","65,69 M","135,45 M","126,17 M","123,36 M","111,80 M","110,07 M","61,80 M","70,33 M","60,76 M","23,23 M","43,13 M","23,38 M","26,83 M","19,51 M","79,18 M","72,45 M","22,07 M","10,03 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18,57 M","18,31 M","18,15 M","18,04 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"316,53 M","430,37 M","330,32 M","234,07 M","239,14 M","354,30 M","265,97 M","198,09 M","202,91 M","263,04 M","225,35 M","187,52 M","184,42 M","301,01 M","251,54 M","200,06 M","199,00 M","245,29 M","201,17 M","187,42 M","172,81 M","209,41 M","196,78 M","146,19 M","140,04 M","189,08 M","145,78 M","146,57 M","115,38 M","174,69 M","148,50 M","143,86 M","115,50 M","160,66 M","127,92 M","116,00 M","102,67 M","162,48 M","196,42 M","191,23 M","184,97 M","225,74 M","195,51 M","175,35 M","154,96 M","178,11 M","139,45 M","140,34 M"
Estoques,"344,96 M","312,13 M","399,29 M","409,98 M","338,36 M","265,43 M","274,98 M","249,75 M","222,41 M","207,89 M","277,53 M","312,89 M","338,64 M","324,97 M","351,12 M","331,58 M","311,77 M","270,12 M","262,26 M","234,49 M","228,68 M","190,30 M","176,54 M","176,16 M","175,37 M","165,29 M","180,99 M","156,98 M","176,19 M","153,16 M","164,05 M","162,05 M","144,50 M","108,58 M","125,99 M","131,91 M","143,13 M","131,30 M","139,74 M","137,32 M","127,51 M","109,26 M","135,29 M","119,37 M","115,99 M","86,85 M","99,76 M","97,13 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"533,11 M","542,49 M","490,38 M","494,09 M","493,09 M","493,11 M","470,12 M","469,09 M","459,83 M","450,12 M","463,45 M","494,10 M","503,17 M","503,60 M","496,23 M","481,40 M","502,45 M","540,18 M","440,07 M","430,89 M","432,49 M","424,31 M","434,28 M","438,20 M","450,79 M","444,50 M","446,99 M","446,39 M","450,64 M","432,90 M","435,36 M","425,86 M","414,07 M","402,93 M","402,97 M","403,11 M","410,05 M","395,65 M","365,21 M","338,54 M","327,40 M","314,99 M","297,02 M","281,69 M","267,50 M","261,64 M","261,44 M","267,22 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"340,29 M","342,88 M","339,71 M","337,94 M","335,43 M","337,34 M","335,08 M","336,26 M","339,44 M","333,15 M","342,37 M","342,93 M","344,05 M","342,36 M","333,78 M","323,73 M","323,10 M","314,05 M","301,91 M","293,99 M","287,49 M","277,31 M","279,58 M","282,70 M","283,36 M","279,64 M","271,74 M","270,11 M","267,03 M","260,63 M","259,26 M","254,09 M","253,10 M","246,87 M","245,46 M","246,71 M","248,37 M","245,80 M","222,94 M","206,72 M","198,68 M","194,09 M","184,75 M","176,54 M","171,50 M","170,63 M","169,74 M","174,87 M"
Intangível,"104,56 M","105,84 M","104,66 M","111,76 M","109,27 M","106,75 M","101,93 M","100,18 M","96,59 M","92,66 M","84,40 M","108,09 M","106,78 M","106,08 M","103,39 M","100,42 M","98,37 M","71,64 M","71,92 M","71,39 M","77,33 M","73,94 M","73,48 M","75,08 M","93,99 M","93,30 M","100,99 M","98,79 M","97,14 M","93,80 M","95,04 M","93,66 M","88,62 M","86,72 M","86,71 M","85,32 M","87,00 M","87,16 M","87,14 M","82,37 M","79,30 M","78,69 M","75,26 M","71,83 M","70,15 M","66,30 M","62,13 M","57,41 M"
Passivo total,"1,63 B","1,57 B","1,46 B","1,33 B","1,27 B","1,38 B","1,31 B","1,31 B","1,29 B","1,28 B","1,27 B","1,30 B","1,31 B","1,35 B","1,31 B","1,29 B","1,20 B","1,19 B","1,12 B","1,06 B","1,11 B","1,10 B","1,00 B","923,99 M","927,54 M","869,54 M","875,94 M","845,88 M","834,85 M","846,01 M","829,44 M","886,35 M","816,09 M","810,23 M","784,27 M","778,57 M","732,31 M","775,58 M","777,19 M","708,51 M","699,62 M","693,37 M","669,20 M","614,79 M","641,97 M","627,26 M","545,64 M","533,57 M"
Passivo circulante,"316,91 M","288,00 M","260,34 M","276,75 M","302,06 M","291,25 M","238,71 M","271,74 M","239,28 M","232,66 M","321,64 M","303,25 M","235,73 M","259,43 M","252,04 M","235,78 M","224,15 M","245,64 M","238,96 M","165,24 M","242,17 M","238,69 M","222,95 M","267,65 M","277,89 M","210,52 M","209,59 M","185,61 M","170,36 M","170,84 M","171,08 M","247,94 M","248,16 M","276,52 M","233,44 M","170,35 M","151,46 M","142,96 M","172,61 M","174,40 M","162,46 M","149,99 M","157,59 M","140,21 M","173,28 M","176,90 M","189,70 M","135,52 M"
Fornecedores,"120,32 M","97,33 M","101,12 M","143,31 M","141,79 M","113,05 M","104,14 M","104,52 M","82,00 M","74,56 M","69,82 M","62,13 M","65,69 M","85,57 M","90,29 M","89,21 M","72,41 M","69,94 M","87,00 M","58,86 M","74,22 M","55,81 M","51,98 M","33,01 M","41,85 M","40,38 M","46,79 M","40,78 M","41,63 M","27,10 M","24,97 M","43,48 M","34,23 M","27,91 M","26,07 M","29,48 M","24,90 M","23,32 M","41,88 M","42,78 M","27,56 M","29,45 M","50,61 M","33,92 M","39,55 M","22,39 M","24,95 M","28,63 M"
Empréstimos e financ.,"57,92 M","52,14 M","52,55 M","52,08 M","53,68 M","56,89 M","54,33 M","96,51 M","98,21 M","98,85 M","101,13 M","100,28 M","97,55 M","88,23 M","84,97 M","87,80 M","86,15 M","85,05 M","84,88 M","52,02 M","98,95 M","96,55 M","102,29 M","186,18 M","188,80 M","118,23 M","121,05 M","101,07 M","70,98 M","76,44 M","100,25 M","164,46 M","163,01 M","190,23 M","151,14 M","97,17 M","84,60 M","73,55 M","78,66 M","80,79 M","66,70 M","57,26 M","58,25 M","64,17 M","87,75 M","103,09 M","98,36 M","66,46 M"
Passivo não circulante,"497,43 M","480,96 M","487,04 M","393,66 M","329,78 M","337,03 M","341,13 M","345,46 M","349,87 M","356,96 M","278,40 M","332,77 M","342,80 M","351,11 M","330,23 M","378,37 M","326,61 M","305,53 M","247,40 M","294,82 M","296,82 M","304,43 M","225,90 M","140,36 M","158,94 M","166,54 M","188,06 M","195,23 M","213,53 M","219,20 M","203,76 M","206,34 M","158,72 M","128,07 M","158,49 M","225,45 M","211,23 M","256,32 M","216,53 M","152,37 M","159,94 M","163,07 M","138,26 M","121,09 M","130,32 M","120,20 M","128,07 M","179,76 M"
Emprést. de longo prazo,"453,90 M","437,44 M","444,07 M","354,28 M","294,53 M","302,46 M","304,48 M","314,28 M","323,22 M","333,12 M","252,95 M","303,29 M","314,06 M","324,14 M","311,11 M","360,95 M","309,66 M","297,33 M","239,04 M","287,79 M","289,81 M","297,79 M","219,08 M","136,65 M","155,05 M","162,85 M","180,70 M","186,98 M","205,10 M","211,09 M","194,65 M","200,78 M","154,41 M","122,87 M","150,77 M","216,35 M","199,51 M","241,89 M","202,47 M","137,88 M","151,35 M","159,23 M","134,25 M","118,26 M","126,02 M","112,56 M","121,99 M","150,16 M"
Patrimônio líquido,"816,49 M","796,86 M","712,51 M","657,60 M","635,58 M","756,42 M","728,99 M","689,48 M","702,81 M","689,39 M","669,57 M","664,42 M","734,25 M","735,97 M","726,08 M","679,63 M","653,15 M","641,47 M","636,36 M","602,31 M","571,25 M","560,81 M","551,99 M","515,98 M","490,70 M","492,48 M","478,29 M","465,04 M","450,96 M","455,97 M","454,61 M","432,06 M","409,20 M","405,64 M","392,34 M","382,77 M","369,62 M","376,30 M","388,05 M","381,74 M","377,21 M","380,31 M","373,35 M","353,50 M","338,37 M","330,16 M","227,87 M","218,29 M"
Aos não controladores,"20,00 Mil","21,00 Mil","17,00 Mil","17,00 Mil","19,00 Mil","21,00 Mil","17,00 Mil","19,00 Mil","20,00 Mil","21,00 Mil","20,00 Mil","18,00 Mil","19,00 Mil","19,00 Mil","21,00 Mil","21,00 Mil","20,00 Mil","27,00 Mil","24,00 Mil","26,00 Mil","36,00 Mil","32,00 Mil","31,00 Mil","29,00 Mil","28,00 Mil","34,00 Mil","28,00 Mil","30,00 Mil","33,00 Mil","31,00 Mil","22,00 Mil","19,00 Mil","-253,00 Mil","-243,00 Mil","-217,00 Mil","-148,00 Mil","-70,00 Mil","-39,00 Mil","20,00 Mil","52,00 Mil","93,00 Mil","128,00 Mil","131,00 Mil","111,00 Mil","118,00 Mil","88,00 Mil","95,00 Mil","2,24 M"
