Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
P/L,"7,20","6,61","8,49","-24,56","9,14","10,39","16,44","22,08","20,53","31,80","-214,72","28,50"
P/VP,"2,13","1,84","1,51","1,78","1,62","1,85","2,63","2,07","3,10","2,99","2,97","5,19"
P/EBIT,"6,63","6,21","6,11","15,15","6,74","8,39","14,44","14,23","14,43","18,26","126,31","20,14"
P/EBIT *,"6,38","5,96","6,42","12,53","6,85","8,22","12,61","14,26","13,17","17,05","98,32","20,57"
PSR,"1,35","1,20","1,11","1,30","1,15","1,31","2,02","1,65","2,40","2,40","2,45","3,69"
P/Ativos,"1,07","0,94","0,82","0,96","0,89","0,99","1,34","1,18","1,67","1,50","1,44","2,84"
LPA,"4,48","4,12","2,49","-0,93","2,42","2,11","1,66","0,86","1,28","0,71","-0,10","1,28"
VPA,"15,13","14,77","14,02","12,78","13,64","11,89","10,39","9,13","8,45","7,52","6,98","7,05"
EBIT por ação,"4,87","4,38","3,46","1,50","3,29","2,62","1,89","1,33","1,82","1,23","0,16","1,81"
EBIT por ação *,"5,05","4,57","3,29","1,82","3,23","2,67","2,17","1,33","1,99","1,32","0,21","1,78"
Ativo por ação,"30,23","29,02","25,67","23,71","24,96","22,11","20,46","16,12","15,68","15,02","14,38","12,85"
Receita líquida por ação,"23,84","22,71","19,00","17,48","19,30","16,77","13,53","11,48","10,92","9,37","8,46","9,90"
Margem bruta,"52,58%","51,68%","50,52%","45,77%","50,72%","49,41%","51,22%","49,65%","55,01%","52,76%","49,52%","55,68%"
Margem líquida,"18,79%","18,15%","13,11%","-5,30%","12,55%","12,59%","12,29%","7,47%","11,69%","7,50%","-1,17%","12,96%"
Margem EBIT,"20,41%","19,30%","18,23%","8,59%","17,03%","15,59%","13,99%","11,59%","16,63%","13,13%","1,94%","18,33%"
Margem EBIT *,"21,18%","20,11%","17,34%","10,38%","16,74%","15,91%","16,02%","11,57%","18,22%","14,06%","2,49%","17,95%"
Margem EBITDA,"23,34%","22,43%","21,91%","12,42%","20,10%","18,65%","17,60%","15,56%","20,96%","18,05%","6,74%","22,10%"
Margem EBITDA *,"24,12%","23,23%","21,01%","14,22%","19,81%","18,97%","19,63%","15,54%","22,55%","18,98%","7,29%","21,72%"
Margem operacional,"19,28%","17,90%","17,28%","5,75%","14,13%","13,89%","12,85%","9,35%","14,06%","9,81%","-2,92%","16,34%"
ROE,"29,59%","27,90%","17,76%","-7,25%","17,75%","17,76%","16,00%","9,40%","15,10%","9,34%","-1,42%","18,20%"
ROA,"0,15","0,14","0,10","-0,04","0,10","0,10","0,08","0,05","0,08","0,05","-0,01","0,10"
ROIC,"23,66%","19,42%","18,00%","9,00%","16,18%","14,68%","12,69%","9,16%","13,00%","10,07%","1,30%","15,28%"
ROIC *,"24,55%","20,23%","17,12%","10,88%","15,90%","14,98%","14,53%","9,14%","14,24%","10,78%","1,67%","14,97%"
Giro do ativo,"0,79","0,78","0,74","0,74","0,77","0,76","0,66","0,71","0,70","0,62","0,59","0,77"
EBIT *,272 mi,246 mi,177 mi,97 mi,174 mi,144 mi,116 mi,71 mi,107 mi,71 mi,11 mi,95 mi
EBITDA,300 mi,274 mi,224 mi,117 mi,209 mi,168 mi,128 mi,96 mi,123 mi,91 mi,30 mi,118 mi
EBITDA *,310 mi,284 mi,215 mi,134 mi,206 mi,171 mi,143 mi,96 mi,132 mi,95 mi,33 mi,115 mi
Liquidez corrente,"3,46","3,55","3,06","3,56","3,25","2,97","2,85","2,02","2,42","1,47","2,66","2,52"
Liquidez seca,"2,38","2,47","2,15","2,67","2,00","1,87","2,05","1,23","1,52","1,08","1,74","1,79"
Liquidez imediata,"1,27","0,87","0,80","1,31","0,64","0,66","0,94","0,21","0,38","0,45","0,49","0,16"
Dívida bruta,511 mi,489 mi,359 mi,431 mi,412 mi,382 mi,394 mi,281 mi,287 mi,313 mi,315 mi,216 mi
Dívida líquida,110 mi,238 mi,125 mi,127 mi,247 mi,221 mi,150 mi,236 mi,222 mi,189 mi,245 mi,193 mi
Capital de giro,780 mi,735 mi,600 mi,596 mi,583 mi,484 mi,440 mi,214 mi,242 mi,130 mi,236 mi,228 mi
Endividamento geral,"99,74%","96,50%","83,06%","85,53%","82,96%","85,92%","96,85%","76,56%","85,54%","99,74%","106,11%","82,32%"
