Conta,2T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"-0,02","0,03","-0,40","-0,18","-2,60","-5,99","-1,83","2,04","-20,43","-17,02","-6,71","-38,50","714,19","1.204,29",-,-,-
P/VP,"-0,00","-0,02","-0,08","-0,16","-10,13","8,13","0,94","2,22","-9,42","-18,33","1,80","9,53","92,53","193,49",-,-,-
P/EBIT,"-0,04","-0,17","-1,32","-0,19","-6,73","-47,28","-4,90","-9,52","-55,09","-98,23","14,76","29,90","201,70","451,61",-,-,-
P/EBIT *,"-0,01","-0,11","-0,71","-0,85","-6,62","-29,37","-5,73","-70,59","106,29","75,85","11,13","46,43","265,94","461,59",-,-,-
PSR,"0,02","0,10","0,51","0,34","2,58","5,77","1,57","2,27","5,47","5,26","1,27","6,01","37,52","85,43",-,-,-
P/Ativos,"0,00","0,02","0,08","0,12","0,36","0,85","0,23","0,77","1,90","2,07","0,34","1,65","15,21","31,08",-,-,-
LPA,"-5,58","29,11","-16,45","-58,37","-31,60","-31,90","-27,26","74,49","-19,28","-24,32","-15,66","-13,35","4,52","5,41",-,-,-
VPA,"-46,94","-49,43","-82,75","-66,28","-8,09","23,48","53,47","68,62","-41,82","-22,59","58,19","53,93","34,91","33,65",-,-,-
EBIT por ação,"-3,69","-5,93","-4,98","-55,33","-12,18","-4,04","-10,20","-15,96","-7,15","-4,21","7,11","17,19","16,01","14,42",-,-,-
EBIT por ação *,"-8,73","-9,08","-9,28","-12,58","-12,38","-6,50","-8,72","-2,15","3,71","5,46","9,43","11,07","12,15","14,11",-,-,-
Ativo por ação,"56,74","59,86","79,13","89,71","230,32","223,67","217,77","198,22","207,92","199,84","312,03","311,37","212,33","209,47",-,-,-
Receita líquida por ação,"8,57","9,63","12,90","31,76","31,76","33,11","31,78","66,82","72,06","78,75","82,86","85,57","86,10","76,22",-,-,-
Margem bruta,"-54,04%","-45,74%","-16,01%","-1,89%","4,16%","27,61%","23,92%","26,66%","37,01%","38,39%","42,74%","46,08%","46,31%","49,64%","50,39%","53,89%","47,21%"
Margem líquida,"-65,13%","302,16%","-127,47%","-183,74%","-99,28%","-96,32%","-86,69%","111,58%","-27,98%","-31,56%","-20,40%","-15,60%","5,25%","7,09%","10,88%","19,20%","-9,33%"
Margem EBIT,"-43,03%","-61,51%","-38,62%","-174,20%","-38,37%","-12,20%","-32,09%","-23,88%","-9,92%","-5,35%","8,59%","20,09%","18,60%","18,92%","16,95%","23,96%","-9,86%"
Margem EBIT *,"-101,90%","-94,29%","-71,92%","-39,62%","-38,99%","-19,64%","-27,44%","-3,22%","5,14%","6,93%","11,38%","12,94%","14,11%","18,51%","22,21%","28,91%","21,09%"
Margem EBITDA,"-42,74%","-36,74%","-9,31%","-133,92%","0,98%","23,52%","11,16%","2,46%","11,55%","15,74%","28,49%","36,15%","33,65%","31,72%","28,25%","34,26%","6,70%"
Margem EBITDA *,"-101,61%","-69,52%","-42,61%","0,65%","0,36%","16,08%","15,81%","23,12%","26,62%","28,02%","31,29%","28,99%","29,16%","31,31%","33,50%","39,21%","37,65%"
Margem operacional,"-102,31%","321,47%","-160,75%","-206,23%","-128,83%","-128,96%","-83,34%","96,74%","-23,36%","-19,54%","-22,13%","3,99%","7,08%","10,11%","16,17%","23,18%","-12,44%"
ROE,"11,91%","-59,01%","19,89%","88,19%","394,50%","-135,50%","-51,11%","107,51%","49,26%","123,10%","-27,36%","-22,82%","12,96%","16,07%","9,50%","17,38%","-10,29%"
ROA,"-0,10","0,49","-0,21","-0,65","-0,14","-0,14","-0,13","0,38","-0,10","-0,12","-0,05","-0,04","0,02","0,03","0,03","0,07","-0,04"
ROIC,"-8,41%","-12,98%","-8,62%","-80,55%","-5,82%","-2,01%","-5,26%","-9,47%","-4,36%","-2,69%","2,89%","5,92%","8,47%","8,26%","6,89%","11,60%","-5,15%"
