Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"1,16 B","1,37 B","1,41 B","1,46 B","1,49 B","1,57 B","1,63 B","1,57 B","1,46 B","1,43 B","1,40 B","1,36 B","1,29 B","1,22 B","1,16 B","899,90 M","807,95 M","767,88 M","679,42 M","640,22 M","614,55 M","574,32 M","524,86 M","482,65 M","453,36 M"
Custos,"-961,32 M","-887,92 M","-959,85 M","-1,02 B","-1,08 B","-1,06 B","-1,09 B","-1,04 B","-976,39 M","-947,48 M","-905,77 M","-884,04 M","-822,91 M","-764,44 M","-756,47 M","-578,61 M","-536,62 M","-502,27 M","-460,52 M","-450,71 M","-419,78 M","-385,88 M","-356,66 M","-330,86 M","-326,11 M"
Lucro bruto,"199,45 M","480,91 M","453,14 M","440,01 M","412,24 M","503,08 M","548,09 M","526,97 M","482,28 M","486,76 M","495,78 M","475,48 M","470,55 M","452,09 M","407,40 M","321,29 M","271,33 M","265,61 M","218,90 M","189,51 M","194,77 M","188,44 M","168,20 M","151,79 M","127,25 M"
Despesas operacionais,"-478,43 M","-1,14 B","-1,89 B","-394,55 M","-356,08 M","-1,20 B","-357,24 M","-311,75 M","-315,49 M","-309,06 M","-311,82 M","-287,88 M","-261,80 M","-261,19 M","-276,29 M","-245,31 M","-198,76 M","-192,49 M","-22,54 M","-337,17 M","-139,38 M","-255,00 M","-113,11 M","-126,29 M","-121,65 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-313,07 M","-366,58 M","-283,58 M","-352,32 M","-358,84 M","-412,92 M","-355,76 M","-311,12 M","-316,97 M","-303,87 M","-308,75 M","-288,22 M","-271,24 M","-255,20 M","-277,12 M","-248,09 M","-200,40 M","-194,53 M","-18,41 M","-335,53 M","-139,58 M","-248,87 M","-112,29 M","-126,78 M","-115,67 M"
EBIT,"-278,98 M","-655,03 M","-1,44 B","45,46 M","56,16 M","-692,81 M","190,85 M","215,22 M","166,79 M","177,71 M","183,96 M","187,61 M","208,75 M","190,91 M","131,11 M","75,98 M","72,57 M","73,12 M","196,36 M","-147,66 M","55,39 M","-66,57 M","55,08 M","25,50 M","5,60 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-157,12 M","-431,90 M","-417,02 M","-175,14 M","-148,17 M","-23,84 M","-141,80 M","-179,37 M","-191,90 M","-58,56 M","-146,01 M","-117,12 M","-133,80 M","-125,78 M","-96,22 M","-70,47 M","-56,56 M","-22,51 M","-28,59 M","-36,13 M","-27,65 M","-28,30 M","-14,95 M","-15,13 M","-14,49 M"
Antes dos impostos,"-436,10 M","-1,09 B","-1,85 B","-129,68 M","-92,01 M","-716,65 M","49,05 M","35,86 M","-25,10 M","119,14 M","37,95 M","70,49 M","74,94 M","65,13 M","34,89 M","5,51 M","16,01 M","50,61 M","167,77 M","-183,79 M","27,74 M","-94,87 M","40,13 M","10,37 M","-8,89 M"
Imposto,"-2,56 M","-429,22 M","-26,67 M","-12,61 M","-39,97 M","-42,54 M","-45,93 M","-16,80 M","44,69 M","-32,10 M","111,39 M","-35,52 M","-33,72 M","31,82 M","22,15 M","-30,10 M","-31,64 M","-27,88 M","-16,98 M","-18,74 M","-21,15 M","-24,79 M","-17,78 M","-14,02 M","-11,50 M"
Op. continuadas,"-438,66 M","-1,52 B","-1,88 B","-142,29 M","-131,97 M","-759,19 M","3,12 M","19,06 M","19,59 M","87,04 M","149,33 M","34,97 M","41,22 M","96,94 M","57,05 M","-24,59 M","-15,62 M","22,73 M","150,79 M","-202,53 M","6,59 M","-119,65 M","22,35 M","-3,65 M","-20,39 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-438,66 M","-1,52 B","-1,88 B","-142,29 M","-131,97 M","-759,19 M","3,12 M","19,06 M","19,59 M","87,04 M","149,33 M","34,97 M","41,22 M","96,94 M","57,05 M","-24,59 M","-15,62 M","22,73 M","150,79 M","-202,53 M","6,59 M","-119,65 M","22,35 M","-3,65 M","-20,39 M"
Dos controladores,"-364,20 M","-1,45 B","-1,88 B","-140,99 M","-146,49 M","-643,14 M","-15,94 M","3,30 M","9,59 M","75,44 M","104,99 M","21,01 M","22,18 M","71,11 M","30,83 M","-32,69 M","-22,99 M","15,29 M","145,18 M","-204,89 M","-2,48 M","-140,68 M","14,07 M","-9,33 M","-21,75 M"
Dos não controladores,"-74,45 M","-62,16 M","1,62 M","-1,30 M","14,52 M","-116,05 M","19,06 M","15,76 M","10,00 M","11,60 M","44,34 M","13,96 M","19,04 M","25,83 M","26,21 M","8,10 M","7,37 M","7,44 M","5,61 M","2,36 M","9,07 M","21,03 M","8,29 M","5,68 M","1,35 M"
